LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.336598	1.507870	36.922000	45.080000	25.968359	1.237167	
0.100000	1.727126	1.159768	57.676000	59.320000	25.476017	1.127777	
0.100000	1.417758	1.412194	67.316000	54.950000	25.661792	1.225901	
0.100000	1.231219	0.912926	72.940000	69.310000	25.700888	1.188680	
0.100000	1.110619	0.928614	75.876000	69.800000	25.677835	1.177446	
0.100000	1.014799	0.914424	78.108000	68.970000	26.116455	1.347078	
0.100000	0.959147	1.128262	79.042000	63.780000	25.809269	1.188522	
0.100000	0.915329	0.955689	79.828000	70.180000	25.887863	1.136760	
0.100000	0.879635	1.388600	80.802000	61.820000	25.870336	1.140951	
0.100000	0.842552	1.517302	81.478000	58.010000	26.079546	1.166393	
0.100000	0.818859	0.884228	82.238000	70.760000	26.550735	1.249200	
0.100000	0.813835	0.958132	82.282000	69.230000	26.374963	1.198570	
0.100000	0.808045	1.093580	82.562000	70.000000	26.276731	1.109699	
0.100000	0.795792	1.150306	82.800000	68.450000	26.234839	1.211806	
0.100000	0.783432	0.886528	83.254000	73.160000	26.664955	1.307416	
0.100000	0.771784	0.933964	83.500000	69.780000	25.991946	1.185380	
0.100000	0.768901	0.986829	83.776000	69.670000	25.763959	1.213971	
0.100000	0.771496	1.160671	83.748000	69.810000	26.494399	1.156096	
0.100000	0.762043	1.412564	84.060000	64.210000	25.920722	1.167058	
0.100000	0.749636	0.914967	84.552000	72.300000	25.837732	1.314652	
0.100000	0.741851	0.706884	84.902000	75.660000	25.767672	1.366651	
0.100000	0.743812	1.064912	84.650000	70.540000	25.654536	1.217788	
0.100000	0.744653	0.802881	84.688000	75.350000	26.001912	1.220096	
0.100000	0.743094	1.219366	84.568000	68.750000	25.580855	1.147354	
0.100000	0.729416	0.549219	85.200000	80.900000	25.807059	1.123105	
0.100000	0.719262	0.765779	85.418000	74.560000	26.120541	1.328192	
0.100000	0.718445	0.852996	85.332000	72.830000	25.670689	1.290019	
0.100000	0.727634	0.619367	85.158000	79.050000	25.689262	1.184693	
0.100000	0.714384	1.379011	85.528000	67.830000	26.021397	1.219463	
0.100000	0.713025	0.746876	85.624000	76.170000	25.958397	1.121432	
0.100000	0.701760	1.362581	85.704000	63.910000	26.007673	1.153334	
0.100000	0.712666	0.756235	85.728000	75.600000	26.092521	1.109436	
0.100000	0.711904	0.691511	85.616000	77.600000	26.164719	1.155023	
0.100000	0.699541	1.139119	86.072000	68.140000	26.106915	1.208484	
0.100000	0.692838	0.686948	86.302000	78.340000	26.190766	1.360860	
0.100000	0.686845	0.608601	86.304000	79.120000	25.898997	1.232279	
0.100000	0.701847	0.735325	85.696000	76.450000	26.000149	1.220049	
0.100000	0.692280	0.936466	86.218000	72.400000	26.008192	1.170483	
0.100000	0.694695	0.926825	86.076000	73.410000	26.895780	1.159293	
0.100000	0.686795	0.987465	86.380000	71.300000	25.838294	1.245064	
0.100000	0.677228	0.708181	86.658000	77.920000	25.611482	1.136037	
0.100000	0.689129	0.672718	86.230000	78.270000	25.531794	1.250468	
0.100000	0.689478	1.326306	86.102000	65.670000	25.737938	1.238257	
0.100000	0.690142	0.689915	86.074000	77.760000	25.893534	1.191177	
0.100000	0.679697	0.752398	86.514000	76.510000	25.617788	1.287150	
0.100000	0.677554	0.716286	86.552000	75.580000	25.509657	1.174461	
