LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.763449	2.096098	32.650000	33.168000	32.650000	42.114876	2.127222	
0.100000	1.327209	2.449854	32.650000	51.416000	32.190000	42.262680	2.197427	
0.100000	1.075803	0.989939	32.420000	61.276000	64.420000	41.872856	2.143406	
0.100000	0.935309	1.400893	45.247600	66.706000	51.770000	42.059880	2.162185	
0.100000	0.838519	1.100806	46.015185	70.646000	62.790000	42.392879	2.299548	
0.100000	0.768511	1.058743	49.746768	73.132000	66.900000	42.208543	2.158385	
0.100000	0.732182	1.061272	52.866855	74.694000	66.060000	41.940733	2.205650	
0.100000	0.695016	1.238114	54.599588	76.192000	60.350000	42.105500	2.249880	
0.100000	0.671609	0.890263	54.630208	76.752000	69.660000	42.010496	2.162954	
0.100000	0.650971	0.818401	56.419533	77.502000	73.360000	42.047393	2.103353	
0.100000	0.626460	0.943948	58.302453	78.532000	70.290000	41.922431	2.148345	
0.100000	0.616138	0.913685	59.203201	78.744000	70.020000	42.172611	2.153980	
0.100000	0.603040	0.763703	59.863167	78.968000	73.870000	42.249121	2.186464	
0.100000	0.592169	0.728861	60.904223	79.442000	75.340000	44.711871	2.522870	
0.100000	0.583608	0.944033	61.907942	79.856000	70.120000	44.885788	2.544865	
0.100000	0.569852	1.042625	62.096677	80.282000	67.280000	42.865285	2.035033	
0.100000	0.560253	0.782800	61.955104	80.654000	73.850000	40.848649	2.017648	
0.100000	0.558417	1.068006	62.554707	80.728000	67.590000	40.799861	1.954371	
0.100000	0.542049	1.109170	62.426780	81.392000	64.970000	41.054580	1.953079	
0.100000	0.544267	1.091186	62.087531	81.338000	66.920000	41.330714	1.985883	
0.100000	0.534984	0.665348	61.996920	81.368000	77.680000	40.773362	1.987047	
0.100000	0.529426	0.748865	62.865340	81.664000	75.330000	40.991766	2.041326	
0.100000	0.518863	0.835659	63.402571	82.152000	73.640000	40.638530	1.983811	
0.100000	0.528566	0.962202	63.728068	81.744000	71.030000	40.776749	2.089684	
0.100000	0.516832	0.781963	63.811437	82.118000	74.320000	40.969550	2.014596	
0.100000	0.513182	0.767233	64.133611	82.488000	75.460000	40.827693	2.000996	
0.100000	0.507110	1.027159	64.498249	82.406000	67.200000	40.494872	1.919851	
0.100000	0.505285	1.013114	64.249744	82.446000	67.580000	40.874696	2.035642	
0.100000	0.506554	0.728254	64.064903	82.494000	76.330000	40.482908	2.013664	
0.100000	0.499770	0.733227	64.472494	82.938000	76.820000	39.820822	1.894687	
0.100000	0.495123	1.001845	65.202609	82.970000	70.660000	39.571862	1.824334	
0.100000	0.492402	1.191506	70.213918	83.002000	66.220000	39.875403	1.824128	
0.100000	0.489709	0.977897	68.127542	83.250000	70.700000	39.489566	1.751777	
0.100000	0.484874	0.836003	69.886575	83.394000	73.790000	39.452481	1.841357	
0.100000	0.483275	0.993210	70.732557	83.382000	70.560000	39.505606	1.790826	
0.100000	0.482386	0.768025	70.599993	83.526000	75.140000	40.137972	1.807185	
0.100000	0.486314	0.732566	70.067450	83.342000	75.830000	39.920320	1.803773	
0.100000	0.479996	1.414035	71.785095	83.472000	60.580000	39.791110	1.874055	
0.100000	0.479840	0.746781	71.597064	83.506000	75.890000	39.330878	1.792825	
0.100000	0.475435	0.907478	71.430223	83.620000	71.210000	39.597304	1.818515	
0.100000	0.470166	0.659261	71.376984	83.790000	78.830000	39.581034	1.887995	
0.100000	0.472656	0.669949	72.414386	83.726000	77.700000	39.525195	1.787546	
0.100000	0.470126	1.004113	72.967898	83.682000	71.080000	39.483967	1.827919	
0.100000	0.468359	1.255732	72.091487	83.854000	62.150000	39.401739	1.728020	
0.100000	0.467720	0.786370	71.039546	83.850000	74.250000	39.231232	1.721150	
0.100000	0.468176	0.831930	72.196442	83.928000	73.950000	39.514027	1.831388	
0.100000	0.459665	1.023741	71.404619	84.048000	70.370000	39.462802	1.807819	
0.100000	0.457155	0.680332	70.959118	84.226000	78.250000	39.563623	1.682101	
0.100000	0.464335	0.839949	71.711393	84.038000	73.890000	39.824955	1.789544	
0.100000	0.462483	0.607512	73.407430	84.152000	79.990000	40.316542	1.762435	
0.100000	0.462036	0.847208	73.492393	84.170000	72.370000	39.803977	1.749113	
0.100000	0.457390	0.686357	73.175671	84.246000	76.740000	39.758829	1.899458	
0.100000	0.459044	0.920891	73.028322	84.292000	70.170000	39.551681	1.907161	
0.100000	0.454368	0.900335	73.319522	84.634000	71.810000	39.153201	1.873592	
0.100000	0.456795	0.695441	73.386934	84.256000	77.130000	39.369172	1.709673	
0.100000	0.456057	0.616275	72.434343	84.288000	79.430000	39.414017	1.810142	
0.100000	0.449191	0.887317	72.940609	84.478000	73.210000	39.598528	1.781757	
0.100000	0.449171	0.723280	74.222903	84.676000	77.250000	39.419577	1.826225	
0.100000	0.444846	0.693001	74.489035	84.794000	77.010000	39.712125	1.797821	
0.100000	0.450485	0.784521	73.761178	84.350000	75.670000	39.476023	1.753653	
0.100000	0.449723	0.794576	73.242475	84.572000	74.090000	39.527313	1.841979	
0.100000	0.446164	0.913781	73.944790	84.452000	72.860000	39.589097	1.873253	
0.100000	0.445325	0.619724	74.321498	84.622000	79.520000	39.558219	1.794284	
0.100000	0.447885	0.700226	74.189952	84.602000	77.590000	39.609606	1.764366	
0.100000	0.441311	0.709328	75.071402	84.858000	77.770000	39.618796	1.790660	
0.100000	0.447935	0.688483	75.345252	84.594000	77.860000	39.437828	1.741418	
0.100000	0.448242	0.552868	73.302930	84.534000	81.500000	39.427787	1.780498	
0.100000	0.442116	0.600565	76.045011	84.858000	80.180000	39.507702	1.788747	
0.100000	0.437027	0.734385	75.635236	85.090000	77.010000	39.560059	1.803843	
