LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.765985	1.655731	39.830000	32.678000	39.830000	39.002851	1.910880	
0.100000	1.353323	1.551378	39.830000	50.570000	45.300000	39.858481	1.950212	
0.100000	1.097650	1.219822	42.565000	60.554000	57.420000	40.075285	1.980378	
0.100000	0.947847	1.168311	48.178800	66.180000	62.890000	39.900727	1.951695	
0.100000	0.830456	1.558193	52.235926	70.716000	53.970000	40.037551	2.008599	
0.100000	0.769277	0.989261	51.709817	73.128000	67.020000	39.937425	1.978175	
0.100000	0.720288	0.851077	54.809443	74.930000	70.410000	40.071074	2.077053	
0.100000	0.689065	0.798467	57.413442	76.004000	72.320000	40.591160	1.993015	
0.100000	0.651056	1.048062	59.477695	77.614000	65.630000	40.045254	1.966438	
0.100000	0.637168	1.220073	59.676639	77.944000	64.680000	40.089309	1.976275	
0.100000	0.615070	1.113241	59.714702	78.672000	64.890000	39.927816	2.033632	
0.100000	0.601967	0.904363	59.814937	79.182000	70.350000	39.957264	1.975849	
0.100000	0.587767	1.504267	60.695931	79.698000	59.610000	39.893116	2.015673	
0.100000	0.570934	0.961960	59.938720	80.464000	69.740000	40.129644	1.986057	
0.100000	0.572348	0.937211	60.651706	80.244000	70.580000	40.128716	1.989799	
0.100000	0.562757	1.067328	61.311922	80.616000	68.600000	40.058009	1.984878	
0.100000	0.545214	0.942784	61.621721	81.080000	70.210000	40.138224	2.017551	
0.100000	0.542078	0.722259	62.049852	81.220000	76.490000	40.011972	2.004813	
0.100000	0.533457	0.984252	63.033351	81.738000	69.030000	40.212727	1.970338	
0.100000	0.519672	0.856972	63.133627	82.042000	72.770000	39.906063	2.036985	
0.100000	0.519792	1.032773	63.567463	81.852000	68.920000	40.044558	2.094019	
0.100000	0.513651	1.244306	63.602070	82.198000	63.880000	39.824044	1.992663	
0.100000	0.514819	0.716946	63.219851	82.296000	76.060000	39.884927	2.004291	
0.100000	0.505932	0.796622	63.879239	82.808000	74.280000	39.873902	2.011785	
0.100000	0.509220	0.841437	64.307258	82.468000	73.110000	39.951330	2.028037	
0.100000	0.501961	0.698752	64.592166	82.640000	75.700000	39.872950	1.948415	
0.100000	0.498679	1.903148	65.027890	82.810000	55.910000	39.993408	1.923224	
0.100000	0.492750	1.279585	64.045170	82.964000	62.490000	39.888097	1.979673	
0.100000	0.490308	1.069203	63.635405	83.252000	67.960000	39.971018	2.059478	
0.100000	0.496706	1.181298	63.633397	82.848000	66.250000	39.026266	1.715751	
0.100000	0.482595	0.806771	64.592962	83.538000	75.790000	38.560794	1.827384	
0.100000	0.477629	0.950782	67.067438	83.598000	72.210000	38.424145	1.736281	
0.100000	0.483332	0.783536	68.189967	83.376000	75.110000	38.633259	1.890469	
0.100000	0.474922	0.705173	67.346932	83.512000	76.980000	38.631873	1.755963	
0.100000	0.484677	0.589599	69.854949	83.366000	80.650000	38.555299	1.786950	
0.100000	0.468514	1.086816	71.041467	83.866000	66.900000	38.675889	1.800635	
0.100000	0.471467	1.058679	71.050388	83.854000	67.230000	38.556896	1.773561	
0.100000	0.465758	0.888841	69.836795	83.866000	69.960000	38.682123	1.755890	
0.100000	0.462038	1.079538	69.707410	83.988000	64.790000	38.755563	1.728749	
0.100000	0.466084	0.679009	69.420516	83.854000	77.490000	38.491944	1.748731	
0.100000	0.460861	0.911022	70.730434	84.138000	72.420000	38.836862	1.733842	
0.100000	0.461643	0.902717	69.286847	83.990000	72.000000	38.425956	1.692402	
0.100000	0.453515	1.071534	70.926298	84.298000	67.620000	38.644191	1.695992	
0.100000	0.463036	0.722387	70.834420	83.996000	75.850000	38.602275	1.921335	
0.100000	0.457556	1.116913	70.871774	84.266000	66.660000	38.461512	1.747829	
0.100000	0.452423	1.178871	70.832791	84.392000	64.820000	38.452859	1.775598	
0.100000	0.452565	0.755591	71.352715	84.558000	75.790000	38.615487	1.741957	
0.100000	0.451814	0.908562	70.560562	84.514000	71.570000	38.609698	1.774744	
0.100000	0.451804	0.796562	71.166348	84.418000	73.750000	38.500153	1.869924	
0.100000	0.445352	1.190819	70.776473	84.546000	66.670000	38.503662	1.819264	
0.100000	0.446499	0.740422	69.782949	84.510000	76.340000	38.483571	1.765555	
0.100000	0.447465	0.692348	71.966744	84.644000	76.530000	38.591816	1.797816	
0.100000	0.450614	0.934739	72.003828	84.538000	70.630000	38.373363	1.802927	
0.100000	0.442501	0.737542	71.746057	84.860000	76.210000	38.611695	1.723864	
0.100000	0.446947	0.666448	72.408468	84.682000	78.640000	38.547700	1.816017	
0.100000	0.445881	0.832491	69.949629	84.434000	73.340000	38.731737	1.885680	
0.100000	0.442766	0.587500	71.119578	84.692000	80.340000	38.538723	1.702905	
0.100000	0.440471	0.764566	72.505195	84.804000	75.490000	38.515229	1.903194	
0.100000	0.442870	0.710855	72.450563	84.790000	75.650000	38.513365	1.804333	
0.100000	0.433014	0.835984	74.036096	85.114000	74.490000	38.345762	1.718292	
