LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.698861	1.576262	36.594000	40.460000	19.154578	1.106697	
0.100000	1.160585	1.213469	57.868000	58.280000	19.683342	1.114066	
0.100000	0.918737	1.127842	67.478000	61.270000	19.413253	1.107585	
0.100000	0.763588	0.883214	73.206000	69.570000	19.431468	1.118373	
0.100000	0.675785	1.122622	76.378000	63.440000	19.557304	1.090486	
0.100000	0.611689	0.865374	78.738000	71.360000	19.361202	1.097236	
0.100000	0.570945	0.713391	80.466000	75.980000	19.383893	1.084014	
0.100000	0.549789	0.963334	81.028000	67.490000	19.541799	1.114749	
0.100000	0.509124	0.716459	82.448000	76.190000	19.657578	1.088645	
0.100000	0.500100	0.868842	82.642000	71.590000	19.531754	1.126574	
0.100000	0.474733	0.721213	83.510000	76.030000	19.362313	1.085357	
0.100000	0.457332	1.513466	84.358000	63.340000	19.524314	1.109605	
0.100000	0.450624	1.384516	84.412000	66.580000	19.424197	1.092141	
0.100000	0.441960	0.533154	84.750000	81.720000	19.619781	1.125921	
0.100000	0.432146	0.621468	85.244000	79.410000	19.475245	1.097865	
0.100000	0.420502	0.778679	85.620000	75.290000	19.596982	1.116052	
0.100000	0.413331	0.642486	85.832000	79.540000	19.390828	1.114512	
0.100000	0.409055	0.523476	85.962000	82.680000	19.562395	1.100705	
0.100000	0.400841	1.303015	86.160000	67.980000	19.592598	1.125247	
0.100000	0.397375	0.679450	86.330000	78.030000	19.864188	1.127081	
0.100000	0.387503	1.279220	86.704000	68.330000	19.525363	1.139896	
0.100000	0.387851	0.549545	86.560000	81.610000	19.710823	1.124104	
0.100000	0.382308	0.814331	86.846000	75.350000	19.972201	1.122809	
0.100000	0.375008	0.686657	87.100000	79.010000	19.743343	1.088062	
0.100000	0.367584	0.927816	87.360000	72.380000	19.694976	1.122196	
0.100000	0.357121	1.063600	87.656000	70.290000	19.308828	1.115157	
0.100000	0.357112	0.663921	87.802000	79.370000	19.728382	1.116904	
0.100000	0.365939	0.756676	87.298000	78.780000	19.540092	1.145707	
0.100000	0.352699	0.703228	87.854000	77.990000	19.641962	1.092705	
0.100000	0.354121	0.884922	87.862000	73.950000	19.585457	1.121752	
0.100000	0.340055	0.705863	88.274000	78.770000	19.385666	1.111604	
0.100000	0.355020	0.549111	87.930000	82.150000	19.312613	1.090804	
0.100000	0.339657	0.491003	88.238000	84.210000	19.215334	1.101116	
0.100000	0.343288	0.580511	88.112000	81.290000	19.447070	1.129656	
0.100000	0.339509	1.131918	88.306000	67.210000	19.415020	1.116126	
0.100000	0.329741	1.028798	88.616000	72.810000	19.403754	1.088552	
0.100000	0.335511	0.483154	88.462000	83.970000	19.631390	1.128419	
0.100000	0.331967	0.445862	88.544000	85.300000	19.618883	1.111933	
0.100000	0.329454	0.488366	88.626000	83.890000	19.578649	1.096127	
0.100000	0.328601	0.885737	88.724000	73.550000	19.514084	1.105424	
0.100000	0.318706	0.615152	88.954000	81.230000	19.510528	1.090963	
0.100000	0.319548	0.555594	89.008000	82.610000	19.531692	1.085492	
0.100000	0.323162	0.595760	88.956000	80.360000	19.786134	1.099904	
0.100000	0.320838	0.769763	88.842000	76.670000	19.372739	1.096521	
0.100000	0.317949	0.733473	89.016000	78.470000	19.364001	1.110624	
0.100000	0.312919	0.438189	89.290000	85.620000	19.629626	1.153811	
0.100000	0.320242	0.546307	88.976000	83.350000	19.399081	1.093079	
0.100000	0.316007	0.659382	89.210000	79.180000	19.292249	1.100781	
0.100000	0.309018	0.646288	89.394000	79.980000	19.438554	1.122406	
0.100000	0.316923	0.610983	89.132000	80.060000	19.388525	1.129462	
0.100000	0.304273	0.634461	89.634000	79.190000	19.535722	1.100022	
0.100000	0.312683	0.659965	89.176000	79.790000	19.344766	1.134475	
0.100000	0.311645	0.615132	89.246000	80.970000	19.544867	1.087761	
0.100000	0.310121	0.772035	89.376000	78.200000	19.577295	1.123159	
0.100000	0.303154	0.573596	89.522000	81.740000	19.399766	1.097186	
0.100000	0.299851	0.490008	89.782000	83.690000	19.639482	1.165383	
0.100000	0.300545	0.520617	89.766000	83.870000	19.454529	1.119623	
0.100000	0.302971	0.539300	89.658000	83.330000	19.951768	1.139934	
0.100000	0.308633	0.547310	89.336000	83.050000	19.827534	1.150234	
0.100000	0.295622	0.444570	89.828000	85.470000	19.494032	1.101573	
0.100000	0.293733	0.695331	89.852000	78.620000	20.109323	1.123757	
0.100000	0.305372	0.873555	89.486000	74.960000	20.568421	1.123253	
0.100000	0.301444	0.587781	89.642000	80.920000	19.866987	1.514020	
0.100000	0.303366	0.527303	89.502000	83.730000	19.682771	1.111892	
0.100000	0.301824	0.528499	89.668000	83.770000	19.987329	1.120794	
0.100000	0.293645	0.528466	90.084000	82.990000	19.729107	1.225000	
0.100000	0.296783	0.567080	89.708000	82.530000	19.563193	1.108584	
0.100000	0.289289	0.552554	90.084000	82.480000	19.633024	1.108630	
0.100000	0.296314	0.711323	89.792000	78.580000	19.687806	1.090158	
0.100000	0.295689	0.809396	89.892000	77.010000	19.647988	1.099480	
0.100000	0.284301	0.559497	90.332000	82.530000	19.366985	1.112330	
