LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.656504	2.101971	38.082000	32.860000	21.398093	1.568010	
0.100000	1.133314	1.164684	58.912000	59.560000	21.521673	1.577019	
0.100000	0.905554	1.081581	67.724000	63.610000	21.848541	1.518075	
0.100000	0.768017	0.833675	73.258000	71.370000	21.720839	1.556368	
0.100000	0.677523	0.896994	76.496000	69.330000	21.985040	1.612811	
0.100000	0.615977	0.653997	78.534000	77.640000	21.461256	1.632704	
0.100000	0.565775	0.855227	80.356000	72.200000	21.324130	1.514742	
0.100000	0.532926	0.870684	81.622000	71.750000	21.957523	1.605311	
0.100000	0.522336	0.660780	82.144000	78.950000	22.024080	1.524805	
0.100000	0.502882	0.682442	82.638000	77.570000	22.197023	1.444062	
0.100000	0.471021	0.823437	83.646000	73.420000	22.157294	1.638783	
0.100000	0.470265	0.554686	83.806000	80.840000	21.738165	1.549947	
0.100000	0.455712	0.834744	84.150000	74.080000	22.284280	1.629825	
0.100000	0.440802	0.562040	84.782000	81.520000	22.614698	1.534996	
0.100000	0.430208	0.709133	85.192000	76.620000	21.871505	1.603615	
0.100000	0.415189	0.786041	85.796000	75.620000	21.618261	1.685067	
0.100000	0.413916	0.942087	85.624000	73.620000	21.955523	1.635151	
0.100000	0.411597	0.762617	85.894000	74.580000	22.021084	1.634121	
0.100000	0.397937	0.618260	86.296000	80.600000	22.067517	1.438919	
0.100000	0.408286	0.671801	86.070000	79.200000	23.722296	1.598042	
0.100000	0.389923	0.733186	86.758000	75.220000	21.621695	1.605265	
0.100000	0.391803	0.574211	86.592000	81.670000	22.175433	1.514881	
0.100000	0.382323	0.629756	86.848000	79.750000	22.174356	1.510559	
0.100000	0.380559	0.540408	86.894000	82.300000	22.047058	1.576522	
0.100000	0.368976	1.325090	87.184000	67.440000	22.466780	1.626068	
0.100000	0.368802	0.643494	87.284000	80.360000	21.693862	1.598906	
0.100000	0.368415	0.527188	87.308000	82.000000	21.764696	1.580276	
0.100000	0.359871	0.505745	87.534000	84.050000	21.761067	1.574331	
0.100000	0.355613	0.666930	87.604000	78.780000	22.179015	1.650488	
0.100000	0.351386	0.630205	87.788000	80.190000	22.009217	1.612635	
0.100000	0.349699	0.522601	87.964000	83.150000	21.716033	1.568161	
0.100000	0.353102	0.844364	87.868000	75.110000	21.621076	1.433750	
0.100000	0.348646	0.687228	87.980000	79.230000	22.124940	1.620120	
0.100000	0.348418	0.527339	88.062000	83.510000	22.121708	1.629729	
0.100000	0.340066	0.651095	88.324000	78.950000	22.076962	1.640604	
0.100000	0.336569	0.634538	88.410000	80.120000	21.852411	1.526171	
0.100000	0.339154	0.722356	88.318000	78.660000	21.315841	1.462423	
0.100000	0.333942	0.562977	88.612000	82.120000	22.300460	1.554618	
0.100000	0.334778	0.607682	88.344000	80.410000	22.069195	1.667991	
0.100000	0.338786	0.709618	88.252000	79.630000	23.992263	1.597497	
0.100000	0.326810	0.523947	88.632000	82.930000	21.405695	1.611941	
0.100000	0.322014	0.655778	89.028000	79.340000	21.585859	1.613513	
0.100000	0.329792	0.800534	88.670000	76.360000	21.832428	1.464213	
0.100000	0.324395	0.803441	88.710000	77.700000	22.356607	1.617845	
0.100000	0.321333	0.449413	89.008000	85.180000	21.996235	1.612729	
0.100000	0.315918	0.521888	89.182000	82.730000	21.756558	1.648133	
0.100000	0.325272	0.519164	88.690000	82.980000	21.689708	1.622356	
0.100000	0.315725	0.558558	89.120000	82.770000	21.899714	1.540452	
0.100000	0.317994	0.543855	88.966000	82.520000	21.952523	1.705627	
0.100000	0.316537	0.517264	89.150000	82.850000	22.053385	1.565515	
0.100000	0.303995	0.700311	89.480000	79.300000	21.907117	1.567176	
0.100000	0.316369	0.520551	89.004000	82.320000	21.426185	1.606111	
0.100000	0.314197	0.612652	89.238000	81.330000	22.350756	1.572168	
0.100000	0.319095	0.763719	88.952000	77.840000	21.907232	1.555419	
0.100000	0.314233	0.474760	89.182000	84.110000	22.365989	1.447546	
0.100000	0.307361	1.053839	89.218000	70.910000	21.845944	1.487006	
0.100000	0.321559	0.456853	88.968000	85.030000	21.440408	1.573461	
0.100000	0.315086	0.564605	89.062000	81.230000	22.197550	1.525452	
0.100000	0.307848	0.584494	89.400000	82.020000	22.314904	1.519223	
0.100000	0.315803	0.433895	89.072000	85.870000	23.392617	1.666158	
0.100000	0.301423	0.686422	89.634000	78.520000	21.614851	1.676228	
0.100000	0.305052	0.588054	89.630000	80.920000	21.790276	1.644635	
0.100000	0.308430	0.536972	89.286000	81.740000	22.041144	1.592919	
0.100000	0.304657	0.741493	89.548000	77.290000	22.049457	1.686691	
0.100000	0.304557	0.453484	89.366000	85.300000	22.590141	1.601889	
