LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.740412	1.664371	33.760000	41.420000	19.089111	1.093030	
0.100000	1.228350	1.287248	55.010000	55.240000	19.171849	1.102656	
0.100000	0.968394	1.134267	65.106000	61.620000	19.217103	1.099116	
0.100000	0.814275	1.050824	71.344000	64.810000	19.099065	1.112374	
0.100000	0.701020	0.836265	75.298000	71.380000	19.265534	1.104561	
0.100000	0.623497	0.901348	78.502000	70.820000	19.742353	1.116375	
0.100000	0.580063	0.824830	79.924000	72.690000	19.484983	1.099926	
0.100000	0.542329	0.668191	81.098000	77.650000	19.367938	1.090415	
0.100000	0.516018	0.675203	82.326000	77.940000	19.508334	1.100850	
0.100000	0.498051	0.701032	82.830000	76.660000	19.526308	1.153691	
0.100000	0.475808	0.637197	83.604000	78.790000	19.684026	1.102622	
0.100000	0.461741	0.769904	84.108000	76.730000	19.303804	1.103213	
0.100000	0.444854	0.584038	84.778000	81.290000	19.355938	1.119792	
0.100000	0.439843	0.858113	84.772000	74.570000	19.445852	1.120671	
0.100000	0.423453	0.755433	85.430000	75.720000	19.453650	1.129511	
0.100000	0.407472	0.639784	86.032000	79.410000	19.335207	1.110104	
0.100000	0.411472	0.651764	85.754000	78.820000	19.691387	1.084567	
0.100000	0.399506	0.617120	86.324000	79.450000	19.410748	1.152189	
0.100000	0.395594	0.783394	86.376000	75.360000	19.371375	1.105636	
0.100000	0.388719	0.841839	86.626000	74.210000	19.543393	1.121564	
0.100000	0.374005	0.529764	87.274000	82.790000	19.360188	1.176702	
0.100000	0.373956	0.582957	87.152000	80.940000	19.602188	1.169419	
0.100000	0.374055	1.039217	86.928000	68.910000	19.369114	1.118141	
0.100000	0.374422	0.530347	87.236000	82.340000	19.653430	1.099125	
0.100000	0.364477	1.330312	87.456000	67.340000	19.598251	1.103269	
0.100000	0.352621	0.700949	87.952000	77.010000	19.250668	1.100813	
0.100000	0.354799	0.742830	87.680000	77.550000	19.171082	1.089967	
0.100000	0.358922	0.691441	87.576000	78.870000	19.217530	1.088314	
0.100000	0.345418	0.970995	87.972000	70.380000	19.060113	1.243017	
0.100000	0.350025	0.537647	88.090000	82.470000	19.204956	1.103075	
0.100000	0.341701	0.635818	88.132000	79.540000	19.407133	1.093138	
0.100000	0.348407	0.580828	87.884000	81.110000	19.538442	1.093660	
0.100000	0.343523	0.610766	88.168000	79.410000	19.471819	1.094774	
0.100000	0.337341	0.650427	88.336000	80.230000	19.450416	1.152668	
0.100000	0.325929	0.597426	88.642000	81.760000	19.419361	1.148921	
0.100000	0.326899	0.511582	88.724000	83.170000	19.580544	1.095298	
0.100000	0.326054	1.256709	88.830000	67.790000	19.411392	1.101358	
0.100000	0.327131	0.549398	88.760000	82.980000	19.392601	1.097249	
0.100000	0.326396	0.727610	88.672000	77.860000	19.739380	1.106350	
0.100000	0.324552	0.543801	88.804000	82.700000	19.454264	1.124213	
0.100000	0.317419	0.658132	89.084000	79.100000	19.187442	1.083527	
