LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.778335	1.505706	32.344000	43.970000	16.336970	0.940538	
0.100000	1.344204	1.221253	50.798000	56.970000	16.638678	0.965194	
0.100000	1.081988	1.240744	61.218000	57.990000	16.600374	0.950184	
0.100000	0.920075	1.024623	67.352000	64.180000	16.828060	0.995407	
0.100000	0.819940	1.021726	71.070000	65.390000	16.293904	0.940765	
0.100000	0.752613	0.912081	73.756000	68.590000	16.759237	0.928153	
0.100000	0.705243	1.053694	75.530000	65.700000	16.703917	0.964809	
0.100000	0.664396	1.157928	77.026000	64.890000	16.865965	0.935667	
0.100000	0.647626	0.774695	77.564000	73.740000	16.483904	0.914534	
0.100000	0.615532	1.216102	78.504000	62.030000	16.754524	0.955786	
0.100000	0.600118	0.784502	79.148000	73.590000	16.769016	0.934545	
0.100000	0.590626	0.746087	79.460000	76.030000	16.905938	0.943772	
0.100000	0.580947	0.905828	79.912000	70.140000	16.576566	0.952041	
0.100000	0.553311	0.966771	80.684000	69.970000	16.864035	0.942099	
0.100000	0.550216	0.847257	81.104000	69.280000	16.713569	0.926216	
0.100000	0.542705	0.780590	81.310000	73.290000	17.148115	0.970449	
0.100000	0.536698	0.725936	81.448000	75.720000	17.232102	0.949755	
0.100000	0.530160	0.902043	81.688000	69.700000	16.810025	0.953519	
0.100000	0.521916	0.890911	82.120000	72.220000	16.630076	0.955550	
0.100000	0.514540	0.689863	82.346000	77.090000	16.593575	0.959532	
0.100000	0.504309	0.862628	82.534000	72.670000	16.671429	0.936192	
0.100000	0.502778	1.094223	82.520000	66.470000	17.013290	0.978881	
0.100000	0.503037	0.735598	82.624000	76.420000	16.900643	0.971779	
0.100000	0.495797	0.827936	83.024000	73.690000	16.920532	0.986314	
0.100000	0.496915	0.890303	82.848000	71.520000	16.837023	0.973112	
0.100000	0.489012	0.970955	83.204000	70.400000	16.560252	0.938894	
0.100000	0.482903	0.744225	83.468000	75.910000	16.287836	0.934528	
0.100000	0.485405	0.741882	83.236000	75.900000	16.421204	1.009173	
0.100000	0.477511	0.785928	83.562000	74.900000	16.563289	0.961766	
0.100000	0.473297	0.697387	83.850000	76.610000	16.269083	0.942862	
0.100000	0.471660	0.792624	83.872000	74.820000	16.841444	0.957770	
0.100000	0.475050	1.085544	83.628000	66.820000	17.196145	0.980272	
0.100000	0.469482	1.013940	83.880000	69.690000	16.931862	0.988596	
0.100000	0.463999	1.328336	84.088000	63.470000	16.600195	0.921045	
0.100000	0.464241	0.651250	84.030000	78.720000	16.874530	0.955521	
0.100000	0.452942	1.069954	84.386000	69.340000	16.120016	0.946052	
0.100000	0.453425	0.678611	84.564000	78.020000	16.672336	0.953659	
