LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.932366	1.443860	36.650000	46.270000	25.683205	1.139274	
0.100000	1.408276	1.245867	57.150000	57.270000	25.458151	1.169802	
0.100000	1.154318	1.419638	66.424000	54.820000	25.495219	1.099920	
0.100000	0.986882	1.071574	72.264000	65.270000	25.699795	1.149624	
0.100000	0.870076	0.794474	76.306000	72.820000	25.922116	1.116458	
0.100000	0.797447	0.836178	78.410000	71.880000	25.678708	1.134090	
0.100000	0.747984	1.283911	79.872000	61.950000	25.893831	1.160410	
0.100000	0.704212	0.964292	81.322000	67.950000	25.832757	1.118313	
0.100000	0.682559	0.696599	81.960000	77.830000	25.998552	1.121845	
0.100000	0.660019	0.813080	82.162000	74.410000	26.117044	1.176488	
0.100000	0.632061	0.760678	83.316000	75.390000	25.221647	1.109220	
0.100000	0.615142	0.722047	83.770000	75.030000	25.112301	1.080260	
0.100000	0.604321	0.688443	84.140000	77.880000	25.969346	1.115069	
0.100000	0.602070	0.768838	83.940000	76.230000	26.099543	1.091310	
0.100000	0.590309	0.604209	84.382000	79.980000	25.956914	1.087943	
0.100000	0.571246	0.830906	85.176000	74.200000	26.117107	1.095708	
0.100000	0.578721	0.917280	84.976000	73.150000	26.485106	1.091582	
0.100000	0.564697	0.553594	85.460000	81.660000	26.585536	1.100104	
0.100000	0.564172	0.598588	85.384000	79.280000	26.275605	1.121257	
0.100000	0.557382	0.616105	85.506000	80.090000	26.394892	1.098897	
0.100000	0.541686	0.737421	86.276000	76.850000	25.581231	1.103758	
0.100000	0.552996	0.632613	85.778000	79.420000	25.833686	1.096003	
0.100000	0.536041	0.985004	86.332000	71.860000	25.923486	1.096304	
0.100000	0.534802	0.554890	86.492000	81.740000	25.296777	1.111812	
0.100000	0.536822	0.836631	86.328000	74.210000	25.850456	1.090879	
0.100000	0.525228	0.651999	86.718000	79.440000	25.736702	1.078439	
0.100000	0.527772	0.799293	86.574000	76.100000	25.943838	1.083893	
0.100000	0.525127	0.596238	86.676000	80.050000	26.074069	1.091413	
0.100000	0.523318	0.704002	86.834000	78.240000	26.266243	1.090353	
0.100000	0.523973	0.678838	86.756000	78.760000	25.971889	1.080337	
0.100000	0.512189	0.683340	87.366000	77.970000	25.505679	1.129697	
0.100000	0.506126	0.691823	87.538000	78.430000	25.844075	1.091483	
0.100000	0.514742	0.563595	87.276000	80.670000	25.643379	1.093599	
0.100000	0.510551	0.598390	87.324000	80.090000	25.529978	1.106235	
0.100000	0.514704	0.856583	87.206000	75.180000	25.791636	1.115073	
0.100000	0.499017	0.767521	87.596000	76.480000	25.882239	1.124398	
0.100000	0.506313	0.575347	87.558000	81.550000	25.677175	1.101627	
0.100000	0.506348	0.760223	87.484000	76.700000	26.147391	1.126346	
0.100000	0.498216	0.496630	87.864000	83.880000	26.247372	1.095469	
0.100000	0.505122	0.658474	87.586000	79.650000	26.109263	1.109732	
0.100000	0.491769	0.737600	87.980000	76.740000	25.828017	1.125066	
0.100000	0.494613	0.569863	87.820000	82.280000	26.165392	1.124645	
0.100000	0.494992	1.493920	87.844000	62.840000	25.932194	1.111807	
0.100000	0.491443	0.504976	88.052000	83.030000	26.188980	1.138798	
0.100000	0.500258	0.559855	87.656000	81.500000	26.077583	1.123053	
0.100000	0.489353	0.664301	88.162000	78.440000	26.076126	1.085299	
0.100000	0.498857	0.605077	87.752000	80.690000	26.216774	1.135640	
0.100000	0.488642	0.521115	88.184000	81.890000	26.046322	1.142849	
0.100000	0.494832	0.576164	87.770000	80.910000	25.641310	1.114784	
0.100000	0.488795	0.616441	88.040000	80.050000	25.811321	1.080573	
0.100000	0.477543	0.687034	88.480000	78.930000	25.943339	1.108848	
0.100000	0.497410	0.665381	87.916000	80.620000	25.498289	1.098674	
0.100000	0.486967	0.683319	88.288000	78.760000	26.006946	1.110831	
0.100000	0.487025	0.617681	88.168000	81.040000	25.891415	1.095919	
0.100000	0.484256	0.859432	88.274000	75.410000	25.963879	1.129614	
0.100000	0.479889	0.608817	88.650000	80.230000	26.052050	1.105644	
0.100000	0.486845	0.723567	88.276000	77.740000	25.378947	1.079000	
0.100000	0.493927	0.645136	87.966000	79.650000	25.324703	1.099645	
0.100000	0.481291	0.681931	88.506000	77.970000	25.536072	1.099356	
0.100000	0.478888	0.560778	88.438000	81.340000	26.084476	1.128716	
0.100000	0.480540	0.495788	88.442000	83.670000	25.823784	1.114315	
0.100000	0.491420	0.500114	87.936000	83.220000	25.901049	1.113933	
0.100000	0.486036	0.929093	88.240000	73.190000	25.194386	1.081011	
0.100000	0.475829	0.500755	88.612000	83.840000	25.553556	1.094391	
0.100000	0.477984	0.861323	88.502000	73.690000	25.778793	1.091831	
0.100000	0.465866	1.020704	89.030000	69.260000	25.647314	1.090829	
0.100000	0.484055	0.611564	88.188000	80.220000	25.121158	1.114418	
0.100000	0.477199	0.562325	88.382000	82.290000	25.374998	1.088377	
0.100000	0.484651	0.729069	88.244000	76.070000	26.102378	1.075223	
0.100000	0.474457	0.452477	88.670000	84.930000	25.937726	1.087515	
0.100000	0.467958	0.668537	88.744000	79.880000	25.413444	1.090686	
0.100000	0.484506	0.631175	88.194000	80.670000	26.546831	1.103894	
0.100000	0.473071	0.654937	88.646000	79.480000	25.739906	1.092088	
0.100000	0.477438	0.650672	88.526000	79.300000	26.525974	1.107446	
0.100000	0.473839	0.633267	88.704000	80.420000	26.379318	1.108072	
0.100000	0.462000	0.496511	88.924000	83.800000	26.247720	1.130439	
0.100000	0.475248	0.738521	88.434000	78.050000	25.694996	1.100679	
0.100000	0.483208	0.481789	88.298000	83.860000	26.469449	1.121112	
0.100000	0.470953	0.876981	88.694000	74.140000	26.625346	1.090779	
0.100000	0.474319	0.594228	88.552000	80.160000	26.399912	1.157556	
0.100000	0.463030	0.703877	89.000000	78.880000	25.577203	1.085773	
0.100000	0.469978	0.497896	88.748000	83.840000	25.146254	1.098827	
0.100000	0.471395	0.636246	88.796000	80.170000	25.836914	1.086840	
0.100000	0.468562	0.516683	88.838000	83.260000	25.862072	1.101297	
0.100000	0.473069	0.633916	88.566000	79.760000	25.951523	1.106059	
0.100000	0.459181	0.609829	89.206000	80.990000	26.426261	1.111502	
0.100000	0.465960	0.703946	88.860000	77.950000	26.515533	1.096353	
0.100000	0.472873	0.509470	88.736000	83.540000	26.233921	1.086920	
0.100000	0.470637	0.745944	88.658000	78.120000	26.362176	1.109285	
0.100000	0.468520	0.575560	88.818000	81.050000	25.987915	1.095605	
0.100000	0.455876	0.924038	89.316000	74.420000	25.923919	1.093333	
0.100000	0.477794	0.574403	88.468000	81.820000	25.885645	1.080923	
0.010000	0.352853	0.253598	92.916000	91.170000	25.767451	1.111043	
0.010000	0.300335	0.251127	94.776000	91.440000	25.332292	1.100141	
0.010000	0.283233	0.247018	95.224000	91.760000	25.354053	1.110493	
0.010000	0.269302	0.255379	95.516000	91.350000	24.808949	1.083164	
0.010000	0.259967	0.243133	95.786000	91.820000	25.909189	1.109357	
0.010000	0.250345	0.251466	96.100000	91.830000	26.155957	1.119815	
0.010000	0.239129	0.260531	96.462000	91.690000	25.698563	1.102109	
0.010000	0.235861	0.246602	96.374000	92.160000	25.914743	1.129240	
0.010000	0.225448	0.252112	96.738000	92.030000	25.919502	1.092427	
0.010000	0.220824	0.258515	96.828000	91.710000	25.958805	1.107408	
0.010000	0.213587	0.261324	97.074000	92.040000	26.138624	1.106637	
0.010000	0.210222	0.267935	97.048000	91.870000	26.042687	1.110580	
0.010000	0.205916	0.263309	97.246000	91.990000	26.110524	1.129467	
0.010000	0.201823	0.266312	97.288000	92.010000	26.169717	1.098589	
0.010000	0.196416	0.276857	97.414000	91.850000	26.427021	1.146748	
0.010000	0.195568	0.277084	97.400000	92.020000	26.085234	1.128419	
0.010000	0.192947	0.277092	97.432000	91.760000	26.292873	1.145422	
0.010000	0.189974	0.292178	97.546000	91.500000	26.255942	1.099120	
0.010000	0.182636	0.276726	97.674000	91.860000	25.300748	1.105938	
0.010000	0.178129	0.291696	97.828000	91.690000	25.779639	1.099732	
0.010000	0.181230	0.285354	97.644000	91.780000	24.918213	1.083453	
0.010000	0.177036	0.293306	97.810000	91.590000	25.669569	1.091970	
0.010000	0.172558	0.298192	97.924000	91.410000	25.902974	1.110874	
0.010000	0.169997	0.282290	98.002000	91.940000	25.255802	1.122257	
0.010000	0.173481	0.331427	97.738000	90.780000	26.021892	1.090729	
0.010000	0.172643	0.300023	97.742000	91.200000	26.062397	1.082007	
0.010000	0.168774	0.321083	97.862000	91.160000	25.821472	1.117649	
0.010000	0.169005	0.309847	97.898000	91.480000	26.223533	1.094346	
0.010000	0.166181	0.314770	97.894000	91.130000	25.049072	1.098861	
0.010000	0.167301	0.330378	97.736000	90.810000	25.736492	1.130994	
0.010000	0.164122	0.296092	97.950000	91.550000	25.949831	1.125985	
0.010000	0.164556	0.291667	97.812000	91.490000	26.268859	1.123458	
0.010000	0.162081	0.310331	97.988000	91.410000	26.137286	1.092989	
0.010000	0.161841	0.318241	97.950000	91.140000	25.532897	1.081359	
0.010000	0.161938	0.327426	97.856000	90.950000	25.836583	1.098484	
0.010000	0.164003	0.346358	97.692000	90.310000	25.979455	1.116763	
0.010000	0.160195	0.334973	97.948000	91.200000	25.530134	1.109847	
0.010000	0.161138	0.328876	97.752000	90.900000	25.059025	1.077935	
0.010000	0.157543	0.337533	97.914000	91.190000	26.252997	1.094687	
0.010000	0.159851	0.323615	97.858000	91.050000	26.027667	1.127132	
0.010000	0.162815	0.337510	97.680000	90.940000	26.190935	1.108660	
0.010000	0.165989	0.324987	97.540000	90.960000	26.056898	1.118285	
0.010000	0.160675	0.309964	97.742000	91.210000	26.126734	1.086572	
0.010000	0.157775	0.395565	97.850000	89.520000	25.550923	1.099015	
0.010000	0.161225	0.346147	97.726000	90.730000	26.315847	1.098217	
0.010000	0.162783	0.310799	97.602000	91.170000	26.445831	1.106402	
0.010000	0.158456	0.337367	97.784000	90.740000	26.080902	1.102407	
0.010000	0.159882	0.347085	97.722000	90.760000	26.125141	1.151589	
0.010000	0.158668	0.337649	97.652000	90.740000	25.704473	1.088554	
0.010000	0.165543	0.363168	97.404000	89.810000	25.884968	1.096205	
0.010000	0.161236	0.323974	97.656000	91.060000	25.889994	1.110425	
0.010000	0.163574	0.369632	97.552000	89.780000	26.164942	1.087484	
0.010000	0.164297	0.341414	97.482000	90.540000	25.983630	1.081496	
0.010000	0.158278	0.360661	97.706000	90.340000	25.539290	1.107980	
0.010000	0.161373	0.363715	97.538000	90.360000	25.916689	1.092951	
0.010000	0.162691	0.349516	97.506000	90.530000	25.782651	1.073111	
0.010000	0.163780	0.354360	97.482000	90.630000	25.498474	1.118021	
0.001000	0.132779	0.260935	98.642000	92.540000	25.957451	1.081191	
0.001000	0.120377	0.259484	99.094000	92.660000	25.073406	1.094677	
0.001000	0.115199	0.263045	99.306000	92.790000	25.490983	1.076049	
0.001000	0.112854	0.266380	99.358000	92.760000	25.191803	1.077946	
0.001000	0.110866	0.265245	99.452000	92.810000	25.830709	1.068253	
0.001000	0.109441	0.266820	99.496000	92.790000	25.789713	1.099569	
0.001000	0.107685	0.268265	99.552000	92.850000	25.710071	1.115957	
0.001000	0.106483	0.268342	99.566000	92.920000	25.946917	1.091167	
0.001000	0.106235	0.270624	99.586000	92.720000	25.977705	1.094522	
0.001000	0.105508	0.267708	99.602000	92.780000	26.154939	1.096774	
0.001000	0.103566	0.271522	99.656000	92.800000	26.255842	1.092261	
0.001000	0.103977	0.270758	99.640000	92.650000	25.924701	1.096538	
0.001000	0.102526	0.273400	99.680000	92.620000	25.690090	1.089767	
0.001000	0.101900	0.272201	99.692000	92.680000	25.723888	1.133609	
0.001000	0.102445	0.272638	99.666000	92.640000	25.932466	1.096685	
0.001000	0.100821	0.276322	99.714000	92.710000	26.057798	1.099879	
0.001000	0.099926	0.274781	99.746000	92.790000	25.575579	1.077407	
0.001000	0.100594	0.276122	99.730000	92.630000	25.691788	1.105131	
0.001000	0.099408	0.273480	99.764000	92.730000	26.076591	1.127975	
0.001000	0.099223	0.279125	99.760000	92.720000	26.425006	1.129348	
0.001000	0.098944	0.277324	99.750000	92.790000	26.158339	1.100137	
0.001000	0.097934	0.277805	99.766000	92.730000	25.492682	1.112686	
0.001000	0.097818	0.277430	99.804000	92.790000	25.931439	1.107738	
0.001000	0.098323	0.281606	99.754000	92.730000	25.879312	1.104841	
0.001000	0.096944	0.283999	99.812000	92.690000	25.899956	1.109346	
0.001000	0.097187	0.280472	99.794000	92.670000	25.863645	1.088802	
0.001000	0.096617	0.283094	99.802000	92.610000	25.776200	1.105375	
0.001000	0.096666	0.282203	99.790000	92.640000	25.755433	1.129486	
0.001000	0.096144	0.286624	99.796000	92.730000	25.808025	1.142310	
0.001000	0.096032	0.284327	99.812000	92.760000	25.931208	1.067565	
0.001000	0.095221	0.285524	99.822000	92.660000	25.707061	1.090731	
