LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.025000	2.348803	1.509880	34.460000	44.540000	25.592354	1.170070	
0.025000	1.885057	1.554783	53.068000	51.270000	25.719608	1.130073	
0.025000	1.618361	1.158379	62.412000	60.030000	25.603918	1.182993	
0.025000	1.444216	1.110400	68.642000	63.370000	25.685747	1.200595	
0.025000	1.309339	0.839454	73.010000	71.560000	25.714278	1.289759	
0.025000	1.214770	0.897914	76.022000	70.810000	25.560096	1.225760	
0.025000	1.154965	0.743530	77.482000	75.100000	25.407778	1.122227	
0.025000	1.089964	0.756679	79.310000	75.000000	25.535091	1.292469	
0.025000	1.042306	0.770117	80.464000	74.900000	25.589464	1.137900	
0.025000	0.992797	1.011139	81.806000	69.020000	25.520635	1.201945	
0.025000	0.958000	0.830734	82.530000	73.320000	25.617050	1.214553	
0.025000	0.925173	0.769126	83.216000	75.180000	25.702393	1.177957	
0.025000	0.887225	0.653288	84.084000	78.600000	25.607745	1.187320	
0.025000	0.852521	0.666414	84.830000	78.760000	25.758083	1.117690	
0.025000	0.830936	0.710647	85.136000	76.540000	25.421653	1.126626	
0.025000	0.801717	0.804156	85.934000	75.500000	25.910311	1.223749	
0.025000	0.785282	0.533528	86.062000	81.820000	25.949750	1.136574	
0.025000	0.762923	0.554727	86.446000	81.530000	25.810226	1.111577	
0.025000	0.744705	0.608101	86.938000	80.380000	25.887831	1.109344	
0.025000	0.720133	0.542782	87.252000	81.940000	25.823349	1.202573	
0.025000	0.704003	0.593365	87.510000	79.980000	26.088726	1.157600	
0.025000	0.697046	0.551349	87.576000	82.010000	26.069526	1.167048	
0.025000	0.675276	0.488083	88.036000	83.920000	26.215326	1.168493	
0.025000	0.657664	0.506865	88.422000	83.130000	26.091342	1.151265	
0.025000	0.646657	0.511320	88.612000	83.420000	26.076773	1.145407	
0.025000	0.633125	0.466820	88.880000	85.340000	25.795566	1.179163	
0.025000	0.628304	0.495212	88.822000	84.110000	25.819375	1.179310	
0.025000	0.618668	0.489173	88.922000	84.100000	25.671563	1.125693	
0.025000	0.609491	0.604443	89.066000	81.190000	25.526363	1.232360	
0.025000	0.601052	0.476985	89.284000	84.560000	25.594018	1.156661	
0.025000	0.583858	0.539465	89.752000	83.140000	25.755469	1.167996	
0.025000	0.582916	0.663121	89.616000	79.830000	25.801006	1.130198	
0.025000	0.581612	0.496280	89.606000	84.090000	25.752240	1.122442	
0.025000	0.567533	0.579317	89.940000	81.910000	25.633247	1.185573	
0.025000	0.560490	0.642391	89.988000	81.740000	25.615818	1.199139	
0.025000	0.550195	0.570590	90.356000	82.490000	26.005271	1.125130	
0.025000	0.556512	0.511798	89.964000	83.790000	25.663573	1.178078	
0.025000	0.544348	0.450277	90.370000	85.010000	25.692262	1.178760	
0.025000	0.538358	0.443638	90.352000	85.300000	25.792779	1.146360	
0.025000	0.538384	0.573795	90.384000	82.350000	25.606924	1.108829	
0.025000	0.530907	0.861804	90.476000	76.130000	25.526102	1.189091	
0.025000	0.531400	0.470497	90.518000	85.450000	25.884237	1.199574	
0.025000	0.529329	0.410476	90.630000	86.340000	25.706517	1.339549	
0.025000	0.522526	0.489685	90.708000	84.690000	25.853675	1.147354	
0.025000	0.519297	0.548957	90.884000	83.520000	25.530075	1.121081	
0.025000	0.509979	0.523575	91.134000	84.260000	25.692860	1.166437	
0.025000	0.516953	0.604749	90.924000	82.190000	25.638605	1.220011	
0.025000	0.511223	0.611740	90.940000	81.680000	25.905718	1.155152	
0.025000	0.512103	0.501307	90.924000	83.870000	25.699169	1.241839	
0.025000	0.505132	0.784479	91.186000	76.910000	25.761805	1.165053	
0.025000	0.499078	0.544881	91.304000	83.780000	25.766261	1.201186	
0.025000	0.505337	0.528041	90.992000	83.690000	25.741256	1.284103	
0.025000	0.499585	0.455103	91.314000	86.030000	25.786803	1.128767	
0.025000	0.496175	0.522623	91.432000	83.130000	25.664130	1.097683	
0.025000	0.497122	0.528714	91.324000	83.830000	25.871071	1.149762	
0.025000	0.490609	0.531834	91.568000	83.590000	25.706886	1.133858	
0.025000	0.496191	0.671207	91.428000	80.480000	25.732842	1.167788	
0.025000	0.491423	0.675294	91.482000	80.080000	25.841492	1.152312	
0.025000	0.487072	0.458044	91.650000	85.410000	25.618249	1.141306	
0.025000	0.486863	0.718158	91.668000	78.460000	25.811898	1.134817	
0.025000	0.483482	0.626219	91.884000	81.560000	25.161636	1.184844	
0.025000	0.489736	0.559788	91.446000	82.920000	25.031117	1.234049	
0.025000	0.486027	0.614931	91.656000	82.240000	25.310915	1.214539	
0.025000	0.484140	0.417491	91.518000	86.540000	25.289091	1.115852	
0.025000	0.488159	0.411878	91.476000	86.560000	25.482295	1.137246	
0.025000	0.476412	0.483906	91.996000	84.980000	25.891723	1.186831	
0.025000	0.482591	0.487069	91.556000	84.680000	26.124176	1.162134	
0.025000	0.481902	0.496697	91.726000	83.800000	26.004265	1.124835	
0.025000	0.481721	0.458941	91.808000	86.020000	25.971127	1.132618	
0.025000	0.476947	0.563196	91.954000	82.930000	25.655246	1.158334	
0.025000	0.477477	0.471345	91.888000	85.040000	26.167125	1.154382	
0.025000	0.481554	0.529816	91.818000	83.930000	26.114179	1.118289	
0.025000	0.480589	0.484351	91.742000	85.300000	25.979774	1.159932	
0.025000	0.473548	0.455092	92.076000	85.630000	25.883407	1.189036	
0.025000	0.471023	0.483131	92.144000	85.010000	25.833283	1.169275	
0.025000	0.459561	0.491267	92.586000	84.910000	26.160159	1.218830	
0.025000	0.478406	0.404685	91.902000	86.850000	25.844749	1.199010	
0.025000	0.476687	0.413351	91.904000	87.150000	26.056168	1.152629	
0.025000	0.467213	0.411469	92.224000	86.780000	26.072402	1.168393	
0.025000	0.472328	0.432946	92.156000	86.180000	26.169031	1.144731	
0.025000	0.463791	0.444528	92.326000	85.850000	25.894607	1.140567	
0.025000	0.466314	0.394904	92.336000	87.460000	25.866170	1.107283	
0.025000	0.468601	0.529175	92.202000	84.490000	25.883848	1.135189	
0.025000	0.466041	0.457771	92.322000	85.470000	25.756955	1.171599	
0.025000	0.466976	0.472636	92.182000	85.620000	25.695830	1.123047	
0.025000	0.461086	0.419631	92.318000	86.730000	26.159140	1.198779	
0.025000	0.464784	0.673698	92.322000	79.950000	26.103503	1.139495	
0.025000	0.468316	0.488994	92.326000	85.210000	26.009761	1.192606	
0.025000	0.459809	0.421146	92.488000	86.520000	25.945487	1.241672	
0.025000	0.459293	0.386651	92.468000	87.790000	25.827877	1.162697	
0.025000	0.455129	0.469181	92.704000	85.680000	25.733591	1.170841	
0.025000	0.462220	0.483187	92.374000	84.980000	25.592654	1.126406	
0.002500	0.373370	0.237841	95.652000	92.260000	25.753406	1.151572	
0.002500	0.341179	0.234634	96.714000	92.340000	25.931191	1.106260	
0.002500	0.327807	0.236479	97.154000	92.640000	25.751159	1.169866	
0.002500	0.317320	0.235190	97.430000	92.600000	25.772120	1.146857	
0.002500	0.312854	0.238905	97.514000	92.580000	25.794912	1.168046	
0.002500	0.306635	0.238759	97.702000	92.770000	25.833796	1.118073	
0.002500	0.300197	0.239188	97.862000	92.590000	25.822396	1.149424	
0.002500	0.293543	0.243224	98.108000	92.600000	25.551968	1.213881	
0.002500	0.291228	0.247073	98.064000	92.410000	25.796815	1.167424	
0.002500	0.288806	0.245680	98.126000	92.650000	25.794851	1.159433	
0.002500	0.281153	0.250986	98.416000	92.580000	25.793797	1.145656	
0.002500	0.276102	0.256752	98.492000	92.360000	25.988910	1.163312	
0.002500	0.274342	0.254062	98.482000	92.430000	25.904489	1.092677	
0.002500	0.271927	0.259757	98.514000	92.410000	25.410645	1.144919	
0.002500	0.268436	0.257574	98.584000	92.640000	25.442593	1.103534	
0.002500	0.266873	0.267720	98.612000	92.350000	25.429431	1.162137	
0.002500	0.261538	0.266344	98.714000	92.530000	25.538594	1.092654	
0.002500	0.258766	0.267253	98.770000	92.540000	25.540797	1.124583	
0.002500	0.256464	0.263796	98.848000	92.780000	25.947167	1.163763	
0.002500	0.255182	0.269436	98.820000	92.330000	25.809757	1.138067	
0.002500	0.252316	0.271362	98.896000	92.660000	25.573169	1.155088	
0.002500	0.251723	0.272361	98.884000	92.540000	25.591412	1.287392	
0.002500	0.247553	0.284057	99.004000	92.770000	25.616320	1.160440	
0.002500	0.245715	0.280102	99.068000	92.350000	25.766313	1.141577	
