LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.413006	2.043701	31.582000	34.050000	25.445695	1.121261	
0.100000	1.831345	1.288935	53.162000	53.490000	25.589737	1.156092	
0.100000	1.478238	1.177968	64.476000	60.510000	25.805167	1.136197	
0.100000	1.257533	1.239588	71.140000	61.380000	25.499069	1.098099	
0.100000	1.120956	1.881924	74.916000	51.600000	25.347012	1.160201	
0.100000	1.014045	1.269711	77.472000	61.140000	25.526704	1.150378	
0.100000	0.956760	1.031168	78.748000	67.770000	25.098711	1.087473	
0.100000	0.902347	0.809193	80.024000	73.210000	25.308625	1.117374	
0.100000	0.860479	1.329701	80.986000	64.660000	25.364336	1.129063	
0.100000	0.842269	0.841778	81.674000	73.350000	25.441330	1.152275	
0.100000	0.810646	0.653506	82.582000	78.190000	25.846907	1.173019	
0.100000	0.810925	1.188372	82.176000	67.500000	25.683803	1.218894	
0.100000	0.791642	0.821403	82.962000	72.380000	26.082918	1.145478	
0.100000	0.792879	0.788483	82.858000	75.310000	25.780640	1.097560	
0.100000	0.772159	0.856744	83.502000	71.160000	25.494176	1.132522	
0.100000	0.769101	0.735301	83.592000	76.820000	25.405227	1.127493	
0.100000	0.766525	0.608732	83.846000	79.750000	24.905112	1.112481	
0.100000	0.767535	0.679637	83.920000	76.860000	25.054568	1.115624	
0.100000	0.755180	1.130407	84.150000	67.690000	25.443091	1.112196	
0.100000	0.751887	0.535278	84.376000	81.480000	25.265776	1.138054	
0.100000	0.741412	0.882640	84.370000	73.650000	25.252809	1.097072	
0.100000	0.746036	0.633123	84.644000	79.880000	25.367108	1.116528	
0.100000	0.736894	0.676443	84.782000	77.730000	25.415339	1.142224	
0.100000	0.739896	0.777725	84.690000	75.790000	25.179218	1.113986	
0.100000	0.724368	0.625157	85.172000	79.190000	25.188351	1.127055	
0.100000	0.725536	0.674988	85.250000	77.940000	25.909055	1.099396	
0.100000	0.726629	0.713645	85.168000	76.790000	25.769870	1.112010	
0.100000	0.730700	0.765195	84.954000	76.180000	25.883695	1.113849	
0.100000	0.717130	0.681612	85.584000	77.970000	26.122520	1.114077	
0.100000	0.715873	0.837999	85.456000	73.350000	25.995084	1.153212	
0.100000	0.710298	0.720594	85.688000	77.620000	25.575420	1.177749	
0.100000	0.715864	0.559672	85.402000	81.150000	25.402830	1.198199	
0.100000	0.707655	0.754716	85.722000	76.460000	25.269828	1.085160	
0.100000	0.711966	0.604699	85.698000	80.520000	26.150164	1.106546	
0.100000	0.698390	1.120470	86.050000	70.080000	25.513833	1.177196	
0.100000	0.699488	0.702211	85.906000	77.700000	25.269953	1.112744	
0.100000	0.695592	0.861478	86.178000	74.380000	24.869526	1.092444	
0.100000	0.699467	0.609256	86.058000	79.730000	25.084783	1.117819	
0.100000	0.697696	0.974639	85.852000	72.160000	25.542741	1.097395	
0.100000	0.703380	0.700944	85.752000	77.330000	25.315522	1.121512	
0.100000	0.691403	0.568701	86.084000	81.260000	25.559875	1.159525	
0.100000	0.696375	1.081073	86.052000	69.910000	25.299095	1.123168	
0.100000	0.686558	0.509467	86.310000	82.990000	25.378139	1.135817	
0.100000	0.698018	0.640841	85.882000	78.920000	25.094270	1.101458	
0.100000	0.687776	0.821060	86.238000	75.460000	25.322385	1.115182	
0.100000	0.683657	0.580729	86.328000	80.980000	25.254550	1.154170	
0.100000	0.678625	0.636815	86.590000	78.430000	25.088288	1.113075	
0.100000	0.681642	0.561943	86.496000	80.570000	25.081283	1.097914	
0.100000	0.682866	0.690920	86.330000	78.540000	25.054869	1.081470	
0.100000	0.687306	0.543411	86.108000	82.120000	25.076427	1.093272	
0.100000	0.674754	0.578796	86.510000	80.750000	25.193038	1.084214	
0.100000	0.674769	0.915334	86.594000	72.200000	25.126048	1.064562	
0.100000	0.673864	0.808796	86.634000	75.180000	24.819386	1.062015	
0.100000	0.679544	0.662016	86.428000	78.810000	24.904434	1.119541	
0.100000	0.668894	0.628860	86.708000	80.580000	24.678279	1.051873	
0.100000	0.670231	0.691615	86.772000	77.880000	25.120948	1.099459	
0.100000	0.667883	0.584657	86.668000	80.690000	24.889915	1.071244	
0.100000	0.674569	0.756642	86.414000	75.030000	24.832149	1.068498	
0.100000	0.663209	0.745723	86.782000	77.180000	25.082336	1.075826	
0.100000	0.673884	0.487255	86.420000	83.210000	24.786262	1.051492	
0.100000	0.659949	0.609345	86.920000	80.640000	25.598140	1.085428	
0.100000	0.666826	0.733230	86.838000	76.730000	25.362795	1.088488	
0.100000	0.667298	0.554849	86.512000	81.510000	25.270317	1.135111	
0.100000	0.670332	0.910797	86.568000	73.220000	25.145332	1.098006	
0.100000	0.650531	0.636988	87.260000	78.820000	25.152060	1.274563	
0.100000	0.661463	0.681150	86.634000	78.850000	25.441760	1.102615	
0.100000	0.653427	0.756094	86.996000	77.260000	25.084336	1.069924	
0.100000	0.672129	0.551528	86.508000	81.900000	25.174485	1.092531	
0.100000	0.651955	0.502039	86.960000	83.120000	25.132950	1.106817	
0.100000	0.660703	0.511340	86.770000	83.270000	24.997504	1.100374	
0.100000	0.653075	0.549955	86.998000	81.380000	25.495570	1.085716	
0.100000	0.665085	0.844989	86.558000	74.680000	24.854229	1.224823	
0.100000	0.647192	0.494154	87.292000	83.250000	23.449462	1.091475	
0.100000	0.660770	0.873367	86.360000	74.210000	23.554490	1.124273	
0.100000	0.659862	0.761672	86.666000	75.900000	23.296332	1.189240	
0.100000	0.655944	0.668242	86.842000	78.590000	23.951533	1.034380	
0.100000	0.649173	0.608257	87.126000	80.370000	24.015154	1.044042	
0.100000	0.662824	0.823274	86.788000	73.990000	23.601386	1.018174	
0.100000	0.650535	0.757523	87.084000	75.600000	23.505892	1.027502	
0.100000	0.661045	0.569427	86.616000	81.610000	23.596312	1.054203	
0.100000	0.649010	0.769234	86.928000	75.450000	23.775803	1.056767	
0.100000	0.659873	0.650648	86.744000	79.440000	23.859486	0.998962	
0.100000	0.648733	0.683524	87.238000	78.270000	23.627370	1.031359	
0.100000	0.662346	0.525287	86.690000	82.610000	23.703197	1.024095	
0.100000	0.650368	0.753469	87.074000	75.970000	23.594228	1.039131	
0.100000	0.643993	0.808347	87.052000	75.710000	23.808924	1.087050	
0.100000	0.646271	0.947855	87.180000	71.580000	23.658225	1.043415	
0.100000	0.656779	0.699233	86.802000	78.300000	24.453395	1.044767	
0.100000	0.648193	0.732130	86.966000	77.430000	23.732957	1.193237	
0.100000	0.657507	0.668393	86.842000	78.610000	23.785977	1.076441	
0.100000	0.647286	0.591277	87.036000	80.760000	23.499254	1.038332	
0.100000	0.650917	0.514953	87.036000	82.680000	23.454640	1.008087	
0.010000	0.514156	0.269938	91.732000	90.990000	23.436722	1.001363	
0.010000	0.463866	0.258398	93.228000	91.050000	23.928764	1.080552	
0.010000	0.438125	0.252886	93.926000	91.540000	23.338957	1.026468	
0.010000	0.422273	0.253697	94.400000	91.400000	23.585636	1.067004	
0.010000	0.412596	0.259591	94.516000	91.330000	23.336744	1.048912	
0.010000	0.400717	0.251752	94.756000	91.770000	23.340857	1.034938	
0.010000	0.389087	0.258602	94.974000	91.130000	23.463778	1.004905	
0.010000	0.376600	0.255352	95.320000	91.720000	23.543102	1.005936	
0.010000	0.367766	0.263906	95.444000	91.500000	23.588304	1.073376	
0.010000	0.360198	0.261776	95.580000	91.660000	23.437554	1.018677	
0.010000	0.349152	0.261171	95.872000	91.620000	23.309051	1.092146	
0.010000	0.347187	0.269520	95.720000	91.540000	23.339980	1.071256	
0.010000	0.340795	0.248173	95.800000	91.820000	24.028378	1.015088	
0.010000	0.330646	0.259420	96.068000	91.690000	23.604059	1.065624	
0.010000	0.326383	0.271678	96.088000	91.180000	23.719532	0.998379	
0.010000	0.319654	0.270195	96.298000	91.610000	23.381822	1.018416	
0.010000	0.313355	0.290654	96.294000	90.890000	23.399212	1.036093	
0.010000	0.313348	0.288499	96.232000	90.920000	23.359062	0.998559	
0.010000	0.310537	0.283407	96.302000	91.260000	24.318406	1.052783	
0.010000	0.305613	0.305512	96.294000	90.730000	24.189897	1.017498	
0.010000	0.299277	0.300826	96.460000	90.810000	23.918375	1.040726	
0.010000	0.299400	0.282247	96.400000	91.120000	23.779153	1.015071	
0.010000	0.295415	0.301158	96.450000	90.640000	23.856700	1.031275	
0.010000	0.298798	0.322294	96.224000	90.370000	24.279228	1.079435	
0.010000	0.288681	0.319530	96.596000	90.230000	23.295707	1.031569	
0.010000	0.293473	0.332565	96.296000	90.380000	23.403726	1.060454	
0.010000	0.291841	0.300443	96.310000	90.940000	23.304067	1.047812	
0.010000	0.290726	0.287587	96.294000	91.210000	23.477796	1.022802	
0.010000	0.285035	0.338888	96.414000	90.070000	23.946211	1.013456	
0.010000	0.293001	0.338321	96.070000	90.100000	23.773049	1.045599	
0.010000	0.288363	0.318579	96.272000	90.310000	23.656904	1.045873	
0.010000	0.288488	0.318284	96.152000	90.180000	23.724173	1.028342	
0.010000	0.284385	0.308660	96.168000	90.450000	23.755119	1.030923	
0.010000	0.286679	0.309865	96.084000	90.360000	23.781431	1.020767	
0.010000	0.284470	0.315463	96.190000	90.660000	23.477019	1.012263	
0.010000	0.284374	0.332034	96.140000	90.130000	24.067837	1.009586	
0.010000	0.289931	0.347468	95.980000	89.750000	23.395207	1.032240	
0.010000	0.288649	0.329499	96.024000	89.970000	23.494015	1.143658	
0.010000	0.289155	0.329652	95.934000	90.230000	23.473179	1.067091	
0.010000	0.288287	0.328630	95.908000	89.730000	23.525362	1.033655	
0.010000	0.283437	0.334040	96.036000	89.650000	23.209874	1.021112	
0.010000	0.289408	0.335640	95.816000	89.700000	23.766870	1.006679	
0.010000	0.286373	0.341720	95.996000	89.790000	23.575917	1.069817	
0.010000	0.286976	0.380922	95.772000	88.870000	24.080616	1.050070	
0.010000	0.283550	0.350413	96.042000	89.810000	23.708392	1.069124	
0.010000	0.289162	0.336357	95.850000	90.120000	23.777206	1.044579	
0.010000	0.284228	0.318876	95.906000	89.870000	24.079408	1.010262	
0.010000	0.285416	0.317750	95.894000	90.610000	24.019673	1.044802	
0.010000	0.281736	0.338540	96.066000	89.720000	24.125110	1.020961	
0.010000	0.287876	0.337143	95.848000	89.570000	24.134327	1.026072	
0.010000	0.278280	0.343627	96.148000	89.790000	23.787689	1.043592	
