LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.749884	1.508150	44.720000	34.536000	44.720000	20.054409	1.145736	
0.100000	1.273995	1.191291	44.720000	53.492000	57.730000	20.171674	1.104962	
0.100000	0.992008	1.158078	51.225000	64.430000	59.810000	23.742406	1.421411	
0.100000	0.825595	1.093044	53.878400	70.768000	65.100000	23.847855	1.431563	
0.100000	0.724589	1.266748	56.794074	74.682000	61.910000	23.916001	1.442744	
0.100000	0.652598	1.075779	57.344965	77.554000	67.230000	23.884077	1.400342	
0.100000	0.599512	1.119826	59.057197	79.178000	65.250000	23.912735	1.459899	
0.100000	0.568157	1.061193	59.664625	80.288000	67.390000	23.770596	1.401328	
0.100000	0.532215	0.750999	60.520903	81.484000	75.400000	23.962802	1.426944	
0.100000	0.515641	0.851762	62.573790	82.296000	73.130000	23.747356	1.427449	
0.100000	0.492735	1.080184	63.624429	83.086000	69.190000	23.937613	1.423615	
0.100000	0.481145	1.009216	63.796005	83.520000	69.460000	23.759994	1.409738	
0.100000	0.461835	0.824597	63.991956	84.086000	73.820000	23.976439	1.403199	
0.100000	0.462709	0.559626	64.742752	84.136000	81.350000	23.745589	1.457923	
0.100000	0.440081	0.625795	66.271400	84.758000	79.040000	23.732799	1.450354	
0.100000	0.437427	0.752732	67.196812	84.752000	76.050000	23.698975	1.419794	
0.100000	0.429651	0.582165	67.610616	85.452000	81.320000	23.766941	1.422647	
0.100000	0.421422	0.608655	68.513821	85.474000	79.990000	23.871826	1.443179	
0.100000	0.408169	0.549882	69.124419	85.946000	81.740000	23.762979	1.405494	
0.100000	0.410002	0.697030	69.804292	85.838000	78.540000	23.855785	1.440886	
0.100000	0.392700	0.692469	70.087179	86.622000	76.930000	23.807895	1.448988	
0.100000	0.396439	0.903476	70.195754	86.346000	72.760000	23.778557	1.530584	
0.100000	0.385549	0.689129	69.951010	86.872000	79.350000	23.872495	1.489772	
0.100000	0.388687	0.496544	70.281796	86.596000	83.880000	23.744988	1.571702	
0.100000	0.373622	0.841670	70.918704	87.022000	74.380000	23.729110	1.413928	
0.100000	0.380702	0.838440	70.766397	86.984000	75.490000	23.623590	1.430337	
0.100000	0.370098	0.840066	70.722096	87.196000	73.980000	23.750729	1.473406	
0.100000	0.367716	0.728324	70.585528	87.214000	76.490000	23.627231	1.427509	
0.100000	0.362226	0.571346	70.639101	87.548000	81.610000	23.821016	1.437130	
0.100000	0.369195	0.539377	71.020156	87.406000	82.370000	23.758194	1.431363	
0.100000	0.361422	0.578459	73.633150	87.628000	81.490000	23.896181	1.444273	
0.100000	0.356612	0.556445	74.440731	87.758000	81.630000	23.893607	1.443771	
0.100000	0.354260	0.632855	75.669286	87.832000	79.350000	23.819844	1.424859	
0.100000	0.352223	0.706287	75.445600	87.868000	78.940000	23.725748	1.409878	
0.100000	0.347666	0.769488	76.440112	88.116000	76.160000	23.967455	1.423001	
0.100000	0.346221	0.530319	76.135809	87.962000	82.850000	23.979796	1.404350	
0.100000	0.334667	0.590257	76.878344	88.680000	81.180000	23.817496	1.408901	
0.100000	0.347349	0.658808	78.313808	88.092000	79.410000	24.055172	1.441581	
0.100000	0.340586	0.926484	78.056376	88.346000	71.760000	23.867388	1.413760	
0.100000	0.338469	0.568071	77.080585	88.388000	81.110000	23.840275	1.439267	
0.100000	0.332061	0.782160	77.379579	88.706000	75.640000	23.860306	1.436763	
0.100000	0.339853	0.833713	77.897637	88.162000	75.290000	23.802475	1.396432	
0.100000	0.330581	0.486432	78.817951	88.612000	83.820000	23.684411	1.409471	
0.100000	0.337258	0.704539	78.806726	88.482000	78.350000	23.900535	1.406821	
0.100000	0.323949	0.623174	78.345021	88.834000	80.100000	23.833334	1.474203	
0.100000	0.330406	0.779888	79.220085	88.648000	77.310000	23.825710	1.473407	
0.100000	0.325903	0.505258	78.904587	88.922000	83.990000	23.851818	1.393219	
0.100000	0.331334	0.555948	79.485661	88.600000	82.700000	23.791720	1.498377	
0.100000	0.321635	0.555594	79.230440	88.886000	82.500000	23.755162	1.411683	
0.100000	0.326794	0.695851	79.208636	88.938000	77.690000	23.851525	1.449548	
0.100000	0.323007	0.497414	78.507837	88.934000	83.360000	23.786073	1.427024	
0.100000	0.322110	0.717275	79.773541	88.788000	79.300000	23.948957	1.414916	
0.100000	0.316738	0.511894	80.397854	89.098000	83.580000	23.942923	1.415508	
0.100000	0.320777	0.436929	79.229819	88.878000	85.540000	23.800947	1.390011	
0.100000	0.315543	0.822811	79.797390	89.206000	75.280000	23.987942	1.417042	
0.100000	0.320107	0.618753	79.287658	88.978000	80.640000	23.859138	1.437005	
0.100000	0.308006	0.538490	79.737755	89.444000	82.470000	23.873515	1.447235	
0.100000	0.323359	0.766952	80.654184	89.028000	77.600000	23.946433	1.416743	
0.100000	0.310854	0.498289	80.567007	89.268000	83.540000	23.886625	1.434467	
0.100000	0.312680	0.563361	80.631599	89.252000	82.210000	23.869483	1.441484	
0.100000	0.309303	0.550006	80.753670	89.370000	82.230000	23.827223	1.440221	
0.100000	0.315719	0.663927	80.519317	89.070000	79.180000	23.867897	1.410888	
0.100000	0.306104	0.415197	80.373639	89.500000	86.170000	23.905396	1.431439	
0.100000	0.307269	0.513140	80.345716	89.502000	82.780000	23.698143	1.394264	
0.100000	0.307183	0.660279	81.469884	89.468000	78.630000	23.763729	1.423682	
0.100000	0.307628	0.517629	81.045248	89.362000	83.320000	23.842340	1.446949	
0.100000	0.301653	0.684975	80.936132	89.686000	79.260000	23.751760	1.424452	
0.100000	0.309922	0.655643	79.722098	89.358000	79.170000	23.903709	1.420428	
0.100000	0.305732	0.660369	81.038130	89.430000	79.540000	23.787166	1.482249	
0.100000	0.306990	0.491735	80.150725	89.548000	84.180000	23.915894	1.452417	
0.100000	0.301493	0.612603	80.360081	89.638000	81.600000	23.788937	1.414948	
0.100000	0.305973	0.610920	81.673186	89.352000	80.990000	23.838207	1.475534	
0.100000	0.298299	0.499710	80.838358	89.734000	83.730000	23.877600	1.467026	
0.100000	0.312310	0.615686	81.277898	89.200000	80.890000	23.992064	1.434896	
0.100000	0.294931	0.443740	80.849546	89.988000	85.730000	24.043049	1.397503	
0.100000	0.300043	0.661316	82.130085	89.766000	78.770000	23.937486	1.421731	
0.100000	0.295943	0.756193	81.726821	89.822000	77.130000	23.790628	1.396629	
0.100000	0.303007	0.797085	81.401339	89.478000	74.940000	23.979018	1.406362	
0.100000	0.299907	0.640623	80.289138	89.756000	80.560000	23.867469	1.432817	
0.100000	0.301416	0.710145	81.126277	89.714000	78.080000	23.912876	1.453387	
0.100000	0.295071	0.579011	80.342823	89.790000	81.860000	23.758218	1.430136	
0.100000	0.306256	0.585574	81.059429	89.564000	82.440000	23.888783	1.396757	
0.100000	0.298551	0.543834	81.431838	89.722000	82.020000	23.903917	1.399454	
0.100000	0.294928	0.731689	79.986583	89.956000	79.130000	24.079016	1.460732	
0.100000	0.289517	0.479250	80.706169	90.154000	84.530000	23.956086	1.454527	
0.100000	0.299687	0.578348	81.217416	89.922000	82.200000	23.807380	1.432099	
0.100000	0.293446	0.499995	80.576793	90.024000	83.700000	23.807940	1.425658	
0.100000	0.301775	0.580380	81.636986	89.768000	81.110000	23.967777	1.436259	
0.100000	0.287778	0.814697	81.410720	90.136000	76.000000	23.933562	1.420617	
0.100000	0.297986	0.481225	81.064533	89.760000	83.750000	23.863992	1.407231	
0.100000	0.286084	0.533781	80.796876	90.316000	83.330000	23.812054	1.410442	
0.100000	0.297662	0.611794	81.970789	89.768000	81.530000	23.936828	1.419484	
0.010000	0.180028	0.242506	81.452287	93.856000	91.960000	23.972951	1.426305	
0.010000	0.139251	0.235426	81.530274	95.372000	92.380000	24.013938	1.389669	
0.010000	0.124817	0.232709	82.908250	95.846000	92.530000	23.979455	1.412158	
0.010000	0.114195	0.226699	82.942088	96.132000	92.780000	23.942635	1.420251	
0.010000	0.106169	0.227358	83.563781	96.450000	92.780000	23.766753	1.528439	
0.010000	0.102020	0.227514	84.211864	96.516000	92.900000	23.922707	1.506780	
0.010000	0.093608	0.227331	85.443154	96.920000	92.880000	23.926159	1.409136	
0.010000	0.088956	0.235492	85.549982	97.022000	92.810000	23.659039	1.486455	
0.010000	0.083713	0.238283	85.930188	97.334000	92.750000	23.867544	1.408428	
0.010000	0.080898	0.228187	86.766274	97.300000	93.090000	23.901283	1.446544	
0.010000	0.077425	0.256958	86.763702	97.416000	92.610000	23.965819	1.434201	
0.010000	0.073258	0.246446	87.840560	97.570000	92.510000	24.047625	1.437513	
0.010000	0.071492	0.256214	87.135666	97.608000	92.480000	23.882746	1.413685	
0.010000	0.067211	0.249076	87.243381	97.814000	92.790000	23.797632	1.441742	
0.010000	0.063450	0.252864	87.284637	97.904000	92.600000	23.826587	1.416270	
0.010000	0.063790	0.257176	88.440000	97.862000	92.660000	23.861422	1.432242	
0.010000	0.058623	0.261998	88.353745	98.060000	92.560000	23.949729	1.421284	
0.010000	0.055653	0.273712	89.171559	98.194000	92.360000	23.897170	1.425813	
0.010000	0.056124	0.261726	89.461111	98.180000	92.660000	23.890458	1.420498	
0.010000	0.054068	0.267641	89.606775	98.190000	92.680000	23.954631	1.414990	
0.010000	0.053410	0.276992	89.387265	98.244000	92.510000	24.032825	1.390918	
0.010000	0.050645	0.295102	90.369364	98.300000	92.310000	23.879084	1.461808	
0.010000	0.050327	0.311242	90.157738	98.368000	91.810000	23.877244	1.426525	
0.010000	0.051282	0.279423	90.481178	98.330000	92.550000	24.050115	1.413106	
0.010000	0.049423	0.287760	90.240236	98.344000	92.200000	23.872207	1.404137	
0.010000	0.050566	0.314113	89.627962	98.334000	91.920000	23.887993	1.408307	
0.010000	0.050364	0.287416	90.896188	98.356000	92.360000	23.904369	1.444730	
0.010000	0.048160	0.296778	90.929912	98.404000	92.330000	23.925413	1.428929	
0.010000	0.046755	0.294469	90.760029	98.446000	92.150000	23.634578	1.558363	
0.010000	0.044146	0.312872	92.357482	98.548000	92.100000	23.738134	1.542216	
0.010000	0.045445	0.307467	92.401586	98.506000	92.080000	23.882700	1.404901	
0.010000	0.045686	0.307692	92.402523	98.440000	92.280000	23.924598	1.405672	
0.010000	0.042443	0.317499	92.430758	98.580000	91.920000	23.851480	1.404382	
0.010000	0.045527	0.318005	92.397806	98.470000	92.020000	23.820869	1.448995	
0.010000	0.043132	0.309750	92.390779	98.604000	92.360000	23.900327	1.447140	
0.010000	0.042878	0.318213	92.385902	98.588000	92.100000	23.839385	1.428783	
0.010000	0.046338	0.309436	92.357337	98.360000	92.140000	23.805205	1.391864	
0.010000	0.046958	0.303954	92.334642	98.420000	92.140000	23.826641	1.434166	
0.010000	0.043061	0.303559	92.371235	98.548000	92.040000	23.896335	1.429813	
0.010000	0.046041	0.315046	92.280476	98.450000	92.070000	23.975854	1.392857	
0.010000	0.041534	0.349000	92.252440	98.690000	91.350000	23.845435	1.399494	
0.010000	0.044841	0.323302	92.189882	98.536000	91.990000	23.898339	1.439285	
0.010000	0.041872	0.346225	92.221800	98.644000	91.580000	23.844748	1.413733	
0.010000	0.046439	0.348990	92.152927	98.450000	91.220000	23.967963	1.417937	
0.010000	0.045111	0.327136	92.101412	98.484000	91.690000	23.865486	1.408365	
0.010000	0.043073	0.392021	92.060413	98.544000	90.530000	23.917260	1.425271	
0.010000	0.043009	0.321906	91.932764	98.552000	91.870000	23.845569	1.440467	
0.010000	0.048790	0.310745	91.972084	98.384000	92.010000	23.852839	1.422287	
0.010000	0.043679	0.297738	91.977421	98.486000	92.190000	23.780146	1.397284	
0.010000	0.045907	0.341354	91.966560	98.480000	91.480000	24.064890	1.403944	
0.010000	0.049193	0.313519	91.906257	98.294000	91.880000	23.918944	1.563389	
0.010000	0.053259	0.319476	91.832282	98.204000	91.770000	23.709335	1.421190	
0.010000	0.043728	0.368909	91.935240	98.564000	91.160000	23.764789	1.436357	
0.010000	0.049320	0.320841	91.834628	98.328000	91.580000	23.977067	1.441011	
0.010000	0.047186	0.305074	91.777723	98.400000	91.940000	23.889578	1.419532	
0.010000	0.050549	0.344671	91.851799	98.340000	91.470000	24.036064	1.398993	
0.010000	0.042276	0.330436	91.822830	98.642000	91.660000	23.972933	1.415386	
0.001000	0.030438	0.278029	91.786304	99.064000	93.040000	23.958887	1.405472	
0.001000	0.022076	0.278332	91.859960	99.436000	93.170000	23.943809	1.405313	
0.001000	0.019149	0.278067	91.941587	99.508000	93.120000	24.061326	1.476493	
0.001000	0.017445	0.281166	92.046526	99.554000	93.040000	23.969426	1.470744	
0.001000	0.016054	0.278967	92.058579	99.624000	93.050000	23.970099	1.428290	
0.001000	0.015529	0.282345	92.136998	99.624000	93.160000	24.019581	1.441738	
0.001000	0.014395	0.283737	92.252149	99.666000	93.140000	23.877326	1.406802	
0.001000	0.013583	0.280393	92.271844	99.716000	93.220000	23.901164	1.424169	
0.001000	0.013024	0.284321	92.338797	99.716000	93.180000	23.794543	1.458210	
0.001000	0.012253	0.280873	92.393069	99.744000	93.190000	23.802924	1.430969	
0.001000	0.012996	0.279490	92.430027	99.720000	93.350000	23.769552	1.400610	
0.001000	0.011878	0.281497	92.493717	99.750000	93.200000	23.962894	1.421415	
0.001000	0.011705	0.281308	92.435200	99.758000	93.260000	23.979571	1.402730	
0.001000	0.010821	0.280544	92.580932	99.818000	93.400000	23.840424	1.432074	
0.001000	0.011284	0.280078	92.574505	99.776000	93.260000	23.860246	1.460686	
0.001000	0.010887	0.283238	92.566688	99.790000	93.350000	23.933373	1.421067	
0.001000	0.010287	0.283971	92.685168	99.812000	93.220000	23.818852	1.448004	
0.001000	0.010638	0.286202	92.551982	99.806000	93.400000	23.905377	1.431321	
0.001000	0.010905	0.283973	92.800405	99.760000	93.350000	24.168147	1.461965	
0.001000	0.009468	0.285800	92.856102	99.846000	93.350000	24.181503	1.443732	
0.001000	0.009403	0.287051	92.913987	99.818000	93.280000	23.219073	1.403525	
0.001000	0.009568	0.289560	92.834962	99.834000	93.310000	24.134073	1.417229	
0.001000	0.009921	0.287352	92.923434	99.800000	93.320000	23.915723	1.415907	
0.001000	0.009098	0.287004	92.933118	99.848000	93.280000	24.178240	1.398944	
0.001000	0.009204	0.286142	92.867315	99.818000	93.400000	24.309001	1.427322	
0.001000	0.008922	0.284899	92.962397	99.822000	93.440000	24.226283	1.422167	
0.001000	0.008009	0.288692	93.045252	99.870000	93.310000	24.490312	1.406123	
0.001000	0.008774	0.285821	92.994389	99.818000	93.500000	24.059903	1.403701	
0.001000	0.008050	0.284980	93.054476	99.844000	93.370000	24.469522	1.402132	
0.001000	0.008385	0.286838	93.274327	99.866000	93.260000	24.094378	1.401490	
0.001000	0.008564	0.288850	93.292196	99.842000	93.290000	24.414394	1.389626	
