LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.450210	1.632020	32.886000	41.620000	24.876494	1.089343	
0.100000	1.858570	1.289561	53.728000	56.770000	25.568308	1.092292	
0.100000	1.520710	1.437047	64.326000	52.050000	25.308298	1.123122	
0.100000	1.308374	1.009374	70.344000	66.160000	24.949847	1.106000	
0.100000	1.142344	1.259856	74.972000	62.080000	25.124088	1.110636	
0.100000	1.038387	1.105938	77.686000	64.370000	25.445123	1.108549	
0.100000	0.968241	0.725085	79.184000	75.070000	25.880318	1.153260	
0.100000	0.921400	0.941459	80.150000	69.410000	25.542225	1.112654	
0.100000	0.880858	1.131629	81.022000	62.650000	25.611132	1.103149	
0.100000	0.866578	0.934663	81.286000	68.960000	25.703441	1.105817	
0.100000	0.831922	0.872492	82.264000	73.550000	25.245573	1.108994	
0.100000	0.823839	0.861791	82.486000	72.900000	25.197544	1.076634	
0.100000	0.823689	0.733496	82.356000	75.840000	25.571779	1.121321	
0.100000	0.813985	1.654513	82.636000	61.690000	25.565503	1.098564	
0.100000	0.802597	0.663648	83.134000	78.110000	25.691164	1.125154	
0.100000	0.784783	0.640395	83.768000	78.080000	26.064522	1.126625	
0.100000	0.800588	1.062853	83.168000	67.030000	25.782029	1.088296	
0.100000	0.787028	0.733189	83.770000	76.500000	26.366189	1.133351	
0.100000	0.784274	0.604293	83.866000	79.420000	26.007581	1.132222	
0.100000	0.781608	0.897956	83.742000	71.650000	26.271749	1.137307	
0.100000	0.763318	0.778406	84.496000	73.680000	25.446532	1.140572	
0.100000	0.767886	0.656999	84.252000	78.940000	25.360667	1.113834	
0.100000	0.770978	0.646196	84.272000	78.260000	25.898808	1.125999	
0.100000	0.760641	0.588097	84.470000	79.490000	25.427101	1.140761	
0.100000	0.767397	0.655242	84.392000	78.430000	25.637138	1.108374	
0.100000	0.752782	0.775533	84.668000	75.580000	25.416960	1.098902	
0.100000	0.758783	0.709194	84.722000	76.160000	25.580608	1.184437	
0.100000	0.747254	0.936164	84.986000	72.080000	26.173126	1.166532	
0.100000	0.747364	0.595081	84.908000	80.340000	25.990802	1.115738	
0.100000	0.748247	0.591921	84.788000	79.890000	25.841535	1.149099	
0.100000	0.735084	0.571345	85.378000	80.520000	25.093236	1.128615	
0.100000	0.733723	0.822259	85.382000	74.390000	24.923617	1.120953	
0.100000	0.736485	0.632276	85.028000	79.240000	25.388309	1.177286	
0.100000	0.738503	0.773913	85.136000	75.110000	25.134418	1.108469	
0.100000	0.732413	0.549949	85.252000	81.330000	25.246361	1.261634	
0.100000	0.720197	0.731247	85.756000	76.680000	25.597557	1.097069	
0.100000	0.729446	0.660422	85.326000	78.380000	25.198658	1.096483	
0.100000	0.729621	0.964611	85.278000	70.780000	25.216031	1.067311	
