LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.382333	1.493730	35.044000	44.840000	25.593463	1.124640	
0.100000	1.836785	1.222911	53.552000	57.120000	25.615801	1.114532	
0.100000	1.485842	1.091639	64.898000	63.000000	25.397090	1.115540	
0.100000	1.262084	1.726481	71.338000	51.000000	25.685073	1.149822	
0.100000	1.122339	0.895049	75.222000	69.350000	25.663548	1.094307	
0.100000	1.017794	1.067721	78.014000	64.760000	25.530164	1.096601	
0.100000	0.956487	0.913263	78.924000	69.280000	25.553501	1.102543	
0.100000	0.899512	0.807013	80.246000	74.010000	25.762461	1.081880	
0.100000	0.875077	0.916274	80.682000	69.690000	25.934000	1.119809	
0.100000	0.841135	0.732040	81.760000	75.850000	25.870470	1.107745	
0.100000	0.821682	1.067176	82.250000	67.020000	25.503972	1.115982	
0.100000	0.814615	0.737867	82.300000	75.100000	25.559177	1.120644	
0.100000	0.805886	0.769426	82.724000	75.010000	25.894586	1.134713	
0.100000	0.790494	0.753415	82.960000	75.320000	25.911030	1.113978	
0.100000	0.784126	0.831601	83.088000	73.350000	25.881075	1.124800	
0.100000	0.776248	1.089055	83.346000	67.540000	25.866580	1.115312	
0.100000	0.778089	1.089441	83.246000	68.400000	25.715234	1.143708	
0.100000	0.778165	0.872598	83.628000	72.600000	25.953210	1.130305	
0.100000	0.764746	0.666286	83.902000	77.040000	26.194072	1.147878	
0.100000	0.772153	0.637825	83.650000	77.770000	26.078468	1.109445	
0.100000	0.750807	0.664596	84.442000	78.260000	25.807723	1.117616	
0.100000	0.759203	1.355977	84.060000	63.410000	25.518585	1.126352	
0.100000	0.751142	0.796841	84.366000	74.960000	26.080794	1.133829	
0.100000	0.755558	0.742028	84.320000	75.770000	25.960786	1.128451	
0.100000	0.748294	0.578733	84.462000	80.320000	26.091616	1.139710	
0.100000	0.740558	0.680065	84.704000	76.840000	25.561111	1.124993	
0.100000	0.735804	0.594813	84.818000	80.200000	25.404013	1.103671	
0.100000	0.733226	0.704821	84.782000	76.070000	25.639878	1.117459	
0.100000	0.731262	0.664142	85.156000	77.990000	25.544508	1.205581	
0.100000	0.732453	0.885181	84.922000	73.490000	25.499716	1.238594	
0.100000	0.721235	1.078522	85.376000	69.320000	25.310099	1.107055	
0.100000	0.719384	0.724764	85.438000	76.930000	25.266795	1.101397	
0.100000	0.730395	0.761912	84.976000	76.220000	25.411159	1.121655	
0.100000	0.721883	0.658166	85.314000	77.640000	25.536136	1.196392	
0.100000	0.719719	0.856108	85.396000	74.110000	25.476169	1.158400	
0.100000	0.703284	0.671638	85.782000	77.880000	25.198882	1.104570	
0.100000	0.720622	0.613227	85.240000	80.000000	25.163116	1.093596	
0.100000	0.710744	0.736861	85.518000	75.510000	25.426837	1.102580	
0.100000	0.707417	0.769961	85.678000	76.060000	25.537465	1.112907	
0.100000	0.716124	0.581535	85.442000	80.830000	25.332687	1.180957	
0.100000	0.699523	0.545304	85.996000	81.780000	23.711765	1.018759	
0.100000	0.705927	0.676117	85.670000	77.120000	23.563714	1.063577	
0.100000	0.706602	0.642566	85.804000	77.960000	23.694427	1.032462	
