LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.097656	2.369749	1.498497	33.764001	44.720000	25.673672	1.186558	
0.097656	1.796841	1.307598	54.022001	55.520000	25.387576	1.187126	
0.097656	1.475305	1.118442	64.286001	61.810000	25.759007	1.248200	
0.097656	1.255027	1.127819	71.006002	62.940000	25.731341	1.119134	
0.097656	1.111325	1.049008	75.034002	64.090000	25.721185	1.141744	
0.095367	1.009536	0.943369	77.666002	69.840000	25.776513	1.155715	
0.095367	0.948733	0.843686	78.870001	71.930000	25.646217	1.182788	
0.095367	0.897645	0.740162	80.196001	74.990000	25.665636	1.167902	
0.095367	0.863080	0.958526	80.892001	69.940000	25.892247	1.195861	
0.095367	0.836279	0.626107	81.384001	78.650000	25.825377	1.116927	
0.094250	0.809755	0.726952	82.275997	74.570000	26.001229	1.091158	
0.094250	0.796945	0.861125	82.581998	71.670000	26.464925	1.109278	
0.094250	0.792956	0.674157	82.517998	77.300000	25.816413	1.114958	
0.094250	0.787472	0.577645	82.663998	80.530000	26.077250	1.125470	
0.094250	0.773960	1.351445	83.207998	62.110000	25.686311	1.105137	
0.093514	0.758217	0.871167	83.601998	71.610000	25.596261	1.125081	
0.093514	0.749911	0.827972	84.153998	73.140000	25.653898	1.100975	
0.093514	0.759581	0.863985	83.629998	73.480000	25.628199	1.094569	
0.093514	0.754704	0.794219	83.831998	73.420000	25.775284	1.097463	
0.093514	0.744728	0.586181	84.147998	80.010000	25.758911	1.106983	
0.092783	0.730412	0.582954	84.771998	80.350000	25.390888	1.143666	
0.092783	0.736862	0.805495	84.423998	75.540000	25.465545	1.114037	
0.092783	0.725896	0.746364	84.733998	75.880000	25.666034	1.095962	
0.092783	0.731117	0.572726	84.715998	81.200000	25.656328	1.116356	
0.092783	0.725145	0.769192	84.837998	75.780000	25.157613	1.117820	
0.092783	0.715590	0.606555	85.174000	79.830000	25.066209	1.114392	
0.092783	0.718957	0.568051	85.166000	81.040000	25.241908	1.097995	
0.092783	0.715014	0.747290	85.222000	76.370000	25.252818	1.138572	
0.092783	0.710038	1.010249	85.552000	70.010000	25.113446	1.140036	
0.092783	0.714868	0.753739	85.344000	75.150000	24.992890	1.122187	
0.092783	0.699680	0.863914	85.576000	72.660000	26.078780	1.130947	
0.092783	0.712941	0.806460	85.274000	74.960000	25.437027	1.102542	
0.092783	0.710211	0.764176	85.406000	76.530000	25.298072	1.152805	
0.092783	0.693966	0.751318	85.970000	76.570000	25.409572	1.143205	
0.092783	0.702147	0.734220	85.668000	76.650000	25.437446	1.099930	
0.093870	0.686268	0.721271	86.169999	76.500000	24.962735	1.119290	
0.093870	0.719302	1.292758	85.173999	61.990000	24.979777	1.106758	
0.093870	0.728836	1.414969	85.009999	60.230000	24.975248	1.118887	
0.093870	0.743510	0.555574	84.624000	81.520000	24.955296	1.142560	
0.093870	0.701537	0.921229	85.955999	74.130000	24.882931	1.094059	
0.096437	0.677969	0.774676	86.597999	76.320000	24.753884	1.122884	
0.096437	0.694451	0.910403	85.841999	73.680000	24.644378	1.079780	
0.096437	0.695512	0.703420	85.883999	77.410000	25.538723	1.123215	
0.096437	0.685617	0.806666	86.119999	75.130000	24.770026	1.127503	
0.096437	0.685621	0.731399	86.091999	75.780000	24.562766	1.072108	
0.099074	0.670016	1.088807	86.531999	70.050000	24.819272	1.215136	
0.099074	0.695493	0.802154	85.871999	74.810000	25.491321	1.114639	
0.099074	0.700912	1.386878	85.911999	65.130000	25.040337	1.094162	
0.099074	0.701320	0.708327	85.631999	77.030000	24.941836	1.108628	
0.099074	0.699084	0.930752	85.859999	71.450000	24.694351	1.111520	
0.104105	0.674928	0.677151	86.600003	77.430000	24.623764	1.134848	
0.104105	0.673801	0.728033	86.382003	77.610000	24.442845	1.150477	
0.104105	0.688833	0.518751	86.070003	82.400000	24.489948	1.105189	
0.104105	0.676125	0.889434	86.292003	71.540000	24.434870	1.087246	
0.104105	0.679858	0.736388	86.462003	76.980000	25.338927	1.120353	
0.110205	0.676156	0.765789	86.463999	75.230000	23.889410	1.105623	
0.110205	0.687474	0.545407	86.233999	82.110000	24.203898	1.089431	
0.110205	0.679033	0.659664	86.459999	78.930000	23.840606	1.102148	
0.110205	0.680845	0.993753	86.241999	71.930000	24.192362	1.094962	
0.110205	0.683434	0.815547	86.203999	74.370000	23.945016	1.074820	
0.118384	0.688794	0.742097	86.116002	76.130000	23.955085	1.133777	
0.118384	0.693087	0.719424	85.906003	76.820000	23.924732	1.093871	
0.118384	0.692133	0.638000	86.022003	78.840000	24.578477	1.097418	
0.118384	0.685131	0.593266	86.494003	80.770000	24.032599	1.118268	
0.118384	0.693391	0.896802	86.030003	72.730000	24.044188	1.101659	
0.129020	0.697643	0.608791	85.879999	79.410000	23.402102	1.087662	
0.129020	0.706625	0.798117	85.647999	74.370000	24.153898	1.085927	
0.129020	0.709293	1.364135	85.579999	62.140000	23.763928	1.091814	
0.129020	0.704896	1.140841	85.819999	66.110000	23.420943	1.066183	
0.129020	0.707047	0.539151	85.747999	81.630000	23.565824	1.218515	
0.142124	0.711846	0.873647	85.438002	74.010000	24.485412	1.102110	
0.142124	0.727012	0.719179	85.262002	77.240000	23.785192	1.100898	
0.142124	0.724432	0.581125	85.312002	80.520000	23.737253	1.094705	
0.142124	0.727106	0.562500	85.234002	80.880000	23.648550	1.151446	
0.142124	0.718689	0.597558	85.442002	80.420000	23.610195	1.072262	
0.154893	0.728543	1.055258	85.005999	65.630000	23.657249	1.087978	
0.154893	0.741708	1.455730	84.903999	61.720000	23.627260	1.109283	
0.154893	0.743878	1.368687	84.669999	65.720000	23.706370	1.144459	
0.154893	0.729931	0.648102	85.169999	78.360000	23.596135	1.095073	
0.154893	0.735643	1.108823	84.992000	68.480000	23.658499	1.117763	
0.168809	0.734635	0.648290	85.045999	78.620000	22.479644	1.067879	
0.168809	0.760137	0.698294	84.153999	77.800000	22.310923	1.036308	
0.168809	0.755129	0.784309	84.213999	75.320000	22.719564	1.024686	
0.168809	0.755381	0.683463	84.369999	77.360000	22.164020	1.023727	
0.168809	0.752094	0.842355	84.441999	73.250000	22.572556	1.081390	
0.191229	0.763528	0.703675	83.842002	77.200000	21.740789	1.041685	
0.191229	0.765806	0.572351	84.112002	81.080000	21.741635	0.995175	
0.191229	0.762364	1.003508	84.028002	70.760000	22.072963	1.011989	
0.191229	0.756577	1.854729	84.270002	54.710000	21.710000	1.045639	
0.191229	0.771283	0.716591	83.800002	76.090000	21.751066	1.005996	
0.219615	0.794869	1.449899	82.937999	59.540000	21.473345	1.007428	
0.219615	0.806650	1.075360	82.879999	67.910000	22.014810	0.997778	
0.021961	0.618689	0.320032	89.191999	89.150000	21.613622	1.079956	
0.021961	0.547415	0.306448	91.385999	89.740000	21.337671	1.033558	
0.021961	0.515318	0.298591	92.083999	90.130000	21.421778	1.030979	
0.025221	0.492663	0.313811	92.553999	89.520000	21.555119	0.999893	
0.025221	0.476111	0.296534	92.775999	89.810000	21.702318	1.035115	
0.025221	0.454388	0.307343	93.113999	89.900000	21.363275	1.047874	
0.025221	0.450486	0.324192	92.999999	89.420000	21.439122	1.078043	
