LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.097656	2.514669	1.640489	35.152001	41.000000	31.185222	1.618347	
0.097656	1.918062	1.130361	55.152001	59.740000	30.620931	1.536120	
0.097656	1.572504	1.003931	65.624001	64.780000	30.393656	1.581637	
0.097656	1.337214	1.206288	71.928001	61.760000	31.386493	1.558842	
0.097656	1.193932	1.027236	75.136002	67.290000	31.167877	1.592684	
0.095367	1.086726	0.788846	77.478002	72.900000	30.923085	1.546466	
0.095367	1.020468	0.710878	78.432001	75.950000	31.553026	1.561198	
0.095367	0.969119	0.700542	79.612001	76.170000	31.819862	1.609517	
0.095367	0.928180	1.217514	80.540001	65.860000	31.893882	1.622362	
0.095367	0.897848	0.836428	81.292002	73.290000	31.375977	1.453579	
0.094250	0.881981	1.049962	81.661998	70.730000	30.568495	1.616888	
0.094250	0.873997	0.775437	81.959998	73.990000	31.596072	1.504023	
0.094250	0.853450	0.781934	82.363998	74.870000	31.346288	1.700128	
0.094250	0.853799	0.826867	82.551998	72.930000	31.396213	1.553783	
0.094250	0.840106	0.719540	83.017997	76.950000	31.341653	1.464273	
0.093514	0.826054	0.763711	83.343998	75.070000	31.024902	1.559896	
0.093514	0.828161	0.839872	83.439998	73.300000	31.339122	1.598494	
0.093514	0.826689	0.868941	83.525998	71.730000	31.251837	1.623576	
0.093514	0.823803	0.829957	83.497998	75.070000	31.220266	1.534862	
0.093514	0.814935	0.763392	83.853998	76.510000	31.370900	1.579489	
0.092783	0.799055	0.606643	84.427998	79.440000	31.422123	1.562481	
0.092783	0.814492	0.608725	83.767998	79.080000	31.053082	1.627159	
0.092783	0.801606	0.798389	84.531998	75.000000	31.855592	1.601445	
0.092783	0.794393	0.523689	84.331998	82.460000	31.620540	1.579358	
0.092783	0.791609	0.880346	84.689998	73.660000	30.953861	1.612402	
0.092783	0.790525	1.021804	84.734000	70.680000	31.332892	1.611247	
0.092783	0.791644	0.574178	84.744000	80.880000	31.473378	1.761786	
0.092783	0.785101	1.193359	84.950000	68.620000	30.699634	1.633697	
0.092783	0.791846	0.527158	84.588000	82.120000	31.394549	1.615198	
0.092783	0.782207	1.071197	84.944000	70.950000	30.909458	1.628640	
0.093508	0.775556	0.634508	85.054001	79.070000	30.096785	1.635608	
0.093508	0.773179	0.848191	85.200001	73.970000	30.850355	1.548223	
0.093508	0.768732	0.601547	85.444002	80.130000	30.722527	1.548185	
0.093508	0.762884	0.664482	85.568001	78.180000	30.857601	1.426516	
0.093508	0.770890	0.821009	85.004001	74.390000	30.912194	1.584526	
0.096065	0.763997	0.695782	85.227999	77.680000	30.583278	1.599037	
0.096065	0.770311	0.902702	85.303999	73.810000	30.442869	1.650976	
0.096065	0.776029	0.803077	85.037999	75.520000	29.661709	1.595307	
0.096065	0.770865	1.018529	85.129999	70.990000	30.270108	1.564613	
0.096065	0.775438	0.972350	85.045999	72.830000	30.452003	1.611818	
0.100943	0.754045	0.637123	85.666003	78.600000	28.953794	1.583021	
0.100943	0.759128	0.768775	85.452003	75.330000	29.352395	1.524686	
0.100943	0.750498	0.756891	85.608003	75.520000	29.576772	1.600486	
0.100943	0.759344	1.016026	85.444003	72.240000	28.871112	1.506105	
0.100943	0.755136	0.798268	85.444003	75.170000	29.872945	1.570051	
0.106069	0.752102	0.631339	85.734003	78.920000	29.245348	1.481316	
0.106069	0.764591	0.817011	85.100003	74.150000	29.419479	1.400752	
0.106069	0.760406	0.702747	85.366003	77.810000	29.728237	1.645273	
0.106069	0.758848	0.684000	85.356003	77.730000	29.752301	1.589592	
0.106069	0.752072	0.547091	85.678003	81.600000	30.100269	1.618770	
0.115599	0.757197	0.843477	85.275999	74.630000	28.546199	1.448316	
0.115599	0.772587	0.550271	85.005999	81.620000	28.379412	1.428158	
0.115599	0.766261	0.499232	85.251999	83.100000	27.901921	1.487982	
0.115599	0.768707	0.625466	84.997999	79.140000	27.332188	1.419086	
0.115599	0.765409	0.899666	85.157999	71.480000	27.716372	1.388326	
0.131403	0.773585	0.938952	84.816003	69.770000	26.475191	1.423648	
0.131403	0.781177	0.836467	84.690003	74.730000	26.277387	1.399906	
0.131403	0.776925	0.780799	84.860003	75.410000	27.026795	1.421371	
0.131403	0.770123	0.553044	85.006003	81.500000	26.662188	1.341501	
0.131403	0.770471	1.049419	84.960003	68.010000	26.827663	1.345948	
0.150395	0.793157	0.909491	84.204003	70.870000	26.349715	1.371304	
0.150395	0.808699	1.002127	84.008003	71.950000	26.819475	1.415520	
0.150395	0.793600	0.739241	84.408003	74.590000	27.010207	1.345397	
0.150395	0.794951	1.120241	84.224003	66.620000	26.242558	1.343443	
0.150395	0.786617	0.904131	84.558003	73.370000	26.680895	1.455897	
0.169782	0.816685	4.333115	83.469999	36.550000	26.152771	1.259075	
0.169782	1.154115	1.242478	74.567999	61.050000	26.837041	1.405689	
0.169782	0.983460	2.281041	79.449999	42.960000	27.023669	1.406321	
0.169782	0.924441	1.149422	81.033999	63.970000	26.004336	1.340661	
0.169782	0.873902	2.019810	82.021999	54.730000	26.458264	1.414284	
0.194984	0.854498	0.951504	82.087999	69.520000	26.309722	1.412067	
0.194984	0.852727	1.197956	81.983999	64.090000	25.877392	1.478877	
0.194984	0.857167	0.895602	82.065999	70.940000	25.955836	1.550496	
0.194984	0.854549	2.189818	81.779999	52.910000	26.303915	1.467181	
0.194984	0.850654	0.836851	82.073999	72.220000	26.469605	1.351216	
0.228497	0.867212	0.943333	81.494003	70.690000	23.846648	1.352064	
0.228497	0.862645	0.895043	81.836002	70.650000	24.507620	1.354749	
0.228497	0.862336	1.038865	81.594002	67.060000	24.105427	1.294567	
0.228497	0.853378	0.915841	81.864003	70.300000	24.439433	1.317037	
0.228497	0.849989	0.816219	81.764002	72.840000	24.345849	1.311209	
0.288298	0.890952	2.152047	80.770000	52.390000	21.750976	1.313998	
0.288298	0.903150	1.197187	80.390000	65.780000	21.949917	1.323436	
0.288298	0.895771	1.577076	80.920000	60.820000	21.861317	0.997226	
0.288298	0.888719	0.998779	81.026000	68.680000	21.801557	1.195859	
0.288298	0.887445	1.375865	80.868000	63.970000	21.988431	1.296913	
0.370509	0.959260	1.541717	78.794004	55.730000	19.939124	1.221565	
0.370509	0.960840	1.202536	79.100004	64.940000	19.999659	1.193945	
0.370509	0.952194	1.010300	79.204005	68.940000	20.561547	1.220454	
0.370509	0.957709	0.915862	79.034004	72.200000	20.458561	1.162550	
0.370509	0.962426	1.590536	78.848004	57.130000	20.415931	1.248405	
0.519580	1.020870	1.789129	77.331996	54.710000	18.451219	1.224445	
0.519580	1.015128	2.845517	77.631997	40.150000	19.016540	1.111781	
0.051958	0.791653	0.422942	84.831996	85.580000	19.588862	1.198420	
0.051958	0.686608	0.411137	87.493996	86.090000	19.652228	1.179825	
0.051958	0.638866	0.419613	88.475996	86.030000	19.272573	1.232161	
0.077125	0.622846	0.433033	88.410003	85.600000	18.484927	1.175937	
0.077125	0.596071	0.617465	88.550003	80.480000	18.640958	1.223584	
0.077125	0.588859	0.515086	88.456003	82.890000	18.433598	1.188587	
0.077125	0.576253	0.470251	88.546003	84.460000	18.991716	1.214614	
0.077125	0.564972	0.488295	88.598003	83.840000	18.175331	1.278326	
0.119303	0.629629	0.636602	86.449996	79.640000	17.554547	1.183456	
0.119303	0.644682	0.755105	86.197996	76.120000	17.909222	1.120474	
0.119303	0.652751	0.627495	85.817996	79.790000	18.089505	1.164317	
0.119303	0.645318	0.622186	86.369996	79.310000	18.255807	1.162457	
0.119303	0.638599	0.662612	86.661996	78.110000	17.909924	1.201659	
0.190605	0.733403	0.759415	83.603999	73.850000	17.568349	1.124567	
0.190605	0.734674	0.975156	84.025999	72.550000	17.545910	1.156508	
0.190605	0.729611	1.284719	84.463999	68.490000	17.910351	1.161162	
0.190605	0.726871	1.020060	84.649999	70.320000	17.539417	1.176489	
0.190605	0.728219	0.734615	84.333999	76.840000	17.912541	1.228892	
0.314945	0.845645	0.935622	80.934001	70.290000	17.217022	1.149508	
0.314945	0.855001	1.262760	81.244001	61.900000	17.370004	1.210549	
0.314945	0.843548	1.393725	81.868002	60.930000	17.616147	1.168666	
0.314945	0.844962	0.934898	81.782001	70.660000	17.259282	1.127455	
0.314945	0.837868	1.239961	81.898002	64.140000	17.561881	1.216018	
0.535161	0.973526	1.540144	78.180000	57.690000	16.831485	1.215983	
0.535161	0.961965	1.189553	78.918000	64.420000	17.344566	1.167197	
0.535161	0.962702	1.599855	78.830000	57.100000	17.219436	1.224154	
0.535161	0.967237	1.822748	78.270000	53.620000	17.504022	1.170772	
0.535161	0.965502	1.502717	78.500000	54.740000	17.128640	1.191873	
0.942803	1.141496	2.310508	73.573999	44.350000	16.554327	1.169896	
0.942803	1.130491	1.550809	74.131999	51.470000	16.505621	1.251656	
0.942803	1.129511	3.330208	73.523999	32.090000	16.831294	1.190377	
0.942803	1.104819	3.040352	74.201999	38.650000	16.851639	1.172714	
0.942803	1.109510	2.345155	73.723999	48.650000	16.512627	1.123253	
1.697783	1.319383	2.924556	68.043999	34.100000	16.032440	1.061996	
1.697783	1.321580	2.832247	67.371999	35.820000	16.428554	1.112835	
1.697783	1.308226	7.387906	67.419999	24.980000	16.172719	1.184005	
1.697783	1.291400	7.541877	67.815999	22.840000	16.329613	1.147578	
1.697783	1.300471	4.308466	66.957998	26.370000	16.554243	1.124474	
2.685946	1.541622	2.379981	59.070000	24.300000	17.402978	1.132040	
2.685946	1.503346	3.842534	58.990000	26.650000	17.857789	1.130974	
2.685946	1.517684	1.777030	57.358001	38.910000	17.255721	1.155015	
2.685946	1.510291	7.767672	56.960000	15.580000	17.387012	1.180697	
2.685946	1.465317	3.885452	57.596000	20.880000	17.816389	1.137669	
4.270234	2.210191	21.137209	27.959999	8.920000	16.993519	1.191037	
4.270234	2.110750	5.481625	23.517999	11.580000	17.207828	1.170174	
4.270234	2.294245	2.480736	16.644000	10.240000	17.251480	1.201444	
4.270234	2.297061	2.328788	13.464000	10.000000	17.650985	1.136388	
4.270234	2.315086	2.370644	13.146000	10.000000	17.162283	1.168047	
6.872407	2.352536	2.343351	10.170000	10.000000	17.276880	1.198604	
6.872407	2.349864	2.342329	9.954000	10.000000	16.876062	1.167937	
6.872407	2.354540	2.359686	9.868000	10.000000	17.091360	1.061005	
6.872407	2.341843	2.455996	10.134000	10.000000	17.105875	1.140475	
6.872407	2.350735	2.352523	10.086000	10.000000	17.500207	1.156324	
11.194507	2.476781	2.532712	9.920000	10.000000	16.987567	1.034356	
11.194507	3.267701	5.626280	9.960000	10.000000	17.247519	1.128671	
11.194507	22.666956	14.858814	9.898000	10.000000	17.501645	1.195745	
11.194507	50.329867	8.422051	10.054000	10.000000	17.472687	1.190219	
1.119451	6.001815	2.307867	9.936000	10.000000	17.287667	1.176389	
1.832226	3.728621	2.308053	9.766000	10.000000	16.339932	1.236649	
1.832226	2.739638	2.313971	9.882000	10.000000	16.803990	1.149148	
1.832226	2.431917	2.311616	10.026000	10.000000	17.225686	1.178945	
1.832226	2.345428	2.309672	9.980000	10.000000	17.273271	1.152572	
1.832226	2.319812	2.309810	9.950000	10.000000	17.308601	1.223645	
3.027467	2.319255	2.331265	10.132000	10.000000	16.425850	1.066660	
3.027467	2.322106	2.334051	10.376000	10.000000	16.987246	1.195327	
3.027467	2.322253	2.347889	9.934000	10.000000	17.092135	1.172754	
3.027467	2.322404	2.322185	9.972000	10.000000	16.925012	1.263086	
3.027467	2.319416	2.313887	9.878000	10.000000	17.450172	1.182468	
5.037895	2.334612	2.343450	10.050000	10.000000	16.380761	1.194782	
5.037895	2.334133	2.335969	9.924000	10.000000	17.248075	1.166583	
5.037895	2.328634	2.378114	9.856000	10.000000	17.095783	1.110515	
5.037895	2.334512	2.345084	10.078000	10.000000	17.099831	1.120748	
5.037895	2.332306	2.340515	9.876000	10.000000	17.297937	1.166557	
8.422730	2.351018	2.344198	9.784000	10.000000	16.556628	1.208541	
8.422730	2.363482	2.328243	10.052000	10.000000	16.868930	1.116061	
8.422730	2.357345	2.366292	9.856000	10.000000	16.823170	1.255713	
8.422730	2.363282	2.349863	9.934000	10.000000	16.939781	1.107395	
8.422730	2.352289	2.339711	10.054000	10.000000	16.773777	1.186000	
14.114653	2.586454	2.840374	10.082000	10.000000	16.885820	1.157171	
14.114653	275.742243	44.406195	10.130000	10.000000	16.840516	1.151992	
14.114653	50312286.715733	14.576833	10.016000	10.000000	16.925916	1.176041	
14.114653	15299053831.882248	43.583966	10.112000	10.000000	17.367370	1.145773	
14.114653	388704241006.653931	23.921492	9.760000	10.000000	17.096380	1.189312	
23.653071	4226483216809271.500000	27.880555	10.144000	10.000000	16.692331	1.130894	
23.653071	581952895143157497856.000000	46.622847	10.022000	10.000000	16.891911	1.161751	
