LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.762546	1.773938	33.932000	34.090000	14.888777	0.614545	
0.100000	1.253362	1.343102	54.428000	53.400000	15.600328	0.705590	
0.100000	1.019099	1.271982	63.512000	57.940000	15.412504	0.652037	
0.100000	0.880269	1.110353	68.582000	61.950000	10.601203	0.536394	
0.100000	0.791855	1.392457	71.858000	59.390000	9.628258	0.536855	
0.100000	0.716469	1.410012	75.106000	59.950000	14.070025	0.539154	
0.100000	0.658818	0.915900	77.044000	70.500000	15.065218	0.590064	
0.100000	0.632220	0.878961	78.136000	69.950000	16.381997	0.681799	
0.100000	0.603384	0.835533	78.970000	72.720000	22.893417	0.687199	
0.100000	0.583404	1.029759	79.812000	68.940000	22.617214	0.699670	
0.100000	0.563695	0.653008	80.580000	77.160000	23.161300	0.562225	
0.100000	0.546002	1.087124	81.028000	67.560000	22.857975	0.692372	
0.100000	0.530860	0.742355	81.550000	75.340000	23.125087	0.868584	
0.100000	0.523806	1.134644	81.940000	68.130000	23.317274	0.672250	
0.100000	0.509998	0.861888	82.268000	72.860000	22.756241	0.629512	
0.100000	0.500165	0.978727	82.794000	69.410000	16.659572	0.614318	
0.100000	0.494894	0.590917	82.868000	80.400000	15.428965	0.616433	
0.100000	0.489797	0.731678	82.934000	75.900000	15.453555	0.663335	
0.100000	0.481445	0.648307	83.378000	77.980000	23.121737	0.698962	
0.100000	0.476489	0.883641	83.694000	73.380000	22.684921	0.720675	
0.100000	0.469835	1.242035	83.802000	62.690000	22.485415	0.669692	
0.100000	0.472447	0.756489	83.788000	76.220000	22.861582	0.690772	
0.100000	0.460333	0.732013	84.022000	75.310000	23.076703	0.720037	
0.100000	0.455936	0.667526	84.272000	78.340000	22.716222	0.605597	
0.100000	0.451003	0.723364	84.520000	76.700000	22.941947	0.685620	
0.100000	0.456273	0.615064	84.284000	79.370000	22.738730	0.596071	
0.100000	0.448271	0.853757	84.526000	72.940000	23.116660	0.776919	
0.100000	0.448395	0.849847	84.584000	73.710000	23.179966	0.682804	
0.100000	0.440828	1.220327	84.730000	64.820000	22.554857	0.667062	
0.100000	0.437976	1.178604	84.910000	67.860000	22.646959	0.684064	
0.100000	0.435674	0.594732	85.158000	79.850000	23.027753	0.679563	
0.100000	0.432596	1.094021	84.876000	69.700000	22.968603	0.660007	
0.100000	0.431188	0.663031	85.332000	78.960000	22.855228	0.739681	
0.100000	0.425494	0.787256	85.236000	74.390000	22.581271	0.711808	
0.100000	0.424604	0.855984	85.320000	73.040000	22.554428	0.733597	
0.100000	0.424022	0.851427	85.470000	73.360000	23.187119	0.710181	
0.100000	0.420966	0.553475	85.404000	81.500000	22.770390	0.705300	
0.100000	0.419091	0.754601	85.462000	75.800000	22.611761	0.722726	
0.100000	0.422481	0.600786	85.460000	80.110000	22.995537	0.678588	
0.100000	0.417409	0.927245	85.618000	72.880000	22.683638	0.662587	
0.100000	0.409506	0.536151	85.902000	82.080000	23.105648	0.703018	
0.100000	0.413692	0.693979	85.778000	76.440000	23.001248	0.660263	
0.100000	0.406147	0.722605	85.990000	77.020000	22.718256	0.696600	
0.100000	0.413709	0.839912	85.726000	75.190000	22.750266	0.652858	
0.100000	0.411697	0.632361	85.818000	79.170000	23.148290	0.748667	
0.100000	0.408778	0.793166	85.882000	75.970000	22.831084	0.616451	
0.100000	0.404249	0.698052	86.012000	76.940000	22.652900	0.683022	
0.100000	0.396147	0.691991	86.340000	78.260000	22.876403	0.688480	
0.100000	0.401133	0.539915	85.996000	81.350000	22.575827	0.653068	
0.100000	0.398638	0.586458	86.172000	80.650000	23.086504	0.617840	
0.100000	0.395666	0.812252	86.330000	75.080000	22.488120	0.709846	
0.100000	0.396931	0.694301	86.224000	77.850000	22.574308	0.703063	
0.100000	0.396322	0.758987	86.140000	75.810000	22.921944	0.675569	
0.100000	0.393416	0.685541	86.370000	79.470000	22.789754	0.740253	
0.100000	0.390151	0.742860	86.574000	76.010000	23.049380	0.697516	
0.100000	0.400178	0.667291	86.126000	79.540000	22.943106	0.744604	
0.100000	0.391290	0.628313	86.688000	80.130000	22.585412	0.682431	
0.100000	0.386306	0.848390	86.672000	73.110000	22.484741	0.697565	
0.100000	0.388799	0.590966	86.638000	81.020000	23.121961	0.650356	
0.100000	0.387834	0.705648	86.562000	77.670000	22.688813	0.679091	
0.100000	0.384893	0.551281	86.730000	81.330000	22.786706	0.660601	
0.100000	0.387476	0.706787	86.590000	77.360000	22.985677	0.677684	
0.100000	0.382162	0.556896	86.930000	82.140000	22.808846	0.745934	
0.100000	0.385350	0.616185	86.606000	80.270000	23.009011	0.696973	
0.100000	0.384391	0.774312	86.906000	74.870000	22.912585	0.670195	
0.100000	0.382504	0.616903	86.854000	79.440000	22.447964	0.681083	
0.100000	0.383201	0.950403	86.966000	70.600000	22.933540	0.639363	
0.100000	0.384331	0.634687	86.632000	80.270000	22.879016	0.690481	
0.100000	0.381920	0.659517	86.710000	78.970000	22.676537	0.665021	
0.100000	0.378231	0.605599	87.048000	79.520000	22.995250	0.693495	
0.100000	0.378384	0.724783	86.882000	76.550000	22.556210	0.713745	
0.100000	0.377292	0.844183	86.978000	75.000000	22.834451	0.765463	
0.100000	0.374717	0.491631	87.010000	83.400000	22.995389	0.716694	
0.100000	0.373580	0.718080	87.204000	78.370000	22.138902	0.658522	
0.100000	0.380059	0.657383	86.836000	79.210000	22.787178	0.701979	
0.100000	0.370043	0.587938	87.226000	81.120000	22.870492	0.677432	
