LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.730106	1.890165	36.830000	34.956000	36.830000	21.623095	1.340631	
0.100000	1.216791	1.312401	36.830000	55.768000	52.140000	21.999596	1.468186	
0.100000	0.977526	1.073481	44.485000	65.132000	63.700000	21.906764	1.532439	
0.100000	0.817186	0.897227	51.252400	71.260000	68.650000	22.107211	1.350938	
0.100000	0.710301	0.990821	55.675926	75.526000	69.100000	22.320039	1.526957	
0.100000	0.646788	0.928954	58.054915	77.808000	70.110000	22.107817	1.350579	
0.100000	0.598930	1.211754	59.720303	79.442000	63.190000	22.123135	1.486674	
0.100000	0.568870	0.908345	59.258465	80.414000	71.850000	21.936333	1.434357	
0.100000	0.542472	0.632584	60.786220	81.174000	77.990000	22.239002	1.454285	
0.100000	0.520901	1.018031	62.944991	81.976000	69.060000	22.263152	1.515822	
0.100000	0.509186	0.716503	62.969673	82.504000	76.520000	22.292114	1.586151	
0.100000	0.491040	0.776541	64.181754	82.990000	75.300000	22.744440	1.434781	
0.100000	0.471360	0.605528	64.917639	83.630000	79.980000	22.385061	1.481423	
0.100000	0.466386	0.717485	66.118467	84.044000	76.660000	22.499677	1.415117	
0.100000	0.462032	0.544808	66.639852	84.220000	81.760000	22.463315	1.394884	
0.100000	0.454324	0.659830	67.667946	84.386000	77.470000	22.474099	1.495453	
0.100000	0.445546	0.646758	68.018976	84.700000	79.210000	23.161234	1.419480	
0.100000	0.431040	0.745445	68.502226	85.158000	77.330000	22.827420	1.538699	
0.100000	0.427037	0.568293	68.720809	85.232000	80.520000	22.412085	1.294454	
0.100000	0.421186	0.640892	69.218077	85.520000	78.640000	22.746300	1.445376	
0.100000	0.417002	0.553552	69.469119	85.546000	81.310000	22.371459	1.496311	
0.100000	0.405441	0.619947	69.921663	85.980000	80.090000	22.708132	1.515183	
0.100000	0.402802	0.653567	70.209174	86.202000	78.620000	22.514377	1.555411	
0.100000	0.393992	0.552935	70.343813	86.486000	81.440000	22.294023	1.424400	
0.100000	0.391356	0.753913	70.683872	86.480000	77.510000	22.859848	1.364026	
0.100000	0.388854	0.770229	70.691017	86.754000	75.670000	23.050013	1.489181	
0.100000	0.378418	0.517096	70.572890	87.030000	83.120000	22.542130	1.454406	
0.100000	0.376845	1.026070	70.990624	87.020000	70.020000	22.372574	1.320395	
0.100000	0.370825	0.527377	70.485184	87.082000	82.690000	22.492789	1.458825	
0.100000	0.371418	0.628404	70.866331	87.236000	79.260000	22.354871	1.547058	
0.100000	0.366657	0.531699	73.621096	87.370000	82.510000	22.571882	1.348039	
0.100000	0.361356	0.662768	75.865705	87.494000	79.780000	22.522044	1.455557	
0.100000	0.355275	0.607397	76.833820	87.776000	81.230000	22.591340	1.420128	
0.100000	0.357427	0.725986	77.182497	87.764000	76.940000	22.218252	1.497810	
0.100000	0.350222	0.589801	77.312859	88.044000	81.480000	22.551046	1.470881	
0.100000	0.353753	0.534090	76.581341	87.882000	82.480000	22.382352	1.478854	
0.100000	0.343501	0.671961	78.213803	88.194000	78.470000	22.767766	1.426263	
0.100000	0.349793	0.551124	79.117940	88.036000	82.120000	22.723131	1.296136	
0.100000	0.345205	0.511338	78.020686	88.004000	83.420000	22.369110	1.418840	
0.100000	0.346518	0.492695	79.447458	88.100000	83.610000	22.464992	1.384676	
0.100000	0.340435	0.624207	79.539644	88.268000	79.430000	22.536750	1.419621	
0.100000	0.338800	0.477784	80.209118	88.200000	83.800000	22.691682	1.563058	
0.100000	0.341136	0.618461	79.960844	88.284000	81.330000	22.628711	1.404692	
0.100000	0.330969	0.536204	80.786440	88.500000	81.810000	22.578297	1.359097	
0.100000	0.337023	0.714083	80.232307	88.518000	78.020000	22.594533	1.667582	
0.100000	0.332688	0.512299	80.341115	88.468000	83.330000	22.751816	1.470011	
0.100000	0.325783	0.561948	80.262171	88.828000	82.370000	22.189395	1.559773	
0.100000	0.330756	0.611555	80.859311	88.622000	80.290000	22.753900	1.447426	
0.100000	0.332934	0.443173	80.550806	88.536000	85.250000	22.620688	1.467995	
0.100000	0.330885	0.485761	81.239959	88.592000	83.990000	22.621521	1.443460	
0.100000	0.328375	0.569832	81.241016	88.838000	81.520000	22.392181	1.582538	
0.100000	0.324615	0.524193	81.046509	88.844000	82.920000	22.327691	1.512846	
0.100000	0.321059	0.706107	81.575043	89.104000	78.130000	22.518861	1.485045	
0.100000	0.328545	0.504693	80.784655	88.670000	83.810000	22.544033	1.563617	
0.100000	0.322601	0.552081	80.713846	88.842000	82.370000	22.398445	1.344316	
0.100000	0.316184	0.692992	81.897678	89.112000	78.160000	22.453680	1.404921	
0.100000	0.317941	0.497054	79.762781	89.054000	83.940000	22.449489	1.496516	
0.100000	0.319351	0.568471	81.863874	88.984000	81.370000	22.637868	1.487614	
0.100000	0.315571	0.592240	81.336165	89.194000	81.570000	22.694946	1.521656	
0.100000	0.316691	0.722321	81.821076	89.196000	78.030000	22.291523	1.453062	
0.100000	0.315981	0.540399	81.181838	89.194000	82.930000	22.596887	1.406765	
0.100000	0.309281	0.636069	81.504236	89.420000	80.360000	22.303342	1.524264	
0.100000	0.314384	0.578314	80.810246	89.156000	82.000000	22.708698	1.379895	
0.100000	0.312567	0.490732	81.543313	89.206000	83.970000	22.542361	1.471832	
0.100000	0.317978	0.824793	81.844435	89.002000	76.760000	22.680640	1.531619	
0.100000	0.307029	0.492026	80.936716	89.460000	84.650000	22.234366	1.404571	
0.100000	0.306228	0.639654	81.703932	89.352000	79.420000	22.487496	1.416941	
0.100000	0.304511	0.516165	81.744512	89.428000	83.440000	22.523232	1.430071	
0.100000	0.305788	0.798102	81.881365	89.448000	75.320000	22.499592	1.440521	
