LearningRate	TrainLoss	ValidLoss	AvgAcc. 	TrainAcc.	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.719800	1.792977	39.310000	35.380000	39.310000	43.580347	2.086404	
0.100000	1.221124	1.436519	39.310000	55.456000	51.580000	44.215471	2.215920	
0.100000	0.949732	1.916066	45.445000	66.388000	46.510000	44.403553	2.249388	
0.100000	0.793943	1.192294	45.134800	72.218000	61.360000	44.674749	2.206541	
0.100000	0.696243	1.086030	50.077778	75.760000	65.130000	45.150397	2.230432	
0.100000	0.641364	1.142683	53.514298	77.820000	64.760000	45.380456	2.263952	
0.100000	0.597849	0.846632	55.344482	79.284000	72.080000	45.184207	2.138763	
0.100000	0.558983	0.772820	58.129082	80.720000	74.740000	44.678935	2.173158	
0.100000	0.538875	0.725631	60.462265	81.410000	74.680000	44.973537	2.173964	
0.100000	0.513038	0.629302	62.048353	82.286000	78.840000	44.692382	2.222276	
0.100000	0.492944	0.830857	63.888434	83.010000	74.140000	44.610978	2.288410	
0.100000	0.484811	0.689232	64.517608	83.228000	77.380000	44.140396	2.240955	
0.100000	0.470065	0.753303	65.487807	84.040000	75.590000	44.356330	2.190266	
0.100000	0.458471	0.852483	66.009037	84.330000	75.430000	44.101792	2.193249	
0.100000	0.451638	0.736491	66.418244	84.430000	76.100000	44.285576	2.220152	
0.100000	0.442826	0.734845	66.840666	84.758000	75.960000	44.162519	2.228160	
0.100000	0.436351	0.697949	67.179131	85.118000	77.630000	43.727317	2.185760	
0.100000	0.430860	1.048977	67.643359	85.232000	69.120000	43.762753	2.149562	
0.100000	0.420753	0.942968	67.182477	85.608000	73.480000	43.937049	2.114241	
0.100000	0.414069	0.588873	67.237199	85.786000	80.140000	43.409196	2.138722	
0.100000	0.404717	0.726264	67.897799	86.138000	76.030000	43.920213	2.166029	
0.100000	0.400306	0.546363	68.097098	86.162000	82.060000	43.616404	2.168300	
0.100000	0.397588	0.601117	68.775304	86.340000	80.300000	43.558908	2.117972	
0.100000	0.391591	0.547008	69.214274	86.670000	82.360000	43.790256	2.137315	
0.100000	0.384868	0.711102	69.753748	86.748000	76.530000	43.945101	2.272667	
0.100000	0.377979	0.642013	69.790841	87.016000	79.390000	44.013410	2.215593	
0.100000	0.373426	0.736130	70.034812	87.070000	76.920000	44.254601	2.140591	
0.100000	0.380168	0.625009	70.081990	86.936000	80.120000	44.032659	2.147792	
0.100000	0.369422	0.532707	70.342400	87.194000	82.290000	43.808391	2.153148	
0.100000	0.365998	0.579874	70.715025	87.450000	82.070000	43.535940	2.126926	
0.100000	0.368029	0.648617	73.221374	87.338000	79.060000	43.654093	2.189195	
0.100000	0.356905	0.526711	72.865133	87.824000	82.680000	43.752758	2.155188	
0.100000	0.357518	0.724791	75.645089	87.756000	78.320000	43.742447	2.217681	
0.100000	0.358107	0.559950	76.362661	87.588000	81.360000	43.862431	2.306680	
0.100000	0.347872	0.571454	76.631582	88.008000	81.360000	43.792102	2.195217	
0.100000	0.353065	0.699955	77.994832	87.776000	77.330000	44.029619	2.147993	
0.100000	0.348849	0.742107	78.336473	87.874000	76.760000	43.859330	2.180114	
0.100000	0.347721	0.624668	78.226092	87.996000	80.180000	43.838738	2.209957	
0.100000	0.349116	0.623776	78.953526	87.954000	79.540000	43.774460	2.218720	
0.100000	0.348558	0.539016	78.311924	88.060000	82.190000	43.615140	2.255079	
0.100000	0.340020	0.514525	79.030502	88.238000	83.480000	43.960862	2.184223	
0.100000	0.337048	0.668467	79.058801	88.450000	78.530000	43.747014	2.212144	
0.100000	0.335605	0.624720	79.001555	88.402000	80.600000	43.060434	2.210177	
0.100000	0.333421	0.648829	79.201537	88.504000	78.890000	43.221766	2.193562	
0.100000	0.333551	0.668855	79.161199	88.560000	79.160000	43.448909	2.170199	
0.100000	0.333184	0.534328	79.402539	88.570000	82.830000	43.953351	2.190723	
0.100000	0.322579	0.461928	78.393447	88.814000	84.550000	43.353950	2.055377	
0.100000	0.329393	0.703021	79.420932	88.708000	78.700000	43.256798	1.967813	
0.100000	0.328915	0.578981	80.337201	88.706000	81.860000	42.874844	1.971138	
0.100000	0.322896	0.528024	79.841298	88.980000	83.610000	42.629104	1.920382	
0.100000	0.319784	0.775110	80.956146	88.878000	76.550000	42.763772	1.957655	
0.100000	0.324802	0.691931	80.417450	88.796000	78.630000	42.688445	1.996355	
0.100000	0.321386	0.604966	80.599928	88.920000	81.200000	42.477998	1.963111	
0.100000	0.325352	0.552026	79.795848	88.768000	81.800000	42.718113	1.974823	
0.100000	0.317883	0.616386	80.338594	89.122000	80.430000	42.442511	1.984220	
0.100000	0.317977	0.446829	79.987424	89.104000	84.920000	42.468672	1.927858	
0.100000	0.319641	0.515566	80.768252	88.980000	83.540000	42.431270	2.026061	
0.100000	0.314625	0.771678	81.260773	89.164000	76.790000	42.394993	2.007200	
0.100000	0.323955	0.730144	80.940533	88.768000	77.750000	42.509715	2.016805	
0.100000	0.310080	0.575343	80.299561	89.202000	81.120000	42.673252	1.992685	
0.100000	0.313093	0.459493	80.875806	89.282000	84.770000	42.569432	1.943795	
0.100000	0.316545	0.446957	80.496756	89.088000	85.190000	42.708087	1.925126	
0.100000	0.305824	0.447755	81.239013	89.412000	85.210000	42.492663	1.945711	
0.100000	0.312649	0.483298	81.495206	89.286000	84.770000	42.664515	1.990215	
0.100000	0.301477	0.527613	81.123900	89.654000	83.060000	42.594770	2.018154	
0.100000	0.304986	0.576432	81.166409	89.476000	82.510000	42.706873	1.965134	
0.100000	0.309011	0.670761	81.747493	89.290000	79.250000	42.539770	1.956722	
0.100000	0.306611	0.687178	81.493845	89.232000	78.310000	42.447946	1.985064	
0.100000	0.311132	0.528534	81.671524	89.368000	83.500000	42.491425	1.968900	
0.100000	0.304915	0.544290	81.975974	89.588000	82.780000	42.684776	1.962955	
0.100000	0.306980	0.515927	81.312267	89.570000	83.140000	42.688310	1.999541	
0.100000	0.309213	0.536426	81.729428	89.354000	82.830000	42.425565	2.080277	
0.100000	0.299423	0.410110	81.553232	89.706000	86.420000	42.327762	2.002110	
0.100000	0.296698	0.518484	81.906249	89.832000	83.940000	42.506056	2.003971	
0.100000	0.302648	0.645878	82.568000	89.620000	79.950000	42.361120	2.005523	
0.100000	0.301362	0.518292	82.647742	89.674000	83.400000	42.376737	1.934081	
0.100000	0.304543	0.736052	81.850590	89.526000	78.560000	42.396304	1.933500	
0.100000	0.302761	0.509976	82.095108	89.464000	84.000000	42.410004	2.045383	
0.100000	0.301496	0.487084	82.470987	89.668000	84.420000	42.454155	1.932973	
0.100000	0.305450	0.543764	81.576125	89.372000	82.600000	42.572826	1.930182	
0.100000	0.296440	0.518155	81.942870	89.772000	83.450000	42.564141	2.014264	
0.100000	0.298587	0.413961	82.411627	89.728000	86.690000	42.586884	2.098284	
0.100000	0.300065	0.545348	82.774388	89.692000	82.340000	42.621451	1.966862	
0.100000	0.299077	0.523440	82.548314	89.738000	83.240000	42.376186	2.038013	
0.100000	0.293901	0.516974	83.242020	89.916000	83.040000	42.400724	2.036920	
0.100000	0.298994	0.509446	83.029492	89.642000	84.340000	42.362625	2.099979	
0.100000	0.298452	0.422914	82.138250	89.704000	85.880000	42.362081	2.090441	
0.100000	0.293705	0.943976	82.518432	89.900000	73.960000	42.376200	2.134800	
0.100000	0.295895	0.489245	82.453448	89.886000	84.350000	42.402975	2.035124	
0.100000	0.293635	0.657355	83.103456	89.930000	79.900000	42.452625	2.125626	
0.100000	0.296218	0.601441	82.957497	89.870000	81.600000	42.661513	2.046811	
0.100000	0.299422	0.649536	82.872808	89.826000	80.600000	42.452967	2.003962	
0.010000	0.179637	0.242769	82.662568	94.054000	92.020000	42.491495	2.015838	
0.010000	0.137574	0.238855	83.019073	95.454000	92.030000	42.575821	2.029216	
0.010000	0.123513	0.236049	83.520914	95.876000	92.410000	42.311095	1.908971	
0.010000	0.114114	0.230747	83.623133	96.310000	92.520000	42.327663	1.955953	
0.010000	0.104569	0.232396	84.061237	96.486000	92.690000	42.460562	1.916585	
0.010000	0.098242	0.240536	85.368205	96.768000	92.540000	42.373290	1.891599	
0.010000	0.095869	0.234828	85.726818	96.784000	92.690000	42.420061	1.928084	
0.010000	0.087892	0.245115	86.228097	96.988000	92.530000	42.278349	1.920568	
0.010000	0.083164	0.255852	86.589858	97.222000	92.370000	42.546528	1.933335	
0.010000	0.081146	0.250718	87.481746	97.266000	92.260000	42.361804	1.937790	
0.010000	0.077576	0.251513	87.431508	97.438000	92.410000	42.424537	1.924059	
0.010000	0.072894	0.252082	87.175900	97.560000	92.610000	42.193045	1.941665	
0.010000	0.067712	0.261991	88.025225	97.802000	92.630000	42.418107	1.935188	
0.010000	0.069008	0.289496	87.622629	97.718000	91.720000	42.438643	1.899604	
0.010000	0.063129	0.263866	88.673390	97.898000	92.570000	42.300905	1.907025	
0.010000	0.059678	0.272542	88.985500	98.062000	92.490000	42.488347	1.918334	
0.010000	0.063312	0.267632	88.948495	97.782000	92.670000	42.373246	1.911351	
0.010000	0.057486	0.274935	89.311470	98.052000	92.400000	42.307007	1.894482	
0.010000	0.056535	0.279349	89.979109	98.130000	92.310000	42.369850	1.944646	
0.010000	0.057213	0.281004	89.500646	98.118000	92.700000	42.351581	1.897481	
0.010000	0.053445	0.277326	89.837162	98.240000	92.420000	42.259820	1.904286	
0.010000	0.053454	0.277817	89.974884	98.262000	92.670000	42.300037	1.900383	
0.010000	0.052751	0.292162	90.336693	98.244000	92.270000	42.370512	1.924233	
0.010000	0.049809	0.292345	90.684047	98.356000	92.230000	42.395110	1.913565	
0.010000	0.048042	0.314850	89.060612	98.446000	92.000000	42.407324	1.911592	
0.010000	0.051102	0.300523	90.752245	98.298000	92.400000	42.340835	1.907475	
0.010000	0.046521	0.304038	90.215252	98.424000	92.470000	42.285174	1.917790	
0.010000	0.051224	0.301561	90.606475	98.260000	92.170000	42.436237	1.905788	
0.010000	0.048414	0.305704	90.562786	98.386000	91.930000	42.278029	1.896411	
0.010000	0.047664	0.306435	92.301886	98.390000	91.870000	42.455474	1.937910	
0.010000	0.045670	0.325972	92.275468	98.484000	91.670000	42.459461	1.905927	
0.010000	0.047448	0.318418	92.291339	98.348000	92.010000	42.312846	1.921686	
0.010000	0.045286	0.300628	92.289090	98.548000	92.410000	42.324927	1.919088	
0.010000	0.044373	0.324733	92.321466	98.562000	91.960000	42.375910	1.899738	
0.010000	0.047350	0.316360	92.276461	98.462000	91.910000	42.359508	1.920830	
0.010000	0.046307	0.307878	92.274503	98.452000	92.240000	42.415863	1.941342	
0.010000	0.046725	0.337256	92.249147	98.514000	91.600000	42.298343	1.892827	
0.010000	0.047685	0.338587	92.184137	98.414000	91.380000	42.451023	1.913336	
0.010000	0.047973	0.302944	92.116355	98.358000	92.350000	42.409117	1.920974	
0.010000	0.050963	0.311423	92.153113	98.240000	92.000000	42.395206	1.909949	
0.010000	0.047393	0.316860	92.172147	98.426000	92.060000	42.409256	1.934034	
