LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.774133	2.291712	32.746000	33.670000	18.238801	1.181112	
0.100000	1.336667	1.334937	50.992000	51.020000	18.188990	1.162673	
0.100000	1.081236	1.112806	61.000000	60.980000	18.521235	1.196375	
0.100000	0.939787	1.053258	66.530000	64.030000	18.716388	1.173782	
0.100000	0.838617	1.204183	70.676000	58.720000	18.789100	1.226477	
0.100000	0.753096	1.045300	73.938000	64.260000	18.899637	1.220733	
0.100000	0.705747	0.797894	75.554000	73.010000	18.622521	1.237873	
0.100000	0.662468	0.996687	77.146000	67.800000	19.287600	1.194284	
0.100000	0.634588	1.018545	78.042000	68.640000	19.037382	1.317301	
0.100000	0.616862	0.801880	78.826000	73.370000	19.305259	1.259047	
0.100000	0.594059	0.887231	79.478000	70.660000	18.560884	1.203783	
0.100000	0.580526	0.950428	79.824000	71.000000	18.512178	1.154135	
0.100000	0.566064	0.814520	80.406000	72.940000	18.999740	1.205992	
0.100000	0.551660	0.676715	81.028000	76.800000	18.653154	1.149240	
0.100000	0.540248	1.112763	81.382000	65.420000	18.891612	1.255145	
0.100000	0.533825	0.668226	81.772000	77.130000	18.384004	1.215134	
0.100000	0.528128	1.381719	81.930000	63.120000	18.943965	1.188367	
0.100000	0.523220	0.885692	82.000000	71.550000	18.978250	1.209527	
0.100000	0.518474	1.011043	82.230000	68.850000	18.626966	1.138260	
0.100000	0.517906	0.734233	82.268000	75.470000	20.332210	1.171936	
0.100000	0.494778	0.857872	83.106000	73.950000	17.274658	1.155550	
0.100000	0.496728	0.698698	82.972000	77.730000	18.351366	1.173934	
0.100000	0.504015	1.809307	82.716000	57.440000	18.420371	1.193965	
0.100000	0.492575	0.818940	83.008000	74.310000	18.763967	1.241911	
0.100000	0.488113	0.976342	83.156000	70.560000	18.709489	1.278747	
0.100000	0.475589	0.789780	83.552000	75.270000	18.478837	1.284648	
0.100000	0.480019	0.772330	83.432000	75.170000	18.755997	1.202625	
0.100000	0.479807	0.703721	83.458000	76.500000	18.752352	1.173110	
0.100000	0.472857	1.091626	83.696000	68.670000	18.814712	1.248610	
0.100000	0.469809	0.922536	83.776000	70.130000	18.810275	1.148599	
0.100000	0.464560	0.862763	83.974000	73.950000	18.815753	1.267361	
0.100000	0.469123	0.990295	83.850000	69.600000	19.050990	1.219122	
0.100000	0.460555	0.736462	84.222000	76.640000	19.112759	1.273629	
0.100000	0.463658	0.887694	84.032000	72.190000	19.104515	1.211620	
0.100000	0.459653	0.723414	84.188000	76.920000	19.188386	1.239962	
0.100000	0.451082	0.685765	84.708000	78.130000	18.741503	1.199735	
0.100000	0.452577	0.725767	84.394000	76.130000	18.761751	1.201630	
0.100000	0.451620	0.667896	84.448000	78.230000	18.798363	1.234669	
0.100000	0.454853	0.799681	84.226000	73.920000	18.890976	1.274852	
0.100000	0.453156	1.588504	84.280000	60.880000	20.181304	1.106834	
0.100000	0.452562	0.635310	84.340000	79.380000	18.614215	1.289477	
0.100000	0.451364	0.952528	84.676000	68.970000	18.693525	1.169107	
0.100000	0.439586	0.829867	84.932000	75.000000	19.069537	1.255855	
0.100000	0.438582	1.050780	84.962000	69.310000	18.859889	1.292532	
0.100000	0.440708	0.800416	84.744000	76.140000	18.825630	1.157514	
0.100000	0.436035	0.869019	85.056000	74.790000	18.684747	1.261712	
0.100000	0.435825	0.832701	84.944000	73.790000	18.989903	1.178765	
0.100000	0.439992	0.634317	84.904000	79.890000	18.986497	1.209461	
