LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.733090	1.820726	33.770000	34.160000	33.770000	10.413417	0.746612	
0.100000	1.308908	1.584490	33.770000	51.936000	43.330000	10.453017	0.745920	
0.100000	1.100737	1.098580	38.550000	60.048000	60.120000	10.354850	0.679995	
0.100000	0.969484	1.016212	46.604400	65.192000	65.110000	10.283888	0.702803	
0.100000	0.888472	1.011984	51.488519	68.576000	64.260000	10.492078	0.755125	
0.100000	0.818262	1.065991	53.713873	71.130000	62.250000	10.392099	0.645223	
0.100000	0.770043	1.596936	54.549375	73.296000	51.790000	10.373186	0.757841	
0.100000	0.735620	0.999973	52.820049	74.376000	67.720000	10.313035	0.691166	
0.100000	0.705248	1.675634	55.006282	75.562000	57.230000	10.361930	0.727698	
0.100000	0.685452	1.157930	54.552561	76.160000	64.880000	10.442188	0.676453	
0.100000	0.668509	1.032074	55.557550	76.626000	67.540000	10.244813	0.672338	
0.100000	0.654832	0.941857	56.696591	77.218000	68.910000	10.414955	0.718074	
0.100000	0.638114	0.997557	57.740666	77.852000	69.820000	10.539525	0.706942	
0.100000	0.630098	1.053399	58.660849	78.208000	65.030000	10.412701	0.670265	
0.100000	0.619380	0.872845	58.782740	78.342000	71.410000	10.490417	0.753500	
0.100000	0.608658	0.801312	59.649281	78.994000	73.190000	10.224548	0.688509	
0.100000	0.591961	0.932632	60.543237	79.420000	68.720000	10.415862	0.746167	
0.100000	0.590870	1.160533	60.800059	79.550000	65.380000	10.402147	0.721993	
0.100000	0.584950	1.011231	60.689180	79.878000	68.940000	10.388866	0.793410	
0.100000	0.581624	0.950152	60.951634	79.862000	67.750000	10.505269	0.770845	
0.100000	0.571897	0.857755	61.069697	80.268000	71.590000	10.443420	0.711063	
0.100000	0.570987	0.693457	61.510806	80.268000	77.130000	10.540961	0.736147	
0.100000	0.560861	1.080633	62.349441	80.492000	65.070000	10.456288	0.721404	
0.100000	0.549699	0.900856	62.099421	81.074000	71.530000	10.391728	0.700423	
0.100000	0.555995	0.814647	62.392465	80.774000	72.870000	10.370742	0.716996	
0.100000	0.550221	0.769296	62.748525	80.908000	72.360000	10.399394	0.708206	
0.100000	0.548846	0.814251	63.024181	80.918000	74.390000	10.420355	0.726923	
0.100000	0.539208	0.773744	63.408247	81.342000	74.140000	10.381126	0.723206	
0.100000	0.536229	1.562613	63.730711	81.544000	58.360000	10.706708	0.676019	
0.100000	0.537083	1.157762	62.999483	81.366000	62.790000	10.365623	0.773033	
0.100000	0.529754	0.735465	64.367976	81.628000	75.290000	10.393766	0.715554	
0.100000	0.531633	0.895080	67.499811	81.704000	71.910000	10.245593	0.703701	
0.100000	0.527906	0.739887	68.505702	81.808000	75.410000	10.278556	0.699736	
0.100000	0.527329	0.852281	68.828263	81.918000	72.530000	10.284129	0.725085	
0.100000	0.520613	0.686123	68.776516	82.022000	77.240000	10.419229	0.756994	
0.100000	0.523541	0.801578	67.810433	81.946000	74.560000	10.403969	0.703174	
0.100000	0.518311	0.716172	70.548755	82.230000	76.200000	10.469987	0.716559	
