LearningRate	TrainLoss	ValidLoss	AvgAcc.		TrainAcc. 	ValidAcc. 	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.725701	2.127728	36.260000	35.202000	36.260000	13.753203	0.781773	
0.100000	1.239043	1.248301	36.260000	54.946000	56.250000	13.811676	0.745884	
0.100000	1.034357	1.190637	46.255000	62.830000	58.840000	13.838164	0.750382	
0.100000	0.903598	1.526551	50.089600	68.180000	54.670000	13.805071	0.790631	
0.100000	0.819357	1.055380	50.375926	71.218000	64.230000	13.749210	0.769373	
0.100000	0.751537	0.915056	53.381541	73.746000	68.880000	13.617643	0.808892	
0.100000	0.713579	1.124480	56.211006	75.168000	64.200000	13.827447	0.778154	
0.100000	0.677647	0.882600	56.892478	76.672000	71.160000	14.181747	0.783863	
0.100000	0.654402	1.179278	58.785890	77.306000	66.040000	13.812637	0.752931	
0.100000	0.634046	0.857111	59.145185	77.978000	72.150000	13.714058	0.767521	
0.100000	0.621969	0.769981	60.459924	78.614000	74.030000	14.140250	0.789259	
0.100000	0.602164	0.774265	61.711838	79.122000	74.450000	13.847180	0.833931	
0.100000	0.594819	0.758174	62.713788	79.578000	74.690000	13.793589	0.786095	
0.100000	0.580852	1.325308	63.522104	79.892000	61.330000	13.900669	0.764987	
0.100000	0.572732	0.794148	62.493872	80.284000	74.940000	14.275787	0.782730	
0.100000	0.557163	0.860184	63.327257	80.734000	72.280000	13.918657	0.781381	
0.100000	0.552228	0.773325	63.699194	81.006000	74.490000	14.182464	0.792701	
0.100000	0.549553	1.083998	64.242242	81.042000	67.340000	13.898881	0.786673	
0.100000	0.539044	0.708102	63.977376	81.484000	76.500000	13.854832	0.778462	
0.100000	0.531822	0.771045	64.646390	81.880000	75.500000	13.965057	0.766296	
0.100000	0.524027	0.674092	65.114477	81.984000	78.120000	14.205237	0.754310	
0.100000	0.521055	0.953614	65.740056	82.022000	71.090000	14.141246	0.815846	
0.100000	0.520042	0.725379	65.686632	81.944000	75.980000	14.133245	0.778994	
0.100000	0.513287	0.863148	66.041768	82.332000	72.990000	14.150924	0.767329	
0.100000	0.511492	1.155548	66.120562	82.440000	65.430000	13.882161	0.775277	
0.100000	0.506591	0.726499	65.634761	82.700000	76.500000	13.891455	0.788430	
0.100000	0.502836	1.177178	66.013751	82.654000	68.450000	13.756196	0.760991	
0.100000	0.503924	0.770525	65.790196	82.692000	75.030000	14.007225	0.766603	
0.100000	0.498699	0.657780	66.038799	82.860000	77.560000	13.767643	0.784908	
0.100000	0.487915	0.602395	66.422255	83.182000	79.570000	13.947215	0.781427	
0.100000	0.490298	0.870188	70.160282	83.120000	72.410000	14.111512	0.826241	
0.100000	0.497842	0.638575	70.679840	83.014000	77.870000	13.736430	0.754679	
0.100000	0.481175	0.698748	70.540899	83.296000	76.460000	14.026915	0.769563	
0.100000	0.479056	0.726737	72.304785	83.414000	76.450000	14.303943	0.792426	
0.100000	0.478262	0.660449	73.244430	83.658000	77.430000	13.655548	0.806266	
0.100000	0.483881	0.792921	72.837918	83.214000	74.880000	13.755827	0.777716	
0.100000	0.481401	0.772564	73.975814	83.420000	75.620000	13.711204	0.780696	
0.100000	0.473708	0.809486	73.341735	83.494000	75.250000	13.902634	0.772572	
0.100000	0.473598	0.906823	74.348120	83.548000	70.680000	13.643954	0.785547	
0.100000	0.466288	0.651296	74.383243	84.026000	78.760000	13.805497	0.777195	
0.100000	0.464864	0.895100	74.726330	84.086000	72.740000	14.004650	0.757026	
0.100000	0.467946	0.742722	74.632875	83.844000	76.210000	13.785250	0.781062	
0.100000	0.465656	1.578654	72.803282	83.752000	57.540000	14.040156	0.772027	
0.100000	0.466403	0.740045	73.786037	83.828000	77.040000	13.895648	0.768024	
0.100000	0.465770	0.880904	73.611437	83.996000	72.570000	13.937422	0.784365	
0.100000	0.452118	1.401855	73.863728	84.334000	60.240000	14.030463	0.794062	
0.100000	0.465691	0.760344	71.951163	83.954000	75.860000	14.239026	0.791616	
0.100000	0.462121	0.658137	73.527530	84.020000	77.970000	14.044288	0.776675	
0.100000	0.457948	0.615599	73.669579	84.218000	79.700000	14.067172	0.779868	
0.100000	0.453210	0.887108	74.437390	84.312000	73.270000	13.887407	0.787917	
0.100000	0.459437	1.039278	73.345807	84.280000	69.630000	13.763893	0.774029	
0.100000	0.448010	1.433962	73.812983	84.822000	64.130000	13.985622	0.814837	
0.100000	0.455867	0.722950	72.756036	84.316000	76.030000	14.068676	0.800669	
0.100000	0.449612	1.653419	71.874374	84.386000	59.420000	14.088894	0.787182	
0.100000	0.450924	0.663916	72.671162	84.380000	77.840000	14.128755	0.761643	
0.100000	0.446527	0.937894	71.840915	84.690000	70.540000	13.867946	0.751308	
