LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.728752	1.558502	34.594000	43.600000	13.079397	0.910389	
0.100000	1.254656	1.286128	54.320000	55.400000	12.480272	0.833421	
0.100000	1.025568	1.109980	63.080000	59.920000	13.095372	0.849220	
0.100000	0.916546	1.232137	67.486000	58.790000	12.511247	0.879264	
0.100000	0.833193	1.081623	70.554000	63.930000	13.029734	0.872861	
0.100000	0.769556	0.834994	73.096000	71.250000	12.875019	0.906290	
0.100000	0.722145	1.416591	74.728000	56.630000	13.028837	0.912352	
0.100000	0.690378	1.458161	75.990000	57.830000	13.223420	0.892331	
0.100000	0.672227	1.141458	76.768000	63.900000	13.062679	0.945388	
0.100000	0.648435	1.156795	77.696000	64.150000	13.033721	0.777261	
0.100000	0.624647	0.883062	78.482000	71.050000	13.358088	0.908119	
0.100000	0.620201	1.078679	78.578000	65.370000	13.034334	0.897651	
0.100000	0.614959	0.929028	78.970000	71.150000	13.062258	0.888829	
0.100000	0.595830	1.030171	79.310000	68.070000	13.204163	0.825361	
0.100000	0.592836	0.662692	79.512000	77.130000	13.271182	0.867514	
0.100000	0.573021	0.974282	80.192000	68.770000	12.907925	0.909011	
0.100000	0.567549	0.865349	80.418000	72.680000	13.236241	0.908896	
0.100000	0.558885	0.880065	80.828000	71.700000	13.130585	0.889699	
0.100000	0.557563	0.676122	80.776000	77.170000	13.098899	0.732697	
0.100000	0.546525	0.798729	81.254000	74.800000	13.421856	0.880433	
0.100000	0.543191	0.835027	81.248000	73.920000	13.356950	0.908049	
0.100000	0.540935	1.104410	81.488000	67.460000	12.918519	0.893960	
0.100000	0.539331	0.982959	81.392000	69.590000	13.684322	0.903441	
0.100000	0.531571	0.698169	81.784000	76.160000	13.475030	0.873267	
0.100000	0.530562	0.676714	81.892000	78.020000	13.524976	0.896676	
0.100000	0.513051	0.693809	82.318000	75.890000	13.082633	0.870664	
0.100000	0.517744	0.949186	82.114000	69.390000	13.428657	0.881359	
0.100000	0.511575	0.987209	82.296000	70.270000	12.864099	0.951442	
0.100000	0.515027	1.003709	82.300000	69.140000	13.618590	0.903781	
0.100000	0.508820	0.843978	82.196000	73.110000	13.366960	0.894372	
0.100000	0.505463	0.821408	82.478000	73.340000	13.117814	0.925822	
0.100000	0.506077	0.808012	82.514000	74.590000	12.580108	0.871745	
0.100000	0.510366	0.726852	82.564000	76.840000	13.246055	0.838613	
0.100000	0.501700	0.724196	82.778000	75.740000	12.752116	0.750955	
0.100000	0.499724	0.660609	82.688000	78.070000	12.976382	0.865362	
0.100000	0.494469	0.841988	83.008000	72.690000	13.163104	0.893693	
0.100000	0.495036	0.745276	83.110000	75.140000	13.282381	0.867727	
0.100000	0.501711	0.610809	82.800000	79.440000	13.221306	0.879846	
0.100000	0.491195	0.778348	83.158000	75.070000	12.776354	0.858375	
0.100000	0.486463	0.757149	83.118000	74.990000	12.968904	0.923394	
0.100000	0.488282	0.953078	83.226000	71.980000	13.548848	0.946251	
0.100000	0.488123	0.787219	83.244000	75.400000	13.419362	0.915209	
0.100000	0.486193	0.921152	83.168000	72.220000	13.286461	0.859491	
0.100000	0.488190	0.980118	83.108000	69.770000	13.353312	0.868778	
0.100000	0.480330	0.771244	83.332000	75.960000	13.344953	0.800183	
0.100000	0.479024	1.007841	83.506000	70.540000	12.758684	0.924969	
0.100000	0.484389	0.781910	83.254000	75.870000	13.317952	0.912419	
0.100000	0.488125	0.747507	83.214000	74.950000	13.021966	0.815229	
0.100000	0.480405	1.756994	83.286000	57.620000	13.269325	0.936967	
0.100000	0.473431	0.776017	83.694000	74.450000	12.991869	0.848262	
0.100000	0.469303	0.914127	83.892000	70.600000	12.743840	0.804844	
0.100000	0.478307	0.884250	83.488000	72.280000	12.864491	0.755224	
0.100000	0.471641	0.702690	83.674000	77.170000	12.819557	0.867798	
0.100000	0.477677	0.756767	83.576000	75.450000	12.867953	0.905642	
0.100000	0.467982	1.118728	83.750000	67.670000	13.073643	0.843910	
0.100000	0.466814	1.069929	83.946000	70.020000	12.880263	0.925308	
0.100000	0.471440	0.947368	83.596000	71.780000	12.976819	0.846292	
0.100000	0.469354	1.186869	83.726000	65.010000	12.637347	0.886443	
0.100000	0.469714	0.841671	83.952000	73.540000	12.649791	0.896529	
