LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.837861	1.692786	30.980000	36.990000	21.139061	1.094419	
0.100000	1.492561	1.608360	44.970000	44.240000	21.164830	1.129124	
0.100000	1.333044	1.731105	51.506000	43.540000	21.306641	1.125007	
0.100000	1.221553	1.286012	55.890000	55.200000	21.331905	1.082207	
0.100000	1.139957	1.247118	59.086000	56.210000	21.124143	1.118814	
0.100000	1.060898	1.509915	61.884000	51.620000	21.509618	1.086093	
0.100000	1.005558	1.394394	64.162000	52.760000	21.540157	1.100572	
0.100000	0.950860	1.114588	66.076000	62.070000	21.485272	1.113361	
0.100000	0.906625	1.208886	67.614000	60.000000	21.670956	1.121500	
0.100000	0.862282	1.103814	69.162000	61.610000	21.633940	1.120537	
0.100000	0.823164	0.936062	70.826000	68.400000	21.527863	1.153485	
0.100000	0.785087	0.898147	72.302000	68.660000	21.575480	1.117478	
0.100000	0.749128	0.949680	73.598000	67.770000	21.600986	1.187509	
0.100000	0.718131	0.979937	74.740000	68.470000	21.780376	1.096951	
0.100000	0.696246	0.828010	75.470000	71.980000	21.988300	1.231287	
0.100000	0.667643	1.095507	76.550000	65.460000	21.497174	1.128028	
0.100000	0.648865	1.166579	77.238000	65.150000	21.517723	1.140632	
0.100000	0.625316	0.824855	77.924000	72.580000	21.487761	1.094257	
0.100000	0.611463	0.809273	78.336000	73.790000	21.874761	1.097742	
0.100000	0.588293	0.710012	79.348000	76.580000	21.937996	1.120746	
0.100000	0.575417	0.742647	80.064000	75.560000	21.234637	1.092658	
0.100000	0.556303	0.759403	80.622000	74.710000	21.380395	1.139955	
0.100000	0.544663	0.854773	80.934000	71.460000	21.336467	1.095584	
0.100000	0.529669	0.794738	81.462000	74.540000	21.806975	1.134361	
0.100000	0.517066	0.726280	82.062000	76.360000	21.783967	1.201130	
0.100000	0.504890	0.884986	82.330000	72.600000	21.203380	1.123646	
0.100000	0.490276	0.715932	83.052000	77.200000	21.058596	1.082950	
0.100000	0.480808	0.693378	83.118000	78.190000	21.553477	1.105834	
0.100000	0.471459	0.792421	83.576000	74.820000	21.633344	1.096359	
0.100000	0.459880	0.656951	84.184000	77.720000	21.886576	1.160271	
0.100000	0.446703	0.954567	84.452000	71.470000	21.494433	1.101179	
0.100000	0.445567	0.785897	84.492000	76.070000	21.189257	1.080166	
0.100000	0.434412	0.619840	84.846000	79.650000	21.494785	1.102167	
0.100000	0.425481	0.819396	85.146000	75.220000	21.909954	1.098380	
0.100000	0.413776	0.717991	85.542000	78.050000	21.882601	1.214658	
0.100000	0.407316	0.989099	85.880000	70.130000	21.666348	1.088774	
0.100000	0.399906	0.767626	86.128000	76.710000	21.913033	1.120023	
0.100000	0.394776	0.608670	86.158000	80.810000	21.761945	1.195816	
0.100000	0.386821	0.640907	86.514000	79.720000	21.837215	1.117321	
0.100000	0.377969	1.104964	86.780000	69.260000	22.151337	1.096763	
0.100000	0.371350	0.709924	87.056000	78.430000	21.540346	1.080508	
0.100000	0.366392	0.764544	87.306000	75.950000	21.467849	1.088230	
0.100000	0.358402	0.669169	87.426000	79.170000	21.647309	1.115640	
0.100000	0.351851	0.888087	87.692000	74.880000	21.922862	1.186182	
0.100000	0.346437	0.625935	87.916000	80.180000	21.964581	1.109130	
0.100000	0.343100	0.687929	88.050000	78.940000	21.878347	1.132531	
0.100000	0.333557	0.635471	88.482000	80.250000	21.679224	1.127481	
0.100000	0.329718	0.606593	88.566000	80.950000	21.705141	1.114063	
0.100000	0.321280	0.599050	88.706000	81.260000	22.001450	1.101950	
0.100000	0.319269	0.632779	88.834000	80.420000	22.091284	1.117450	
0.100000	0.314050	0.763741	89.100000	78.510000	21.628033	1.104514	
0.100000	0.305871	0.705769	89.196000	78.640000	21.648078	1.110546	
0.100000	0.304095	0.752304	89.304000	77.810000	21.712522	1.105458	
0.100000	0.297421	0.610465	89.638000	81.670000	21.927355	1.178386	
0.100000	0.292474	0.704216	89.696000	79.300000	21.968421	1.116012	
0.100000	0.290574	0.589508	89.770000	82.070000	21.606070	1.135666	
0.100000	0.286522	0.708358	89.916000	79.500000	21.913615	1.099373	
0.100000	0.280491	0.784988	90.148000	78.470000	22.155819	1.128978	
0.100000	0.270801	0.709146	90.460000	80.370000	21.923267	1.119309	
0.100000	0.270801	0.644374	90.418000	80.340000	22.180986	1.099609	
0.100000	0.268643	0.811481	90.654000	78.450000	21.672671	1.103800	
0.100000	0.261055	0.640848	90.846000	82.120000	21.730299	1.161353	
0.100000	0.259991	0.628626	90.832000	81.870000	21.809548	1.104580	
