LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.676907	1.659384	37.802000	44.930000	21.512946	1.606260	
0.100000	1.150886	1.113026	58.318000	60.960000	21.279047	1.579433	
0.100000	0.902851	1.560763	68.082000	52.880000	21.693693	1.580477	
0.100000	0.752757	0.937884	73.700000	68.700000	21.768767	1.602045	
0.100000	0.659147	0.826304	77.116000	72.880000	21.788672	1.540953	
0.100000	0.599275	0.760870	79.268000	74.470000	21.691142	1.556164	
0.100000	0.566504	0.740736	80.368000	75.410000	21.485278	1.607788	
0.100000	0.535027	0.723026	81.636000	76.230000	22.230717	1.484960	
0.100000	0.504940	0.620494	82.518000	78.520000	22.243445	1.634279	
0.100000	0.483553	0.764159	83.314000	74.990000	21.997897	1.654010	
0.100000	0.469692	0.623104	83.730000	79.190000	21.164921	1.566221	
0.100000	0.459233	0.836402	84.080000	74.570000	21.804981	1.556755	
0.100000	0.449957	0.722813	84.214000	76.330000	21.633473	1.601560	
0.100000	0.439785	0.831768	84.788000	74.880000	21.842359	1.604628	
0.100000	0.425521	0.652610	85.376000	79.450000	22.138599	1.646286	
0.100000	0.413919	0.654508	85.742000	79.620000	21.547838	1.582063	
0.100000	0.410581	0.700695	85.890000	77.580000	21.630392	1.608620	
0.100000	0.412721	0.775889	85.670000	77.080000	22.270364	1.372527	
0.100000	0.404976	0.628353	86.006000	79.940000	22.219039	1.598569	
0.100000	0.408115	0.600164	85.966000	80.540000	23.734446	1.574348	
0.100000	0.387934	0.800519	86.580000	75.970000	21.840704	1.443058	
0.100000	0.387961	0.662652	86.588000	79.570000	21.780270	1.579234	
0.100000	0.380157	0.907069	86.906000	73.780000	21.864134	1.647692	
0.100000	0.377764	1.074609	87.028000	72.610000	22.186941	1.561796	
0.100000	0.379004	0.581099	87.028000	80.500000	22.399993	1.605705	
0.100000	0.360179	0.864856	87.534000	73.760000	21.333509	1.570748	
0.100000	0.365398	0.666721	87.282000	79.510000	21.524457	1.615127	
0.100000	0.355602	0.741373	87.662000	77.910000	22.050312	1.540046	
0.100000	0.355296	0.976060	87.794000	71.970000	21.786873	1.547388	
0.100000	0.358680	0.460751	87.648000	84.480000	21.703156	1.602901	
0.100000	0.344445	0.709301	88.108000	78.820000	21.727078	1.615439	
