LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.752889	1.486126	34.674000	45.480000	45.870514	2.439601	
0.100000	1.241253	1.256797	54.672000	55.500000	48.878971	2.401597	
0.100000	0.968895	1.082893	65.424000	63.200000	46.062367	2.416053	
0.100000	0.802449	1.056202	71.632000	64.360000	37.677242	1.766131	
0.100000	0.695113	1.187501	75.744000	63.260000	45.303131	2.386726	
0.100000	0.622693	0.793618	78.402000	73.470000	44.576785	2.475107	
0.100000	0.575950	0.776789	80.188000	73.980000	36.781547	1.700292	
0.100000	0.541814	0.976778	81.298000	68.970000	47.558879	2.514424	
0.100000	0.516375	0.742514	82.098000	75.550000	47.530535	2.435830	
0.100000	0.493727	0.643053	82.976000	78.540000	45.942550	2.306501	
0.100000	0.476203	0.691137	83.544000	77.280000	46.641743	2.429890	
0.100000	0.465355	0.767965	83.764000	76.170000	48.295602	2.437411	
0.100000	0.456449	0.753113	84.202000	76.390000	46.307579	2.567425	
0.100000	0.444284	1.063097	84.754000	69.350000	38.192598	1.587305	
0.100000	0.432489	0.743936	85.154000	76.960000	47.052006	2.499779	
0.100000	0.418296	1.047272	85.822000	68.400000	46.614196	2.498237	
0.100000	0.422066	0.581931	85.508000	80.590000	34.385803	2.478717	
0.100000	0.408027	1.508534	85.986000	60.970000	47.872390	2.495008	
0.100000	0.402341	0.644691	86.304000	79.650000	47.604226	2.546692	
0.100000	0.408080	0.884472	86.064000	75.690000	50.919597	2.593482	
0.100000	0.393571	0.545206	86.206000	82.350000	46.367011	2.454843	
0.100000	0.388376	0.740571	86.666000	77.830000	47.446050	2.428736	
0.100000	0.390284	0.529838	86.462000	82.550000	48.737629	2.368346	
0.100000	0.382669	0.724147	86.752000	77.480000	33.782453	2.474684	
0.100000	0.379037	0.518185	86.878000	83.040000	47.680842	2.414332	
0.100000	0.367710	0.740237	87.322000	76.310000	46.105951	2.508986	
0.100000	0.372690	0.793523	87.128000	76.390000	33.113623	2.320686	
0.100000	0.365671	0.850470	87.418000	76.420000	47.441355	2.559965	
0.100000	0.359045	0.776219	87.476000	76.940000	46.487860	2.507499	
0.100000	0.361129	0.750647	87.584000	77.310000	47.342957	2.416512	
0.100000	0.346933	0.751943	87.956000	76.810000	45.806653	2.455267	
0.100000	0.358803	0.501472	87.796000	83.170000	45.763637	2.426035	
0.100000	0.342624	0.547851	88.128000	81.670000	47.818865	2.438058	
