LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.736072	1.367357	34.770000	49.590000	19.308554	1.102637	
0.100000	1.217257	1.522413	55.762000	50.020000	19.295445	1.156446	
0.100000	0.955514	1.086946	66.060000	63.450000	19.339767	1.108077	
0.100000	0.782785	0.970990	72.600000	68.290000	19.424240	1.118438	
0.100000	0.694052	0.915393	75.964000	67.560000	19.322913	1.084067	
0.100000	0.633585	1.204318	78.052000	64.000000	19.535041	1.177348	
0.100000	0.584211	0.718233	79.872000	75.290000	19.637082	1.106448	
0.100000	0.552230	0.736481	81.010000	75.790000	19.501905	1.118582	
0.100000	0.518729	0.804464	82.242000	75.140000	19.746825	1.090755	
0.100000	0.503120	0.647187	82.766000	78.090000	19.693835	1.118567	
0.100000	0.476838	0.914183	83.614000	72.270000	19.805831	1.115854	
0.100000	0.465590	0.821047	84.016000	73.180000	19.480295	1.082748	
0.100000	0.461014	0.822205	84.226000	72.830000	19.622381	1.087481	
0.100000	0.437941	0.650323	84.886000	79.490000	19.566872	1.110624	
0.100000	0.434893	0.556833	85.088000	80.950000	19.424781	1.109354	
0.100000	0.419786	0.869551	85.618000	71.700000	19.832649	1.111963	
0.100000	0.422556	0.756789	85.474000	75.240000	19.344216	1.100953	
0.100000	0.412679	0.571337	85.834000	81.070000	19.432566	1.120122	
0.100000	0.404393	0.947972	85.930000	73.250000	19.383163	1.135486	
0.100000	0.397468	0.612193	86.138000	80.450000	19.434447	1.130231	
0.100000	0.379697	0.488017	86.914000	83.690000	19.254355	1.091307	
0.100000	0.390020	0.614264	86.550000	79.560000	19.589546	1.123226	
0.100000	0.377435	0.741124	87.022000	77.470000	19.445095	1.099747	
0.100000	0.382689	0.618575	86.826000	79.610000	19.503703	1.120310	
0.100000	0.372940	0.719507	87.186000	77.820000	19.413599	1.214850	
0.100000	0.362155	0.612265	87.522000	79.950000	19.562554	1.109745	
0.100000	0.363470	0.555222	87.378000	81.960000	19.827295	1.147035	
0.100000	0.362157	0.666268	87.662000	79.020000	19.588487	1.151298	
0.100000	0.356539	0.897466	87.766000	76.830000	19.705066	1.126405	
0.100000	0.358907	0.510672	87.506000	82.690000	19.719902	1.128768	
0.100000	0.340905	0.471405	88.224000	84.210000	19.561254	1.153139	
0.100000	0.352467	0.661498	87.856000	79.050000	19.524428	1.104444	
0.100000	0.340402	0.918667	88.396000	76.180000	19.569605	1.114309	
0.100000	0.342811	0.441067	88.140000	85.580000	19.451862	1.133955	
0.100000	0.334192	0.920675	88.410000	74.200000	19.523222	1.229219	
0.100000	0.333239	0.506932	88.450000	83.620000	19.337030	1.148731	
0.100000	0.340290	0.660182	88.386000	79.790000	19.538418	1.125600	
0.100000	0.336231	0.575618	88.318000	81.780000	19.381475	1.120995	
0.100000	0.334387	0.713995	88.426000	77.830000	19.552944	1.087906	
0.100000	0.328911	0.837921	88.732000	74.750000	19.457920	1.106255	
0.100000	0.324300	0.545736	88.736000	82.420000	19.708648	1.116700	
0.100000	0.329737	0.692941	88.752000	78.380000	19.603611	1.103034	
0.100000	0.326158	0.566328	88.792000	81.990000	19.442374	1.100043	
0.100000	0.323603	0.542345	88.908000	83.130000	20.057762	1.112700	
0.100000	0.318635	0.576813	89.154000	80.390000	19.591041	1.113363	
0.100000	0.308208	0.510415	89.510000	83.510000	19.349688	1.168355	
0.100000	0.319162	0.681568	89.062000	79.940000	19.536124	1.110108	
0.100000	0.312411	0.492163	89.332000	83.010000	19.443529	1.146292	
0.100000	0.319601	0.552526	89.042000	82.010000	19.678213	1.144599	
0.100000	0.314854	0.418717	89.140000	85.830000	19.350526	1.167966	
0.100000	0.304782	0.832409	89.506000	76.830000	19.492417	1.111977	
0.100000	0.311394	0.642140	89.258000	80.400000	19.359615	1.094085	
0.100000	0.308517	0.680856	89.324000	80.190000	19.336376	1.090428	
0.100000	0.312557	0.496975	89.212000	84.090000	19.356355	1.097118	
0.100000	0.310379	0.440058	89.376000	85.290000	19.271156	1.132787	
0.100000	0.297082	0.502390	89.776000	83.900000	19.342973	1.129155	
0.100000	0.303681	0.473956	89.644000	84.480000	19.375957	1.165313	
0.100000	0.306386	0.702552	89.580000	79.850000	19.323812	1.125010	
0.100000	0.309865	0.510613	89.306000	83.620000	19.413175	1.131343	
0.100000	0.296686	0.611495	89.714000	81.130000	19.820589	1.105458	
0.100000	0.299723	0.517477	89.626000	83.160000	19.355913	1.121600	
0.100000	0.300059	1.086698	89.542000	71.480000	19.260386	1.096110	
0.100000	0.296817	0.962003	89.842000	73.620000	19.576608	1.104095	
0.100000	0.296628	0.605965	89.816000	81.260000	19.505943	1.108881	
0.100000	0.298949	0.629936	89.578000	81.890000	19.420202	1.077077	
0.100000	0.287192	0.504833	90.084000	83.660000	19.352419	1.091376	
0.100000	0.297588	0.814220	89.852000	76.440000	19.285778	1.188356	
0.100000	0.291734	0.572514	89.886000	82.580000	19.383516	1.108075	
0.100000	0.294806	0.556154	90.052000	82.060000	19.552098	1.096934	
0.100000	0.293330	1.263205	89.816000	70.790000	19.528712	1.124909	
0.100000	0.288899	0.567951	90.040000	81.340000	19.676671	1.112696	
0.100000	0.294447	0.508385	89.906000	83.710000	19.363152	1.152296	
0.100000	0.297471	0.433737	89.790000	85.560000	19.563372	1.145895	
0.100000	0.292430	0.594821	89.872000	81.590000	19.521389	1.114328	
0.100000	0.291666	0.497522	89.874000	84.030000	19.515818	1.119714	
0.100000	0.282035	0.556448	90.382000	82.360000	19.892113	1.162088	
0.100000	0.294914	0.517326	89.768000	83.120000	19.333222	1.210617	
0.100000	0.288737	0.574356	89.978000	81.710000	19.518203	1.095379	
0.100000	0.291916	0.618424	89.996000	81.030000	19.644970	1.122387	
0.100000	0.291667	0.423259	90.084000	86.040000	19.514830	1.129086	
0.100000	0.281813	0.471069	90.250000	84.290000	19.561538	1.101297	
0.100000	0.287446	0.553001	89.988000	82.830000	19.610150	1.145021	
0.100000	0.287345	0.873037	90.042000	74.100000	19.480095	1.108623	
0.100000	0.293937	0.524307	89.948000	83.040000	19.462888	1.136322	
0.100000	0.289482	0.506916	89.970000	83.870000	19.356832	1.156931	
0.100000	0.276356	0.561872	90.590000	82.700000	19.372930	1.102763	
0.100000	0.288682	0.482715	90.054000	84.460000	19.457339	1.211078	
0.100000	0.285511	0.566929	90.206000	82.260000	19.494672	1.163105	
0.100000	0.282655	0.786165	90.320000	77.210000	19.453657	1.111729	
0.100000	0.285293	0.679666	90.168000	79.270000	19.581954	1.099397	
0.100000	0.273210	0.500660	90.640000	83.140000	19.082054	1.113745	
0.100000	0.289952	0.538001	90.040000	82.380000	19.279935	1.087039	
0.100000	0.282757	0.669808	90.398000	79.570000	19.383889	1.119256	
0.100000	0.283986	0.412988	90.194000	86.300000	19.231540	1.109384	
0.100000	0.285172	0.456291	90.196000	84.740000	19.281733	1.127249	
0.100000	0.275321	0.470279	90.510000	85.030000	19.462071	1.107092	
0.100000	0.278782	0.467713	90.310000	84.590000	19.478934	1.137862	
0.100000	0.281973	0.685041	90.224000	79.680000	19.008901	1.134324	
0.100000	0.286324	0.462309	90.086000	85.000000	19.403051	1.126115	
0.100000	0.284812	0.613664	89.996000	80.750000	19.521084	1.130348	
0.100000	0.271451	0.457032	90.744000	84.990000	19.461845	1.107560	
0.100000	0.284014	0.676494	90.198000	79.880000	19.578642	1.093616	
0.100000	0.281463	0.450577	90.396000	85.530000	19.369486	1.113885	
0.100000	0.284160	0.492820	90.178000	83.930000	19.792659	1.093525	
0.100000	0.274817	0.568207	90.482000	82.410000	19.484445	1.098459	
0.100000	0.277606	0.671847	90.238000	80.410000	19.803249	1.125026	
0.100000	0.275874	0.401337	90.544000	86.410000	19.670897	1.181299	
0.100000	0.283563	0.457941	90.316000	85.020000	19.484865	1.089957	
0.100000	0.282100	0.579340	90.370000	81.210000	19.262357	1.087214	
0.100000	0.278606	1.180319	90.426000	69.540000	19.898358	1.126391	
0.100000	0.262510	0.441024	90.872000	85.850000	19.451647	1.144350	
0.100000	0.274411	0.448964	90.572000	85.450000	19.309131	1.137634	
0.100000	0.277697	0.543800	90.310000	82.930000	19.466302	1.107058	
0.100000	0.274900	0.723505	90.512000	79.130000	19.353860	1.112010	
0.100000	0.279817	0.572783	90.462000	81.540000	19.615569	1.124506	
0.100000	0.271010	0.696438	90.764000	79.050000	19.390468	1.088801	
0.100000	0.275739	0.495778	90.504000	84.140000	19.273300	1.194794	
0.100000	0.276422	0.706574	90.458000	77.240000	19.357945	1.096056	
0.100000	0.275972	0.438439	90.656000	86.220000	19.529498	1.103167	
0.100000	0.273633	0.689869	90.480000	79.800000	20.008420	1.099771	
0.100000	0.274732	0.394090	90.486000	86.590000	19.443327	1.113095	
0.100000	0.271195	0.781757	90.674000	77.870000	19.303264	1.108405	
0.100000	0.273386	0.676881	90.656000	78.470000	19.225671	1.118357	
0.100000	0.277846	0.554542	90.430000	82.800000	19.375642	1.086989	
0.100000	0.276380	0.481420	90.468000	84.810000	19.293817	1.100130	
0.100000	0.264340	0.593708	90.974000	81.490000	19.347489	1.087682	
0.100000	0.273942	0.715798	90.576000	79.130000	19.412260	1.132128	
0.100000	0.278551	0.493077	90.476000	83.760000	19.442572	1.096329	
0.100000	0.273164	0.554978	90.576000	82.950000	19.467053	1.143716	
0.100000	0.272626	0.448219	90.728000	85.680000	19.591547	1.100045	
0.100000	0.264896	0.780945	90.804000	78.010000	19.223155	1.155690	
0.100000	0.275995	0.618076	90.494000	81.920000	19.303390	1.092159	
0.100000	0.272528	0.511221	90.566000	83.850000	19.333660	1.090082	
0.100000	0.271566	0.531584	90.638000	83.390000	19.326947	1.116346	
0.100000	0.272450	0.565465	90.570000	83.100000	19.349673	1.094968	
0.100000	0.267752	0.478098	90.870000	85.330000	19.390710	1.128765	
0.100000	0.275891	0.459668	90.480000	85.220000	19.183031	1.274099	
0.100000	0.274587	0.787391	90.586000	77.600000	19.366175	1.122238	
0.100000	0.269722	0.635203	90.694000	80.190000	19.331403	1.121488	
0.100000	0.272010	0.497957	90.766000	84.630000	19.531937	1.109706	
0.100000	0.260213	0.608335	91.058000	80.790000	18.947947	1.097761	
0.100000	0.273135	0.407035	90.640000	86.790000	19.500085	1.136162	
0.100000	0.272630	0.517185	90.534000	83.120000	19.240381	1.123074	
0.100000	0.268581	0.506282	90.820000	84.350000	19.470441	1.111755	
0.100000	0.272900	0.511343	90.604000	83.890000	19.397965	1.092753	
0.100000	0.267108	0.542073	90.754000	83.030000	19.552496	1.101565	
0.100000	0.272630	0.448066	90.572000	85.970000	19.891027	1.120325	
0.100000	0.273959	0.616575	90.566000	81.040000	19.338938	1.073011	
0.100000	0.263999	0.532984	90.904000	83.210000	19.421523	1.100245	
0.100000	0.266855	0.511460	90.820000	83.570000	19.515467	1.114375	
0.100000	0.264480	0.585518	90.976000	81.390000	19.712081	1.136992	
0.100000	0.271836	0.518620	90.674000	83.900000	19.454585	1.085007	
0.100000	0.271924	0.778768	90.600000	77.340000	19.727447	1.147851	
0.100000	0.270248	0.489372	90.642000	84.710000	19.671283	1.113276	
0.100000	0.269451	0.567288	90.782000	81.900000	19.772458	1.144701	
0.100000	0.259886	0.579756	91.100000	81.430000	19.891242	1.141826	
0.100000	0.267798	0.530713	90.730000	83.160000	19.628295	1.087562	
0.100000	0.266782	0.728158	90.770000	78.930000	20.054618	1.119243	
0.100000	0.271916	0.400617	90.716000	87.380000	19.621697	1.146591	
0.100000	0.271090	0.557825	90.662000	81.810000	19.682945	1.097593	
0.100000	0.262160	0.439941	90.976000	85.690000	19.346603	1.113280	
0.100000	0.265940	0.538320	90.734000	82.920000	19.459173	1.099850	
0.100000	0.268796	0.535059	90.664000	82.680000	19.287842	1.108839	
0.100000	0.271709	0.440886	90.706000	85.640000	19.723567	1.098925	
0.100000	0.269525	0.554876	90.736000	83.610000	19.471631	1.131254	
0.100000	0.258554	0.579376	91.086000	82.550000	19.446756	1.122263	
0.100000	0.268109	0.403264	90.806000	87.180000	19.562634	1.103308	
0.100000	0.279038	0.622217	90.378000	81.140000	19.483380	1.128662	
0.100000	0.273864	0.428785	90.544000	85.660000	19.527989	1.129089	
0.100000	0.263511	0.907533	90.802000	73.350000	19.610794	1.097338	
0.100000	0.259369	0.647806	91.124000	79.930000	19.608853	1.120240	
0.100000	0.267471	0.690729	90.860000	79.990000	19.607103	1.081357	
0.100000	0.268145	0.543651	90.818000	83.480000	19.399685	1.131834	
0.100000	0.268942	0.493492	90.690000	84.390000	19.507253	1.109236	
0.100000	0.269037	0.530526	90.708000	83.370000	19.734945	1.141499	
0.100000	0.262104	0.511859	90.934000	84.300000	19.319607	1.108817	
0.100000	0.270330	0.647717	90.626000	79.630000	19.475303	1.091829	
0.100000	0.266993	0.550158	90.974000	83.140000	19.475059	1.094150	
0.100000	0.264586	0.563838	91.002000	81.500000	19.293303	1.146728	
0.100000	0.266687	0.553351	90.818000	82.100000	19.382488	1.152985	
