LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.760257	1.581595	32.956000	41.950000	19.281664	1.144341	
0.100000	1.231716	1.378544	55.146000	54.260000	19.569036	1.110019	
0.100000	0.937081	1.109765	66.780000	61.570000	19.292309	1.118998	
0.100000	0.774069	1.165295	73.022000	62.100000	19.437603	1.094642	
0.100000	0.675364	1.214155	76.476000	63.900000	19.379628	1.092732	
0.100000	0.611828	1.018966	78.736000	66.450000	19.566736	1.129593	
0.100000	0.570039	1.126073	80.246000	64.060000	19.722270	1.126014	
0.100000	0.536998	0.782879	81.454000	74.460000	19.622005	1.082890	
0.100000	0.514223	0.733978	82.358000	75.700000	19.617612	1.211441	
0.100000	0.480389	0.582748	83.500000	81.000000	19.780730	1.092466	
0.100000	0.463233	0.731935	84.076000	76.070000	19.393274	1.120623	
0.100000	0.453095	0.575971	84.380000	80.030000	19.513756	1.178647	
0.100000	0.444347	0.557596	84.790000	81.640000	19.548816	1.106971	
0.100000	0.434283	0.621463	85.176000	79.170000	19.420833	1.120876	
0.100000	0.426573	0.710441	85.210000	77.340000	19.482834	1.116329	
0.100000	0.407199	0.784557	86.196000	75.700000	19.844522	1.140139	
0.100000	0.405832	0.606550	86.088000	80.270000	19.495991	1.096875	
0.100000	0.408662	0.569988	85.954000	80.960000	19.421702	1.115139	
0.100000	0.388870	0.622681	86.660000	80.350000	19.375645	1.155177	
0.100000	0.375243	0.564224	87.166000	81.510000	19.661046	1.150956	
0.100000	0.369074	0.852206	87.512000	73.740000	19.634623	1.092514	
0.100000	0.376200	0.773665	87.190000	76.540000	19.884245	1.112012	
0.100000	0.364410	0.551120	87.420000	81.760000	19.756601	1.110943	
0.100000	0.365283	1.101830	87.512000	69.250000	19.697323	1.105180	
0.100000	0.355644	0.735300	87.804000	77.580000	19.997953	1.123563	
0.100000	0.345814	0.723058	88.054000	78.140000	19.402018	1.120062	
0.100000	0.359860	0.598989	87.652000	79.960000	19.723283	1.131822	
0.100000	0.350921	0.461240	88.140000	84.920000	19.419518	1.084811	
0.100000	0.344599	0.566288	88.110000	81.650000	19.398600	1.147632	
0.100000	0.341666	0.682929	88.298000	79.340000	19.412244	1.180427	
0.100000	0.325458	0.658790	88.890000	79.410000	19.187325	1.143224	
0.100000	0.336518	0.629049	88.422000	80.720000	19.029287	1.087229	
0.100000	0.333022	0.504317	88.628000	83.580000	19.537633	1.127071	
0.100000	0.330766	0.597737	88.574000	80.540000	19.642498	1.166433	
0.100000	0.331564	0.540101	88.554000	81.670000	19.733087	1.167731	
0.100000	0.316723	0.507084	89.130000	83.320000	19.718073	1.206196	
0.100000	0.320368	0.696465	89.014000	79.030000	19.654148	1.106925	
0.100000	0.323826	0.544670	88.738000	82.760000	19.744414	1.225942	
0.100000	0.325269	0.663146	88.812000	78.940000	19.899873	1.092799	
0.100000	0.316861	0.474763	89.180000	84.620000	20.015966	1.259888	
0.100000	0.304802	0.601737	89.436000	80.740000	19.694009	1.234057	
0.100000	0.318668	0.451618	89.088000	85.320000	19.798079	1.208544	
0.100000	0.311902	0.492241	89.348000	83.400000	19.796269	1.140995	
0.100000	0.305231	0.506591	89.570000	83.200000	20.083171	1.193609	
0.100000	0.314584	0.716375	89.156000	77.770000	20.069202	1.264991	
0.100000	0.303710	0.806696	89.620000	76.510000	19.666627	1.256857	
0.100000	0.311335	0.631134	89.166000	81.110000	19.821401	1.194789	
0.100000	0.304704	0.465518	89.548000	85.030000	19.932488	1.099616	
0.100000	0.306866	0.526519	89.326000	82.410000	19.886976	1.190169	
0.100000	0.305032	0.572240	89.552000	82.350000	20.231552	1.206041	
0.100000	0.296779	0.480911	89.764000	84.610000	19.671779	1.183145	
0.100000	0.304728	0.638158	89.420000	79.970000	19.725260	1.103408	
0.100000	0.301161	0.436009	89.716000	85.600000	19.590841	1.296743	
0.100000	0.293679	0.505187	89.972000	83.940000	19.758640	1.132201	
0.100000	0.302320	0.624274	89.488000	80.670000	19.819744	1.201447	
0.100000	0.298258	0.622454	89.720000	79.950000	19.689448	1.174231	
0.100000	0.296117	0.424100	89.826000	85.930000	19.542575	1.275990	
