LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.727471	1.419740	35.072000	47.730000	16.480892	0.959745	
0.100000	1.279001	1.247435	53.268000	54.400000	16.438652	1.144866	
0.100000	1.049406	1.454828	62.310000	53.500000	16.475137	0.936031	
0.100000	0.916288	1.079403	67.590000	66.140000	16.479048	1.060557	
0.100000	0.811525	1.619872	71.452000	56.420000	16.405989	0.957841	
0.100000	0.740612	0.893621	74.082000	70.440000	16.721988	0.956968	
0.100000	0.701195	0.791890	75.690000	72.830000	16.771754	0.943012	
0.100000	0.658772	1.510442	77.222000	60.710000	16.462719	0.918212	
0.100000	0.641806	1.007414	77.822000	67.990000	16.676157	0.929801	
0.100000	0.608529	0.781979	79.042000	73.960000	16.632466	0.949037	
0.100000	0.591193	0.883494	79.550000	71.790000	16.648427	0.963598	
0.100000	0.579550	0.979469	80.086000	68.730000	16.634576	1.051936	
0.100000	0.564050	1.278493	80.428000	63.010000	16.589747	0.947962	
0.100000	0.556590	0.651398	80.742000	77.650000	16.768064	1.044324	
0.100000	0.544988	0.898042	81.156000	70.530000	16.827198	0.991028	
0.100000	0.535285	0.956970	81.404000	69.500000	16.748485	1.004866	
0.100000	0.531975	0.713376	81.540000	76.270000	16.618898	0.978935	
0.100000	0.516891	0.877511	82.260000	72.000000	16.831400	0.982498	
0.100000	0.515733	0.747545	82.182000	75.640000	16.717721	0.967980	
0.100000	0.511649	0.918779	82.462000	71.730000	16.681154	0.999626	
0.100000	0.496571	0.739542	82.642000	75.950000	16.820693	1.000121	
0.100000	0.503071	0.667533	82.700000	77.800000	16.756299	0.957560	
0.100000	0.490400	0.641235	83.176000	78.720000	16.785250	0.940978	
0.100000	0.492088	1.014438	82.904000	69.960000	16.771600	0.964308	
0.100000	0.482905	0.875693	83.224000	73.790000	16.828472	1.006636	
0.100000	0.474459	0.795393	83.718000	75.120000	16.583244	1.051584	
0.100000	0.474942	0.624590	83.498000	79.150000	16.594076	0.946313	
0.100000	0.476205	0.743950	83.546000	76.250000	16.643962	0.980208	
0.100000	0.470976	0.796522	83.734000	74.100000	16.776257	0.959658	
0.100000	0.467514	0.654699	84.042000	78.250000	16.461834	0.960955	
0.100000	0.465182	0.866520	83.994000	72.240000	16.938758	0.975574	
0.100000	0.456942	0.940263	84.290000	72.640000	16.762567	0.978930	
0.100000	0.468068	0.632746	83.738000	77.960000	16.845690	0.940334	
0.100000	0.459022	0.666842	84.196000	77.530000	16.816396	0.982750	
0.100000	0.452814	1.049654	84.396000	69.840000	16.739272	1.042829	
0.100000	0.452234	0.737616	84.450000	75.930000	16.590832	0.980125	
0.100000	0.449209	0.859439	84.590000	74.820000	16.605581	0.939229	
0.100000	0.450543	0.715496	84.448000	77.470000	16.395808	1.088292	
0.100000	0.446219	0.749474	84.532000	74.720000	16.457388	0.943684	
0.100000	0.443592	0.560407	84.810000	81.030000	16.541328	0.954000	
0.100000	0.442083	0.858530	84.784000	72.670000	16.442040	0.980498	
0.100000	0.442876	1.205953	84.818000	67.520000	16.439630	0.954576	
0.100000	0.440312	0.579488	84.890000	81.120000	16.568861	0.957613	
0.100000	0.436355	0.651259	84.956000	79.320000	16.622372	0.965469	
0.100000	0.436799	1.341205	85.050000	62.080000	16.600570	0.952184	
0.100000	0.425695	0.718929	85.250000	75.450000	16.578123	0.953129	
0.100000	0.432450	0.653236	85.092000	79.120000	16.691055	0.932564	
0.100000	0.433694	0.604452	84.990000	80.050000	16.521096	0.977847	
0.100000	0.428616	0.750097	85.212000	76.560000	16.450326	0.943322	
0.100000	0.435938	0.625392	85.056000	78.440000	16.638393	0.934575	
0.100000	0.417236	0.763244	85.842000	74.800000	16.607068	0.925808	
0.100000	0.423598	0.572893	85.372000	80.860000	16.469157	1.048963	
0.100000	0.427895	1.170783	85.248000	66.410000	16.609534	0.959197	
0.100000	0.425907	0.634870	85.496000	79.210000	16.562456	0.962318	
0.100000	0.428713	0.644802	85.174000	79.140000	16.501360	0.973387	
0.100000	0.418754	0.673268	85.422000	77.780000	16.644523	0.936260	
0.100000	0.424208	0.901892	85.474000	71.270000	16.488500	0.941471	
0.100000	0.419194	0.559398	85.512000	80.980000	16.646254	0.968542	
0.100000	0.417131	0.813628	85.750000	75.150000	16.799638	0.983008	
0.100000	0.413355	0.872257	85.778000	73.330000	16.772104	0.989213	
0.100000	0.413116	0.705004	85.730000	77.470000	16.672785	0.985494	
0.100000	0.418222	0.754828	85.828000	76.460000	16.729386	0.947215	
0.100000	0.419946	0.712047	85.462000	76.020000	16.717782	0.998216	
0.100000	0.411843	0.603120	85.888000	80.900000	16.539137	0.991421	
0.100000	0.420604	0.782804	85.502000	74.770000	16.636585	0.971597	
0.100000	0.407069	0.748700	86.070000	76.520000	16.607407	1.044945	
0.100000	0.409533	0.758480	85.910000	77.230000	16.459296	0.927277	
0.100000	0.414211	0.843067	85.704000	74.060000	16.451894	0.930360	
0.100000	0.412808	0.695222	85.804000	77.540000	16.383845	0.967656	
0.100000	0.411427	0.558199	85.848000	81.540000	16.587121	0.982453	
0.100000	0.413952	0.613460	85.842000	80.110000	16.644351	0.933479	
0.100000	0.409942	0.632218	86.004000	79.810000	16.645668	0.989309	
0.100000	0.407061	0.660527	85.982000	78.570000	16.560523	1.056406	
0.100000	0.407153	0.566870	86.018000	81.580000	16.646868	0.938589	
0.100000	0.400858	0.575387	86.180000	81.600000	16.696953	0.995339	
0.100000	0.402427	0.631809	86.248000	79.350000	16.572505	0.969253	
0.100000	0.406925	0.998415	86.002000	70.000000	16.672745	0.950130	
0.100000	0.404130	0.940111	85.936000	72.750000	16.469628	0.972514	
0.100000	0.404670	0.533613	86.166000	82.370000	16.645507	0.943157	
0.100000	0.408017	0.824971	85.950000	75.210000	16.601873	0.940562	
0.100000	0.399992	0.578252	86.224000	79.880000	16.547407	0.972212	
0.100000	0.407798	0.612604	85.722000	79.670000	16.435101	0.946585	
0.100000	0.402151	0.986794	86.264000	70.640000	16.595164	0.969674	
0.100000	0.400169	0.975410	86.192000	71.070000	16.579786	0.973558	
0.100000	0.410286	0.708956	85.850000	77.990000	16.487837	0.965018	
0.100000	0.399356	0.543173	86.314000	81.390000	16.496346	0.982454	
0.100000	0.410207	0.520795	85.972000	83.060000	16.450184	0.948896	
0.100000	0.406630	0.639130	86.036000	79.220000	16.490737	0.962778	
0.100000	0.399487	0.689498	86.296000	77.210000	16.338392	1.000481	
0.100000	0.405350	0.841287	85.958000	75.170000	16.440091	1.001640	
0.100000	0.395276	0.556623	86.446000	81.020000	16.634467	0.936400	
0.100000	0.391371	0.601100	86.360000	80.770000	16.606571	0.949107	
0.100000	0.405228	0.711001	86.052000	76.450000	16.505131	0.984969	
0.100000	0.402523	0.660215	86.108000	78.120000	16.540704	0.940355	
0.100000	0.398128	0.572821	86.396000	80.910000	16.602938	0.940455	
0.100000	0.396036	0.821362	86.330000	74.250000	16.543257	0.967994	
0.100000	0.397509	0.556892	86.466000	81.380000	16.358546	1.004292	
0.100000	0.392504	0.638950	86.500000	78.940000	16.528016	0.957385	
0.100000	0.395622	0.643459	86.416000	78.790000	16.533340	0.958523	
0.100000	0.398245	0.733171	86.452000	77.060000	16.596315	0.965826	
