LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.819892	1.946614	30.812000	30.950000	16.713269	0.955664	
0.100000	1.378853	1.950308	49.532000	40.150000	16.607517	0.966161	
0.100000	1.112205	1.165309	59.668000	58.970000	16.693758	0.958623	
0.100000	0.939395	1.415781	66.430000	57.030000	16.587754	0.971698	
0.100000	0.838406	0.999875	70.414000	65.820000	16.667187	0.933431	
0.100000	0.767088	0.920407	73.290000	68.830000	16.834303	0.978063	
0.100000	0.718246	0.886676	74.806000	70.910000	16.492093	0.982215	
0.100000	0.682904	1.033145	76.078000	65.880000	16.527250	0.956147	
0.100000	0.657838	0.939847	77.136000	69.540000	16.591382	0.968528	
0.100000	0.639598	0.846262	77.768000	71.760000	16.575405	0.958448	
0.100000	0.606136	0.717758	78.996000	76.050000	16.559992	0.964737	
0.100000	0.594599	0.713559	79.362000	75.280000	16.357436	0.953932	
0.100000	0.578762	0.802509	80.056000	73.960000	16.405654	0.966213	
0.100000	0.566717	0.720085	80.436000	75.480000	16.506260	0.954541	
0.100000	0.554982	0.878748	80.744000	71.310000	16.452034	0.972260	
0.100000	0.540867	1.133070	81.512000	65.950000	16.787306	0.976975	
0.100000	0.534354	1.444296	81.502000	61.250000	16.560520	0.950232	
0.100000	0.534135	0.680173	81.768000	76.700000	16.553766	0.936121	
0.100000	0.520773	0.644651	82.014000	78.450000	16.680320	0.931750	
0.100000	0.515109	0.696296	82.230000	76.850000	16.742175	0.972321	
0.100000	0.512608	0.733038	82.356000	76.200000	16.529337	0.973747	
0.100000	0.502786	1.046599	82.668000	69.030000	16.625314	0.970993	
0.100000	0.500796	0.734487	82.828000	76.160000	16.707356	0.991387	
0.100000	0.495008	0.620028	83.176000	79.100000	16.477686	0.962961	
0.100000	0.497243	0.829817	82.710000	73.010000	16.587446	0.976159	
0.100000	0.488788	0.658074	83.290000	78.150000	16.457391	0.956845	
0.100000	0.475882	0.885875	83.540000	71.430000	16.285561	0.985341	
0.100000	0.478030	0.668600	83.630000	77.530000	16.215282	0.954312	
0.100000	0.476815	0.664703	83.532000	77.270000	16.405352	0.952967	
0.100000	0.475598	0.852666	83.696000	74.090000	16.316609	1.002650	
0.100000	0.465917	0.685782	83.952000	76.900000	16.771960	1.039097	
0.100000	0.467373	0.948239	83.802000	71.430000	16.583977	0.931730	
0.100000	0.471345	0.560783	83.686000	81.420000	16.750794	0.987822	
0.100000	0.458600	0.811934	84.312000	73.530000	16.743279	0.964952	
0.100000	0.455598	0.756232	84.306000	75.040000	16.793852	1.045824	
0.100000	0.453138	0.580667	84.270000	80.710000	16.558508	0.989056	
0.100000	0.456506	0.973699	84.300000	72.210000	16.513177	0.977225	
0.100000	0.449881	0.787818	84.498000	75.120000	16.430902	0.964851	
