LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.734402	1.823008	34.874000	38.050000	19.334394	1.079496	
0.100000	1.220512	1.115578	55.832000	60.660000	19.606496	1.085546	
0.100000	0.926158	1.026434	66.790000	63.100000	19.581741	1.122783	
0.100000	0.774687	0.943589	72.762000	67.520000	19.639105	1.116350	
0.100000	0.671377	1.192939	76.724000	64.480000	19.682011	1.109551	
0.100000	0.608420	0.754993	78.950000	74.510000	19.207548	1.126471	
0.100000	0.571646	0.829843	80.056000	73.020000	19.442782	1.108031	
0.100000	0.539397	0.649653	81.302000	77.190000	19.387963	1.097515	
0.100000	0.515709	0.670292	82.322000	77.480000	19.360605	1.109080	
0.100000	0.491777	0.675049	83.094000	77.690000	19.368346	1.085524	
0.100000	0.461219	0.647469	84.138000	78.380000	19.602772	1.087295	
0.100000	0.463247	0.568647	83.966000	80.660000	19.627154	1.112257	
0.100000	0.445910	0.848805	84.670000	75.010000	19.439401	1.129581	
0.100000	0.434263	0.663509	85.040000	77.930000	19.467176	1.094955	
0.100000	0.427067	0.653867	85.258000	78.860000	19.377858	1.100638	
0.100000	0.411349	1.002000	85.836000	70.670000	19.490406	1.120664	
0.100000	0.409162	0.636137	85.870000	78.850000	19.679361	1.108742	
0.100000	0.400785	0.601922	86.140000	80.450000	19.549678	1.210175	
0.100000	0.391056	0.606290	86.658000	80.020000	19.404901	1.086871	
0.100000	0.389586	0.796560	86.590000	75.710000	19.455476	1.111808	
0.100000	0.375861	0.722320	87.060000	76.670000	19.490102	1.129537	
0.100000	0.381985	0.664566	86.870000	79.300000	19.289863	1.104148	
0.100000	0.373366	0.992036	87.300000	71.560000	19.534867	1.103603	
0.100000	0.367089	0.587966	87.310000	81.100000	19.600780	1.115090	
0.100000	0.368308	0.660470	87.350000	78.870000	19.623877	1.109991	
0.100000	0.356073	0.923887	87.788000	71.860000	19.513590	1.143872	
0.100000	0.358298	0.862772	87.654000	75.300000	19.517787	1.109706	
0.100000	0.356030	0.562617	87.726000	80.960000	19.271871	1.102667	
0.100000	0.351213	0.627767	87.968000	79.660000	19.479905	1.119935	
0.100000	0.344089	0.521539	88.142000	83.590000	19.574479	1.107143	
0.100000	0.338899	0.770814	88.414000	77.070000	19.170701	1.113734	
0.100000	0.343058	0.715882	88.168000	78.470000	19.592590	1.134331	
0.100000	0.341431	0.471633	88.168000	84.350000	19.326918	1.120019	
0.100000	0.332527	0.540571	88.698000	82.070000	19.504003	1.126205	
0.100000	0.338479	0.546892	88.342000	81.730000	19.335458	1.135374	
0.100000	0.320490	0.543918	88.976000	83.220000	19.661965	1.151018	
0.100000	0.326786	0.617942	88.682000	80.130000	19.729114	1.106889	
0.100000	0.330625	0.525077	88.608000	83.420000	19.482585	1.087470	
0.100000	0.315966	0.751127	89.086000	77.280000	19.891638	1.121372	
0.100000	0.328274	0.595817	88.780000	80.640000	19.809801	1.108436	
0.100000	0.315281	0.642501	89.048000	81.080000	19.457550	1.112388	
0.100000	0.322137	0.545028	88.948000	82.990000	19.226703	1.110736	
0.100000	0.320859	0.691424	88.936000	79.300000	19.366172	1.109099	
0.100000	0.315963	0.437849	89.174000	85.210000	19.301763	1.144789	
0.100000	0.319331	0.502349	88.988000	83.730000	19.374583	1.101425	
0.100000	0.313670	0.705739	89.252000	78.760000	19.550498	1.152882	
0.100000	0.315654	0.556818	89.096000	82.440000	19.416308	1.101617	
0.100000	0.312339	0.624529	89.328000	80.080000	19.593975	1.133641	
0.100000	0.309963	0.864259	89.252000	75.280000	19.585550	1.130209	
0.100000	0.306843	0.848565	89.436000	75.930000	19.647438	1.158448	
0.100000	0.297052	0.520238	89.758000	83.060000	19.570967	1.167000	
0.100000	0.309703	0.475965	89.396000	84.490000	19.703627	1.100979	
0.100000	0.306238	0.537854	89.492000	82.440000	19.588006	1.141133	
0.100000	0.306952	0.549657	89.494000	83.330000	19.702962	1.130386	
0.100000	0.304229	0.534960	89.498000	83.060000	19.801543	1.108970	
0.100000	0.295331	0.532028	89.858000	83.420000	19.706011	1.126867	
0.100000	0.306324	0.646757	89.332000	80.450000	19.675986	1.120932	
0.100000	0.297920	0.544832	89.694000	81.760000	19.807839	1.121483	
0.100000	0.300620	0.627745	89.668000	80.790000	19.717441	1.124211	
0.100000	0.297135	0.587301	89.838000	82.030000	19.815323	1.109497	
0.100000	0.292444	0.529208	89.696000	82.880000	19.375067	1.095475	
0.100000	0.295804	0.878548	89.898000	75.170000	19.557804	1.105574	
0.100000	0.294617	0.615475	89.882000	80.400000	19.518312	1.130226	
0.100000	0.301760	0.496796	89.638000	84.320000	19.321274	1.221991	
0.100000	0.296891	0.655779	89.704000	79.410000	19.618619	1.093845	
0.100000	0.288382	0.671184	90.068000	79.670000	19.490455	1.121185	
0.100000	0.294378	0.447726	89.810000	85.150000	19.334406	1.155358	
0.100000	0.302418	0.653437	89.596000	79.360000	19.583653	1.100943	
0.100000	0.291168	0.566902	89.978000	82.650000	19.419035	1.107577	
0.100000	0.295869	0.562612	89.846000	82.620000	19.627138	1.113373	
0.100000	0.287340	0.624054	90.096000	81.660000	19.492355	1.121584	
0.100000	0.294232	0.637634	89.874000	79.480000	19.619581	1.134378	
0.100000	0.290228	0.671184	90.080000	80.110000	19.652067	1.095037	
0.100000	0.289858	0.523185	89.962000	82.940000	19.570849	1.095247	
0.100000	0.295390	0.558468	89.810000	82.380000	19.695981	1.141341	
0.100000	0.288165	0.738723	90.092000	78.390000	19.436824	1.119493	
0.100000	0.287676	0.602174	89.998000	81.840000	19.557695	1.128879	
0.100000	0.293298	0.503435	89.934000	84.320000	19.570062	1.130143	
0.100000	0.286841	0.552683	90.130000	83.060000	19.573153	1.108379	
0.100000	0.288278	0.756974	90.098000	76.580000	19.559954	1.102720	
0.100000	0.285013	0.593194	90.172000	81.620000	19.518623	1.114850	
0.100000	0.285338	0.718367	90.104000	78.300000	19.469286	1.141700	
0.100000	0.286032	0.825399	90.254000	77.370000	19.349616	1.098409	
0.100000	0.291470	0.559754	89.950000	81.690000	19.358390	1.099180	
0.100000	0.282660	0.530700	90.290000	83.370000	19.407241	1.168659	
0.100000	0.278740	0.632109	90.480000	80.950000	19.618731	1.128476	
0.100000	0.283715	0.514709	90.166000	83.480000	19.591095	1.177551	
0.100000	0.283809	0.685414	90.224000	79.550000	19.672771	1.105873	
0.100000	0.287118	0.488306	90.066000	84.010000	19.733587	1.108755	
0.100000	0.284088	0.502694	90.226000	83.110000	19.690606	1.101837	
0.100000	0.276391	0.684078	90.452000	79.730000	19.360702	1.109722	
0.100000	0.284318	0.621817	90.296000	80.820000	19.559874	1.112939	
0.010000	0.173022	0.243961	94.206000	91.720000	19.404865	1.147775	
0.010000	0.132055	0.236956	95.650000	91.950000	19.444194	1.090086	
0.010000	0.116293	0.231238	96.192000	92.410000	19.471842	1.086415	
0.010000	0.105573	0.237118	96.542000	92.250000	19.732168	1.103100	
0.010000	0.097906	0.236431	96.774000	92.420000	19.456169	1.143322	
0.010000	0.091168	0.232597	96.922000	92.590000	19.631360	1.109975	
0.010000	0.084628	0.236418	97.164000	92.410000	19.678955	1.132084	
0.010000	0.080756	0.240329	97.384000	92.460000	19.684945	1.103203	
0.010000	0.077092	0.235088	97.490000	92.690000	19.544640	1.143742	
0.010000	0.074042	0.251251	97.554000	92.480000	19.557972	1.102322	
0.010000	0.069557	0.243935	97.676000	92.830000	19.464982	1.092292	
0.010000	0.068360	0.261447	97.718000	92.260000	19.440101	1.087060	
0.010000	0.062339	0.253984	97.920000	92.360000	19.637815	1.112188	
0.010000	0.059543	0.261837	98.092000	92.540000	19.556157	1.136003	
0.010000	0.057485	0.265043	98.146000	92.680000	19.613926	1.105552	
0.010000	0.054297	0.268059	98.242000	92.470000	19.635689	1.108389	
0.010000	0.053393	0.270114	98.274000	92.560000	19.556495	1.112769	
0.010000	0.052820	0.276783	98.240000	92.460000	19.719306	1.128617	
0.010000	0.049300	0.281108	98.382000	92.290000	19.527513	1.126709	
0.010000	0.049196	0.278193	98.330000	92.250000	19.453660	1.147585	
0.010000	0.047756	0.280615	98.456000	92.220000	19.604167	1.108204	
0.010000	0.047803	0.274962	98.432000	92.600000	19.501531	1.105850	
0.010000	0.047913	0.310982	98.496000	92.010000	19.546587	1.100528	
0.010000	0.043860	0.289550	98.564000	92.440000	19.602451	1.132495	
0.010000	0.043136	0.279793	98.560000	92.510000	19.534762	1.104670	
0.010000	0.040505	0.294752	98.676000	92.170000	19.525868	1.172465	
0.010000	0.042658	0.295759	98.630000	92.230000	19.576659	1.105405	
0.010000	0.043176	0.282081	98.558000	92.630000	19.622608	1.124772	
0.010000	0.040184	0.295107	98.684000	92.410000	19.261612	1.130763	
0.010000	0.039109	0.302751	98.716000	92.320000	19.271317	1.132472	
0.010000	0.039948	0.291264	98.686000	92.530000	19.353506	1.101665	
0.010000	0.040748	0.294481	98.620000	92.540000	19.495006	1.127824	
0.010000	0.041938	0.301795	98.564000	92.330000	19.449925	1.133120	
0.010000	0.039462	0.318721	98.674000	92.140000	19.652625	1.108896	
0.010000	0.044056	0.335055	98.456000	91.530000	19.814584	1.135691	
0.010000	0.042054	0.340215	98.636000	91.510000	19.704324	1.106738	
0.010000	0.041607	0.297637	98.654000	92.130000	19.580971	1.145214	
0.010000	0.045367	0.312650	98.522000	92.330000	19.729972	1.112928	
0.010000	0.036761	0.325728	98.822000	91.860000	19.358878	1.107305	
0.010000	0.039640	0.314857	98.716000	92.140000	19.538244	1.145463	
0.010000	0.042254	0.336464	98.600000	91.570000	19.424104	1.170113	
0.010000	0.041164	0.314647	98.624000	92.130000	19.515102	1.137505	
0.010000	0.043798	0.315319	98.494000	91.890000	19.497333	1.146479	
0.010000	0.036847	0.310947	98.842000	91.960000	19.268697	1.095367	
0.010000	0.041801	0.306988	98.588000	92.110000	19.127193	1.101362	
0.010000	0.041678	0.319651	98.640000	91.990000	19.504546	1.116852	
0.010000	0.042747	0.342727	98.596000	91.480000	19.335557	1.088201	
0.010000	0.041707	0.325194	98.618000	91.410000	19.238575	1.189453	
0.010000	0.039632	0.311446	98.700000	92.170000	19.398328	1.156995	
0.010000	0.041360	0.312249	98.592000	92.030000	19.552831	1.127127	
0.010000	0.047667	0.309268	98.372000	91.910000	19.297334	1.082051	
0.010000	0.043934	0.328669	98.576000	91.710000	19.537072	1.113339	
0.010000	0.048265	0.375270	98.416000	90.870000	19.591952	1.100559	
0.010000	0.043190	0.302338	98.556000	92.320000	19.338868	1.108165	
0.010000	0.041095	0.354556	98.654000	91.390000	19.306966	1.174221	
0.010000	0.043111	0.324555	98.584000	92.000000	19.428742	1.137897	
0.010000	0.043930	0.307613	98.522000	92.040000	19.162579	1.124603	
0.001000	0.029096	0.269770	99.166000	93.060000	19.435698	1.085433	
0.001000	0.019562	0.267907	99.500000	93.120000	19.385191	1.121200	
0.001000	0.018543	0.267339	99.508000	93.150000	19.376052	1.096202	
0.001000	0.015613	0.267646	99.636000	93.210000	19.550125	1.135642	
0.001000	0.015906	0.268432	99.568000	93.330000	19.358342	1.114927	
0.001000	0.014554	0.272773	99.650000	93.130000	19.556756	1.150574	
0.001000	0.013799	0.269506	99.668000	93.380000	19.748663	1.101102	
0.001000	0.012831	0.268819	99.722000	93.280000	19.636626	1.114825	
0.001000	0.011918	0.273933	99.728000	93.240000	19.681855	1.093604	
0.001000	0.011166	0.272560	99.744000	93.230000	19.709930	1.110183	
0.001000	0.011062	0.271939	99.766000	93.320000	19.649621	1.133672	
0.001000	0.010745	0.274018	99.806000	93.370000	19.405390	1.101390	
0.001000	0.010497	0.275620	99.782000	93.490000	19.393842	1.131072	
0.001000	0.010246	0.275727	99.796000	93.280000	19.582332	1.094672	
0.001000	0.010337	0.276276	99.786000	93.360000	19.572955	1.094603	
0.001000	0.009868	0.275421	99.808000	93.410000	19.439624	1.082023	
0.001000	0.009656	0.276614	99.804000	93.310000	19.506077	1.118041	
0.001000	0.009518	0.280164	99.810000	93.320000	19.640896	1.110133	
0.001000	0.009581	0.277096	99.806000	93.440000	19.504128	1.136089	
0.001000	0.009001	0.280455	99.818000	93.320000	19.598053	1.100189	
0.001000	0.009333	0.280749	99.816000	93.370000	19.691078	1.103763	
0.001000	0.008636	0.281131	99.830000	93.410000	19.521206	1.135900	
0.001000	0.008648	0.279858	99.850000	93.340000	19.642182	1.141333	
0.001000	0.008402	0.280145	99.864000	93.380000	19.502717	1.112248	
0.001000	0.008758	0.285242	99.832000	93.470000	19.483307	1.116617	
0.001000	0.008504	0.289262	99.834000	93.240000	19.497660	1.161723	
0.001000	0.007789	0.283881	99.848000	93.410000	19.604985	1.128711	
0.001000	0.007732	0.287560	99.852000	93.260000	19.579758	1.135483	
0.001000	0.007895	0.286800	99.854000	93.360000	19.699545	1.148543	
0.001000	0.007923	0.286587	99.840000	93.430000	19.735966	1.113405	
0.001000	0.007599	0.287774	99.874000	93.320000	19.839043	1.153726	
