LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.762954	1.899637	33.234000	34.650000	44.170155	2.264575	
0.100000	1.351100	1.403166	50.268000	50.740000	47.286807	2.167527	
0.100000	1.110030	1.093540	59.714000	61.570000	46.077290	2.136955	
0.100000	0.940427	1.192693	66.500000	60.200000	47.407051	2.265909	
0.100000	0.820131	0.868178	71.148000	70.130000	45.715574	2.123616	
0.100000	0.741810	1.034165	73.892000	66.640000	45.415691	2.202115	
0.100000	0.700462	0.906234	75.820000	68.950000	46.150827	2.185849	
0.100000	0.661677	0.908021	76.966000	70.020000	47.230080	2.257037	
0.100000	0.636151	0.949208	77.884000	68.550000	45.985014	2.235184	
0.100000	0.614694	0.909962	78.794000	70.760000	47.224523	2.027345	
0.100000	0.588024	0.944035	79.580000	70.990000	46.566353	2.155672	
0.100000	0.583537	0.693611	79.820000	76.530000	45.878764	2.176770	
0.100000	0.567312	0.752198	80.412000	75.950000	45.981536	2.225290	
0.100000	0.556051	0.928241	80.784000	70.690000	47.236434	2.200211	
0.100000	0.553155	0.976142	80.938000	69.880000	45.786698	2.157474	
0.100000	0.533308	0.611381	81.588000	79.520000	45.900501	2.163095	
0.100000	0.533778	0.706699	81.446000	76.360000	47.550543	2.170757	
0.100000	0.524179	1.116948	81.730000	67.350000	46.441085	2.243418	
0.100000	0.519536	0.676783	82.136000	77.150000	46.323750	2.171766	
0.100000	0.525105	1.057602	81.952000	67.020000	52.322559	2.207265	
0.100000	0.506440	0.665227	82.468000	77.760000	46.719898	2.194692	
0.100000	0.506054	0.730797	82.556000	76.470000	46.215125	2.221895	
0.100000	0.502446	0.741531	82.654000	75.750000	47.012520	2.201277	
0.100000	0.493783	0.845563	83.058000	72.260000	46.043723	2.189090	
0.100000	0.486242	0.701078	83.104000	77.270000	45.502903	2.139961	
0.100000	0.485723	0.693235	83.408000	77.380000	45.512058	2.113060	
0.100000	0.480031	0.686178	83.464000	77.450000	47.320083	2.096038	
0.100000	0.478677	0.618296	83.558000	78.810000	45.538162	2.118920	
0.100000	0.478037	0.640102	83.560000	78.850000	46.888561	2.091444	
0.100000	0.472377	0.931591	83.724000	71.330000	45.635356	2.158639	
0.100000	0.463743	0.688961	84.042000	77.260000	45.770353	2.139268	
0.100000	0.468561	0.688543	84.016000	78.100000	47.418645	1.954494	
0.100000	0.464217	0.712025	83.862000	76.340000	47.724013	2.203913	
0.100000	0.465282	0.821177	83.906000	74.740000	45.861684	2.216004	
0.100000	0.464279	0.789561	84.062000	75.330000	46.886945	2.219909	
0.100000	0.456567	0.593842	84.472000	79.950000	46.415381	2.193931	
0.100000	0.453609	1.130866	84.476000	67.910000	45.913314	2.171629	
0.100000	0.454438	1.305704	84.328000	66.300000	46.721809	1.812285	
0.100000	0.456950	0.636770	84.224000	78.570000	46.759406	2.155177	
0.100000	0.462193	1.114238	84.142000	68.010000	50.389487	2.280238	
0.100000	0.442392	0.697160	84.674000	77.620000	45.325218	2.191014	
0.100000	0.444577	0.807852	84.604000	73.530000	46.736069	2.185252	
0.100000	0.443567	0.661488	84.862000	78.070000	45.928048	2.019761	
0.100000	0.439755	0.998224	84.790000	68.630000	46.617651	2.036513	
0.100000	0.434658	0.580645	84.894000	80.980000	47.078434	2.126639	
0.100000	0.437034	0.951537	85.192000	72.680000	45.474508	2.196053	
0.100000	0.443190	0.731582	84.846000	75.670000	45.975327	2.236144	
0.100000	0.433420	0.806324	85.108000	74.600000	46.951544	2.098949	
