LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.781018	1.555284	32.468000	41.970000	17.170272	1.004198	
0.100000	1.361777	1.620786	50.434000	44.930000	17.425692	0.995602	
0.100000	1.076015	1.269935	61.082000	54.770000	17.438948	1.035439	
0.100000	0.925180	1.042360	66.746000	63.150000	17.422121	1.034313	
0.100000	0.806774	0.923606	71.688000	68.630000	17.501300	1.002303	
0.100000	0.746158	0.947676	73.962000	67.760000	17.129440	0.987357	
0.100000	0.705925	1.209499	75.404000	62.770000	17.269065	1.047552	
0.100000	0.669115	0.939025	76.896000	68.910000	17.315939	1.043499	
0.100000	0.639967	1.400566	77.862000	59.720000	17.296004	0.985734	
0.100000	0.619903	0.789171	78.486000	74.140000	17.253676	0.979497	
0.100000	0.591700	0.917744	79.692000	70.760000	17.255455	1.002805	
0.100000	0.580627	0.835022	79.954000	72.380000	17.396194	0.999437	
0.100000	0.572406	0.763023	80.384000	74.300000	17.428045	0.976870	
0.100000	0.564180	0.756803	80.478000	75.280000	17.269779	0.990839	
0.100000	0.552467	0.793902	80.862000	73.820000	17.334704	0.996933	
0.100000	0.534473	0.763820	81.568000	75.620000	16.975102	1.005158	
0.100000	0.528067	0.737082	81.886000	75.620000	17.038040	1.035409	
0.100000	0.526414	0.765063	81.948000	75.220000	17.108640	1.013691	
0.100000	0.518357	1.634721	82.194000	58.620000	17.042714	0.976197	
0.100000	0.510765	0.827278	82.312000	74.610000	17.091579	1.036982	
0.100000	0.507249	0.796962	82.486000	75.290000	17.608104	1.088672	
0.100000	0.504391	0.965428	82.678000	71.190000	17.553858	0.991949	
0.100000	0.502096	0.678766	82.738000	77.750000	17.565987	1.000760	
0.100000	0.486933	0.926822	83.472000	70.740000	17.501456	1.089189	
0.100000	0.494929	0.751037	83.048000	75.630000	17.552235	1.036844	
0.100000	0.473251	0.956422	83.668000	70.380000	17.124544	1.001123	
0.100000	0.480917	0.864157	83.480000	73.790000	17.233763	0.992012	
0.100000	0.476904	1.165086	83.594000	63.460000	17.277893	0.988057	
0.100000	0.472567	0.829818	83.812000	72.480000	17.222931	0.987245	
0.100000	0.477872	0.796782	83.400000	75.020000	17.374985	1.010354	
0.100000	0.457800	0.878321	84.350000	73.010000	17.139054	1.010921	
0.100000	0.463313	1.004852	84.076000	69.420000	17.217437	0.978633	
0.100000	0.459732	0.907546	84.180000	72.930000	17.223945	0.998265	
0.100000	0.456890	0.996221	84.478000	71.710000	17.213904	0.956800	
0.100000	0.456996	0.675880	84.380000	77.830000	17.227817	0.984878	
0.100000	0.448578	0.777251	84.544000	75.270000	17.168557	1.011837	
0.100000	0.452345	0.610926	84.396000	79.900000	17.194373	0.984889	
0.100000	0.451730	0.587406	84.494000	80.310000	17.305802	0.981969	
0.100000	0.445779	0.633266	84.558000	78.870000	17.216493	0.969846	
0.100000	0.451827	0.892803	84.412000	71.260000	17.158869	1.015771	
0.100000	0.439982	0.737477	84.892000	77.150000	17.110287	1.052377	
0.100000	0.438673	0.665578	84.844000	78.260000	17.340911	0.965885	
0.100000	0.438952	0.855633	84.908000	73.160000	17.369754	0.982143	
0.100000	0.437756	0.663506	84.922000	78.410000	17.227038	1.051264	
0.100000	0.436371	0.690858	85.004000	78.240000	17.244012	1.019305	
0.100000	0.426092	0.749164	85.362000	75.500000	17.309120	1.044624	
0.100000	0.436188	0.761252	84.948000	76.380000	17.233321	0.988877	
0.100000	0.431618	0.653564	85.364000	78.890000	17.361174	0.997839	
0.100000	0.432437	0.888377	85.166000	71.580000	17.418857	0.995966	
0.100000	0.431665	0.639170	85.182000	78.100000	17.482675	0.975780	
0.100000	0.424334	0.712216	85.584000	77.180000	17.385200	0.992805	
0.100000	0.427700	0.806685	85.340000	74.280000	17.566814	1.006370	
0.100000	0.428556	0.583018	85.380000	80.120000	17.279879	1.029251	
0.100000	0.433088	0.736765	85.158000	75.690000	17.449531	1.019853	
0.100000	0.423651	0.799367	85.360000	75.050000	17.515814	1.005430	
0.100000	0.421784	0.740856	85.614000	76.740000	17.476083	1.067497	
0.100000	0.423800	0.579876	85.418000	80.310000	17.357977	1.023206	
0.100000	0.427338	0.998706	85.390000	70.050000	17.363955	1.024759	
0.100000	0.424331	0.874530	85.570000	73.640000	17.412372	1.001634	
0.100000	0.429524	0.824424	85.336000	75.400000	17.340058	0.988579	
0.100000	0.415024	0.701749	85.854000	77.720000	17.213912	0.969313	
0.100000	0.421659	0.688424	85.548000	77.550000	17.111776	0.993653	
0.100000	0.422244	0.811859	85.484000	73.720000	17.349040	0.972752	
0.100000	0.413000	0.774095	85.858000	75.690000	17.249244	0.985196	
0.100000	0.417243	0.880555	85.744000	73.260000	17.388461	0.988511	
0.100000	0.414989	0.753959	85.782000	75.910000	17.214150	0.978179	
0.100000	0.416594	0.936659	85.628000	70.730000	17.275272	1.014959	
0.100000	0.410999	0.749270	85.948000	77.330000	17.245267	1.031585	
0.100000	0.416561	0.621686	85.740000	79.340000	17.030048	1.024639	
0.100000	0.409904	1.515375	85.902000	61.550000	17.174400	0.974149	
0.100000	0.409516	1.044293	86.122000	69.200000	17.117783	0.996810	
0.100000	0.418887	0.721730	85.600000	77.580000	17.159255	0.986992	
0.100000	0.407893	1.029397	86.068000	69.260000	17.294588	1.030128	
0.100000	0.419365	0.769203	85.544000	75.120000	17.204141	0.998735	
0.100000	0.411324	0.673521	85.916000	78.340000	17.240086	0.996937	
0.100000	0.404428	1.016912	86.074000	69.770000	17.329121	1.033308	
0.100000	0.412598	0.644273	85.758000	79.240000	17.273196	0.992864	
0.100000	0.406160	0.602640	86.034000	79.600000	17.231816	0.987018	
0.100000	0.413612	0.790378	85.718000	75.150000	17.318202	1.043424	
