LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.755354	1.644096	34.384000	41.690000	18.454528	1.278095	
0.100000	1.284005	1.424329	53.350000	51.360000	18.428746	1.183734	
0.100000	1.049036	1.202334	62.380000	57.460000	18.435627	1.210813	
0.100000	0.912961	0.908585	67.610000	68.400000	18.000441	1.157552	
0.100000	0.801136	1.029061	71.806000	64.450000	18.398195	1.269862	
0.100000	0.739777	0.899485	74.002000	69.150000	18.300799	1.214494	
0.100000	0.686545	0.943279	75.918000	68.380000	18.607524	1.217802	
0.100000	0.658997	1.012279	77.044000	68.000000	19.051803	1.305320	
0.100000	0.633409	0.905032	77.968000	71.910000	18.479568	1.181483	
0.100000	0.620471	1.089686	78.446000	66.540000	18.625764	1.215366	
0.100000	0.597162	1.031290	79.386000	68.300000	18.374792	1.231256	
0.100000	0.587351	0.939446	79.662000	69.630000	18.741314	1.280171	
0.100000	0.568475	0.670700	80.386000	76.840000	18.681447	1.121964	
0.100000	0.558536	0.802541	80.756000	74.340000	18.377690	1.226547	
0.100000	0.550658	0.696187	80.986000	76.910000	18.294960	1.194698	
0.100000	0.535452	1.141877	81.682000	63.840000	18.469560	1.229319	
0.100000	0.534729	0.909405	81.672000	69.820000	18.545155	1.250866	
0.100000	0.528828	0.815577	81.742000	73.080000	18.568716	1.219219	
0.100000	0.523034	0.785066	81.860000	74.320000	18.906875	1.215029	
0.100000	0.515366	0.737588	82.204000	75.230000	18.802856	1.191779	
0.100000	0.502764	0.613304	82.822000	79.310000	18.450492	1.202372	
0.100000	0.496458	1.090198	82.930000	67.880000	18.359684	1.196022	
0.100000	0.493706	0.821152	83.062000	73.920000	18.889188	1.177930	
0.100000	0.494935	0.611676	82.972000	79.320000	18.699445	1.092260	
0.100000	0.488022	0.868450	83.142000	73.030000	18.473570	1.196002	
0.100000	0.476894	0.640988	83.556000	78.870000	18.322478	1.194767	
0.100000	0.479468	0.878693	83.576000	72.670000	18.310718	1.160315	
0.100000	0.477857	0.834944	83.616000	74.250000	18.038157	1.124789	
0.100000	0.472553	0.783855	83.714000	74.920000	18.561712	1.222167	
0.100000	0.468655	0.837551	83.982000	73.350000	18.597873	1.301777	
0.100000	0.457046	0.556166	84.218000	81.400000	18.783445	1.250129	
0.100000	0.462115	0.877555	84.176000	72.920000	18.440646	1.301735	
0.100000	0.458261	0.773297	84.260000	75.490000	18.479866	1.266513	
0.100000	0.458869	0.712807	84.338000	76.410000	18.823323	1.328917	
0.100000	0.457834	0.581434	84.312000	80.740000	18.860472	1.167492	
0.100000	0.446784	0.559118	84.616000	81.320000	18.302986	1.240081	
0.100000	0.445582	0.642723	84.702000	79.890000	18.410323	1.255264	
0.100000	0.449963	0.647583	84.466000	78.930000	18.623458	1.237198	
0.100000	0.445546	0.688423	84.748000	76.810000	18.337957	1.322015	
0.100000	0.441547	0.582209	84.762000	80.130000	19.337591	1.243395	
0.100000	0.437492	0.621832	84.896000	78.990000	18.578520	1.272931	
0.100000	0.446900	0.872286	84.622000	72.980000	18.745082	1.194205	
0.100000	0.435058	0.667926	84.954000	78.420000	19.116101	1.162896	
0.100000	0.440952	0.699701	84.848000	77.200000	18.615383	1.313462	
0.100000	0.441085	0.813794	84.830000	75.500000	18.833015	1.291460	
0.100000	0.426677	0.621545	85.204000	79.680000	18.532592	1.297607	
0.100000	0.433786	0.573686	85.132000	81.200000	19.044225	1.217653	
0.100000	0.424231	0.842621	85.306000	73.640000	18.570013	0.963734	
0.100000	0.432108	0.690719	85.078000	77.310000	18.789456	1.355854	
0.100000	0.430462	0.709157	85.286000	76.990000	18.825507	1.228439	
0.100000	0.420881	0.529515	85.426000	81.540000	18.449441	1.192821	
0.100000	0.423347	0.776707	85.490000	75.380000	18.573620	1.195971	
0.100000	0.425346	0.669561	85.282000	77.910000	18.720879	1.261101	
0.100000	0.425554	0.609369	85.394000	79.830000	18.817554	1.171276	
0.100000	0.425027	0.663799	85.222000	78.210000	18.485514	1.249977	
0.100000	0.415059	0.591693	85.850000	81.550000	18.135628	1.181469	
0.100000	0.418113	0.907611	85.682000	73.030000	18.333196	1.362316	
