LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.688348	1.655436	36.568000	43.350000	17.945564	1.106560	
0.100000	1.243975	1.523747	54.546000	48.480000	17.928111	1.217990	
0.100000	1.011657	1.493693	63.416000	52.190000	17.386409	1.209018	
0.100000	0.873471	1.091696	69.030000	61.130000	17.721959	1.201435	
0.100000	0.790833	1.015849	72.262000	67.130000	17.954280	1.173435	
0.100000	0.731966	0.749772	74.704000	74.070000	17.940194	1.258247	
0.100000	0.693524	0.870390	75.866000	68.850000	17.429193	1.114449	
0.100000	0.651891	0.856838	77.400000	72.000000	17.655680	1.202788	
0.100000	0.640815	0.729942	77.922000	75.600000	17.885686	1.108238	
0.100000	0.613157	0.646149	78.764000	77.390000	17.893291	1.222829	
0.100000	0.594520	0.960327	79.412000	68.860000	17.326931	1.135601	
0.100000	0.583869	0.794088	79.742000	73.590000	17.630051	1.143110	
0.100000	0.576756	1.186177	80.182000	64.030000	17.492672	1.161732	
0.100000	0.563759	0.863004	80.698000	71.780000	17.743421	1.136107	
0.100000	0.558783	0.688435	80.826000	77.280000	17.707574	1.158230	
0.100000	0.540710	0.668951	81.276000	77.300000	18.136357	1.156512	
0.100000	0.539577	0.975123	81.286000	69.330000	18.060084	1.108471	
0.100000	0.525944	0.742832	81.844000	75.750000	18.221882	1.203827	
0.100000	0.528835	1.051885	81.826000	69.740000	17.991179	1.118679	
0.100000	0.525124	0.686109	81.952000	76.750000	17.801794	1.200713	
0.100000	0.506328	0.801455	82.548000	75.160000	18.039311	1.121042	
0.100000	0.513485	0.811181	82.326000	74.480000	17.780869	1.205115	
0.100000	0.513258	0.701959	82.364000	76.830000	17.729935	1.141508	
0.100000	0.503716	1.036929	82.686000	68.480000	18.089402	1.197501	
0.100000	0.505412	0.796945	82.580000	74.620000	17.996349	1.127569	
0.100000	0.490557	0.835969	83.034000	72.830000	17.636010	1.129119	
0.100000	0.489399	0.939727	83.042000	72.590000	17.323818	1.145416	
0.100000	0.488198	0.760837	83.072000	75.370000	18.429254	1.142101	
0.100000	0.487281	0.624967	83.086000	78.770000	17.781904	1.076483	
0.100000	0.480246	0.611707	83.482000	79.490000	17.625260	1.197945	
0.100000	0.471581	0.982681	83.864000	69.510000	17.680064	1.125679	
0.100000	0.480446	0.925407	83.508000	72.100000	17.703047	1.062546	
0.100000	0.475886	0.687522	83.678000	77.310000	17.810820	1.167436	
0.100000	0.475806	0.545528	83.722000	81.300000	17.644304	1.032226	
0.100000	0.466249	0.788244	83.878000	74.800000	17.763798	1.208782	
0.100000	0.459347	0.555592	84.200000	81.260000	18.215616	1.176433	
0.100000	0.460723	0.751459	84.140000	75.750000	17.762717	1.138034	
0.100000	0.466267	0.861474	83.846000	74.330000	18.033355	1.196047	
0.100000	0.463780	0.910573	83.988000	71.640000	17.664065	1.145463	
0.100000	0.462385	0.626394	84.118000	79.500000	18.302167	1.144543	
0.100000	0.453622	0.733948	84.516000	76.530000	17.885250	1.276258	
0.100000	0.453595	1.069049	84.388000	70.310000	17.918022	1.158860	
0.100000	0.458344	1.106266	84.178000	65.870000	18.175858	0.994650	
0.100000	0.454267	0.791450	84.358000	76.140000	17.766069	1.129139	
0.100000	0.446290	0.783828	84.598000	76.240000	17.924670	1.339667	
