LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.368599	1.653278	33.962000	36.920000	25.717407	1.092430	
0.100000	1.779652	1.434798	54.600000	53.760000	24.896194	1.104882	
0.100000	1.464604	1.212513	64.864000	58.310000	25.001410	1.096756	
0.100000	1.242670	0.799121	71.584000	72.120000	25.162019	1.104793	
0.100000	1.092493	0.828026	75.794000	72.580000	25.387589	1.131116	
0.100000	0.997336	0.795134	78.214000	72.890000	25.868261	1.116552	
0.100000	0.940533	1.106993	79.322000	63.360000	25.556630	1.123544	
0.100000	0.888125	0.777916	80.550000	74.620000	25.558335	1.250524	
0.100000	0.855366	1.096845	81.046000	66.050000	25.501865	1.126827	
0.100000	0.834786	0.667257	81.602000	77.930000	25.667633	1.139630	
0.100000	0.810988	0.810900	82.216000	72.370000	25.512859	1.280694	
0.100000	0.802954	0.770712	82.390000	75.760000	25.099261	1.152337	
0.100000	0.796739	0.797627	82.536000	74.410000	25.291162	1.103073	
0.100000	0.781730	0.674949	83.080000	77.080000	25.466789	1.116573	
0.100000	0.779846	0.580445	83.234000	80.730000	25.141325	1.126172	
0.100000	0.761096	0.701603	83.822000	77.700000	25.447417	1.113518	
0.100000	0.761402	0.684058	83.844000	77.340000	25.696190	1.097151	
0.100000	0.755561	0.754963	84.064000	76.300000	25.712750	1.094099	
0.100000	0.746951	0.936805	84.366000	71.240000	25.674500	1.131850	
0.100000	0.753092	0.790224	84.188000	73.680000	25.765397	1.127456	
0.100000	0.738267	0.802315	84.530000	74.040000	25.865841	1.129910	
0.100000	0.738514	0.903716	84.570000	72.250000	25.386915	1.106626	
0.100000	0.743179	0.766484	84.480000	75.950000	25.759143	1.118248	
0.100000	0.737124	0.796991	84.822000	75.410000	25.618114	1.129470	
0.100000	0.727606	0.665695	85.026000	77.450000	26.148862	1.106247	
0.100000	0.724559	1.076926	85.062000	68.970000	25.727085	1.134803	
0.100000	0.731682	0.513366	84.894000	82.910000	25.627363	1.104703	
0.100000	0.723252	0.886935	85.258000	73.710000	25.626549	1.092729	
0.100000	0.717814	0.668515	85.470000	78.050000	26.053481	1.126583	
0.100000	0.722427	1.538961	85.124000	61.640000	26.063351	1.134542	
0.100000	0.714655	0.774391	85.546000	75.100000	25.557465	1.137232	
0.100000	0.720597	0.610915	85.354000	79.790000	25.541873	1.093599	
0.100000	0.715005	0.616249	85.576000	79.340000	25.477570	1.142272	
0.100000	0.707903	0.600842	85.760000	80.000000	26.222215	1.097433	
0.100000	0.713391	0.625869	85.524000	80.080000	25.498232	1.119748	
0.100000	0.699850	0.479706	85.936000	83.750000	25.199867	1.099980	
0.100000	0.709229	0.511631	85.554000	82.840000	25.356539	1.109146	
0.100000	0.704101	0.675139	85.722000	78.590000	25.460910	1.088603	
0.100000	0.695489	0.778484	86.252000	74.900000	25.825811	1.106003	
0.100000	0.695946	0.653677	85.972000	78.570000	25.149497	1.108620	
0.100000	0.693382	0.856050	86.180000	74.620000	25.213057	1.110371	
0.100000	0.695501	0.868846	85.936000	73.630000	25.140507	1.097819	
0.100000	0.697169	0.558625	85.904000	81.560000	25.127885	1.075389	
0.100000	0.699558	0.704786	85.900000	77.600000	25.619355	1.104958	
0.100000	0.695019	0.610174	85.880000	80.050000	25.208243	1.097229	
0.100000	0.681448	0.624370	86.384000	79.370000	25.455390	1.114252	
0.100000	0.694363	0.712868	86.094000	77.400000	25.108391	1.111881	
0.100000	0.690378	0.730349	86.344000	77.190000	25.720500	1.134714	
0.100000	0.683774	0.833109	86.252000	74.540000	25.600110	1.093770	
0.100000	0.686595	0.541693	86.286000	81.870000	25.335552	1.088071	
0.100000	0.679674	0.772454	86.410000	74.460000	25.187669	1.067773	
0.100000	0.690157	0.607255	86.294000	81.240000	25.089555	1.071524	
0.100000	0.684445	0.615468	86.400000	78.960000	25.817785	1.106585	
0.100000	0.676721	0.564629	86.560000	81.710000	25.213543	1.080994	
0.100000	0.678546	0.899125	86.446000	74.030000	25.227959	1.078051	
0.100000	0.674481	0.690124	86.510000	78.420000	25.302633	1.150361	
0.100000	0.675474	0.694629	86.686000	77.950000	25.443871	1.108211	
0.100000	0.674263	0.589536	86.826000	80.260000	25.766524	1.095156	
0.100000	0.684725	0.646987	86.334000	79.270000	25.385498	1.102261	
