LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.337987	1.520432	35.766000	45.650000	25.182796	1.123657	
0.100000	1.755855	1.248770	56.520000	55.670000	25.548216	1.095574	
0.100000	1.422567	1.046953	67.004000	62.780000	25.377555	1.100814	
0.100000	1.223590	0.938100	72.788000	68.540000	25.701599	1.112140	
0.100000	1.096263	1.252010	75.908000	61.040000	25.610148	1.116713	
0.100000	1.008021	0.913441	77.970000	69.820000	25.664700	1.112859	
0.100000	0.956385	0.811659	79.048000	72.800000	25.534663	1.106145	
0.100000	0.902587	0.759277	80.182000	75.400000	25.652798	1.116953	
0.100000	0.868062	0.670928	80.988000	77.390000	25.704310	1.101032	
0.100000	0.842286	1.028512	81.464000	69.820000	26.188458	1.104687	
0.100000	0.817336	0.990763	82.158000	69.730000	25.521273	1.128665	
0.100000	0.809890	0.777451	82.356000	74.020000	25.325122	1.116967	
0.100000	0.804022	0.866788	82.668000	72.090000	25.563067	1.098241	
0.100000	0.798953	0.645834	82.736000	78.250000	25.540868	1.126119	
0.100000	0.788355	1.222264	83.094000	65.630000	25.717718	1.127434	
0.100000	0.781291	0.878119	83.242000	72.240000	25.405749	1.104864	
0.100000	0.775148	1.437097	83.712000	64.500000	25.236732	1.134713	
0.100000	0.770066	0.662256	83.748000	77.920000	25.732785	1.124654	
0.100000	0.764295	0.516299	83.916000	82.220000	25.493713	1.116248	
0.100000	0.758003	1.174406	84.178000	66.960000	25.498059	1.121501	
0.100000	0.745653	0.665533	84.550000	77.850000	25.588562	1.129361	
0.100000	0.752063	0.668069	84.286000	76.760000	25.622196	1.138166	
0.100000	0.744861	1.103876	84.470000	67.310000	25.743487	1.098907	
0.100000	0.740605	0.704439	84.728000	76.610000	25.878675	1.125462	
0.100000	0.744619	0.801537	84.618000	75.980000	25.756562	1.222511	
0.100000	0.723855	0.611014	85.282000	79.980000	25.617870	1.130569	
0.100000	0.727531	0.878054	85.096000	73.150000	25.797552	1.147399	
0.100000	0.732822	0.956385	84.842000	73.030000	25.855430	1.132041	
0.100000	0.728049	0.605835	85.082000	80.230000	25.776737	1.132674	
0.100000	0.724421	0.550879	85.264000	81.920000	25.826449	1.126799	
0.100000	0.710482	0.519636	85.722000	82.470000	25.330840	1.092417	
0.100000	0.715197	1.035044	85.630000	70.800000	25.174041	1.078320	
0.100000	0.714205	0.940264	85.584000	73.120000	25.441709	1.133437	
0.100000	0.717682	0.626927	85.512000	80.000000	25.549703	1.155982	
0.100000	0.715840	0.675792	85.572000	77.290000	25.615176	1.171810	
0.100000	0.701361	0.914197	86.094000	71.430000	25.031418	1.078234	
0.100000	0.710885	0.625543	85.844000	79.810000	25.180178	1.070041	
0.100000	0.706744	0.687870	85.834000	78.230000	25.389035	1.085110	
0.100000	0.705063	1.055157	85.938000	68.940000	25.560168	1.145583	
0.100000	0.701843	0.659639	85.992000	79.080000	25.255947	1.233709	
0.100000	0.690632	1.109514	86.210000	68.520000	25.254305	1.111432	
0.100000	0.695980	0.667728	86.158000	79.010000	25.253957	1.095598	
0.100000	0.693098	0.771421	86.134000	75.470000	25.199419	1.102804	
0.100000	0.705561	0.594094	85.864000	80.240000	25.329156	1.167623	
0.100000	0.694487	0.793865	86.180000	76.040000	25.250134	1.157782	
0.100000	0.682247	0.815919	86.520000	73.530000	25.223552	1.130442	
0.100000	0.692001	0.886965	86.246000	73.800000	24.981022	1.088204	
0.100000	0.686807	0.560440	86.294000	81.570000	25.267252	1.128967	
0.100000	0.697070	0.570521	85.922000	81.280000	25.202330	1.083047	
0.100000	0.689386	0.507380	86.388000	82.730000	25.316601	1.091722	
0.100000	0.673485	0.831155	86.664000	74.770000	24.857451	1.086152	
0.100000	0.682228	0.699510	86.408000	77.390000	24.712011	1.128670	
0.100000	0.687731	0.522571	86.150000	82.230000	24.889360	1.088732	
0.100000	0.686189	0.557050	86.370000	81.290000	24.938128	1.103738	
0.100000	0.679596	0.590128	86.504000	80.420000	25.179229	1.131186	
0.100000	0.672134	0.548420	86.820000	81.320000	25.650165	1.082375	
0.100000	0.683681	0.588768	86.362000	80.050000	25.662233	1.144508	
0.100000	0.683277	0.641607	86.268000	79.660000	25.661265	1.088931	
0.100000	0.678144	0.566143	86.702000	81.570000	25.668377	1.101305	
0.100000	0.673442	0.728777	86.876000	76.660000	25.672271	1.106040	
0.100000	0.668473	0.917989	86.726000	73.520000	25.182127	1.087609	
0.100000	0.681589	0.949106	86.490000	73.030000	25.153963	1.081599	
0.100000	0.676166	0.956739	86.578000	69.410000	25.199927	1.086229	
0.100000	0.674191	1.006636	86.632000	72.510000	25.550192	1.149323	
0.100000	0.681454	0.719073	86.444000	76.420000	25.244607	1.166427	
0.100000	0.667745	0.812983	86.756000	75.820000	25.457513	1.128678	
0.100000	0.671997	0.577540	86.846000	80.410000	25.152354	1.113421	
0.100000	0.671939	0.788595	86.640000	73.230000	25.516507	1.121284	
0.100000	0.671482	0.740238	86.882000	76.920000	25.466365	1.153656	
0.100000	0.670072	0.704287	86.730000	78.490000	25.451765	1.174811	
0.100000	0.664726	0.852120	86.910000	74.030000	24.978518	1.113006	
0.100000	0.668843	0.742372	86.686000	76.460000	25.022681	1.095187	
0.100000	0.677267	0.705611	86.520000	77.120000	25.510250	1.121840	
0.100000	0.669655	0.629363	86.694000	79.660000	25.039651	1.110490	
