LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.097656	2.440335	1.655516	33.222001	40.490000	25.748597	1.163922	
0.097656	1.872916	1.404905	53.404001	52.980000	25.638392	1.074076	
0.097656	1.545306	1.922402	63.394001	47.920000	26.242480	1.087107	
0.097656	1.325937	1.099296	69.900001	63.870000	25.897555	1.144424	
0.097656	1.165654	0.791023	74.150001	72.700000	25.562521	1.102396	
0.095367	1.052604	0.967329	77.014002	68.090000	25.426721	1.126582	
0.095367	0.988459	1.210015	78.248001	62.250000	25.950291	1.103326	
0.095367	0.943540	0.909748	78.988002	70.150000	25.630878	1.127981	
0.095367	0.902850	0.792468	80.004001	73.070000	25.469865	1.158076	
0.095367	0.875631	1.037063	80.756001	68.570000	25.527661	1.086040	
0.094250	0.848405	0.779668	81.389998	73.070000	25.441087	1.134992	
0.094250	0.831895	0.644655	81.865998	78.280000	25.363749	1.092919	
0.094250	0.829964	0.859804	81.995998	71.130000	25.625175	1.132977	
0.094250	0.809615	0.817336	82.715998	74.350000	26.098770	1.102054	
0.094250	0.806904	1.021106	82.961998	68.660000	25.489784	1.102471	
0.093514	0.796733	0.930913	83.343998	69.460000	25.263668	1.112464	
0.093514	0.791920	0.780399	83.177998	74.600000	25.145633	1.167067	
0.093514	0.788595	0.744550	83.501998	75.880000	26.054719	1.137525	
0.093514	0.779204	1.071307	83.717998	67.610000	25.332676	1.117921	
0.093514	0.787681	0.586920	83.651998	80.280000	25.285679	1.093836	
0.092783	0.770556	0.600478	84.173998	79.890000	25.586169	1.097331	
0.092783	0.768318	0.911465	84.397998	73.360000	25.968597	1.117084	
0.092783	0.765578	1.065576	84.359998	69.320000	25.677762	1.125548	
0.092783	0.759455	0.595693	84.577998	80.260000	25.647333	1.146710	
0.092783	0.760876	1.025942	84.675998	68.380000	25.470490	1.109826	
0.092783	0.753534	1.079388	84.764000	69.520000	26.064147	1.163903	
0.092783	0.748739	0.676366	84.962000	77.990000	25.634586	1.115735	
0.092783	0.749222	0.656648	84.992000	78.750000	25.543623	1.109628	
0.092783	0.746454	0.656154	85.072000	78.200000	25.449330	1.084369	
0.092783	0.745764	0.686898	85.066000	77.040000	25.947391	1.138716	
0.092783	0.737911	0.676053	85.328000	76.960000	25.466337	1.141697	
0.092783	0.735655	0.713367	85.444000	77.580000	25.412774	1.217960	
0.092783	0.739848	0.548678	85.360000	81.370000	25.567231	1.101460	
0.092783	0.734119	0.565958	85.488000	81.090000	25.498278	1.127132	
0.092783	0.737962	0.781259	85.282000	75.770000	25.533270	1.140340	
0.093508	0.724257	0.613364	85.670001	80.150000	25.108110	1.163388	
0.093508	0.726899	0.580601	85.576002	81.140000	25.235332	1.081549	
0.093508	0.724145	0.547300	85.778002	81.100000	25.201957	1.091759	
0.093508	0.720961	0.648170	85.880001	78.200000	25.035546	1.140106	
0.093508	0.719297	0.685357	85.872002	77.160000	24.859885	1.112070	
0.095699	0.716876	0.619203	85.804000	79.650000	25.198211	1.094651	
0.095699	0.717190	0.634223	86.100000	80.000000	24.721705	1.096941	
0.095699	0.717798	0.784760	85.802000	74.760000	24.420687	1.111865	
0.095699	0.714745	0.678994	85.894000	77.810000	24.672805	1.162947	
0.095699	0.709558	0.598464	86.063999	79.610000	24.721106	1.100474	
0.097942	0.708925	0.597342	86.118000	81.090000	25.042656	1.103256	
0.097942	0.711296	0.760795	86.054000	76.140000	24.615809	1.080640	
0.097942	0.720488	0.600321	85.804000	80.420000	24.742140	1.187616	
0.097942	0.715005	1.122503	85.988000	64.940000	24.735489	1.069962	
0.097942	0.708362	0.727392	86.218000	76.850000	24.795037	1.096473	
0.103681	0.705090	0.775582	86.169999	74.910000	24.003987	1.097460	
0.103681	0.713127	0.748509	85.941999	77.010000	24.065294	1.088709	
0.103681	0.705840	0.768463	86.343999	74.960000	24.419984	1.122627	
0.103681	0.712518	0.719583	86.019999	76.330000	24.162480	1.143262	
0.103681	0.709416	0.630681	86.105999	78.690000	23.959748	1.135615	
0.111376	0.716300	0.765249	85.886003	75.640000	24.171494	1.077078	
0.111376	0.722148	0.762567	85.630003	76.410000	24.175618	1.085734	
0.111376	0.711753	0.810090	86.154003	74.440000	24.085634	1.120622	
0.111376	0.715867	0.635892	85.906003	79.430000	24.022281	1.113648	
0.111376	0.715176	0.680209	85.858003	77.710000	23.807781	1.077954	
0.121818	0.732944	1.086899	85.384002	66.690000	22.587609	1.027563	
0.121818	0.729940	1.416788	85.518002	63.920000	22.638116	1.017740	
0.121818	0.725653	0.828201	85.550002	74.530000	22.400191	1.103994	
0.121818	0.728726	0.577126	85.470002	80.210000	22.324910	1.026814	
0.121818	0.728160	0.764507	85.498002	76.000000	22.591666	1.055418	
0.135142	0.743716	0.902851	85.162001	71.320000	22.765023	1.057036	
0.135142	0.771617	1.401354	84.278001	61.080000	22.470361	1.041826	
0.135142	0.794716	1.354942	83.950001	64.140000	22.423605	1.056802	
0.135142	0.784915	0.786483	84.056001	75.150000	22.552063	1.008020	
0.135142	0.752881	0.693493	85.046002	78.000000	22.309743	1.021320	
0.149923	0.756313	1.898855	84.822001	43.950000	22.463259	1.033089	
0.149923	0.851676	0.918526	82.282001	70.650000	22.542486	1.050349	
0.149923	0.796018	1.095090	83.908001	66.420000	22.415691	1.028893	
0.149923	0.791727	0.688890	83.832001	77.400000	22.371091	1.022235	
0.149923	0.775651	0.752969	84.384001	75.220000	22.913635	1.103736	
0.169249	0.769529	1.431917	84.222000	61.200000	22.039108	1.037260	
0.169249	0.994816	8.833106	78.235999	20.920000	21.865232	1.054172	
0.169249	1.078079	4.391385	76.047999	40.100000	21.964960	1.015945	
0.169249	1.412553	3.731046	65.932000	31.310000	22.371553	1.051130	
0.169249	1.102881	1.542923	75.353999	55.200000	21.966639	1.032892	
0.196355	0.930016	1.110330	79.402001	65.300000	21.360131	1.204952	
