LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.097656	2.298820	1.725844	35.024001	41.500000	25.635592	1.135959	
0.097656	1.732294	1.304961	56.030001	55.020000	25.693079	1.122446	
0.097656	1.412500	0.892691	66.098001	69.740000	26.144702	1.120593	
0.097656	1.207672	0.939557	72.418002	68.760000	25.583646	1.176942	
0.097656	1.077601	1.007870	76.028002	66.500000	25.582103	1.131616	
0.095367	0.985877	0.850630	78.210002	70.590000	26.118697	1.146109	
0.095367	0.923456	1.415648	79.388002	58.810000	25.731696	1.171537	
0.095367	0.879289	0.775292	80.504001	75.340000	25.560242	1.121902	
0.095367	0.845898	0.701856	81.336001	76.530000	25.604790	1.155285	
0.095367	0.820238	0.666485	81.650002	77.540000	25.880377	1.100788	
0.094250	0.801015	0.776131	82.165998	74.690000	25.789507	1.121138	
0.094250	0.784159	1.040688	82.603998	69.120000	25.712932	1.097540	
0.094250	0.776798	0.710649	82.851998	76.360000	25.747746	1.128736	
0.094250	0.767841	0.666927	83.169998	77.130000	26.176802	1.093451	
0.094250	0.757360	1.114046	83.567998	69.560000	25.840120	1.199461	
0.093514	0.736719	0.721600	84.235998	76.690000	25.333593	1.133116	
0.093514	0.740531	0.699155	83.881998	77.400000	25.452714	1.114520	
0.093514	0.734919	0.680971	84.249998	78.860000	26.083539	1.143587	
0.093514	0.728798	0.759815	84.575998	74.770000	25.453475	1.140774	
0.093514	0.719893	0.964742	84.717998	69.710000	25.487651	1.199400	
0.092783	0.706299	0.773441	85.155998	75.490000	25.293762	1.105773	
0.092783	0.713756	0.978034	84.941998	72.000000	25.920264	1.148489	
0.092783	0.717362	0.744360	84.763998	76.200000	25.277309	1.124223	
0.092783	0.711214	1.132962	84.855998	68.950000	25.267358	1.131752	
0.092783	0.704882	0.649083	85.273998	78.880000	25.164624	1.109527	
0.092783	0.699509	0.996199	85.520000	71.520000	25.667059	1.134884	
0.092783	0.700149	0.874391	85.456000	72.750000	25.264194	1.107862	
0.092783	0.695163	0.601199	85.534000	79.530000	25.116990	1.158341	
0.092783	0.693998	0.571193	85.758000	80.840000	24.960409	1.107829	
0.092783	0.688213	0.505692	85.828000	83.580000	25.707760	1.106374	
0.092783	0.676261	0.815938	86.162000	74.960000	25.559018	1.108310	
0.092783	0.683134	0.817987	85.874000	73.750000	25.393184	1.106190	
0.092783	0.688559	0.856557	85.660000	74.130000	25.478939	1.086017	
0.092783	0.676971	0.558548	86.214000	81.570000	25.917343	1.140120	
0.092783	0.685126	0.654696	85.872000	78.750000	25.523747	1.128477	
0.093870	0.670381	1.156424	86.407999	67.160000	25.036318	1.104156	
0.093870	0.746213	0.835485	84.131999	74.760000	25.397196	1.105199	
0.093870	0.700382	0.635311	85.651999	78.650000	25.203057	1.209999	
0.093870	0.691483	1.554297	85.887999	59.050000	25.237791	1.136191	
0.093870	0.731557	0.666296	84.807999	78.730000	25.015980	1.161852	
0.095337	0.662052	0.729774	86.906002	77.770000	25.383820	1.153007	
0.095337	0.675568	0.616168	86.244002	80.170000	25.106005	1.114666	
0.095337	0.667439	0.594900	86.592002	80.540000	25.086901	1.092180	
0.095337	0.667379	0.904398	86.432002	73.040000	24.928505	1.083170	
0.095337	0.667952	0.962707	86.422002	72.780000	24.887791	1.081988	
0.097944	0.661843	0.710703	86.553999	77.250000	24.586543	1.126038	
0.097944	0.678950	0.884804	86.015999	72.340000	24.556384	1.094754	
0.097944	0.690111	0.650514	85.877999	80.150000	24.785502	1.118648	
0.097944	0.673426	0.773637	86.461999	76.130000	24.668383	1.072500	
0.097944	0.669934	1.007200	86.471999	71.300000	24.775496	1.190884	
0.100622	0.657363	0.620314	86.877999	79.910000	25.065674	1.088035	
0.100622	0.677927	0.739456	86.143999	75.610000	24.607299	1.112509	
0.100622	0.669841	0.949587	86.535999	71.690000	24.803629	1.071668	
0.100622	0.666291	0.815731	86.703999	73.780000	24.667785	1.111599	
0.100622	0.655148	0.569850	86.941999	81.660000	24.846483	1.128181	
0.105339	0.657731	0.585578	86.777996	80.570000	24.395118	1.097209	
0.105339	0.663936	0.596191	86.551997	80.390000	24.694965	1.105498	
0.105339	0.663645	0.807599	86.685997	74.830000	24.431050	1.147222	
0.105339	0.656621	0.643812	86.975997	78.770000	24.367780	1.119454	
0.105339	0.663647	0.531379	86.475997	82.690000	24.306798	1.113703	
0.110688	0.666118	0.820619	86.520003	75.150000	25.140007	1.118154	
0.110688	0.672013	0.579331	86.480003	79.570000	24.544767	1.120214	
0.110688	0.678712	0.926439	86.264003	73.160000	24.582068	1.132831	
0.110688	0.667019	0.750555	86.762004	76.260000	24.652447	1.092219	
0.110688	0.668359	0.793837	86.660003	75.800000	24.868139	1.101210	
0.118038	0.667149	0.827538	86.690002	74.620000	24.228117	1.131436	
0.118038	0.684743	1.015089	86.026002	69.730000	24.446450	1.132035	
0.118038	0.682512	0.619323	86.170002	79.590000	24.813975	1.117289	
0.118038	0.668591	0.787264	86.598002	76.680000	24.445765	1.086878	
0.118038	0.679606	1.157836	86.280002	66.760000	24.478886	1.083005	
0.130488	0.680515	0.681579	86.112001	79.230000	22.220379	1.061877	
0.130488	0.685101	0.580069	86.124001	81.430000	22.273078	1.098319	
0.130488	0.688260	0.860740	86.122002	73.400000	22.459003	1.022099	
0.130488	0.688028	0.535597	86.014001	82.280000	22.868850	1.043770	
0.130488	0.684549	0.686052	85.970001	77.130000	22.404713	1.091052	
0.141192	0.695239	0.823212	85.697997	74.250000	23.148131	1.061751	
0.141192	0.711655	0.910296	85.457998	73.920000	22.826281	1.018874	
0.141192	0.702831	1.469112	85.787998	65.080000	23.084043	1.027788	
0.141192	0.701084	0.579705	85.697998	80.700000	22.683251	1.057198	
0.141192	0.699267	0.633599	85.775998	78.480000	22.783691	1.039975	
0.153877	0.715851	0.831903	85.343999	74.230000	22.630506	1.067600	
0.153877	0.728367	0.549192	84.765999	81.430000	22.861900	1.037474	
0.153877	0.709550	0.810317	85.473999	75.790000	22.567149	1.046409	
0.153877	0.727930	1.020922	84.739999	70.160000	22.666509	1.046215	
0.153877	0.725209	0.882402	84.933999	72.340000	22.586064	1.028983	
0.168904	0.723055	0.676903	85.054000	77.550000	22.602706	1.020700	
0.168904	0.733662	0.893540	84.772000	70.980000	22.657825	1.030770	
0.168904	0.731521	0.794906	84.898000	74.600000	22.431720	1.020391	
0.168904	0.720853	0.772289	85.182000	74.330000	22.297922	1.061685	
0.168904	0.732253	1.063703	84.834000	69.690000	22.298390	1.064831	
0.185398	0.737946	0.660961	84.622000	78.520000	22.508885	1.034276	
0.185398	0.759477	0.800701	83.782000	75.450000	21.966398	1.102591	
0.018540	0.587418	0.306878	89.956000	89.520000	22.051482	1.087297	
0.018540	0.519259	0.286433	91.904001	90.150000	22.108281	1.030783	
0.018540	0.489897	0.283078	92.600000	90.490000	21.847728	1.005371	
0.020785	0.467996	0.280647	93.122003	90.560000	22.071142	1.049483	
0.020785	0.450832	0.305173	93.366003	89.950000	21.998759	1.039307	
0.020785	0.431476	0.286011	93.814003	90.650000	21.844493	1.015424	
0.020785	0.418803	0.289716	94.032002	90.250000	22.027507	1.026318	
0.020785	0.407864	0.303885	94.078003	90.050000	22.761031	1.105884	
0.023383	0.399592	0.296428	94.175997	90.220000	21.854164	1.054616	
0.023383	0.393610	0.330668	94.129997	89.280000	21.878284	1.007977	
0.023383	0.388243	0.356719	94.097997	88.510000	21.814139	1.061451	
0.023383	0.380206	0.342130	94.201997	88.780000	21.474336	1.013896	
0.023383	0.374484	0.311850	94.337997	89.870000	21.960742	1.002810	
0.026306	0.378246	0.357458	93.869997	88.500000	22.130990	1.040850	
0.026306	0.381907	0.327983	93.821997	89.520000	22.068214	1.049164	
0.026306	0.387030	0.354496	93.561997	88.820000	22.273438	1.017353	
0.026306	0.380554	0.374130	93.745997	88.570000	22.308530	1.023557	
0.026306	0.384448	0.365990	93.443997	88.360000	22.195111	1.053938	
0.030108	0.394421	0.358334	93.088004	88.590000	21.611303	1.045661	
0.030108	0.404607	0.462987	92.806004	85.710000	21.478132	1.016398	
0.030108	0.403415	0.407890	92.876004	87.090000	22.245062	1.033644	
0.030108	0.394305	0.457928	93.218004	86.550000	21.386112	1.093298	
0.030108	0.403164	0.394024	92.716004	87.640000	21.575223	1.034706	
0.035047	0.418541	0.430780	92.258004	85.770000	21.673742	1.032642	
0.035047	0.418744	0.428009	92.384004	86.410000	21.604149	1.015649	
0.035047	0.419943	0.470390	92.332004	84.870000	21.761965	1.017330	
0.035047	0.424840	0.400866	92.168004	86.790000	21.576249	1.026907	
0.035047	0.419313	0.415954	92.372004	86.500000	21.583543	1.074856	
0.041208	0.436479	0.589679	91.726001	81.400000	21.654474	1.077715	
0.041208	0.458489	0.518859	91.116001	83.800000	21.560235	1.016413	
0.041208	0.453901	0.543559	91.516001	83.290000	21.755768	1.017334	
0.041208	0.455506	0.476168	91.520001	84.640000	21.552552	1.055588	
0.041208	0.453829	0.446531	91.634001	85.650000	21.620435	1.028128	
0.048774	0.463128	1.280115	91.246000	70.020000	21.790842	1.032028	
0.048774	0.700216	0.568082	84.412000	80.810000	21.486001	1.029294	
0.048774	0.546194	0.850966	89.404001	74.970000	21.385257	1.160887	
0.048774	0.630957	0.426245	86.824000	86.060000	21.333504	1.050723	
0.048774	0.512823	0.408511	90.426000	86.940000	21.307773	1.014176	
0.057728	0.506862	0.621195	90.620001	80.840000	22.044168	1.048089	
0.057728	0.622886	0.519310	86.852000	82.960000	21.488150	1.053827	
0.057728	0.550049	0.448550	89.434000	84.820000	21.450223	1.054948	
0.057728	0.510191	1.027685	90.522000	71.860000	21.339037	1.146841	
0.057728	0.557797	1.916968	89.078000	62.440000	21.445158	1.005415	
0.066748	0.526219	0.486431	89.978002	83.850000	21.676483	1.036908	
0.066748	0.530740	0.595596	89.736002	81.950000	21.344276	1.059659	
0.066748	0.530505	0.514247	89.712002	83.320000	21.475149	1.016044	
0.066748	0.516459	0.607119	90.248002	81.730000	21.445637	1.064848	
0.066748	0.527954	0.492580	89.840002	83.790000	21.647159	1.039366	
0.076917	0.555932	0.721164	88.926003	78.070000	21.480783	1.047022	
0.076917	0.559735	0.498042	88.998002	83.620000	21.414251	1.017846	
0.076917	0.544743	0.530669	89.460002	82.760000	21.503537	1.067979	
0.076917	0.545434	0.471231	89.570003	84.460000	21.706096	1.049625	
0.076917	0.540333	0.535252	89.644003	82.380000	21.478318	1.010014	
0.088935	0.578646	0.648406	88.230002	79.680000	21.630673	1.069954	
0.088935	0.572789	0.737328	88.860002	78.090000	21.366360	1.095099	
0.088935	0.574369	0.636330	88.706002	79.050000	21.362805	0.987134	
0.088935	0.574468	0.578031	88.768002	81.270000	21.664302	1.046024	
0.008894	0.450901	0.259176	93.092002	91.350000	21.376580	1.053171	
0.010422	0.406420	0.255007	94.550002	91.700000	21.312155	1.101245	
0.010422	0.386016	0.253564	95.106002	91.760000	21.211360	0.991251	
0.010422	0.370786	0.258758	95.346003	91.570000	21.712323	1.043114	
0.010422	0.356512	0.248112	95.754003	91.870000	21.048582	1.040905	
0.010422	0.345954	0.254492	96.018002	91.940000	21.333811	1.030617	
0.012254	0.339776	0.264837	96.062001	91.700000	21.218203	1.034595	
0.012254	0.335985	0.275931	96.060001	91.300000	21.569532	1.009020	
0.012254	0.331006	0.272278	96.050001	91.490000	21.256207	1.012105	
0.012254	0.327692	0.266779	96.086001	91.550000	21.114884	1.124994	
0.012254	0.311331	0.279016	96.644002	91.610000	21.219733	1.007621	
0.014504	0.309896	0.314529	96.524000	90.820000	21.385375	1.002610	
0.014504	0.317537	0.334997	96.010000	90.200000	21.093534	1.046179	
0.014504	0.346842	0.299157	95.064000	90.820000	21.317855	1.081618	
0.014504	0.343408	0.332552	95.146000	89.950000	21.081900	1.027323	
0.014504	0.353591	0.314269	94.746000	90.500000	21.237162	1.040818	
0.017280	0.319239	0.308269	95.683999	90.520000	20.620990	1.032194	
0.017280	0.316461	0.324469	95.661999	90.100000	21.056520	1.023333	
0.017280	0.314259	0.382749	95.787999	88.970000	20.837625	1.041735	
0.017280	0.312083	0.387089	95.731999	88.810000	20.790767	1.096554	
0.017280	0.305587	0.334238	95.825998	90.050000	20.797666	0.998000	
0.021195	0.320443	0.352542	95.218001	89.330000	20.424362	1.036493	
0.021195	0.337796	0.342142	94.494001	89.720000	20.418384	1.114332	
0.021195	0.325244	0.409127	95.016001	88.040000	20.478935	1.054183	
0.021195	0.325940	0.410818	94.998001	88.150000	20.539051	1.033751	
0.021195	0.332758	0.337759	94.862001	89.580000	20.493641	1.051077	
0.026411	0.347125	0.359855	94.172003	88.300000	21.035045	1.066301	
0.026411	0.364921	0.458100	93.680002	86.780000	20.464391	1.024154	
0.026411	0.359325	0.597689	93.908003	83.810000	20.597592	1.043506	
0.026411	0.360644	0.399434	93.862002	87.600000	20.327397	1.050675	
0.026411	0.360521	0.398644	93.854003	88.240000	20.279964	1.067585	
