LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.925922	1.670016	37.906000	43.530000	25.500737	1.238029	
0.100000	1.363724	1.414447	59.516000	52.400000	25.642738	1.130123	
0.100000	1.124096	0.977997	68.300000	66.550000	25.769872	1.105006	
0.100000	0.967575	0.821844	73.678000	72.230000	25.678740	1.181458	
0.100000	0.857358	1.001624	77.300000	68.250000	25.383679	1.157654	
0.100000	0.791152	0.707678	79.152000	76.010000	25.046979	1.173147	
0.100000	0.747322	1.138554	80.398000	65.750000	25.193338	1.166745	
0.100000	0.712641	0.961184	81.236000	69.720000	25.174282	1.208733	
0.100000	0.683684	0.836067	82.058000	72.560000	25.346152	1.129668	
0.100000	0.663992	0.612639	82.812000	79.310000	25.105666	1.119396	
0.100000	0.637642	0.737981	83.624000	76.410000	25.732549	1.108383	
0.100000	0.634745	0.674216	83.554000	77.650000	25.619945	1.121536	
0.100000	0.619107	0.833625	84.050000	73.060000	25.433429	1.278956	
0.100000	0.612102	1.008449	84.152000	71.250000	25.975010	1.150667	
0.100000	0.603619	0.626325	84.714000	79.900000	25.577241	1.072189	
0.100000	0.584221	1.101464	85.210000	67.080000	25.226216	1.147907	
0.100000	0.587498	0.527191	84.980000	82.150000	25.126998	1.107078	
0.100000	0.577973	0.624412	85.210000	78.620000	25.350605	1.133190	
0.100000	0.578100	0.691677	85.338000	77.910000	25.344985	1.158409	
0.100000	0.572145	0.498120	85.588000	83.150000	25.534477	1.103825	
0.100000	0.553899	0.543551	86.260000	81.390000	25.816394	1.128870	
0.100000	0.564138	0.634366	85.762000	79.170000	25.764667	1.189582	
0.100000	0.552437	0.627424	86.090000	79.650000	25.723074	1.121590	
0.100000	0.556157	0.733520	85.944000	77.450000	25.655244	1.113206	
0.100000	0.548386	0.940776	86.404000	72.880000	25.797000	1.153922	
0.100000	0.539687	0.689363	86.838000	77.720000	25.697295	1.098294	
0.100000	0.542304	0.628879	86.538000	79.810000	25.016945	1.098894	
0.100000	0.541151	0.809005	86.780000	76.720000	25.134927	1.129860	
0.100000	0.534558	0.538278	86.966000	81.720000	25.397557	1.099939	
0.100000	0.532022	0.583096	87.074000	80.100000	25.250858	1.161352	
0.100000	0.525533	0.770578	87.176000	75.890000	25.430909	1.101359	
0.100000	0.526220	0.616750	87.190000	79.680000	25.369970	1.123795	
0.100000	0.528499	0.514009	86.960000	83.460000	25.638358	1.131609	
0.100000	0.527476	0.534015	87.246000	82.230000	25.482097	1.099571	
0.100000	0.523942	0.601273	87.286000	79.720000	25.251003	1.131066	
0.100000	0.517365	0.757948	87.528000	76.440000	25.577906	1.195914	
0.100000	0.524268	0.841453	87.342000	74.370000	25.759515	1.197370	
0.100000	0.515430	0.640368	87.690000	79.400000	25.840327	1.126018	
0.100000	0.513852	0.587625	87.628000	81.930000	25.517063	1.125418	
0.100000	0.523422	0.654353	87.284000	79.350000	25.457941	1.149627	
0.100000	0.511844	0.583910	87.764000	81.010000	25.177039	1.145115	
0.100000	0.509131	0.600808	87.726000	80.610000	25.183863	1.117451	
0.100000	0.509622	0.634366	87.908000	79.440000	25.543115	1.120409	
0.100000	0.505084	0.613761	88.018000	80.480000	25.470094	1.178932	
0.100000	0.513150	0.593373	87.802000	81.690000	25.200831	1.202132	
0.100000	0.498232	0.565871	88.152000	82.640000	25.404084	1.132664	
0.100000	0.513464	0.429604	87.712000	85.520000	25.168106	1.077743	
0.100000	0.503575	0.489253	88.038000	84.440000	25.419452	1.127876	
0.100000	0.505634	0.553629	87.900000	81.760000	25.583571	1.164753	
0.100000	0.497135	0.760141	88.306000	75.960000	25.502674	1.204034	
0.100000	0.491936	0.517602	88.380000	83.890000	25.925610	1.126645	
0.100000	0.497912	0.812918	88.114000	75.960000	26.106030	1.128231	
0.100000	0.498308	0.485790	88.168000	84.170000	25.846601	1.121687	
0.100000	0.502400	0.536333	88.028000	83.010000	25.888575	1.154678	
0.100000	0.496962	0.746442	88.216000	77.790000	25.959229	1.129162	
0.100000	0.491387	0.600085	88.406000	80.950000	25.439259	1.134711	
0.100000	0.499134	0.516166	88.218000	82.790000	25.647472	1.095997	
0.100000	0.495635	0.556959	88.424000	81.300000	26.165390	1.110794	
0.100000	0.496303	0.724394	88.226000	77.720000	25.606371	1.109027	
0.100000	0.500486	0.639010	87.992000	80.520000	25.404528	1.149712	
0.100000	0.487888	0.662862	88.636000	79.300000	26.019368	1.218468	
0.100000	0.489258	0.505591	88.472000	83.000000	25.841931	1.127146	
0.100000	0.492064	0.463599	88.434000	85.030000	25.667541	1.123485	
0.100000	0.497926	0.591323	88.230000	80.790000	25.814692	1.110863	
0.100000	0.490123	0.974446	88.458000	71.790000	25.885022	1.115138	
0.100000	0.480873	0.640703	88.804000	80.190000	25.708318	1.262960	
0.100000	0.492510	0.501035	88.336000	83.540000	25.263288	1.302392	
0.100000	0.488359	0.571819	88.344000	81.870000	25.524812	1.175821	
0.100000	0.487146	0.625812	88.580000	80.810000	25.824351	1.144444	
0.100000	0.486857	0.657548	88.546000	79.260000	26.137760	1.146344	
0.100000	0.476788	0.711071	88.958000	79.040000	25.520605	1.113981	
0.100000	0.485061	0.546991	88.604000	82.570000	25.637222	1.121778	
0.100000	0.487939	0.522324	88.488000	83.260000	25.671607	1.107781	
0.100000	0.482950	0.640827	88.700000	80.500000	25.583283	1.142050	
0.100000	0.488769	0.645526	88.578000	79.430000	25.754230	1.135293	
0.100000	0.483299	0.528266	88.650000	82.540000	25.780638	1.140924	
0.100000	0.477169	0.577251	88.818000	81.480000	25.358369	1.110207	
0.100000	0.486167	0.503654	88.676000	83.520000	25.507093	1.141565	
0.100000	0.483471	0.662497	88.756000	79.620000	25.456618	1.123873	
0.100000	0.488880	0.483266	88.622000	84.450000	25.365453	1.081039	
0.100000	0.469965	0.511320	89.208000	83.510000	25.449214	1.159675	
0.100000	0.484753	0.798154	88.714000	75.500000	25.415098	1.127050	
0.100000	0.479921	0.616131	88.806000	79.660000	25.556749	1.138700	
0.100000	0.475407	0.555111	89.100000	82.070000	25.568511	1.130064	
0.100000	0.481232	0.581410	88.836000	81.390000	25.550593	1.121526	
0.100000	0.471825	0.488122	89.052000	83.730000	25.835823	1.233064	
0.100000	0.479670	0.542987	88.860000	82.720000	25.700810	1.100999	
0.100000	0.486036	0.664974	88.518000	79.200000	25.242741	1.129478	
0.100000	0.475986	0.427850	88.920000	85.700000	25.464952	1.198511	
0.100000	0.480825	0.503153	88.824000	83.410000	25.314132	1.158843	
0.100000	0.470124	0.599913	89.134000	80.540000	25.614601	1.180872	
0.100000	0.475422	0.619924	88.842000	80.360000	25.215378	1.210026	
0.010000	0.355348	0.254047	93.210000	91.230000	25.444104	1.167408	
0.010000	0.309308	0.242405	94.716000	91.650000	25.487667	1.118565	
0.010000	0.287777	0.239144	95.468000	91.920000	25.398339	1.113406	
0.010000	0.276141	0.236200	95.754000	92.040000	25.802707	1.103035	
