LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.510301	1.560069	34.224000	43.380000	26.060051	1.086096	
0.100000	1.913994	1.648016	54.506000	47.750000	25.108098	1.109101	
0.100000	1.541012	1.027136	65.726000	63.870000	25.691652	1.077921	
0.100000	1.306102	1.148934	72.382000	61.430000	26.008868	1.091422	
0.100000	1.162880	0.964544	75.906000	68.440000	26.256764	1.073682	
0.100000	1.068000	0.921081	77.572000	69.570000	25.392805	1.123834	
0.100000	1.010313	1.213253	78.870000	63.040000	25.861159	1.132617	
0.100000	0.950390	1.264564	79.972000	61.090000	25.913425	1.087692	
0.100000	0.919958	0.803077	80.554000	73.170000	26.028109	1.138499	
0.100000	0.889768	0.897178	81.486000	70.910000	25.794065	1.126870	
0.100000	0.871768	1.362683	81.720000	62.210000	25.905538	1.108465	
0.100000	0.868837	1.211524	81.878000	61.720000	26.287108	1.106772	
0.100000	0.857873	0.570290	82.174000	80.590000	25.491842	1.089587	
0.100000	0.850108	0.853922	82.234000	74.320000	26.313582	1.094346	
0.100000	0.841768	0.829419	82.744000	73.480000	26.434447	1.143702	
0.100000	0.832998	0.844964	82.994000	72.250000	26.741087	1.136278	
0.100000	0.832954	0.588440	83.168000	80.510000	26.190725	1.110985	
0.100000	0.832259	0.857437	83.042000	70.970000	26.388155	1.133445	
0.100000	0.817045	0.809612	83.558000	75.020000	26.686758	1.186283	
0.100000	0.819978	0.636889	83.414000	79.060000	26.000100	1.082627	
0.100000	0.801912	0.765369	83.938000	74.920000	25.146005	1.109403	
0.100000	0.807541	1.235425	83.940000	66.260000	25.586526	1.082463	
0.100000	0.802500	1.121479	83.994000	67.330000	26.062310	1.106927	
0.100000	0.802367	0.771764	83.982000	74.880000	25.346889	1.099892	
0.100000	0.805326	0.602766	83.996000	80.250000	26.014903	1.086317	
0.100000	0.777318	0.554314	84.766000	81.630000	25.659575	1.113205	
0.100000	0.789666	0.827269	84.102000	73.380000	25.949146	1.114728	
0.100000	0.790340	0.811821	84.474000	74.660000	25.814505	1.095810	
0.100000	0.782893	0.882848	84.678000	72.420000	25.977359	1.078477	
0.100000	0.775991	0.641205	84.694000	78.450000	25.908630	1.121280	
0.100000	0.772297	1.091269	84.724000	69.350000	25.691592	1.085475	
0.100000	0.781690	0.731055	84.350000	75.740000	25.716140	1.074530	
0.100000	0.774924	0.761255	84.748000	76.850000	25.896477	1.085093	
0.100000	0.772867	0.674478	84.822000	77.690000	25.603768	1.073191	
0.100000	0.760792	1.012677	85.278000	68.790000	25.948336	1.094114	
0.100000	0.761086	0.609409	85.054000	79.560000	25.382851	1.086648	
0.100000	0.769155	0.677311	84.928000	78.060000	25.578950	1.080635	
0.100000	0.762091	0.612219	85.080000	79.700000	25.883112	1.084999	
0.100000	0.765065	0.595703	84.974000	80.320000	25.693699	1.071900	
0.100000	0.766583	0.722160	84.994000	75.890000	25.905409	1.093258	
0.100000	0.755739	0.674553	85.282000	77.990000	25.371727	1.082680	
0.100000	0.757276	0.531767	85.036000	81.930000	25.208545	1.071062	
0.100000	0.759637	0.630446	85.036000	78.720000	25.518428	1.079324	
0.100000	0.759979	0.725821	85.252000	76.610000	25.719809	1.064470	
0.100000	0.746818	0.672307	85.458000	78.820000	25.965833	1.086147	
0.100000	0.741086	0.766455	85.604000	75.540000	24.276303	1.064276	
0.100000	0.750317	0.614254	85.368000	79.380000	24.347812	1.043573	
0.100000	0.754421	0.908567	85.088000	70.820000	24.481457	1.011259	
0.100000	0.743906	0.898064	85.562000	71.970000	24.283896	1.045068	
0.100000	0.743627	0.706890	85.544000	78.020000	24.536389	1.052067	
0.100000	0.735360	0.530343	85.776000	82.070000	24.214291	1.011188	
0.100000	0.747983	0.625527	85.390000	78.950000	24.318334	1.020432	
0.100000	0.740728	0.945843	85.742000	70.430000	24.380514	1.023401	
0.100000	0.745177	0.549836	85.524000	81.570000	24.568903	0.999765	
0.100000	0.740113	0.761490	85.606000	75.460000	24.470008	1.018323	
0.100000	0.738872	0.640429	85.696000	79.910000	24.049066	1.030449	
0.100000	0.737097	0.850536	85.590000	74.430000	24.024251	1.000025	
0.100000	0.750700	0.591755	85.236000	80.240000	23.507688	1.021550	
0.100000	0.735518	0.651085	85.812000	79.260000	23.687462	1.010520	
0.100000	0.736699	0.627190	85.530000	79.360000	23.933393	1.006395	
0.100000	0.725842	0.789254	86.166000	76.430000	22.726169	0.951355	
0.100000	0.739375	0.708047	85.444000	76.800000	22.919730	0.974620	
0.100000	0.735606	0.637538	85.740000	78.360000	22.793758	0.965202	
0.100000	0.736260	0.738223	85.592000	75.870000	23.120697	0.949361	
0.100000	0.733066	0.933154	85.822000	72.650000	23.163797	1.022251	
0.100000	0.722180	0.718917	86.016000	76.660000	21.895993	0.950446	
0.100000	0.731317	0.558145	85.752000	81.900000	22.653574	0.930494	
0.100000	0.730849	0.897656	85.792000	73.140000	22.524286	0.957710	
0.100000	0.728689	0.733538	85.796000	76.850000	22.638047	0.933897	
0.100000	0.728874	0.566682	85.772000	80.900000	22.060289	0.955629	
0.100000	0.723269	0.639287	86.128000	78.980000	21.936385	0.949702	
0.100000	0.728129	0.680244	85.968000	78.460000	22.237296	0.948809	
0.100000	0.726337	0.597849	85.968000	80.440000	22.445095	0.971559	
0.100000	0.729878	0.494355	85.812000	83.590000	22.532031	0.962666	
0.100000	0.728622	0.554040	85.958000	81.660000	22.642110	0.955872	
