LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.050000	2.319182	1.606927	37.884000	45.740000	25.295906	1.130059	
0.050000	1.819909	1.228768	56.088000	56.720000	25.102748	1.101398	
0.050000	1.536088	1.076882	65.492000	62.140000	25.220577	1.080297	
0.050000	1.361836	0.857778	71.098000	70.300000	25.141737	1.128558	
0.050000	1.224271	0.851719	75.072000	71.030000	25.054311	1.093084	
0.050000	1.128105	1.019367	77.550000	66.860000	25.459854	1.095518	
0.050000	1.058889	1.021378	79.076000	69.140000	25.509677	1.088151	
0.050000	0.995224	1.079082	80.416000	68.140000	25.243143	1.124879	
0.050000	0.938378	0.801059	81.738000	73.260000	25.419490	1.111175	
0.050000	0.891853	0.790872	82.402000	75.250000	25.263766	1.116899	
0.050000	0.854978	0.735494	83.320000	76.060000	25.386420	1.135171	
0.050000	0.829750	1.011895	83.746000	69.860000	25.522741	1.098246	
0.050000	0.801478	0.685776	84.130000	78.490000	25.462700	1.120354	
0.050000	0.774760	0.761170	84.836000	77.340000	25.550599	1.089342	
0.050000	0.763224	0.876870	84.682000	73.800000	25.358580	1.139522	
0.050000	0.730007	0.606082	85.676000	79.640000	25.386500	1.182146	
0.050000	0.726474	0.691085	85.456000	77.790000	25.371404	1.108240	
0.050000	0.710757	0.531807	85.758000	82.740000	25.327330	1.093041	
0.050000	0.696379	0.614873	86.264000	79.880000	25.321548	1.110047	
0.050000	0.691865	0.611313	86.216000	80.300000	25.334769	1.126458	
0.050000	0.675793	0.585277	86.772000	80.380000	25.494299	1.188663	
0.050000	0.671373	0.513346	86.736000	82.420000	25.169046	1.106325	
0.050000	0.670296	0.639309	86.778000	79.780000	25.383732	1.100949	
0.050000	0.657038	0.697078	87.188000	78.190000	25.540936	1.124335	
0.050000	0.650438	0.667147	87.228000	79.700000	25.348316	1.121599	
0.050000	0.649912	0.653324	87.302000	79.890000	25.069654	1.116382	
0.050000	0.648677	0.823909	87.348000	74.440000	25.221771	1.129200	
0.050000	0.645576	0.524369	87.510000	82.870000	25.121023	1.128577	
0.050000	0.644028	0.736708	87.542000	77.460000	25.229214	1.087361	
0.050000	0.638928	0.530601	87.606000	83.100000	25.611161	1.139038	
0.050000	0.622097	0.596564	88.146000	81.050000	25.381558	1.086402	
0.050000	0.623279	0.580378	88.148000	82.200000	25.623760	1.163468	
0.050000	0.629132	0.880918	88.050000	75.310000	25.454207	1.101369	
0.050000	0.624526	0.729575	88.046000	78.290000	25.340124	1.101376	
0.050000	0.627531	0.700906	88.196000	79.370000	25.463656	1.084889	
0.050000	0.608559	0.602409	88.554000	81.180000	25.743650	1.192788	
0.050000	0.619383	0.484659	88.338000	84.050000	25.618369	1.110156	
0.050000	0.610050	0.454248	88.500000	84.610000	25.551926	1.133071	
0.050000	0.611412	0.631815	88.452000	80.500000	25.535759	1.114627	
0.050000	0.613594	0.579248	88.444000	81.440000	25.482450	1.153665	
0.050000	0.595537	0.545220	89.078000	82.250000	25.703964	1.153919	
0.050000	0.605664	0.789950	88.580000	76.640000	25.639198	1.127399	
0.050000	0.611577	0.528492	88.398000	82.710000	25.558546	1.101450	
0.050000	0.601595	0.561009	88.854000	81.260000	25.622251	1.116257	
0.050000	0.598517	0.577668	89.096000	81.190000	25.685092	1.094068	
0.050000	0.592944	0.482146	89.184000	83.790000	25.204545	1.128381	
0.050000	0.597411	0.470088	88.922000	84.620000	25.186455	1.110392	
0.050000	0.601536	0.483733	88.978000	84.190000	25.201896	1.102945	
0.050000	0.593577	0.638019	89.066000	79.910000	25.270392	1.120957	
0.050000	0.596522	0.603186	89.090000	80.660000	24.929065	1.104011	
0.050000	0.587804	0.506918	89.394000	83.870000	25.306731	1.142036	
0.050000	0.595833	0.601108	89.130000	81.130000	25.327532	1.147478	
0.050000	0.594364	0.636271	89.128000	80.340000	25.364920	1.121103	
0.050000	0.588904	0.685122	89.410000	80.040000	25.212512	1.101648	
0.050000	0.590972	0.530726	89.348000	82.450000	25.418592	1.118287	
0.050000	0.580951	0.500806	89.462000	83.500000	25.139300	1.118986	
0.050000	0.585013	0.405960	89.412000	86.690000	25.074256	1.153010	
0.050000	0.586392	0.561399	89.424000	82.670000	25.056438	1.109631	
0.050000	0.581322	0.617105	89.594000	80.540000	25.035523	1.087819	
0.050000	0.584741	0.490309	89.386000	83.660000	24.816585	1.109127	
0.050000	0.579465	0.545866	89.586000	82.960000	25.532689	1.104608	
0.050000	0.571023	0.466268	89.910000	84.770000	25.259727	1.105384	
0.050000	0.573260	0.557116	89.674000	81.990000	25.402220	1.098140	
0.050000	0.583861	0.675054	89.518000	79.490000	25.319072	1.190851	
0.050000	0.582662	0.712260	89.558000	79.360000	25.394366	1.138545	
0.050000	0.574452	0.515646	89.702000	83.490000	25.102285	1.100361	
0.050000	0.577179	0.429565	89.602000	85.780000	25.113742	1.111428	
0.050000	0.574371	0.488505	89.736000	84.580000	25.159819	1.131285	
0.050000	0.577806	0.464530	89.818000	84.520000	25.337981	1.139087	
0.050000	0.575227	0.648271	89.804000	79.960000	25.252200	1.170268	
0.050000	0.570032	0.549289	89.924000	82.440000	25.578895	1.120715	
0.050000	0.571624	0.411255	89.824000	86.290000	25.549770	1.099358	
0.050000	0.574914	0.418356	89.770000	86.330000	25.551592	1.100502	
0.050000	0.567342	0.613587	90.024000	80.560000	25.610960	1.123755	
0.050000	0.569035	0.430641	89.896000	85.650000	25.396312	1.131937	
0.050000	0.561922	0.622244	90.194000	80.900000	25.531196	1.112556	
0.050000	0.571093	0.475310	89.810000	84.890000	25.449947	1.122897	
0.050000	0.570484	0.528360	89.948000	82.680000	25.309892	1.191121	
0.050000	0.560638	0.442983	90.248000	85.790000	25.370083	1.109682	
0.050000	0.571698	0.470199	89.774000	84.800000	25.359373	1.097975	
0.050000	0.562878	0.465628	90.070000	84.440000	25.539373	1.125921	
0.050000	0.565210	0.510803	89.990000	83.430000	25.395884	1.117343	
0.050000	0.565938	0.405357	90.032000	86.450000	25.393863	1.149634	
0.050000	0.563869	0.769358	90.006000	77.790000	25.555960	1.200850	
0.050000	0.563565	0.548319	90.082000	82.220000	25.660008	1.114755	
0.050000	0.559351	0.539836	90.142000	82.780000	25.429934	1.109641	
0.050000	0.563025	0.518093	90.176000	83.440000	25.370609	1.083439	
0.050000	0.559900	0.544712	90.272000	83.250000	25.669949	1.122360	
0.050000	0.556871	0.496788	90.340000	84.600000	25.635562	1.132354	
0.050000	0.566672	0.548934	89.944000	82.920000	25.331531	1.124086	
0.050000	0.555575	0.664370	90.310000	80.490000	25.484916	1.258577	
0.050000	0.562464	0.411239	90.272000	86.300000	25.417769	1.109033	
0.005000	0.452504	0.246003	94.110000	91.650000	25.660764	1.131032	
0.005000	0.410522	0.232715	95.370000	92.360000	25.530651	1.185835	
0.005000	0.389686	0.233064	95.986000	92.310000	25.379619	1.108583	
0.005000	0.378955	0.237061	96.272000	92.300000	25.514280	1.145093	
0.005000	0.366559	0.237036	96.512000	92.230000	25.349955	1.099941	
0.005000	0.359716	0.240791	96.662000	92.250000	25.324499	1.142267	
0.005000	0.349285	0.241226	97.066000	92.520000	25.312391	1.088510	
0.005000	0.342766	0.237815	97.106000	92.710000	25.283628	1.138566	
0.005000	0.335787	0.237075	97.266000	92.500000	25.435009	1.139051	
0.005000	0.329587	0.240097	97.332000	92.580000	25.461302	1.110478	
0.005000	0.322763	0.242817	97.592000	92.750000	25.344782	1.102530	
0.005000	0.318628	0.245667	97.584000	92.610000	25.414093	1.136650	
0.005000	0.312318	0.244827	97.690000	92.790000	25.357083	1.111999	
0.005000	0.305397	0.248782	97.864000	92.690000	25.327699	1.109962	
0.005000	0.300208	0.252898	97.972000	92.470000	25.398432	1.115193	
0.005000	0.299086	0.265988	97.904000	92.200000	25.684360	1.125346	
0.005000	0.292677	0.276742	97.994000	92.290000	25.289796	1.141045	
0.005000	0.287308	0.274195	98.144000	92.400000	25.273930	1.212799	
0.005000	0.283183	0.266098	98.228000	92.460000	25.383262	1.112548	
0.005000	0.278636	0.290420	98.256000	91.870000	25.012734	1.141324	
0.005000	0.278104	0.275116	98.238000	92.550000	25.177379	1.111794	
0.005000	0.272783	0.272989	98.312000	92.460000	25.120938	1.129700	
0.005000	0.272609	0.270422	98.232000	92.480000	24.922314	1.093688	
0.005000	0.265294	0.269442	98.406000	92.700000	25.400419	1.140237	
0.005000	0.266275	0.285844	98.288000	92.200000	25.316654	1.094409	
0.005000	0.259964	0.292728	98.514000	91.910000	25.092467	1.109532	
0.005000	0.261864	0.297131	98.318000	91.910000	25.333482	1.112312	
0.005000	0.261451	0.299210	98.278000	91.850000	25.294240	1.106661	
0.005000	0.253173	0.290044	98.466000	92.320000	25.183104	1.087025	
0.005000	0.250541	0.301893	98.532000	91.780000	25.182085	1.083447	
0.005000	0.253951	0.301322	98.288000	91.960000	25.055098	1.105748	
0.005000	0.249212	0.302116	98.492000	92.200000	25.253828	1.175034	
0.005000	0.247997	0.287551	98.392000	92.370000	25.092989	1.078448	
0.005000	0.243833	0.329040	98.478000	91.740000	26.117217	1.112456	
0.005000	0.247664	0.328680	98.304000	91.540000	25.675047	1.125282	
0.005000	0.247539	0.295856	98.210000	92.550000	25.652240	1.090054	
0.005000	0.243201	0.304500	98.340000	91.950000	25.464740	1.092387	
0.005000	0.244072	0.325190	98.250000	91.460000	25.437690	1.080640	
0.005000	0.237482	0.322361	98.428000	91.550000	25.365595	1.099790	
0.005000	0.238649	0.312681	98.332000	91.820000	25.236188	1.157658	
0.005000	0.237363	0.324135	98.330000	91.750000	25.291398	1.150101	
0.005000	0.238548	0.309287	98.170000	91.760000	25.233743	1.082628	
0.005000	0.234782	0.323476	98.320000	91.580000	25.118363	1.104850	
0.005000	0.237313	0.331688	98.194000	91.120000	25.515425	1.127794	
0.005000	0.237076	0.323020	98.078000	91.470000	25.128780	1.082283	
0.005000	0.236389	0.299206	98.154000	91.930000	25.320527	1.139396	
0.005000	0.233256	0.324419	98.216000	91.670000	25.169619	1.108688	
0.005000	0.233355	0.320368	98.196000	91.470000	25.181260	1.112245	
0.005000	0.229515	0.321159	98.280000	91.580000	25.382201	1.106542	
0.005000	0.234688	0.309453	98.024000	91.460000	25.465970	1.107350	
0.005000	0.233447	0.328615	98.056000	91.530000	25.477339	1.129659	
0.005000	0.232343	0.326817	98.106000	91.420000	25.437235	1.123928	
0.005000	0.233783	0.320417	97.986000	91.370000	25.423090	1.117088	
0.005000	0.232215	0.344703	98.008000	91.050000	25.305988	1.089530	
0.005000	0.229439	0.334222	98.076000	91.400000	25.119721	1.087664	
0.005000	0.236264	0.312750	97.758000	91.610000	25.192249	1.081262	
0.005000	0.229339	0.310890	98.004000	91.710000	25.194814	1.127702	
0.000500	0.207765	0.265532	98.852000	92.640000	25.100170	1.116300	
0.000500	0.196683	0.261852	99.262000	92.960000	25.620663	1.111975	
0.000500	0.193580	0.258950	99.430000	92.960000	25.483924	1.149418	
0.000500	0.191896	0.261625	99.404000	92.990000	25.518252	1.132697	
0.000500	0.189817	0.264229	99.490000	92.980000	25.450768	1.089380	
0.000500	0.187512	0.262623	99.600000	93.060000	25.272017	1.137241	
0.000500	0.187156	0.262378	99.548000	93.180000	25.375197	1.101423	
0.000500	0.185554	0.266358	99.626000	93.110000	25.033360	1.106556	
0.000500	0.184985	0.269094	99.658000	93.170000	25.133324	1.103551	
0.000500	0.183712	0.269005	99.662000	93.150000	25.253800	1.098377	
0.000500	0.183154	0.266628	99.658000	93.100000	25.084023	1.108937	
0.000500	0.183036	0.267358	99.642000	93.000000	25.515231	1.171554	
0.000500	0.181515	0.272529	99.702000	93.070000	25.388426	1.102882	
0.000500	0.180770	0.269673	99.712000	93.080000	25.061409	1.112890	
0.000500	0.180832	0.270248	99.694000	93.030000	25.090061	1.122602	
0.000500	0.179681	0.271706	99.752000	93.120000	25.048647	1.139100	
0.000500	0.179652	0.270634	99.726000	93.130000	25.249958	1.101019	
0.000500	0.178462	0.271833	99.768000	93.040000	25.064782	1.078732	
0.000500	0.177763	0.275156	99.774000	93.010000	25.215000	1.117662	
0.000500	0.178421	0.267658	99.720000	93.220000	25.009745	1.104604	
0.000500	0.176690	0.274231	99.806000	93.160000	24.983768	1.102832	
0.000500	0.176577	0.271580	99.788000	93.150000	25.344504	1.105954	
0.000500	0.175889	0.268581	99.792000	93.290000	25.121003	1.112480	
0.000500	0.175603	0.276353	99.788000	93.160000	25.177397	1.127065	
0.000500	0.176007	0.272877	99.776000	93.160000	25.026590	1.096361	
0.000500	0.174630	0.278655	99.836000	93.170000	25.088546	1.096066	
0.000500	0.174668	0.275668	99.804000	93.280000	25.267957	1.142776	
0.000500	0.174395	0.278565	99.782000	93.270000	25.400372	1.092151	
0.000500	0.174022	0.275036	99.778000	93.150000	25.195813	1.097076	
0.000500	0.173491	0.277639	99.812000	93.230000	25.152983	1.104802	
0.000500	0.173257	0.273527	99.814000	93.200000	25.014712	1.090350	
