LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	2.599816	1.690106	23.870000	36.220000	25.037182	1.108252	
0.200000	1.968656	1.560769	42.684000	46.800000	25.152254	1.079907	
0.200000	1.548013	1.303942	56.402000	54.920000	25.086200	1.083830	
0.200000	1.240561	1.443639	66.548000	54.730000	25.165581	1.089730	
0.200000	1.080929	1.516868	72.154000	56.660000	25.058378	1.093045	
0.200000	1.007553	0.897285	74.650000	69.810000	25.378611	1.110544	
0.200000	0.966658	0.890011	76.234000	69.530000	25.223922	1.116694	
0.200000	0.935150	0.902932	77.352000	71.000000	25.323140	1.133982	
0.200000	0.928249	1.442140	77.814000	57.750000	25.325713	1.132783	
0.200000	0.910574	0.925992	78.540000	69.470000	25.215401	1.276087	
0.200000	0.891194	1.213009	79.140000	66.170000	25.382171	1.170752	
0.200000	0.891924	1.097974	79.068000	64.200000	25.364236	1.108454	
0.200000	0.881654	1.322576	79.458000	60.610000	25.447581	1.152781	
0.200000	0.868376	0.695878	79.856000	75.570000	25.417046	1.160006	
0.200000	0.871881	0.912680	79.956000	70.100000	25.372730	1.095996	
0.200000	0.849292	0.896517	80.530000	70.690000	25.207428	1.123639	
0.200000	0.848170	1.539868	80.680000	58.420000	25.187546	1.079513	
0.200000	0.844819	0.858483	80.842000	70.740000	25.199353	1.092543	
0.200000	0.844908	0.830563	80.678000	71.700000	25.307018	1.115566	
0.200000	0.839044	0.830875	80.852000	70.890000	25.166231	1.068754	
0.200000	0.822070	0.710216	81.376000	76.150000	24.796738	1.072048	
0.200000	0.825748	0.968259	81.212000	71.240000	24.772987	1.086228	
0.200000	0.821653	0.794006	81.412000	74.520000	24.952040	1.139368	
0.200000	0.828280	0.803221	81.122000	73.450000	24.896644	1.059813	
0.200000	0.818123	1.043830	81.344000	66.960000	24.866213	1.076790	
0.200000	0.806922	1.180351	81.728000	65.530000	24.576253	1.088353	
0.200000	0.823313	1.357530	81.374000	60.860000	24.574591	1.090369	
0.200000	0.813619	2.496708	81.638000	48.860000	24.378292	1.071528	
0.200000	0.811678	0.627172	81.730000	78.860000	24.606573	1.132195	
0.200000	0.806420	1.033549	81.744000	68.830000	24.451491	1.078501	
0.200000	0.788119	1.168423	82.388000	62.920000	22.163837	0.972053	
0.200000	0.809713	0.772171	81.672000	75.170000	21.797987	0.974138	
0.200000	0.803829	0.707885	81.786000	75.740000	22.029568	1.014206	
0.200000	0.795560	0.709383	81.946000	75.430000	21.939060	0.976880	
0.200000	0.797910	0.977494	82.140000	70.160000	21.971755	0.947493	
0.200000	0.789861	0.838750	82.190000	72.470000	21.988198	0.966157	
0.200000	0.794369	0.698645	81.950000	75.960000	22.001973	0.965116	
0.200000	0.791300	0.856743	82.184000	71.840000	22.135428	0.964408	
0.200000	0.789382	0.797046	82.002000	74.100000	22.043821	0.966938	
0.200000	0.781442	1.077792	82.292000	64.520000	21.954325	0.953835	
0.200000	0.787116	0.698520	82.096000	76.160000	22.269600	0.968215	
0.200000	0.789812	0.934717	82.084000	70.610000	22.330901	0.947629	
0.200000	0.781859	2.701491	82.194000	38.920000	22.246060	0.974059	
0.200000	0.782299	1.075830	82.248000	68.080000	22.227974	0.995502	
0.200000	0.775147	0.687424	82.430000	76.470000	22.110317	0.948848	
0.200000	0.779127	1.428004	82.130000	62.130000	22.170393	0.969607	
0.200000	0.785361	0.853202	82.184000	73.080000	21.976757	1.002707	
0.200000	0.779475	1.111596	82.240000	66.940000	22.028597	0.956325	
0.200000	0.785484	1.028295	82.154000	67.790000	22.104309	0.982070	
0.200000	0.774524	1.114227	82.352000	65.260000	21.921098	0.956518	
0.200000	0.773845	1.520246	82.280000	59.780000	22.070151	0.974640	
0.200000	0.778467	0.817731	82.352000	74.160000	22.061793	0.992327	
0.200000	0.769163	1.242307	82.556000	65.740000	21.979319	1.013546	
0.200000	0.778917	1.079414	82.356000	69.910000	22.073440	0.948727	
0.200000	0.773695	0.935595	82.398000	71.340000	22.080925	0.949962	
0.200000	0.769849	0.860435	82.462000	71.650000	21.993694	0.964675	
0.200000	0.765686	0.708311	82.660000	74.770000	21.783379	0.942543	
0.200000	0.772394	0.969513	82.486000	66.170000	21.901429	0.977625	
0.200000	0.774221	0.723569	82.400000	76.170000	21.836855	0.984818	
