LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	2.361704	1.887481	35.094000	39.380000	25.572335	1.115034	
0.100000	1.736255	1.212916	57.382000	56.070000	25.884886	1.095263	
0.100000	1.435550	1.097182	66.840000	64.720000	25.238009	1.107529	
0.100000	1.237189	0.887038	72.738000	68.860000	25.290730	1.121695	
0.100000	1.099937	1.061938	75.976000	63.080000	25.430421	1.117654	
0.100000	1.017449	0.756640	77.870000	75.290000	25.368865	1.131226	
0.100000	0.962115	0.730749	78.832000	75.240000	25.450457	1.092010	
0.100000	0.907620	1.090723	80.260000	66.460000	25.529988	1.146720	
0.100000	0.878279	0.929315	80.736000	69.840000	25.662549	1.104493	
0.100000	0.856974	0.889022	81.136000	71.670000	25.689635	1.108690	
0.100000	0.827085	0.749297	82.152000	74.650000	25.247351	1.176280	
0.100000	0.826069	0.809507	82.098000	74.140000	25.286624	1.162225	
0.100000	0.811581	0.984294	82.432000	70.450000	25.819577	1.182155	
0.100000	0.802512	0.908061	82.680000	72.860000	25.489815	1.198419	
0.100000	0.790586	1.263462	83.012000	64.500000	25.578207	1.109882	
0.100000	0.785985	1.503739	83.156000	62.330000	25.805888	1.126327	
0.100000	0.782443	0.770137	83.484000	74.550000	25.631427	1.102990	
0.100000	0.775494	1.244136	83.462000	67.350000	25.768114	1.091224	
0.100000	0.773833	0.911192	83.764000	70.340000	26.274619	1.113737	
0.100000	0.769546	0.903659	83.896000	71.730000	25.903084	1.129996	
0.100000	0.759198	0.670867	84.310000	76.770000	25.423710	1.211998	
0.100000	0.754192	0.628685	84.510000	79.600000	25.402289	1.159160	
0.100000	0.761711	0.937292	84.278000	71.240000	25.632951	1.093813	
0.100000	0.757736	0.586826	84.306000	81.320000	26.441181	1.150593	
0.100000	0.747348	0.728504	84.590000	77.590000	25.592046	1.117470	
0.100000	0.730597	0.693082	85.102000	78.300000	25.777917	1.133562	
0.100000	0.743400	0.720399	84.630000	76.240000	25.742844	1.103688	
0.100000	0.747873	0.901414	84.568000	71.410000	25.946140	1.110878	
0.100000	0.739702	0.622772	84.880000	79.880000	26.371612	1.125998	
0.100000	0.734079	1.033891	85.042000	69.530000	26.075662	1.135698	
0.100000	0.727853	0.541194	85.352000	82.440000	25.240961	1.164620	
0.100000	0.727034	0.807488	85.328000	73.390000	25.216356	1.094571	
0.100000	0.731680	0.611994	85.180000	79.640000	25.179238	1.102834	
0.100000	0.733551	0.653658	85.032000	79.030000	25.316914	1.103245	
0.100000	0.728649	0.831918	85.194000	75.140000	25.699179	1.095069	
0.100000	0.719628	0.709051	85.364000	76.860000	25.492601	1.108414	
0.100000	0.728721	0.560630	85.072000	81.110000	25.317516	1.079534	
0.100000	0.724941	1.097978	85.382000	67.470000	25.371125	1.089108	
0.100000	0.714101	1.446238	85.514000	63.020000	25.513566	1.107287	
0.100000	0.715176	0.735524	85.520000	77.900000	25.277863	1.107338	
0.100000	0.705165	0.724780	85.804000	77.100000	25.397133	1.095712	
0.100000	0.714498	0.700760	85.634000	77.950000	25.413148	1.087195	
0.100000	0.711455	0.706818	85.574000	76.890000	25.434569	1.112615	
0.100000	0.711519	0.702635	85.548000	76.780000	25.585156	1.081607	
0.100000	0.710371	0.519313	85.620000	82.650000	25.529025	1.105253	
0.100000	0.696325	0.607528	85.908000	80.010000	25.608624	1.117260	
0.100000	0.706251	0.547403	85.756000	81.680000	25.363619	1.075926	
0.100000	0.706484	0.577829	85.736000	80.620000	25.353201	1.101945	
0.100000	0.702119	0.651961	85.734000	79.850000	25.080278	1.093242	
0.100000	0.697391	0.580778	85.916000	80.830000	25.393927	1.113514	
0.100000	0.693609	0.640499	86.028000	79.070000	24.674482	1.097152	
0.100000	0.692307	0.619178	86.064000	79.800000	24.602941	1.153261	
0.100000	0.700209	0.659588	85.822000	79.120000	25.229823	1.114003	
0.100000	0.693806	0.931918	86.196000	73.200000	25.019567	1.111353	
0.100000	0.697039	0.791718	86.030000	73.450000	24.686968	1.102205	
0.100000	0.689108	0.688559	86.134000	78.610000	24.901623	1.092792	
0.100000	0.686270	0.808776	86.138000	74.850000	24.696926	1.135450	
0.100000	0.699313	0.500824	85.816000	82.910000	24.968926	1.086624	
0.100000	0.683715	0.623265	86.068000	79.720000	25.074206	1.119886	
0.100000	0.691085	0.562149	85.982000	81.770000	25.125047	1.109273	
0.100000	0.678823	0.777478	86.356000	74.960000	24.918048	1.120037	
0.100000	0.678240	0.631867	86.316000	79.290000	24.848708	1.107177	
0.100000	0.688733	0.708633	86.028000	76.550000	25.029694	1.072515	
0.100000	0.680778	1.337358	86.272000	64.650000	24.989326	1.093980	
0.100000	0.680401	0.623651	86.174000	79.610000	24.817250	1.071572	
0.100000	0.668907	0.747258	86.694000	77.020000	25.166798	1.092963	
0.100000	0.678893	0.672670	86.336000	77.220000	25.038131	1.077883	
0.100000	0.679791	0.683427	86.370000	77.520000	25.603198	1.071191	
0.100000	0.674556	0.632471	86.548000	79.440000	25.194858	1.103907	
0.100000	0.676232	0.696004	86.356000	77.050000	25.159540	1.108602	
0.100000	0.669613	0.709555	86.458000	76.190000	24.984838	1.076773	
0.100000	0.675362	0.581739	86.444000	81.050000	24.906140	1.084095	
0.100000	0.680929	0.640269	86.344000	79.670000	25.077048	1.090641	
0.100000	0.672882	0.562258	86.650000	81.320000	25.631018	1.098108	
0.100000	0.673375	0.619398	86.386000	79.260000	24.953097	1.097250	
0.100000	0.668295	0.646532	86.672000	78.830000	24.843809	1.158597	
0.100000	0.670515	0.859377	86.556000	74.820000	24.687029	1.089648	
0.100000	0.683572	0.519346	86.132000	82.410000	24.995152	1.088682	
0.100000	0.667670	0.597553	86.648000	80.690000	24.978899	1.140528	
0.100000	0.667094	0.640794	86.636000	78.340000	24.927795	1.178632	
0.100000	0.665125	0.686666	86.672000	77.600000	25.026768	1.112044	
0.100000	0.664602	0.708830	86.698000	78.130000	24.894305	1.096492	
0.100000	0.672741	0.692504	86.466000	78.520000	24.881559	1.086653	
0.100000	0.673914	0.493779	86.280000	83.370000	24.879266	1.075847	
0.100000	0.668809	0.660163	86.418000	79.450000	25.219270	1.090719	
0.100000	0.655599	0.702288	86.868000	77.920000	24.592826	1.098565	
0.100000	0.663287	0.600763	86.678000	79.220000	24.700681	1.057978	
0.100000	0.663192	0.671678	86.534000	80.290000	24.782876	1.077918	
0.100000	0.664450	0.606425	86.458000	79.960000	24.702161	1.075438	
0.100000	0.666165	0.639928	86.466000	79.760000	25.326335	1.092159	
0.100000	0.661416	0.750379	86.736000	75.610000	24.863894	1.096271	
0.100000	0.667106	0.626812	86.520000	79.260000	24.565724	1.063418	
0.010000	0.527665	0.283116	91.256000	90.490000	24.716349	1.073822	
0.010000	0.470588	0.265701	93.068000	91.080000	24.605598	1.079091	
0.010000	0.451115	0.263749	93.572000	90.960000	24.527379	1.062374	
0.010000	0.434527	0.258088	93.936000	91.370000	25.164824	1.077460	
0.010000	0.418689	0.270492	94.286000	91.110000	25.044041	1.077065	
0.010000	0.410673	0.265479	94.358000	91.460000	25.108314	1.126770	
0.010000	0.397178	0.267667	94.716000	91.460000	24.928749	1.071366	
0.010000	0.387418	0.270613	94.950000	91.430000	24.679430	1.088978	
0.010000	0.376612	0.266960	95.040000	91.370000	24.590485	1.136707	
0.010000	0.370933	0.277571	95.246000	91.190000	24.554870	1.114082	
0.010000	0.359977	0.272293	95.346000	91.230000	24.673452	1.130651	
0.010000	0.354002	0.273178	95.498000	91.380000	24.515275	1.053588	
0.010000	0.346592	0.272485	95.538000	91.370000	24.647436	1.083271	
0.010000	0.341530	0.310856	95.544000	90.290000	24.766515	1.058687	
0.010000	0.336997	0.323378	95.664000	90.020000	24.767614	1.128199	
0.010000	0.325819	0.291925	95.956000	91.010000	24.825892	1.176573	
