LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.799530	1.587490	32.148000	43.780000	17.219478	1.056345	
0.100000	1.359423	1.432016	50.380000	50.910000	16.921696	1.066847	
0.100000	1.090229	1.089899	60.644000	61.190000	17.070693	1.084607	
0.100000	0.927577	0.884983	66.944000	69.840000	17.101880	1.168152	
0.100000	0.824206	0.850852	70.976000	71.120000	17.231623	1.032920	
0.100000	0.748801	0.985883	73.956000	66.360000	17.320604	1.096336	
0.100000	0.708152	1.501210	75.422000	56.370000	17.137355	1.090895	
0.100000	0.672217	1.223986	76.594000	62.940000	17.170305	1.094804	
0.100000	0.641914	0.947874	77.760000	68.130000	17.267778	1.097727	
0.100000	0.622614	0.999558	78.616000	69.750000	17.182727	1.045330	
0.100000	0.592833	1.013831	79.682000	68.770000	17.348777	0.948370	
0.100000	0.584646	0.693677	79.792000	76.280000	17.143349	1.079785	
0.100000	0.573037	0.710218	80.334000	77.060000	17.194105	1.056826	
0.100000	0.553825	0.841784	80.944000	72.080000	17.202489	1.085751	
0.100000	0.547452	0.768689	81.038000	73.550000	17.253247	1.047825	
0.100000	0.539701	0.821891	81.500000	72.790000	17.293459	1.059556	
0.100000	0.535877	1.039193	81.412000	69.830000	17.301099	1.058603	
0.100000	0.527350	0.652934	81.706000	78.240000	17.274257	1.058352	
0.100000	0.521971	0.953480	81.910000	70.550000	17.318566	1.116596	
0.100000	0.519965	0.600603	82.118000	79.570000	17.504462	1.118635	
0.100000	0.500270	0.691050	82.640000	77.500000	17.266109	1.153906	
0.100000	0.508894	0.915391	82.446000	72.300000	17.237259	1.120790	
0.100000	0.498735	0.924588	82.848000	72.060000	17.389084	1.081220	
0.100000	0.498381	0.852049	82.926000	72.240000	17.383766	1.079478	
0.100000	0.485179	1.149934	83.304000	66.520000	17.341403	1.023971	
0.100000	0.477781	0.692767	83.624000	77.820000	17.147747	1.092820	
0.100000	0.480600	0.681774	83.556000	77.150000	17.233932	1.088595	
0.100000	0.484855	0.777529	83.176000	74.970000	17.105297	1.052242	
0.100000	0.464616	0.833010	83.920000	75.520000	17.301343	1.119473	
0.100000	0.471519	0.642373	83.640000	78.840000	17.209422	1.112507	
0.100000	0.459530	0.753578	84.246000	75.930000	17.238743	1.048346	
0.100000	0.465318	0.747563	84.040000	76.300000	17.266267	1.067391	
0.100000	0.466905	0.960726	83.888000	72.600000	17.287966	1.080119	
0.100000	0.459030	0.616097	84.310000	79.340000	17.287215	1.062490	
0.100000	0.454800	0.818096	84.544000	73.450000	17.251043	1.127136	
0.100000	0.448094	0.981022	84.686000	71.090000	17.202957	1.045028	
0.100000	0.453958	0.757331	84.456000	75.900000	17.297034	1.077564	
0.100000	0.451549	0.697906	84.468000	78.120000	17.222692	1.072971	
0.100000	0.449437	0.832707	84.536000	73.900000	17.232492	1.084690	
0.100000	0.447817	0.680810	84.458000	78.240000	17.328848	1.066364	
0.100000	0.440589	0.855718	84.760000	73.390000	17.152377	1.060422	
0.100000	0.447796	0.666788	84.674000	77.950000	17.126468	1.056746	
0.100000	0.440374	0.727307	84.802000	77.690000	17.077772	1.051522	
0.100000	0.441404	0.873930	84.664000	72.520000	17.123724	1.055604	
0.100000	0.439365	0.677000	84.774000	78.110000	17.128496	1.058165	
0.100000	0.430662	0.847642	85.240000	74.490000	17.415062	1.084488	
0.100000	0.437141	0.981878	84.936000	69.570000	17.317643	1.097803	
0.100000	0.431983	0.691424	85.264000	77.890000	17.474065	1.061394	
0.100000	0.442765	0.704729	84.776000	76.990000	17.299845	1.060782	
0.100000	0.426738	0.644437	85.378000	78.800000	17.328465	1.026468	
0.100000	0.431013	0.626927	85.082000	79.070000	17.184528	1.052435	
0.100000	0.430692	0.643126	85.012000	79.290000	17.151416	1.100853	
0.100000	0.429504	0.528848	85.170000	82.240000	17.302568	1.083177	
0.100000	0.428807	0.722877	85.320000	76.130000	17.254927	1.135785	
0.100000	0.425828	0.769951	85.254000	74.780000	17.175379	1.137018	
0.100000	0.426028	0.780520	85.194000	76.120000	17.275012	1.063484	
0.100000	0.431249	0.639212	85.064000	78.980000	17.310408	1.090652	
0.100000	0.426650	0.581841	85.318000	81.180000	17.224510	1.020934	
0.100000	0.425329	0.595701	85.434000	80.090000	17.184618	1.109182	
0.100000	0.420014	0.852963	85.564000	74.340000	17.143930	1.168573	
0.100000	0.416177	0.655332	85.694000	78.220000	17.467806	1.093721	
0.100000	0.425419	0.696518	85.336000	77.440000	17.394523	1.070174	
0.100000	0.423755	0.810301	85.418000	74.230000	17.265140	1.021785	
0.100000	0.423798	0.623527	85.400000	79.340000	17.182717	1.113106	
0.100000	0.416191	0.726151	85.548000	77.810000	17.258902	1.139691	
0.100000	0.411373	0.590558	85.792000	80.410000	17.263681	1.029335	
0.100000	0.422611	0.833040	85.454000	74.080000	17.095995	1.087722	
0.100000	0.415980	0.661689	85.708000	79.520000	17.185107	1.044510	
0.100000	0.418318	0.654497	85.690000	79.330000	17.220733	1.059019	
0.100000	0.417248	0.783977	85.702000	75.940000	17.242775	1.090271	
0.100000	0.406381	0.972623	85.946000	73.180000	17.128177	1.059113	
0.100000	0.415582	0.859729	85.770000	73.840000	17.088856	1.060139	
0.100000	0.420162	0.633055	85.512000	78.760000	17.201038	1.103917	
0.100000	0.412478	0.538666	85.804000	81.930000	16.987790	0.975998	
0.100000	0.408947	1.074825	85.854000	66.640000	17.118890	1.091925	
0.100000	0.405360	0.746993	85.978000	75.740000	17.135947	1.128793	
0.100000	0.414840	0.578701	85.778000	80.580000	17.295820	1.044608	
0.100000	0.411482	0.638837	85.846000	80.060000	17.131493	1.053462	
0.100000	0.409583	0.780935	85.848000	75.810000	16.997950	1.097872	
0.100000	0.414622	0.652523	85.736000	78.830000	17.362177	1.136137	
0.100000	0.405500	0.565432	85.994000	81.430000	17.350318	1.062405	
0.100000	0.404550	0.622708	86.180000	80.510000	17.235846	1.100134	
0.100000	0.411167	0.694113	85.884000	78.120000	17.413131	1.078670	
0.100000	0.405479	0.629025	86.168000	78.940000	17.159818	1.102958	
0.100000	0.399656	0.772190	86.306000	75.650000	17.279223	1.084907	
0.100000	0.399153	0.772267	86.170000	76.400000	17.374390	1.061742	
0.100000	0.408959	0.647895	85.908000	78.560000	17.346328	1.006194	
0.100000	0.405202	0.692055	86.054000	76.560000	17.347376	1.066559	
0.100000	0.403755	0.537640	85.926000	82.240000	17.175417	1.054083	
0.100000	0.402317	0.670667	86.036000	77.830000	17.468313	1.094534	
0.100000	0.401604	0.645949	86.124000	79.680000	17.409248	1.111480	
0.100000	0.403912	0.616675	86.164000	80.770000	17.288310	1.037267	
0.010000	0.289830	0.331551	90.102000	88.770000	17.159380	1.100438	
0.010000	0.247295	0.316022	91.508000	89.540000	17.012521	1.064752	
0.010000	0.234543	0.315792	92.068000	89.380000	17.190617	1.105800	
0.010000	0.225706	0.312259	92.352000	89.820000	17.169599	1.125317	
0.010000	0.219875	0.315075	92.410000	89.810000	17.069874	1.098951	
0.010000	0.211578	0.309488	92.756000	89.880000	17.143398	1.069429	
0.010000	0.205414	0.313195	93.030000	89.730000	17.060480	1.065367	
0.010000	0.204893	0.329539	93.098000	89.400000	17.043206	1.128951	
0.010000	0.200945	0.308284	93.112000	89.930000	17.405787	1.045078	
0.010000	0.195397	0.308942	93.266000	90.080000	17.470317	1.107900	
0.010000	0.192794	0.321883	93.440000	89.680000	17.554611	1.096531	
0.010000	0.190278	0.326478	93.440000	89.400000	17.459257	1.041730	
0.010000	0.188946	0.335175	93.506000	89.220000	17.445256	1.053903	
0.010000	0.185205	0.316991	93.602000	89.730000	17.256267	1.116748	
0.010000	0.181456	0.324380	93.860000	89.880000	17.215751	1.075827	
0.010000	0.177180	0.320556	93.878000	89.670000	17.137229	1.042636	
0.010000	0.178231	0.327749	93.896000	89.830000	17.355979	1.067583	
0.010000	0.178373	0.328321	93.874000	89.590000	17.346580	1.096184	
0.010000	0.173975	0.344136	94.006000	89.140000	17.145816	1.052634	
0.010000	0.171222	0.344110	94.210000	89.040000	17.115581	1.085030	
0.010000	0.172459	0.341310	94.002000	89.050000	16.951610	1.054481	
0.010000	0.167342	0.328143	94.228000	89.650000	17.193580	1.031164	
0.010000	0.169937	0.339474	94.160000	89.240000	17.130286	1.067727	
0.010000	0.164179	0.340399	94.304000	89.100000	16.911665	1.064476	
0.010000	0.166445	0.351084	94.234000	89.360000	17.056663	1.084426	
0.010000	0.163723	0.349721	94.296000	88.970000	16.888537	1.061737	
0.010000	0.164523	0.349591	94.296000	89.070000	17.039597	1.149930	
0.010000	0.163150	0.348375	94.440000	89.130000	17.205162	1.038463	
0.010000	0.162261	0.346195	94.382000	89.170000	17.325572	1.074463	
0.010000	0.164291	0.336225	94.360000	89.400000	17.321582	1.096430	
0.010000	0.159340	0.347316	94.394000	88.970000	17.150313	1.072831	
0.010000	0.162739	0.358028	94.384000	89.060000	17.187828	1.059897	
0.010000	0.161083	0.336278	94.360000	89.540000	17.331099	1.063513	
0.010000	0.155771	0.353794	94.584000	89.060000	17.082456	1.107298	
0.010000	0.161319	0.383858	94.392000	88.440000	17.180205	0.954353	
0.010000	0.162121	0.346366	94.282000	89.340000	17.283610	1.025091	
0.010000	0.160896	0.370931	94.458000	88.750000	17.181370	1.021590	
0.010000	0.157597	0.358263	94.576000	89.040000	17.192728	1.083512	
0.010000	0.155343	0.348743	94.612000	89.080000	17.319337	1.078938	
0.010000	0.157950	0.381454	94.560000	88.450000	17.399143	1.073389	
0.010000	0.159876	0.369232	94.404000	89.040000	17.375733	1.092627	
0.010000	0.156829	0.387144	94.594000	88.280000	17.361026	1.052763	
0.010000	0.159993	0.362040	94.454000	88.880000	17.323108	1.061951	
0.010000	0.153545	0.397389	94.712000	87.850000	17.261623	1.032259	
0.010000	0.162465	0.366880	94.328000	88.860000	17.096889	1.148671	
0.010000	0.160333	0.395654	94.356000	87.980000	17.285966	1.063865	
0.010000	0.156624	0.386577	94.598000	88.580000	17.214148	1.140410	
0.010000	0.158628	0.359965	94.422000	89.080000	17.360782	1.019050	
0.010000	0.158786	0.404967	94.424000	87.680000	16.971672	1.107937	
0.010000	0.159257	0.397743	94.402000	88.220000	16.991867	1.113654	
0.010000	0.154974	0.387395	94.586000	88.520000	17.085043	1.116022	
0.010000	0.155553	0.394082	94.538000	88.470000	17.098073	1.116499	
0.010000	0.158484	0.407986	94.394000	87.900000	16.999733	1.034806	
