LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.665575	1.823147	37.972000	41.740000	29.732003	0.813988	
0.100000	1.169030	1.240719	57.690000	59.500000	29.978766	0.849177	
0.100000	0.919165	1.048738	67.416000	64.930000	29.880079	0.860392	
0.100000	0.778937	0.907554	72.766000	69.230000	29.489675	0.890961	
0.100000	0.681881	1.057748	76.458000	65.710000	29.616892	0.831492	
0.100000	0.635651	0.795393	77.950000	73.800000	29.604696	0.846852	
0.100000	0.590371	0.941293	79.572000	69.190000	29.388871	1.003014	
0.100000	0.560959	0.704184	80.680000	76.770000	30.057891	0.760356	
0.100000	0.540000	0.812589	81.356000	74.120000	29.736464	0.866446	
0.100000	0.517230	0.839437	82.088000	74.350000	29.513244	0.768907	
0.100000	0.505812	0.629025	82.558000	78.830000	29.448913	0.843243	
0.100000	0.486129	0.873572	83.316000	75.560000	29.406001	0.942225	
0.100000	0.476568	0.677490	83.572000	78.300000	29.523255	0.835877	
0.100000	0.466943	0.685454	84.070000	77.400000	29.883508	0.911474	
0.100000	0.463515	0.960806	84.058000	70.410000	29.598128	0.833388	
0.100000	0.450062	0.716450	84.508000	76.820000	29.469668	0.918103	
0.100000	0.443584	0.952892	84.792000	73.010000	29.667768	0.851767	
0.100000	0.430598	0.834155	84.968000	73.490000	29.282229	0.846295	
0.100000	0.432003	0.616616	85.230000	79.370000	29.497592	0.889403	
0.100000	0.417474	0.755417	85.444000	76.070000	29.822067	0.807212	
0.100000	0.418966	0.710400	85.616000	77.110000	29.573236	0.806938	
0.100000	0.415280	0.942659	85.760000	71.640000	29.575487	0.851540	
0.100000	0.410015	0.820538	85.776000	75.440000	29.577074	0.953471	
0.100000	0.406489	0.696928	85.938000	77.950000	29.470760	0.840038	
0.100000	0.394426	0.550030	86.580000	81.670000	29.393922	0.894142	
0.100000	0.397017	0.626489	86.390000	79.840000	29.863859	0.832134	
0.100000	0.394756	0.897726	86.342000	72.130000	29.674362	0.887158	
0.100000	0.384633	0.600589	86.718000	80.680000	29.611180	1.011309	
0.100000	0.377935	0.979006	86.890000	70.160000	29.297436	0.883837	
0.100000	0.386807	0.819240	86.704000	76.180000	29.531100	0.938575	
0.100000	0.377544	0.575198	87.058000	80.970000	29.843527	0.945611	
0.100000	0.373450	0.536579	87.222000	82.510000	29.729241	0.799026	
0.100000	0.372139	0.678288	87.234000	79.640000	29.665235	0.829898	
0.100000	0.367624	0.575395	87.404000	80.630000	29.540516	0.860554	
0.100000	0.370067	0.541615	87.094000	82.530000	29.640921	0.917262	
0.100000	0.364892	0.637800	87.240000	78.920000	29.685758	0.822864	
0.100000	0.363088	0.678838	87.498000	79.340000	29.746387	0.938017	
0.100000	0.357891	0.797158	87.694000	74.640000	29.829960	0.796084	
