LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.732912	2.097253	34.610000	35.204000	34.610000	18.756024	1.133020	
0.100000	1.257764	1.714509	34.610000	54.098000	43.650000	18.344082	1.218980	
0.100000	1.020789	1.250191	39.130000	63.240000	58.580000	18.923421	1.217897	
0.100000	0.887989	1.260060	46.367600	68.392000	58.020000	19.070408	1.255339	
0.100000	0.795262	1.128040	49.079259	72.140000	63.540000	18.312318	1.284157	
0.100000	0.729934	0.927704	52.088709	74.330000	68.390000	17.622698	0.980391	
0.100000	0.682922	0.811366	55.014570	76.112000	72.380000	13.266726	0.903451	
0.100000	0.642027	0.845021	57.699699	77.672000	71.750000	13.778484	0.960598	
0.100000	0.614083	1.090153	59.330073	78.664000	66.420000	13.449735	0.915771	
0.100000	0.591087	0.861462	59.508150	79.546000	69.650000	13.349486	0.996716	
0.100000	0.569912	1.070507	60.234405	80.130000	67.160000	13.836251	0.886534	
0.100000	0.554883	0.915886	60.407857	80.616000	70.820000	13.401515	0.924424	
0.100000	0.542594	1.040482	61.092787	81.040000	67.500000	13.583125	0.967861	
0.100000	0.526692	0.811617	61.185468	81.934000	72.830000	13.683932	0.935953	
0.100000	0.521422	0.873203	61.945755	81.970000	71.050000	13.375968	0.950924	
0.100000	0.507223	0.790074	62.341223	82.516000	75.560000	13.584632	0.903613	
0.100000	0.505228	0.699169	63.169934	82.616000	75.490000	13.603114	0.873473	
0.100000	0.493552	0.736900	63.836644	82.972000	76.500000	13.627862	0.873547	
0.100000	0.486999	0.921218	64.489551	83.230000	72.200000	13.676059	0.957342	
0.100000	0.483289	1.645660	64.625904	83.358000	61.890000	13.706247	1.011357	
0.100000	0.478492	1.114264	63.814344	83.494000	65.150000	13.573633	0.996121	
0.100000	0.474555	0.700620	63.435614	83.676000	78.730000	13.594198	0.978994	
0.100000	0.463040	0.813415	64.257153	83.980000	75.810000	13.809887	0.962703	
0.100000	0.457731	0.855548	64.720942	83.936000	73.320000	13.615280	0.896158	
0.100000	0.455464	0.810514	64.929273	84.418000	75.070000	13.609404	0.902467	
0.100000	0.452927	1.077044	65.243116	84.292000	70.990000	13.800742	0.904254	
0.100000	0.447871	0.667396	65.227143	84.594000	77.590000	13.665793	0.870872	
0.100000	0.443722	0.573393	65.673925	84.752000	80.310000	13.900274	0.881747	
0.100000	0.448934	0.831124	66.248032	84.332000	73.840000	13.745989	0.868547	
0.100000	0.438169	0.697128	66.336563	84.914000	77.280000	13.660643	0.966333	
0.100000	0.438808	0.719504	68.349427	84.788000	77.420000	13.729205	0.881678	
0.100000	0.432208	0.626359	71.092930	85.166000	78.820000	13.793954	0.888595	
0.100000	0.427549	0.682658	71.510496	85.328000	77.650000	13.746171	0.951422	
0.100000	0.423403	1.432903	72.704573	85.432000	65.240000	13.699226	0.973985	
0.100000	0.429849	0.702414	72.924111	85.114000	77.880000	13.670718	0.945257	
0.100000	0.420242	0.724345	73.820646	85.490000	77.560000	13.768969	0.902041	
0.100000	0.428388	0.959911	73.970821	85.172000	72.270000	13.535058	0.965456	
0.100000	0.417228	0.721124	73.090578	85.458000	78.250000	13.741816	0.950413	
0.100000	0.413751	0.727587	73.890378	85.598000	76.800000	13.788076	0.871044	
0.100000	0.409482	1.282160	73.718137	85.844000	66.160000	13.700070	0.908178	
0.100000	0.413555	0.551563	73.759610	85.686000	81.690000	13.606860	0.912680	
0.100000	0.412902	0.638648	73.791304	85.886000	79.320000	13.687373	0.897024	
0.100000	0.409032	0.873447	74.918507	85.798000	73.060000	13.870651	0.881444	
0.100000	0.408442	1.029463	74.541284	85.976000	72.730000	13.686888	0.971978	
0.100000	0.406633	0.569945	75.076400	85.962000	81.010000	13.704034	0.971859	
0.100000	0.398049	0.650131	75.449093	86.198000	79.070000	12.860424	0.873571	
0.100000	0.400664	0.858746	75.828707	86.214000	73.480000	12.641194	0.828173	
0.100000	0.402222	0.603172	75.055563	86.156000	79.550000	12.784839	0.773868	
0.100000	0.393147	0.591376	73.855097	86.508000	80.980000	12.885961	0.791620	
0.100000	0.396693	0.751837	74.786039	86.282000	76.380000	12.773838	0.844269	
0.100000	0.399456	0.772166	76.852021	86.236000	75.850000	12.813486	0.813454	
0.100000	0.398515	0.664155	76.365255	86.250000	77.760000	12.775871	0.838712	
0.100000	0.388639	0.694567	76.095280	86.692000	78.230000	12.695441	0.815580	
0.100000	0.394801	0.714783	76.485987	86.328000	76.900000	12.723704	0.837878	
0.100000	0.398519	0.797078	75.922886	86.318000	74.940000	12.845539	0.805500	
0.100000	0.389832	0.603726	76.813580	86.456000	80.190000	12.752011	0.892517	
0.100000	0.392034	1.201915	77.424621	86.466000	68.600000	12.675002	0.740364	
0.100000	0.392619	0.691333	75.919978	86.300000	77.790000	12.823507	0.810120	
0.100000	0.392503	0.574397	76.537916	86.352000	80.980000	12.870378	0.792187	
0.100000	0.386885	0.782042	76.844741	86.750000	75.440000	12.677763	0.830209	
0.100000	0.387813	0.725861	76.956498	86.574000	77.140000	12.796260	0.843419	
0.100000	0.386360	0.843764	76.799200	86.640000	74.240000	12.853924	0.829286	
0.100000	0.386374	0.548248	74.840082	86.658000	81.990000	12.657327	0.785903	
0.100000	0.389793	0.699373	77.128625	86.582000	77.960000	12.822304	0.802269	
0.100000	0.384956	0.541941	77.136002	86.604000	81.930000	12.751096	0.776456	
0.100000	0.381663	0.556018	76.680562	86.750000	81.370000	12.617919	0.811102	
0.100000	0.386764	0.729830	77.847584	86.758000	77.110000	12.865379	0.805227	
0.100000	0.383139	0.643887	77.590384	86.768000	79.940000	12.778888	0.864463	
0.100000	0.382526	0.541937	76.203837	86.756000	81.980000	12.752253	0.777624	
0.100000	0.380494	0.507636	78.821534	86.924000	82.480000	12.806322	0.819100	
0.100000	0.379063	0.855618	78.714953	86.892000	73.920000	12.837898	0.768242	
0.100000	0.377724	0.708859	77.500646	86.970000	77.410000	12.675594	0.835448	
0.100000	0.380642	0.528917	77.447092	86.770000	82.570000	12.895377	0.848853	
0.100000	0.380757	0.674876	78.974572	87.082000	79.220000	12.700194	0.815992	
0.100000	0.372258	0.735050	78.709957	87.068000	76.370000	12.772537	0.787903	
0.100000	0.371527	0.506872	77.750893	87.126000	82.530000	12.727563	0.854410	
0.100000	0.375147	0.696330	78.936711	86.870000	77.570000	12.791863	0.804883	
0.100000	0.378302	0.555564	79.055259	87.028000	81.460000	12.618167	0.810756	
0.100000	0.373526	0.741183	78.545420	87.130000	77.490000	12.685939	0.767039	
0.100000	0.374074	0.663551	78.400711	87.068000	77.520000	12.826542	0.855682	
0.100000	0.383740	0.714323	78.620004	86.722000	78.570000	12.816867	0.801721	
0.100000	0.379113	0.595192	78.684722	87.004000	80.680000	12.775862	0.842265	
0.100000	0.371717	0.642967	78.621182	87.046000	79.400000	12.731983	0.847184	
0.100000	0.368924	0.546401	78.388088	87.266000	82.120000	12.679805	0.832796	
0.100000	0.368674	0.506805	79.387805	87.294000	83.170000	12.833912	0.830577	
0.100000	0.366930	0.845476	77.956349	87.390000	75.230000	12.756308	0.885448	
0.100000	0.370572	0.596809	79.108976	87.148000	80.610000	12.767127	0.779189	
0.100000	0.370858	0.916926	79.666968	87.164000	73.290000	12.767317	0.782976	
0.100000	0.373887	0.583435	78.454679	87.046000	81.390000	12.777202	0.781405	
0.100000	0.368491	0.782574	78.889810	87.366000	73.920000	12.692777	0.819894	
0.100000	0.366148	0.542189	78.149948	87.450000	82.500000	12.754467	0.850908	
0.100000	0.373254	1.377022	79.550949	87.076000	64.750000	12.825737	0.827441	
0.100000	0.368134	0.628892	78.013466	87.326000	79.480000	12.729029	0.815223	
0.100000	0.369720	0.656048	78.681990	87.158000	78.390000	12.714484	0.810951	
0.100000	0.371646	0.508896	78.582198	87.112000	82.980000	12.744622	0.843870	
0.100000	0.367350	1.028393	78.250095	87.308000	69.960000	12.699542	0.868881	
0.100000	0.363105	0.566464	78.124359	87.474000	81.490000	12.807661	0.801462	
0.100000	0.369457	0.563648	78.636403	87.148000	81.240000	12.851959	0.809903	
0.100000	0.371293	0.766136	78.876658	87.216000	75.180000	12.819782	0.792921	
0.100000	0.370795	0.740629	77.400717	87.134000	78.140000	12.689110	0.876941	
0.100000	0.367581	0.702690	77.952932	87.178000	78.440000	12.854357	0.826759	
0.100000	0.363312	0.596634	78.730293	87.438000	80.320000	12.719079	0.822150	
0.100000	0.359996	0.864530	78.348574	87.726000	73.420000	12.619191	0.871792	
0.100000	0.367789	0.539446	77.618601	87.262000	82.640000	12.887125	0.798511	
0.100000	0.362184	0.527891	78.833061	87.410000	82.640000	12.655951	0.775907	
0.100000	0.358253	0.713740	78.361645	87.828000	77.510000	12.796873	0.820031	
0.100000	0.369130	0.783350	78.869045	87.254000	76.430000	13.105042	0.794232	
0.100000	0.364836	0.849131	78.137778	87.444000	74.550000	12.664792	0.853076	
0.100000	0.367597	0.645835	77.910645	87.326000	80.120000	12.682096	0.813342	
0.100000	0.368962	0.625091	78.204974	87.330000	80.020000	12.833833	0.759345	
0.100000	0.362962	0.543208	78.627097	87.488000	82.150000	12.584921	0.782280	
0.100000	0.361664	0.644134	78.669342	87.422000	79.650000	12.641444	0.925709	
0.100000	0.363138	0.733642	79.125818	87.640000	77.640000	12.811536	0.757678	
0.100000	0.363884	0.629285	79.181748	87.396000	79.850000	12.650076	0.814375	
0.100000	0.359896	0.544315	78.077043	87.702000	82.340000	12.726439	0.860257	
0.100000	0.363395	0.603553	79.129813	87.366000	80.320000	12.878048	0.809637	
0.100000	0.363393	0.660854	78.148409	87.316000	79.450000	12.596803	0.850816	
0.100000	0.364478	0.539067	79.403331	87.344000	82.450000	12.662264	0.801826	
0.100000	0.362254	0.560590	78.520016	87.440000	81.690000	12.932929	0.835220	
0.100000	0.360007	0.717032	79.964869	87.494000	76.580000	12.715551	0.838703	
0.100000	0.362632	0.545336	77.180523	87.254000	82.090000	12.839870	0.772891	
0.100000	0.357836	0.717977	79.626655	87.704000	77.230000	12.740737	0.854616	
0.100000	0.366574	0.672356	79.314460	87.434000	79.310000	12.716888	0.832530	
0.100000	0.361339	0.698661	79.977710	87.496000	77.780000	12.836500	0.763396	
0.100000	0.363840	0.641067	77.953730	87.440000	79.580000	12.747576	0.878064	
0.100000	0.359463	0.642979	79.725446	87.660000	80.050000	12.794111	0.848401	
0.100000	0.365364	0.869243	79.710244	87.520000	72.830000	12.738966	0.842795	
0.100000	0.360298	0.760815	78.390315	87.534000	76.210000	12.804034	0.798502	
0.100000	0.367751	0.601691	78.677551	87.356000	80.900000	12.792781	0.796720	
0.100000	0.358730	0.542680	78.864304	87.608000	82.270000	12.723280	0.825220	
0.100000	0.356983	0.667621	79.355802	87.614000	79.710000	12.760142	0.836039	
0.100000	0.361308	0.738723	78.381178	87.672000	78.250000	12.641898	0.816642	
0.100000	0.351515	0.687611	79.705573	87.938000	78.740000	12.796721	0.765612	
0.100000	0.358993	0.670664	79.643278	87.614000	78.930000	12.699379	0.841211	
0.100000	0.364420	0.656431	78.855659	87.466000	79.350000	12.637691	0.778290	
0.100000	0.353621	0.639598	78.731426	87.794000	79.420000	12.849545	0.830726	
0.100000	0.360597	0.778969	78.504074	87.570000	75.940000	12.655933	0.841080	
0.100000	0.360952	0.658348	79.143858	87.644000	79.050000	12.722743	0.857369	
0.100000	0.358205	0.772270	79.123346	87.656000	75.550000	12.783529	0.832904	
0.100000	0.362025	0.581024	79.200724	87.498000	81.290000	12.715561	0.845876	
0.100000	0.354511	0.740671	78.974112	87.866000	75.890000	12.592611	0.783728	
0.100000	0.355242	0.498449	78.484568	87.692000	83.180000	12.775809	0.797302	
0.100000	0.356618	0.555740	79.106980	87.612000	82.360000	12.750712	0.813261	
0.100000	0.352205	0.653921	79.676811	87.908000	79.220000	12.810219	0.758578	
0.100000	0.361244	0.689875	79.355325	87.482000	78.670000	12.776606	0.791787	
0.100000	0.359097	0.689862	79.185342	87.782000	78.040000	12.816739	0.789375	
0.100000	0.358847	0.702494	79.545134	87.490000	77.640000	12.758547	0.851971	
0.100000	0.352197	0.607770	79.312355	87.932000	80.680000	12.707810	0.808116	
