LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.741541	1.619389	41.790000	34.984000	41.790000	13.743093	0.952788	
0.100000	1.259818	1.372561	41.790000	54.420000	52.210000	13.480473	0.872925	
0.100000	1.027675	1.087067	47.000000	63.166000	62.830000	13.690965	1.018721	
0.100000	0.903308	1.218130	52.706800	67.628000	60.530000	13.527758	0.936129	
0.100000	0.804488	1.211421	54.255926	71.760000	61.110000	13.517719	0.978088	
0.100000	0.731862	0.865245	55.286510	74.324000	69.820000	13.721493	0.920252	
0.100000	0.672977	0.794771	58.098613	76.386000	73.620000	13.803617	0.881734	
0.100000	0.637933	0.733011	60.634722	77.730000	75.270000	13.689209	0.980348	
0.100000	0.608219	0.894225	62.605374	78.884000	71.840000	13.813667	0.965071	
0.100000	0.585154	0.986674	63.335567	79.704000	68.830000	13.651518	0.945187	
0.100000	0.564320	1.081418	63.390810	80.548000	67.370000	13.773789	0.933486	
0.100000	0.548845	0.698575	63.249967	81.106000	75.690000	13.667139	0.939693	
0.100000	0.535932	0.637895	64.367386	81.582000	78.660000	13.660555	0.934849	
0.100000	0.524451	0.609478	65.613776	81.940000	79.570000	13.743984	0.906469	
0.100000	0.509496	0.751355	66.694134	82.506000	74.630000	13.739387	0.927260	
0.100000	0.504362	1.373079	66.969513	82.558000	62.580000	13.519230	0.964568	
0.100000	0.496063	1.062320	65.868774	83.058000	70.190000	13.796950	0.967432	
0.100000	0.490225	1.005892	65.812740	83.096000	71.320000	13.704845	0.888785	
0.100000	0.488619	0.790018	65.890123	83.174000	75.120000	13.748682	0.913251	
0.100000	0.477513	0.624614	66.322491	83.610000	79.070000	14.000657	0.918335	
0.100000	0.467909	0.880394	67.043525	83.976000	72.580000	13.465490	0.910615	
0.100000	0.461634	0.719186	67.084192	83.972000	76.250000	13.639899	1.010824	
0.100000	0.465648	0.634346	67.431625	83.952000	78.900000	13.685999	0.916498	
0.100000	0.454744	0.706547	67.942894	84.310000	77.050000	13.535501	0.924884	
0.100000	0.454098	0.672680	68.240818	84.196000	78.110000	13.818843	0.964321	
0.100000	0.449955	0.685938	68.580225	84.486000	78.210000	13.813591	0.941380	
0.100000	0.450443	0.540740	68.885051	84.450000	81.950000	13.643925	0.885001	
0.100000	0.437806	0.616598	69.412136	84.956000	79.930000	13.848642	0.890516	
0.100000	0.443129	0.844717	69.740803	84.814000	73.270000	13.679231	0.920949	
0.100000	0.431012	0.701510	69.603569	85.126000	77.110000	13.716709	1.020429	
0.100000	0.433378	0.722455	71.594187	85.072000	76.980000	13.743746	1.010806	
0.100000	0.423415	0.687685	73.476902	85.306000	77.920000	13.768010	0.894914	
0.100000	0.424608	0.615451	73.431062	85.484000	80.010000	13.670683	0.963247	
0.100000	0.426986	0.562809	73.939355	85.246000	81.410000	13.789727	0.965096	
0.100000	0.422179	0.555925	75.680464	85.504000	81.620000	13.835559	0.960319	
0.100000	0.417167	0.602784	76.612993	85.688000	80.730000	13.887352	1.005079	
0.100000	0.419760	0.736566	77.117133	85.400000	75.910000	13.654419	0.976862	
0.100000	0.411392	1.019534	76.543408	85.762000	71.120000	13.628559	0.905292	
0.100000	0.411822	0.602854	75.758380	85.708000	79.510000	13.814947	0.909163	
0.100000	0.405749	0.547571	75.789360	86.142000	82.220000	13.829692	0.912285	
0.100000	0.407120	0.747311	77.406992	85.950000	77.440000	13.573184	0.834431	
0.100000	0.402632	0.521492	77.838470	86.068000	82.800000	13.960832	1.018027	
0.100000	0.402307	0.874874	78.290119	86.020000	75.040000	13.874764	0.907401	
0.100000	0.403530	0.790770	77.366300	86.050000	75.870000	13.643056	1.049701	
0.100000	0.399105	0.761706	75.527798	86.310000	76.070000	13.786922	0.890482	
0.100000	0.403320	0.613672	76.662892	86.074000	79.520000	13.668559	0.952376	
0.100000	0.396870	0.692752	77.010576	86.250000	78.470000	13.895249	1.010998	
0.100000	0.399515	0.818746	77.654067	86.212000	73.890000	13.990335	0.966627	
0.100000	0.394326	0.638497	77.982242	86.446000	78.840000	13.629132	0.941641	
0.100000	0.391202	0.816393	77.099376	86.536000	74.750000	13.824255	0.893237	
0.100000	0.390961	0.686239	77.478345	86.636000	78.390000	13.692490	0.922078	
0.100000	0.402517	0.579228	77.920249	86.248000	81.030000	13.617070	0.908263	
0.100000	0.385464	0.714264	77.853439	86.914000	77.850000	13.769071	1.021583	
0.100000	0.391702	0.691610	78.006453	86.616000	77.900000	13.741589	0.974941	
0.100000	0.389216	0.529180	78.014041	86.698000	82.740000	13.667050	1.028045	
0.100000	0.393121	0.548589	78.859602	86.360000	81.950000	13.791691	0.883525	
0.100000	0.387477	0.679926	78.766968	86.644000	77.610000	13.549820	0.901335	
0.100000	0.386540	0.601617	77.729545	86.746000	80.240000	13.777133	0.910366	
0.100000	0.386688	0.754476	78.446626	86.718000	76.450000	13.832296	0.949975	
0.100000	0.387395	0.786591	78.299019	86.744000	75.820000	13.754831	0.936498	
0.100000	0.382943	0.764127	78.274970	86.776000	76.530000	13.973344	0.935168	
0.100000	0.382897	0.803620	78.464525	86.640000	75.900000	13.767895	0.939184	
0.100000	0.380067	0.590734	78.501458	86.838000	81.130000	13.715257	0.948248	
0.100000	0.382010	0.814492	78.701399	86.660000	75.680000	13.744398	0.933544	
0.100000	0.378162	0.753754	78.377810	86.890000	75.750000	13.831565	0.948488	
0.100000	0.378555	0.602526	77.511487	87.048000	80.690000	13.674572	0.982794	
0.100000	0.379477	0.656785	77.024103	86.920000	79.190000	13.907365	1.025709	
0.100000	0.381176	0.561644	78.376710	86.940000	82.050000	13.663824	0.931031	
0.100000	0.378649	0.755229	79.005458	86.966000	76.430000	13.894823	0.855223	
0.100000	0.379066	0.599962	78.148295	86.852000	80.140000	13.897669	0.971910	
0.100000	0.375221	1.050716	79.051642	87.036000	71.330000	13.646504	0.918297	
0.100000	0.372303	0.764251	77.431674	87.220000	76.740000	13.752390	0.927525	
0.100000	0.381768	0.691442	77.507036	86.902000	78.650000	13.684106	0.959913	
0.100000	0.380023	0.651135	77.609688	86.906000	79.710000	13.503482	0.961472	
0.100000	0.371160	0.539511	78.243929	87.184000	82.460000	13.785792	0.870167	
0.100000	0.372394	0.507291	78.364144	87.138000	84.040000	13.855166	0.945607	
0.100000	0.368525	0.584309	78.068237	87.332000	81.300000	13.699682	0.979384	
0.100000	0.375124	0.512486	78.992317	87.094000	83.260000	13.620796	0.895403	
0.100000	0.372995	0.633574	78.676395	87.160000	78.990000	12.770942	0.829772	
0.100000	0.369853	0.697693	79.222831	87.232000	77.880000	12.738114	0.815178	
0.100000	0.376707	0.518641	79.517840	87.016000	82.540000	12.667343	0.867939	
0.100000	0.369212	0.973178	79.253112	87.296000	71.620000	12.650443	0.839475	
0.100000	0.367378	0.470993	78.767881	87.298000	84.010000	12.979892	0.829102	
0.100000	0.368380	0.762363	79.805760	87.118000	77.110000	12.739498	0.850337	
0.100000	0.369873	0.895828	79.517637	87.212000	73.760000	12.793677	0.869812	
0.100000	0.368672	0.602196	78.518779	87.198000	80.140000	12.798135	0.812128	
0.100000	0.366936	0.620989	79.003571	87.298000	80.280000	12.877673	0.801203	
0.100000	0.362145	0.757592	78.538033	87.646000	76.800000	12.695770	0.831721	
0.100000	0.370451	0.591162	78.334828	87.218000	80.480000	12.733702	0.845291	
0.100000	0.368405	0.645527	78.575865	87.358000	79.300000	12.830651	0.824751	
0.100000	0.370146	0.653738	78.531509	87.372000	79.900000	12.721546	0.802439	
0.100000	0.368555	0.540330	79.375856	87.018000	81.880000	12.782409	0.863844	
0.010000	0.250529	0.314892	78.749553	91.584000	89.300000	12.673370	0.834281	
0.010000	0.211679	0.311179	79.440347	92.950000	89.610000	12.660818	0.792470	
0.010000	0.201911	0.297876	80.810587	93.156000	90.080000	12.713414	0.875779	
0.010000	0.189716	0.297759	81.191772	93.644000	89.960000	12.766086	0.742314	
0.010000	0.180656	0.298544	82.170910	93.948000	90.210000	12.903683	0.895727	
0.010000	0.175345	0.302275	81.877125	94.038000	90.020000	12.846265	0.798907	
0.010000	0.171831	0.304046	82.938795	94.230000	90.080000	12.849099	0.798036	
0.010000	0.166944	0.307643	82.125931	94.316000	90.280000	12.670665	0.867907	
0.010000	0.162125	0.298018	83.434078	94.492000	90.340000	12.647065	0.852291	
0.010000	0.160552	0.306538	84.155734	94.502000	90.130000	12.840420	0.818783	
0.010000	0.157113	0.313591	84.694405	94.624000	89.970000	12.647659	0.799303	
0.010000	0.154703	0.311942	85.432311	94.762000	90.050000	12.621320	0.853485	
0.010000	0.150001	0.317750	85.958633	94.870000	89.940000	12.817176	0.861338	
0.010000	0.146587	0.301184	85.819397	95.084000	90.510000	12.829329	0.803062	
0.010000	0.143772	0.309740	86.405357	95.070000	90.380000	12.708638	0.938535	
0.010000	0.142162	0.300180	86.044508	95.172000	90.480000	12.787983	0.818995	
0.010000	0.141418	0.315055	86.170205	95.184000	89.900000	12.778447	0.823342	
0.010000	0.138507	0.319073	87.084494	95.316000	90.020000	12.715554	0.874840	
0.010000	0.137067	0.325146	85.695269	95.352000	89.780000	12.685933	0.771417	
0.010000	0.134907	0.316585	87.749918	95.412000	90.100000	12.832221	0.778619	
0.010000	0.130996	0.332088	86.904062	95.590000	89.870000	12.765396	0.838771	
0.010000	0.129321	0.330252	86.611131	95.522000	89.740000	12.667485	0.824562	
0.010000	0.131695	0.341118	87.735296	95.434000	89.370000	12.914426	0.804010	
0.010000	0.127833	0.312878	87.861000	95.674000	90.430000	12.781908	0.846611	
