LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.050000	1.690688	1.447377	36.458000	46.450000	22.490017	1.515872	
0.050000	1.192081	1.129148	56.858000	59.690000	42.489399	2.495673	
0.050000	0.949474	1.095342	66.176000	62.620000	55.048706	2.624038	
0.050000	0.806918	0.952886	71.624000	68.300000	56.330943	2.719377	
0.050000	0.710153	0.810162	75.112000	72.230000	57.045820	2.703701	
0.050000	0.646867	0.825046	77.530000	73.280000	57.734693	3.051252	
0.050000	0.595349	0.814351	79.316000	72.850000	57.046967	2.776739	
0.050000	0.550380	0.769099	80.876000	75.680000	57.273473	2.689737	
0.050000	0.523204	0.958836	81.884000	71.880000	57.152080	2.755170	
0.050000	0.504304	0.883545	82.670000	74.160000	58.030553	2.679422	
0.050000	0.481294	0.579229	83.406000	80.920000	56.500124	2.918883	
0.050000	0.465564	0.712786	83.858000	76.580000	57.145211	2.719338	
0.050000	0.449635	0.595962	84.622000	79.670000	58.118740	2.437349	
0.050000	0.429655	0.589057	85.204000	80.100000	58.094464	2.624510	
0.050000	0.416937	0.695227	85.526000	77.780000	56.352400	2.772639	
0.050000	0.404182	0.562725	86.094000	81.360000	56.998174	2.768732	
0.050000	0.401850	0.668170	86.064000	79.340000	57.735521	2.913296	
0.050000	0.383641	0.787110	86.716000	75.820000	57.143426	2.802080	
0.050000	0.383190	0.495014	86.724000	83.420000	55.993397	2.691980	
0.050000	0.371858	0.833257	87.204000	73.130000	56.728177	2.864936	
0.050000	0.367308	0.552592	87.366000	81.420000	56.203106	2.693679	
0.050000	0.355691	0.782492	87.724000	76.020000	57.732969	2.805135	
0.050000	0.352842	0.464435	87.726000	84.800000	56.654946	2.471425	
0.050000	0.343512	0.504941	87.948000	83.070000	55.817232	2.872440	
0.050000	0.344309	0.543561	88.108000	82.260000	55.969049	2.770274	
0.050000	0.336687	0.525724	88.380000	82.710000	56.614582	2.716071	
0.050000	0.332204	0.545896	88.630000	81.960000	57.675838	2.796021	
0.050000	0.329385	0.622789	88.540000	80.730000	56.070586	3.051654	
0.050000	0.325430	0.525505	88.908000	82.710000	55.306112	2.929476	
0.050000	0.325196	0.686390	88.722000	77.910000	56.052110	2.751525	
0.050000	0.319808	0.460785	88.914000	84.300000	56.685836	2.446573	
0.050000	0.312972	0.536507	89.260000	82.740000	57.177103	2.500360	
0.050000	0.306668	0.461715	89.448000	84.840000	55.932333	2.627974	
0.050000	0.309285	0.595741	89.262000	81.690000	57.042715	2.805677	
0.050000	0.306826	0.444966	89.380000	85.540000	56.352579	2.700646	
0.050000	0.297299	0.663829	89.714000	80.070000	57.284538	2.743704	
0.050000	0.299891	0.507933	89.636000	83.950000	56.899768	2.766485	
0.050000	0.295553	0.413240	89.594000	86.260000	56.982917	2.626337	
0.050000	0.286346	0.615159	89.922000	80.470000	58.388579	2.663948	
0.050000	0.292345	0.458414	89.876000	84.730000	56.838829	2.649747	
0.050000	0.289833	0.454271	89.984000	84.770000	56.876557	2.626658	
0.050000	0.282725	0.624929	90.380000	80.630000	57.539594	2.588052	
0.050000	0.280554	0.447168	90.278000	85.800000	56.976960	2.484788	
0.050000	0.279699	1.014388	90.314000	73.740000	57.202293	2.726697	
