LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.870872	1.664952	29.822000	37.980000	21.515584	1.111846	
0.100000	1.532671	1.642549	42.882000	40.050000	21.757990	1.093170	
0.100000	1.359935	1.719036	50.178000	42.040000	21.956663	1.152936	
0.100000	1.246105	1.538458	54.684000	47.930000	22.043715	1.193347	
0.100000	1.151974	1.174186	58.312000	57.260000	21.987999	1.122327	
0.100000	1.073074	1.187789	61.388000	58.010000	21.883886	1.137485	
0.100000	1.009899	1.159372	63.806000	60.000000	21.853034	1.106828	
0.100000	0.954537	1.270046	65.854000	56.830000	22.221442	1.093133	
0.100000	0.909185	1.514314	67.508000	51.390000	22.396054	1.127313	
0.100000	0.863598	1.039205	69.160000	64.210000	22.209347	1.117833	
0.100000	0.827211	1.035556	70.636000	64.790000	21.421082	1.116831	
0.100000	0.789204	0.902030	72.028000	69.700000	21.597120	1.094202	
0.100000	0.753823	1.031940	73.022000	65.670000	21.521823	1.202410	
0.100000	0.726410	0.957443	74.236000	67.070000	21.898885	1.099290	
0.100000	0.696598	0.835778	75.586000	71.150000	21.993336	1.094285	
0.100000	0.671684	0.875739	76.404000	69.600000	21.515330	1.161897	
0.100000	0.651206	0.964422	77.160000	68.420000	21.543018	1.094883	
0.100000	0.621240	1.235154	78.168000	62.100000	21.733038	1.108173	
0.100000	0.610684	0.891834	78.480000	71.590000	21.930803	1.107755	
0.100000	0.589867	1.149074	79.330000	66.390000	21.892927	1.091624	
0.100000	0.574484	0.937726	79.800000	69.580000	21.774714	1.131376	
0.100000	0.553924	0.742012	80.540000	75.750000	21.631093	1.108765	
0.100000	0.539967	0.877585	81.196000	72.440000	22.050288	1.245414	
0.100000	0.532614	0.668283	81.318000	77.620000	22.083806	1.115083	
0.100000	0.516272	0.904562	81.822000	71.490000	22.200088	1.108952	
0.100000	0.505532	0.644927	82.274000	78.220000	21.996931	1.110021	
0.100000	0.493251	0.763961	82.746000	75.680000	21.614796	1.139989	
0.100000	0.474719	0.747131	83.376000	76.050000	21.696691	1.115259	
0.100000	0.468086	0.632479	83.692000	79.190000	21.917002	1.112091	
0.100000	0.457170	0.804241	84.100000	75.210000	22.077832	1.159231	
0.100000	0.445630	0.736906	84.402000	76.180000	21.851250	1.110378	
0.100000	0.440284	0.698314	84.680000	78.010000	21.967157	1.145902	
0.100000	0.430248	0.743117	85.088000	76.920000	21.999493	1.114447	
0.100000	0.418311	0.826792	85.486000	74.160000	22.380220	1.126771	
0.100000	0.412852	0.780286	85.478000	75.670000	22.322468	1.128030	
0.100000	0.398974	0.997904	85.988000	71.900000	21.459833	1.089326	
0.100000	0.398711	0.723063	86.122000	77.150000	21.577194	1.117342	
0.100000	0.390855	0.805566	86.340000	76.030000	21.948979	1.141247	
0.100000	0.377841	0.999870	86.930000	73.950000	22.018378	1.157156	
0.100000	0.375379	0.673694	86.874000	79.060000	22.014602	1.133021	
0.100000	0.369478	0.796338	87.152000	76.030000	21.395159	1.217703	
0.100000	0.360686	0.856228	87.364000	74.380000	21.630453	1.100755	
0.100000	0.352904	0.709569	87.570000	78.010000	21.893775	1.126094	
0.100000	0.352252	0.545981	87.720000	82.190000	21.881031	1.086649	
0.100000	0.338298	0.798924	88.092000	76.820000	22.157218	1.098438	
0.100000	0.338602	0.618857	88.014000	80.380000	21.711477	1.110131	
0.100000	0.326815	1.138531	88.454000	72.070000	21.618605	1.079368	
0.100000	0.325239	0.804845	88.460000	76.930000	21.835781	1.107578	
0.100000	0.315952	0.619158	89.040000	81.290000	22.066376	1.118953	
0.100000	0.315166	0.746057	88.912000	77.540000	22.098659	1.116419	
0.100000	0.305461	0.759562	89.254000	78.020000	21.564666	1.116635	
0.100000	0.303868	0.779598	89.288000	78.360000	21.527252	1.103623	
0.100000	0.295869	0.658812	89.722000	80.270000	21.777149	1.111438	
0.100000	0.294369	0.781009	89.630000	77.710000	22.017362	1.109084	
0.100000	0.289502	0.686420	89.902000	80.060000	22.145785	1.117797	
0.100000	0.280163	0.699697	90.214000	79.280000	21.803476	1.097938	
0.100000	0.278258	0.981353	90.122000	74.500000	21.890097	1.113194	
0.100000	0.274620	0.672254	90.274000	80.030000	22.102003	1.108844	
0.100000	0.267818	0.554484	90.540000	82.930000	22.426492	1.105262	
0.100000	0.262365	0.767419	90.654000	77.990000	22.462158	1.164190	
