LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.850310	1.719629	30.276000	35.120000	21.640038	1.085993	
0.100000	1.526234	1.510603	43.626000	43.510000	21.664509	1.118619	
0.100000	1.362330	1.353539	50.102000	50.670000	21.735307	1.221678	
0.100000	1.246040	1.296277	54.666000	54.370000	21.809088	1.172748	
0.100000	1.148702	1.246529	58.468000	55.270000	21.912755	1.107947	
0.100000	1.075791	1.314263	61.194000	55.350000	21.547368	1.155234	
0.100000	1.016194	1.060631	63.432000	61.720000	21.622341	1.154186	
0.100000	0.963986	1.108832	65.364000	61.690000	21.608383	1.106045	
0.100000	0.911592	1.055797	67.456000	63.140000	21.697930	1.120139	
0.100000	0.873348	1.031824	68.652000	64.230000	21.645552	1.113349	
0.100000	0.840361	1.010853	70.106000	64.680000	22.094512	1.094759	
0.100000	0.806476	1.053367	71.570000	65.270000	22.107287	1.076879	
0.100000	0.769277	0.923657	72.686000	68.520000	22.130690	1.231490	
0.100000	0.741182	1.385850	73.768000	58.350000	22.261572	1.117972	
0.100000	0.713578	1.002446	74.800000	67.250000	22.383099	1.090762	
0.100000	0.683845	1.023302	75.780000	67.840000	21.600856	1.102912	
0.100000	0.667015	0.942475	76.516000	69.600000	21.829577	1.111267	
0.100000	0.641187	0.873528	77.338000	72.240000	21.574207	1.109302	
0.100000	0.623598	1.001768	78.244000	69.700000	21.863856	1.128191	
0.100000	0.605764	0.853045	78.752000	71.450000	21.932091	1.087581	
0.100000	0.584697	1.261167	79.536000	61.910000	21.772161	1.135632	
0.100000	0.568708	0.837954	80.046000	72.980000	21.484510	1.139737	
0.100000	0.553497	0.791572	80.622000	75.540000	21.633300	1.194227	
0.100000	0.542543	0.716952	81.002000	76.600000	21.957541	1.109054	
0.100000	0.528335	0.999948	81.634000	69.820000	22.570875	1.103434	
0.100000	0.514854	0.840395	82.034000	73.160000	21.431220	1.109235	
