LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.822369	1.761802	31.840000	35.310000	21.163334	1.083494	
0.100000	1.492369	1.469996	44.666000	45.940000	21.663749	1.111121	
0.100000	1.349303	1.294579	50.118000	52.840000	21.489531	1.099418	
0.100000	1.244783	1.323933	54.404000	53.360000	21.673497	1.084109	
0.100000	1.156470	1.495105	57.952000	48.650000	21.869066	1.101657	
0.100000	1.083994	1.355736	61.162000	53.980000	21.718361	1.106279	
0.100000	1.017989	1.391038	63.366000	53.970000	21.745466	1.141161	
0.100000	0.963179	1.160430	65.482000	59.440000	21.929750	1.198544	
0.100000	0.913771	1.169899	67.728000	59.950000	22.205086	1.109874	
0.100000	0.869493	1.193189	69.022000	60.700000	22.204428	1.131638	
0.100000	0.826440	1.323670	70.876000	57.920000	21.573164	1.106015	
0.100000	0.788777	1.102719	72.034000	62.630000	21.289634	1.105360	
0.100000	0.754634	0.944847	73.234000	68.160000	21.408012	1.117216	
0.100000	0.722252	1.050737	74.544000	66.740000	21.546576	1.100065	
0.100000	0.692169	1.049643	75.684000	66.620000	21.672474	1.140490	
0.100000	0.669561	1.153494	76.368000	63.690000	21.717899	1.125663	
0.100000	0.647483	0.790482	77.264000	72.340000	21.718387	1.230788	
0.100000	0.623497	1.095496	78.086000	64.890000	21.980312	1.115118	
0.100000	0.605238	0.758799	78.796000	74.240000	21.953347	1.121366	
0.100000	0.586321	0.848386	79.396000	71.930000	22.209950	1.143044	
0.100000	0.569864	0.779063	80.044000	74.410000	21.509262	1.120889	
0.100000	0.558514	1.011553	80.456000	68.930000	21.528633	1.102999	
0.100000	0.540379	0.871015	81.216000	71.940000	21.797853	1.147442	
0.100000	0.529148	1.063007	81.484000	67.760000	21.863602	1.109867	
0.100000	0.519965	0.667187	81.828000	77.260000	22.179167	1.102041	
0.100000	0.506993	0.830015	82.390000	72.870000	21.327094	1.166155	
0.100000	0.489481	0.823479	83.076000	73.970000	21.610168	1.126981	
0.100000	0.481458	0.813096	83.272000	75.130000	21.691488	1.108537	
0.100000	0.472682	0.712112	83.460000	75.640000	21.802199	1.079944	
0.100000	0.464928	1.041174	83.766000	68.570000	22.074528	1.104326	
0.100000	0.457006	0.740460	83.992000	75.850000	21.713369	1.123226	
0.100000	0.444159	0.696303	84.396000	77.230000	21.690121	1.119207	
0.100000	0.434407	0.633562	84.660000	79.520000	21.839722	1.122742	
0.100000	0.429357	0.943107	84.912000	72.470000	22.162250	1.125455	
0.100000	0.419505	0.704065	85.198000	77.370000	22.243936	1.155221	
0.100000	0.410083	0.729763	85.674000	76.710000	21.512534	1.136906	
0.100000	0.402771	0.888246	85.894000	73.550000	21.629613	1.103691	
0.100000	0.398460	0.777836	85.970000	76.140000	22.027591	1.109790	
0.100000	0.388894	0.598379	86.468000	80.900000	22.322991	1.091624	
0.100000	0.383804	0.935685	86.588000	73.900000	22.115456	1.098564	
0.100000	0.371714	0.620499	87.008000	79.680000	21.731925	1.097584	
0.100000	0.370488	0.744995	87.240000	78.200000	21.664407	1.093114	
0.100000	0.360861	1.173800	87.366000	69.510000	21.640193	1.089380	
0.100000	0.359342	1.021861	87.428000	71.390000	22.156265	1.108124	
0.100000	0.348589	0.670964	87.888000	78.770000	22.148236	1.198095	
0.100000	0.341924	0.633714	87.972000	80.400000	21.527705	1.127977	
0.100000	0.334411	0.612844	88.122000	80.800000	21.562604	1.101678	
0.100000	0.333981	0.666750	88.390000	79.590000	22.109510	1.100340	
0.100000	0.323204	0.717172	88.684000	77.830000	22.050215	1.115236	
0.100000	0.318793	0.895965	88.924000	75.450000	22.060507	1.148495	
0.100000	0.315618	0.608598	88.968000	80.990000	21.464563	1.111564	
0.100000	0.310517	0.842610	89.076000	76.290000	21.701184	1.114918	
0.100000	0.308795	0.958385	89.238000	72.940000	21.925835	1.103250	
0.100000	0.300196	0.898863	89.384000	74.800000	21.733925	1.151450	
0.100000	0.296273	0.737065	89.626000	78.990000	21.899498	1.140392	
0.100000	0.287941	0.896311	89.784000	75.710000	21.813640	1.111606	
0.100000	0.285661	0.612016	89.960000	81.640000	21.375362	1.114029	
0.100000	0.282720	0.911706	90.166000	75.920000	21.663366	1.106240	
0.100000	0.273856	0.667609	90.372000	80.700000	21.950287	1.138640	
0.100000	0.271756	0.621132	90.390000	81.160000	21.836124	1.101351	
0.100000	0.267459	1.052225	90.566000	72.300000	21.848531	1.102895	
0.100000	0.262191	0.838336	90.832000	77.300000	21.901659	1.107123	
0.100000	0.260997	0.701813	90.828000	79.370000	21.808606	1.150678	
0.100000	0.256823	0.671321	90.936000	80.120000	21.980272	1.102695	
0.100000	0.254199	1.118234	91.150000	72.320000	22.185917	1.135880	
0.100000	0.251653	0.720393	91.128000	79.550000	21.751144	1.088501	
0.100000	0.248859	0.781921	91.162000	77.720000	21.660251	1.122250	
0.100000	0.241727	0.640080	91.530000	81.660000	21.657164	1.140517	
0.100000	0.235140	0.958214	91.802000	75.700000	21.918227	1.160153	
0.100000	0.231214	0.746141	91.862000	79.030000	21.885571	1.099392	
0.100000	0.232661	0.646605	91.702000	81.270000	21.571903	1.105773	
