LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.774490	1.651363	40.610000	32.406000	40.610000	22.125352	1.556189	
0.100000	1.333280	1.427335	40.610000	51.378000	52.650000	21.970400	1.435697	
0.100000	1.016017	1.251331	46.630000	63.780000	60.140000	22.860002	1.517931	
0.100000	0.840797	0.803214	51.311600	70.604000	71.740000	22.023301	1.472033	
0.100000	0.733945	1.202537	57.110370	74.634000	62.980000	22.509247	1.714235	
0.100000	0.664651	0.853924	57.455073	76.972000	73.160000	22.558748	1.539653	
0.100000	0.622724	0.662750	60.331719	78.356000	77.580000	22.396498	1.502052	
0.100000	0.583962	0.976086	63.063326	79.724000	66.140000	22.413247	1.515070	
0.100000	0.553623	0.748203	62.549618	81.086000	74.610000	22.903831	1.503003	
0.100000	0.536159	0.689236	63.831224	81.468000	76.990000	21.630360	1.405711	
0.100000	0.515918	0.623088	65.143412	82.162000	78.740000	22.237751	1.501928	
0.100000	0.503281	0.790364	66.376275	82.624000	73.850000	22.687732	1.453853	
0.100000	0.491354	0.667729	66.607723	82.982000	78.680000	23.157019	1.505893	
0.100000	0.477672	1.069919	67.457380	83.664000	69.340000	22.364560	1.496671	
0.100000	0.464108	0.939763	66.959384	84.178000	72.830000	23.030230	1.504101	
0.100000	0.459910	0.631945	67.009140	84.246000	79.370000	22.683137	1.537031	
0.100000	0.447748	0.841853	67.790000	84.658000	74.540000	22.799376	1.585064	
0.100000	0.443462	1.304048	67.914407	84.798000	63.590000	23.180247	1.530163	
0.100000	0.434996	0.800754	66.932215	84.928000	74.050000	22.143963	1.643457	
0.100000	0.431599	0.742818	67.139310	84.966000	77.410000	22.395458	1.537136	
0.100000	0.426023	0.793275	67.620143	85.210000	73.130000	23.376004	1.442675	
0.100000	0.421084	0.526681	67.651962	85.474000	82.600000	22.234809	1.415773	
0.100000	0.412087	0.691597	68.473337	85.780000	77.250000	22.567576	1.508756	
0.100000	0.410935	1.109587	68.742659	85.664000	69.590000	23.315925	1.536508	
0.100000	0.400180	0.555521	68.388159	86.244000	81.930000	22.722232	1.500282	
0.100000	0.404156	0.727119	69.004936	86.056000	76.490000	22.571300	1.544830	
0.100000	0.394827	0.870194	69.150562	86.278000	73.700000	22.971183	1.549664	
0.100000	0.397745	1.014829	69.088677	86.454000	72.510000	22.579040	1.788939	
0.100000	0.394826	1.044574	68.959789	86.438000	69.600000	23.075824	1.595626	
0.100000	0.387064	0.655291	68.663008	86.570000	79.910000	22.898203	1.588732	
0.100000	0.382807	0.597782	71.129141	86.844000	80.480000	22.436826	1.527689	
0.100000	0.382509	0.670745	72.815189	86.910000	78.220000	21.933038	1.465788	
0.100000	0.377991	0.659600	74.840800	87.044000	79.890000	23.166594	1.525439	
0.100000	0.377344	0.644285	73.900196	86.930000	79.240000	22.842948	1.779795	
0.100000	0.377976	0.679381	75.716336	87.008000	77.160000	22.671232	1.488130	
0.100000	0.375742	0.577407	76.448438	87.050000	80.280000	23.075473	1.417265	
0.100000	0.363329	0.874068	75.041851	87.480000	76.120000	22.626007	1.433721	
0.100000	0.365699	0.481645	76.335845	87.302000	83.380000	22.839558	1.580184	
0.100000	0.375706	0.560427	77.134363	87.110000	81.270000	22.991611	1.570957	
0.100000	0.363191	0.720816	77.654161	87.508000	77.740000	22.601387	1.471737	
0.100000	0.367385	0.526358	76.952793	87.306000	81.900000	22.312042	1.633831	
0.100000	0.363257	0.767175	77.970200	87.526000	77.670000	22.994511	1.558787	
0.100000	0.362825	0.506115	76.600628	87.514000	83.030000	22.236618	1.612048	
0.100000	0.363804	0.579350	77.519946	87.604000	81.310000	23.243819	1.479909	
0.100000	0.362159	0.571782	78.709898	87.484000	81.690000	22.895651	1.437727	
0.100000	0.353342	0.698350	78.203930	87.904000	79.360000	22.515789	1.541188	
0.100000	0.356312	0.574880	76.695566	87.712000	81.580000	22.321884	1.472461	
0.100000	0.351796	0.633666	78.522805	87.652000	78.880000	22.884527	1.498213	
0.100000	0.353793	0.933173	79.031577	87.728000	74.650000	22.408616	1.448444	
0.100000	0.352830	0.555860	78.130171	87.908000	82.190000	21.760230	1.520229	
0.100000	0.350780	0.552711	79.761093	87.998000	81.870000	22.854753	1.544821	
0.100000	0.351677	0.999754	79.123747	87.834000	69.750000	22.717871	1.565009	
0.100000	0.344083	0.574888	77.411648	88.110000	81.450000	23.273532	1.649379	
0.100000	0.355054	1.127026	79.456076	87.716000	70.840000	22.638069	1.664759	
0.100000	0.350011	0.634029	78.113786	88.082000	80.010000	22.001049	1.566789	
0.100000	0.346253	0.513946	77.832795	88.058000	82.960000	22.833607	1.452795	
0.100000	0.350645	0.515699	77.991554	87.816000	82.920000	22.910682	1.535538	
0.100000	0.352339	0.575227	77.888845	87.774000	82.390000	22.558372	1.500154	
0.100000	0.338582	0.600966	79.669671	88.378000	80.790000	22.219837	1.527643	
0.100000	0.343253	0.464584	79.824351	88.048000	84.260000	22.890888	1.483616	
0.100000	0.342486	0.703375	79.783813	88.118000	77.080000	22.773043	1.516420	
0.100000	0.343281	0.696965	79.850791	88.098000	76.910000	22.411012	1.501986	
0.100000	0.339811	0.565586	79.567097	88.242000	81.370000	22.775127	1.597198	
0.100000	0.338769	2.430591	79.382726	88.420000	53.900000	22.939821	1.569234	
0.100000	0.339668	0.726260	78.189711	88.178000	77.440000	23.180469	1.500437	
0.100000	0.330053	1.114835	77.539966	88.574000	71.950000	23.118744	1.583413	
0.100000	0.330923	0.647206	78.228840	88.582000	80.180000	23.000265	1.511429	
0.100000	0.339731	0.894168	78.049697	88.126000	73.040000	23.140833	1.580288	
0.100000	0.338926	0.628429	77.216188	88.220000	79.420000	23.349561	1.616566	
