LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.690352	1.797353	40.630000	36.332000	40.630000	22.345978	1.510458	
0.100000	1.195279	1.285542	40.630000	56.736000	55.500000	22.957231	1.474987	
0.100000	0.938998	0.919806	48.065000	66.674000	67.100000	23.443476	1.398311	
0.100000	0.782569	0.891716	54.786800	72.452000	69.180000	23.113929	1.588073	
0.100000	0.687657	0.892229	58.231852	76.246000	70.180000	22.977570	1.520026	
0.100000	0.684062	0.799797	60.306302	76.240000	72.390000	39.281489	2.703289	
0.100000	0.588545	0.733246	62.093467	79.720000	74.770000	39.471915	2.631309	
0.100000	0.544796	0.689985	63.756725	81.362000	76.010000	39.249422	2.287673	
0.100000	0.513317	0.768532	65.112770	82.524000	75.500000	39.819564	2.627547	
0.100000	0.487053	0.851953	65.969409	83.402000	73.340000	39.517269	2.608657	
0.100000	0.461267	0.802298	66.245580	83.978000	74.860000	39.735716	2.577905	
0.100000	0.446808	0.639641	66.716041	84.666000	78.990000	39.941801	2.489217	
0.100000	0.430993	0.708850	67.677821	85.216000	76.820000	38.715810	2.666117	
0.100000	0.419413	0.559292	68.127466	85.572000	81.120000	40.194099	2.698890	
0.100000	0.410129	0.614876	69.029713	85.872000	79.540000	39.058893	2.383016	
0.100000	0.401809	0.603730	69.560147	86.204000	80.390000	41.489519	2.753851	
0.100000	0.386885	0.757225	70.089935	86.738000	75.440000	48.476936	3.459159	
0.100000	0.374808	0.723457	70.007254	87.122000	77.100000	56.659762	3.653406	
0.100000	0.371388	0.668250	70.122104	87.344000	79.030000	58.843353	3.735469	
0.100000	0.361595	0.507756	70.411181	87.478000	83.690000	57.255507	3.813306	
0.100000	0.351175	0.596589	71.082335	87.770000	80.250000	55.580570	3.183865	
0.100000	0.350549	0.589227	71.349029	88.106000	81.170000	53.367155	3.173915	
0.100000	0.347592	0.626430	71.658048	88.032000	79.300000	46.296963	3.562013	
0.100000	0.340594	0.679655	71.777244	88.312000	78.290000	51.870397	2.934610	
0.100000	0.333579	0.597944	71.808330	88.630000	81.230000	54.189802	3.504141	
0.100000	0.319504	0.427854	72.059246	89.050000	86.070000	51.118990	3.042981	
0.100000	0.329025	0.625425	72.626254	88.614000	81.050000	55.042798	3.081903	
0.100000	0.314118	0.670634	72.775442	89.250000	79.750000	53.377456	3.329469	
0.100000	0.309674	0.499699	72.823960	89.228000	84.310000	53.826288	2.895604	
0.100000	0.305203	0.595611	73.165510	89.676000	80.560000	53.802142	3.220971	
0.100000	0.304534	0.607163	75.792204	89.434000	80.250000	52.485184	3.355169	
0.100000	0.305123	0.482201	77.756718	89.494000	84.100000	51.270273	3.247354	
0.100000	0.297883	0.425113	78.466650	89.890000	85.840000	53.766923	3.376092	
0.100000	0.298483	0.741977	79.086911	89.806000	78.180000	53.064089	3.253727	
0.100000	0.286411	0.450861	79.347882	90.116000	85.110000	51.862220	3.099072	
0.100000	0.274761	0.564591	80.063688	90.618000	82.500000	54.225327	3.415748	
0.100000	0.279279	0.448705	80.400126	90.408000	85.700000	53.738724	2.962161	
0.100000	0.277432	0.455824	80.668327	90.466000	85.090000	51.060813	2.687660	
0.100000	0.279410	0.605622	80.641343	90.474000	80.350000	43.516654	2.647678	
0.100000	0.266657	0.775586	80.842280	90.910000	77.020000	44.381788	2.797313	
0.100000	0.274109	0.614985	81.192721	90.546000	80.670000	45.096387	3.193313	
0.100000	0.268418	0.456087	80.845298	90.822000	85.310000	45.142111	2.903878	
0.100000	0.266556	0.503566	81.754958	90.844000	84.570000	43.504167	3.042804	
0.100000	0.261141	0.485642	81.708167	90.976000	84.810000	46.470688	2.719698	
0.100000	0.267204	0.547443	82.031162	90.808000	82.880000	47.053183	2.503905	
0.100000	0.263852	0.540968	81.370346	90.976000	83.140000	46.901492	2.580067	
0.100000	0.263236	0.567425	81.724490	90.978000	82.880000	45.432094	2.884394	
0.100000	0.258378	0.508647	82.078043	91.170000	84.600000	44.409324	3.037340	
0.100000	0.253552	0.467752	82.914406	91.196000	85.050000	45.277368	3.188648	
0.100000	0.257000	0.464625	82.554895	91.128000	84.990000	44.332729	2.809944	
0.100000	0.251439	0.373715	82.844995	91.348000	87.850000	43.954269	2.984187	
0.100000	0.251256	0.485882	82.897568	91.288000	84.410000	45.170276	2.428154	
0.100000	0.251261	0.609060	82.849137	91.422000	81.890000	46.420808	3.181325	
0.100000	0.244776	0.606324	83.212269	91.558000	82.170000	43.097918	3.015479	
0.100000	0.252417	0.575648	83.844703	91.264000	82.360000	43.104662	3.056897	
0.100000	0.247998	0.430195	83.023217	91.474000	85.930000	45.208788	2.496037	
0.100000	0.247360	0.905607	83.022821	91.356000	74.130000	44.283332	3.010239	
0.100000	0.247956	0.703734	83.108292	91.524000	79.610000	44.969220	2.680186	
0.100000	0.241588	0.552134	82.340490	91.872000	82.800000	46.293207	3.185555	
0.100000	0.243600	0.640047	82.325321	91.662000	80.580000	47.475826	2.445156	
0.100000	0.244589	0.593596	82.769282	91.604000	81.740000	44.604564	3.239748	
0.100000	0.242301	0.568050	82.954414	91.696000	82.310000	46.616291	2.672104	
0.100000	0.237422	0.723221	81.805497	91.916000	79.300000	45.733811	2.785035	
0.100000	0.237242	0.622840	82.645664	91.832000	81.100000	44.993932	2.749866	
0.100000	0.241095	0.518840	82.168638	91.816000	84.280000	43.973544	2.771997	
0.100000	0.240133	0.406387	82.767452	91.832000	87.000000	44.903523	3.053188	
0.100000	0.234011	0.538164	82.952337	91.980000	83.240000	45.136940	3.173101	
0.100000	0.228560	0.381641	82.285674	92.116000	87.800000	45.430163	2.838905	
0.100000	0.231468	0.390596	82.160047	92.036000	87.340000	45.085676	3.170723	
0.100000	0.227705	0.411753	83.021887	92.150000	86.500000	46.853838	2.571838	
0.100000	0.230241	0.461596	83.917047	92.016000	85.930000	44.581718	3.069007	
0.100000	0.241774	0.530739	83.939940	91.708000	83.260000	43.177126	2.930585	
0.100000	0.233070	0.547577	83.930767	91.876000	82.660000	44.925678	2.913765	
0.100000	0.230491	0.450837	83.569778	91.996000	85.390000	45.844492	2.954584	
0.100000	0.233884	0.603133	83.724798	92.024000	82.250000	45.328836	2.535880	
0.100000	0.229487	0.553160	83.592064	92.148000	83.620000	44.388516	2.890369	
0.100000	0.224506	0.508402	83.842512	92.192000	83.860000	44.297806	3.196846	
0.100000	0.231437	0.426139	83.908693	92.024000	86.620000	45.061748	2.795161	
0.100000	0.224425	0.454622	84.074942	92.280000	85.560000	46.185863	2.754700	
0.100000	0.227073	0.526771	84.584199	92.230000	83.930000	46.139115	2.776510	
0.100000	0.223086	0.446789	84.044700	92.350000	85.680000	45.416160	2.928374	
0.100000	0.221730	0.476958	83.785909	92.430000	85.370000	44.044705	2.744232	
0.100000	0.229227	0.718625	83.928585	92.154000	79.970000	44.502293	2.690572	
0.100000	0.229641	0.465174	83.700659	92.166000	85.160000	45.012632	2.896045	
0.100000	0.229220	0.450578	84.310895	92.122000	85.670000	44.591720	3.246529	
0.100000	0.222977	0.608655	82.692753	92.276000	81.900000	50.529985	3.125860	
0.100000	0.225575	0.490091	83.433805	92.254000	84.200000	48.937564	3.070331	
0.100000	0.216464	0.448206	83.944388	92.466000	85.550000	46.365520	3.084173	
0.100000	0.224902	0.471461	83.727049	92.236000	84.710000	49.198172	3.100473	
0.100000	0.222561	0.399662	83.958157	92.256000	87.200000	49.364911	3.457513	
0.100000	0.223036	0.445843	84.249708	92.342000	85.950000	50.419961	3.129510	
0.100000	0.218749	0.413027	83.924274	92.464000	86.620000	50.105109	3.536623	
0.100000	0.220823	0.396312	84.358403	92.528000	87.610000	52.373693	3.009515	
0.100000	0.222598	0.630725	85.027889	92.450000	80.790000	50.106232	3.136801	
0.100000	0.223518	0.450281	85.147684	92.400000	85.560000	49.979544	3.724013	
0.100000	0.222785	0.444887	84.630734	92.352000	86.360000	48.964609	3.109119	
0.100000	0.220054	0.525856	85.401500	92.576000	84.060000	51.109716	3.414110	
0.100000	0.215706	0.423657	85.248453	92.626000	86.870000	47.697633	3.187315	
0.100000	0.216638	0.505035	85.231638	92.506000	84.600000	47.020056	3.279397	
0.100000	0.218339	0.479018	85.108487	92.422000	85.420000	51.935717	2.981997	
0.100000	0.218795	0.484413	84.742605	92.544000	84.770000	48.745811	3.448006	
0.100000	0.218725	0.410158	84.657635	92.396000	86.570000	50.094419	3.167087	
0.100000	0.212554	0.452141	85.175667	92.776000	85.450000	48.816428	3.218215	
0.100000	0.222777	0.466604	84.739442	92.298000	84.830000	49.991498	3.357122	
0.100000	0.213423	0.547496	84.943334	92.712000	83.570000	50.490658	2.989347	
0.100000	0.218616	0.427132	84.889427	92.478000	86.720000	51.244689	2.986243	
0.100000	0.218541	0.553006	85.406518	92.516000	83.780000	50.546741	3.813985	
0.100000	0.213099	0.613071	85.148346	92.670000	82.190000	47.039182	3.353305	
0.100000	0.215697	0.478463	84.721850	92.582000	84.920000	49.494991	3.380211	
0.100000	0.214971	0.392526	84.987616	92.624000	87.100000	49.806250	2.768649	
0.100000	0.218719	0.417012	85.079085	92.560000	86.670000	47.846067	3.847392	
0.100000	0.212175	0.903137	84.401092	92.732000	75.230000	50.086679	3.728142	
0.100000	0.219545	0.471307	84.559684	92.448000	85.610000	50.713756	2.622445	
0.100000	0.218796	0.535128	84.701172	92.498000	83.510000	53.566059	3.220981	
0.100000	0.205531	0.425696	84.079325	92.938000	86.300000	47.157446	2.929104	
0.100000	0.215149	0.565742	84.555086	92.560000	83.390000	50.593586	3.490872	
0.100000	0.216921	0.444505	84.675078	92.530000	85.930000	50.531886	2.843175	
0.100000	0.207031	0.543525	84.634609	93.060000	84.160000	49.560796	2.912324	
0.100000	0.218149	0.408462	84.963947	92.454000	86.940000	51.904991	3.556817	
0.100000	0.216878	0.506353	84.910732	92.668000	84.480000	51.025511	3.085858	
0.100000	0.216172	0.515422	84.979799	92.674000	84.530000	48.072124	3.453022	
0.100000	0.214825	0.660437	85.093896	92.700000	80.970000	48.788972	3.753937	
0.100000	0.208234	0.424835	83.841928	92.916000	86.520000	51.273416	3.558181	
0.100000	0.212572	0.355571	84.704266	92.638000	88.470000	51.774802	2.814664	
0.100000	0.206655	0.439147	85.062866	92.926000	87.170000	47.403448	2.753684	
0.100000	0.216403	0.541958	84.866318	92.572000	84.000000	46.817150	3.045585	
0.100000	0.213356	0.411157	85.216645	92.650000	87.080000	50.058391	3.283403	
0.100000	0.214520	0.482235	85.008706	92.658000	85.480000	51.161426	3.139114	
0.100000	0.210799	0.487101	85.157653	92.702000	84.550000	51.106118	3.465494	
0.100000	0.212068	0.459224	85.024485	92.632000	86.130000	48.903867	3.490424	
0.100000	0.213599	0.486171	85.356019	92.776000	85.020000	50.867310	2.872678	
0.100000	0.208640	0.447977	85.172431	92.768000	85.570000	49.421064	3.087947	
0.100000	0.209322	0.411619	85.108453	92.812000	87.340000	48.626639	3.878587	
0.100000	0.208535	0.477566	85.070276	92.768000	84.930000	49.078281	3.118098	
0.100000	0.210483	0.450407	85.516595	92.766000	85.300000	49.263232	2.737142	
0.100000	0.206525	0.445614	85.077610	93.050000	86.020000	51.824803	2.970300	
0.100000	0.211754	0.410666	84.908556	92.748000	86.940000	49.966504	2.717148	
0.100000	0.208348	0.434527	85.434270	92.860000	86.120000	49.277052	3.301648	
0.100000	0.217643	0.594262	85.793655	92.496000	82.260000	50.434772	3.471504	
0.100000	0.210600	0.390651	85.503516	92.768000	87.220000	50.984245	3.338450	
0.100000	0.207816	0.407050	83.960473	92.910000	86.960000	50.720471	3.108618	
0.100000	0.210696	0.384791	85.654540	92.728000	87.990000	47.197892	3.549860	
0.100000	0.209711	0.354654	85.501635	92.874000	88.170000	49.309018	3.606615	
0.100000	0.210895	0.489142	86.077114	92.754000	85.100000	49.741465	3.662267	
0.100000	0.208863	0.429851	85.593401	92.872000	85.950000	50.690942	3.231502	
0.100000	0.206193	0.424791	85.983593	92.878000	86.880000	52.382100	3.331484	
0.100000	0.209701	0.499916	85.785552	92.844000	84.950000	49.800126	4.055624	
0.100000	0.203744	0.421983	86.133527	93.078000	86.300000	48.589962	3.912313	
0.100000	0.204999	0.388142	85.788645	92.914000	87.730000	50.261094	2.903065	
0.100000	0.203797	0.404913	85.921122	93.056000	87.310000	49.119364	3.549512	
0.100000	0.209080	0.475223	85.496088	92.884000	85.320000	48.646760	3.540508	
0.100000	0.202223	0.599602	86.287044	93.216000	83.420000	51.519896	2.994590	
0.100000	0.207233	0.525119	86.383969	92.924000	83.160000	50.523768	3.375608	
0.100000	0.208990	0.357982	85.988041	92.858000	88.470000	51.048078	2.990853	
0.100000	0.214727	0.667541	85.689907	92.592000	80.250000	48.429972	3.205209	
0.100000	0.203013	0.396198	85.784195	92.972000	87.250000	49.648875	2.823937	
0.100000	0.202829	0.498547	85.647464	92.986000	85.210000	51.826766	3.322893	
0.100000	0.206412	0.534932	85.484799	92.792000	84.350000	48.116651	3.209090	
0.100000	0.198897	0.433586	85.639993	93.130000	86.080000	50.360724	3.106016	
0.100000	0.207673	0.388262	85.507917	92.878000	87.570000	51.068215	3.207539	
0.100000	0.212057	0.527098	85.720464	92.828000	84.060000	48.796302	2.794273	
0.100000	0.207215	0.784914	85.869211	92.946000	77.880000	50.534887	3.294650	
0.100000	0.198748	0.467925	85.005385	93.182000	85.700000	48.644372	3.397213	
0.100000	0.199976	0.825992	85.103686	93.174000	78.580000	48.535113	2.987172	
0.100000	0.208660	0.393013	84.786888	92.892000	87.530000	48.340776	2.784441	
0.100000	0.206090	0.393327	85.096859	92.944000	87.460000	47.251061	3.394665	
0.100000	0.200167	0.397918	85.130780	93.218000	87.500000	49.722806	2.567575	
0.100000	0.207071	0.509229	84.725625	92.820000	84.790000	47.090818	3.313386	
0.100000	0.208262	0.444042	85.446803	92.916000	86.280000	48.628377	2.932486	
0.100000	0.202667	0.348492	85.462972	93.104000	88.570000	51.671782	3.330399	
0.100000	0.205415	0.386643	85.812324	92.894000	88.170000	49.619448	3.101042	
0.100000	0.208401	0.440532	85.990453	92.896000	86.420000	49.680919	2.907800	
0.100000	0.206084	0.783625	85.574362	92.942000	78.530000	44.579499	2.959062	
0.100000	0.208826	0.360926	85.242764	92.884000	88.610000	45.451809	3.061936	
0.100000	0.200275	0.541784	85.594447	93.100000	84.430000	44.324234	2.884054	
0.100000	0.203674	0.418321	85.240318	93.066000	86.510000	45.740380	2.869646	
0.100000	0.205741	0.379804	85.517391	92.906000	88.010000	45.587779	2.908433	
0.100000	0.201429	0.365041	85.884928	93.084000	88.340000	43.632424	2.799646	
0.100000	0.206115	0.584636	85.982603	92.862000	82.540000	44.998627	3.111386	
0.100000	0.206258	0.366631	85.472823	92.832000	88.220000	45.961007	2.633048	
