LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.720845	1.630596	35.610000	43.510000	21.217187	1.586956	
0.100000	1.193419	1.338104	56.770000	54.430000	21.678264	1.538899	
0.100000	0.918067	1.406088	67.334000	56.830000	22.098402	1.622062	
0.100000	0.774268	0.867808	72.724000	70.310000	22.051908	1.444668	
0.100000	0.675675	0.825530	76.612000	71.070000	22.087966	1.493400	
0.100000	0.619892	0.675770	78.492000	76.170000	21.886164	1.580912	
0.100000	0.572795	0.664295	80.284000	77.500000	21.816653	1.651565	
0.100000	0.539034	0.741281	81.524000	75.020000	22.238159	1.598795	
0.100000	0.518910	0.598603	81.958000	80.050000	22.046332	1.597598	
0.100000	0.502061	0.661147	82.780000	77.730000	22.188600	1.555268	
0.100000	0.474548	1.079555	83.636000	67.580000	21.747528	1.549979	
0.100000	0.464384	0.700343	84.112000	77.390000	22.090129	1.606980	
0.100000	0.450828	0.632062	84.360000	79.040000	21.840713	1.602043	
0.100000	0.441619	0.857928	84.746000	73.170000	22.226506	1.609078	
0.100000	0.434513	0.660146	85.064000	78.610000	22.056010	1.390826	
0.100000	0.419263	0.734987	85.610000	76.640000	21.717293	1.635402	
0.100000	0.417238	0.704646	85.636000	77.680000	21.903693	1.613847	
0.100000	0.411584	0.684374	85.816000	77.930000	21.712684	1.610602	
0.100000	0.394273	0.804743	86.442000	75.800000	22.107970	1.608698	
0.100000	0.415353	0.538142	85.692000	82.720000	23.436504	1.586350	
0.100000	0.391994	0.589376	86.528000	80.550000	21.614488	1.590897	
0.100000	0.385608	0.540534	86.674000	81.590000	21.308583	1.592170	
0.100000	0.372036	0.638977	87.268000	78.850000	21.868231	1.545653	
0.100000	0.373839	0.534239	87.056000	82.230000	22.006834	1.570771	
0.100000	0.370830	0.543706	87.334000	81.710000	22.120037	1.642886	
0.100000	0.361150	0.623176	87.604000	80.860000	21.610296	1.744288	
0.100000	0.364750	0.626728	87.512000	79.370000	21.556494	1.554037	
0.100000	0.359523	0.695581	87.608000	77.810000	22.071708	1.589131	
0.100000	0.356329	0.881259	87.658000	74.750000	21.956552	1.591142	
0.100000	0.354988	0.752502	87.778000	77.830000	22.119369	1.520455	
0.100000	0.344618	0.678460	88.004000	78.560000	20.998170	1.554940	
0.100000	0.352361	0.725265	87.804000	78.400000	21.780470	1.576774	
0.100000	0.346453	0.551844	88.038000	81.950000	21.569689	1.573925	
0.100000	0.343706	0.750576	88.150000	78.070000	22.296773	1.633606	
0.100000	0.338813	0.602348	88.208000	81.450000	22.361094	1.587147	
0.100000	0.329776	0.514172	88.686000	82.800000	21.547624	1.607542	
0.100000	0.336821	0.561498	88.492000	82.990000	21.471960	1.479280	
0.100000	0.330823	0.535621	88.636000	81.920000	22.224815	1.586496	
