LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.780879	1.579840	33.306000	41.910000	19.178186	1.127744	
0.100000	1.301981	1.447157	52.108000	49.150000	19.219248	1.099707	
0.100000	1.005707	1.065759	64.074000	62.920000	19.283781	1.090751	
0.100000	0.807712	0.982437	71.506000	67.160000	19.153781	1.117773	
0.100000	0.696872	0.715632	75.906000	74.990000	19.230883	1.108179	
0.100000	0.620879	0.914593	78.314000	70.350000	19.505588	1.133029	
0.100000	0.571491	0.830252	80.272000	73.390000	19.492140	1.143612	
0.100000	0.544276	0.779115	81.196000	74.820000	19.487535	1.116053	
0.100000	0.504370	0.654729	82.668000	78.300000	19.540871	1.132422	
0.100000	0.486921	0.882176	83.256000	72.460000	19.526824	1.126911	
0.100000	0.458645	0.621647	84.164000	79.500000	19.276276	1.133913	
0.100000	0.453136	0.759547	84.474000	75.470000	19.382818	1.136782	
0.100000	0.441644	0.659624	84.934000	78.690000	19.299888	1.144609	
0.100000	0.430334	0.881115	85.104000	72.670000	19.197505	1.184341	
0.100000	0.421989	0.579178	85.432000	80.230000	19.304796	1.103147	
0.100000	0.409272	0.500799	85.928000	83.270000	18.968230	1.070790	
0.100000	0.410314	0.817187	85.978000	74.570000	19.319439	1.124828	
0.100000	0.397753	1.458255	86.240000	64.210000	19.204674	1.093551	
0.100000	0.390568	0.915405	86.496000	73.530000	19.430351	1.105292	
0.100000	0.390018	0.663316	86.580000	79.720000	19.355645	1.115007	
0.100000	0.370015	0.663892	87.322000	78.730000	19.971100	1.093298	
0.100000	0.373414	0.788995	87.326000	76.270000	19.647810	1.106767	
0.100000	0.367401	0.677002	87.496000	77.950000	19.856848	1.126292	
0.100000	0.360407	0.843981	87.830000	73.710000	19.870163	1.221852	
0.100000	0.368021	0.916601	87.456000	73.610000	19.774408	1.136233	
0.100000	0.348554	0.854187	88.124000	73.720000	19.399047	1.121271	
0.100000	0.352760	0.603766	87.934000	80.110000	19.641991	1.108256	
0.100000	0.343497	0.835763	88.278000	75.140000	19.442935	1.098738	
0.100000	0.345754	0.788667	88.250000	76.850000	19.543354	1.085756	
0.100000	0.344013	0.466393	88.178000	84.330000	19.514483	1.126509	
0.100000	0.333446	0.528861	88.538000	82.410000	19.448191	1.114723	
0.100000	0.340038	0.546806	88.310000	82.690000	19.466601	1.138992	
0.100000	0.331324	0.589121	88.566000	80.320000	19.630315	1.120135	
0.100000	0.330069	0.546667	88.606000	82.480000	19.453055	1.109377	
0.100000	0.330856	0.528658	88.542000	82.740000	19.292003	1.159247	
0.100000	0.323149	0.628585	88.860000	79.900000	19.521677	1.119269	
0.100000	0.326291	0.498960	88.660000	83.510000	19.597975	1.129484	
0.100000	0.328564	0.585812	88.564000	81.100000	19.607476	1.128664	
0.100000	0.317982	0.901923	89.002000	73.220000	19.770810	1.117844	
0.100000	0.326491	0.483260	88.652000	84.130000	19.645272	1.105269	
0.100000	0.310646	0.563058	89.294000	81.830000	19.509477	1.096185	
0.100000	0.321458	0.650356	89.034000	79.530000	19.557489	1.111932	
0.100000	0.315390	0.571890	89.308000	82.290000	19.451065	1.123061	
0.100000	0.314970	0.474127	89.270000	84.240000	20.096293	1.090134	
