LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.755142	1.754668	37.700000	34.218000	37.700000	17.329841	0.946942	
0.100000	1.368712	1.705302	37.700000	49.638000	41.610000	16.696874	0.925200	
0.100000	1.123755	1.277199	39.655000	59.850000	57.530000	17.031083	0.945972	
0.100000	0.932016	0.968700	46.570400	66.788000	66.620000	17.472098	0.993528	
0.100000	0.823920	0.990329	52.325926	71.312000	65.870000	17.497730	0.969251	
0.100000	0.766109	0.997589	54.948405	73.206000	66.710000	17.242646	0.944248	
0.100000	0.723253	0.904154	56.701982	74.678000	69.450000	16.936630	0.930634	
0.100000	0.683089	0.784532	58.440270	76.274000	73.300000	17.693452	1.003479	
0.100000	0.661100	0.997619	60.371590	77.252000	68.600000	17.576095	0.953758	
0.100000	0.641097	0.746645	60.846535	77.740000	74.030000	17.672318	0.931864	
0.100000	0.622636	0.908215	62.135983	78.472000	69.360000	17.707344	0.972534	
0.100000	0.609788	1.351503	62.369500	78.870000	62.550000	17.252751	0.961764	
0.100000	0.599087	0.772266	61.605463	79.184000	73.910000	16.947349	0.941841	
0.100000	0.582072	0.807110	62.582421	79.882000	72.780000	17.147035	0.986055	
0.100000	0.580985	0.863315	63.198417	79.980000	72.410000	17.623307	0.965963	
0.100000	0.570519	0.988679	63.648331	80.198000	67.220000	17.354756	0.945418	
0.100000	0.555474	0.710262	63.441127	80.750000	76.600000	17.153831	0.959809	
0.100000	0.549704	0.630017	64.278612	81.070000	79.030000	17.630774	0.948315	
0.100000	0.544101	0.670810	65.206525	81.132000	77.820000	17.642239	0.950738	
0.100000	0.537488	0.726681	65.858317	81.428000	75.900000	17.437250	0.960423	
0.100000	0.532358	0.750265	66.232171	81.556000	73.960000	17.359019	0.971615	
0.100000	0.527462	1.110375	66.385677	81.874000	66.230000	17.229027	0.970079	
0.100000	0.520596	0.708077	65.880668	81.942000	76.290000	17.547929	0.978513	
0.100000	0.524311	0.954168	66.268766	81.788000	70.330000	17.440284	0.929897	
0.100000	0.522131	0.981921	66.146087	82.000000	68.690000	17.255523	0.962428	
0.100000	0.510371	0.923008	65.925925	82.156000	71.590000	17.681741	0.998224	
0.100000	0.516787	0.744521	65.948717	82.056000	76.010000	17.467168	0.975931	
0.100000	0.501714	0.670836	66.276993	82.548000	77.550000	17.530768	0.968228	
0.100000	0.503979	0.675467	66.668182	82.556000	77.480000	17.700428	0.927242	
0.100000	0.493314	0.755713	67.008650	82.984000	75.210000	17.442995	0.971360	
0.100000	0.502818	0.771835	68.103005	82.634000	75.140000	17.582859	0.949219	
0.100000	0.494115	0.644888	70.858424	83.018000	78.650000	17.603130	0.968005	
0.100000	0.494026	0.814504	72.675171	82.856000	73.980000	17.288939	0.933443	
0.100000	0.489752	0.781075	72.650933	83.184000	73.990000	17.109554	0.928577	
0.100000	0.488907	0.771636	72.858756	83.140000	75.000000	17.636074	1.011972	
0.100000	0.491719	1.108058	73.392999	82.904000	67.240000	17.475507	0.969400	
0.100000	0.486594	0.875707	73.552593	83.154000	71.840000	17.410130	0.960319	
0.100000	0.484500	1.101968	72.762664	83.218000	68.820000	17.339024	0.985387	
0.100000	0.477302	0.823666	73.293268	83.364000	72.690000	17.610383	0.983757	
0.100000	0.481429	0.783253	72.579245	83.440000	74.170000	17.558825	0.953847	
0.100000	0.471972	0.800833	71.697410	83.712000	74.000000	17.277653	0.957683	
0.100000	0.477778	0.764625	73.488184	83.610000	74.960000	17.522084	0.950689	
0.100000	0.471655	0.708828	73.419785	83.916000	76.080000	17.573951	0.960396	
0.100000	0.471823	0.873729	73.537924	83.770000	71.920000	17.067480	0.956151	
0.100000	0.470648	0.619158	72.683267	83.722000	78.430000	17.431382	0.985972	
0.100000	0.468015	0.802242	74.410012	83.796000	73.430000	17.375201	0.965611	
0.100000	0.458878	0.775163	74.698070	84.160000	75.200000	17.165124	0.967595	
0.100000	0.464070	0.759039	74.555533	83.816000	75.620000	17.442302	0.953344	
0.100000	0.466424	0.719596	74.346650	83.698000	77.620000	17.560863	0.940624	
0.100000	0.464150	0.985357	74.277384	84.014000	69.520000	17.586025	0.978258	
0.100000	0.461897	0.968987	72.852996	84.138000	71.000000	17.465359	0.976094	
0.100000	0.462548	0.758702	74.187737	84.072000	74.570000	17.650012	0.999245	
0.100000	0.461799	0.810224	73.350812	83.926000	75.470000	17.794362	0.947058	
0.100000	0.455465	0.709638	73.250453	84.336000	77.130000	17.221284	0.934452	
0.100000	0.452317	0.691549	73.919975	84.450000	77.580000	17.497936	1.011184	
0.100000	0.449074	0.755714	74.795067	84.548000	76.020000	17.403005	1.015271	
0.100000	0.455373	0.883561	75.096720	84.226000	71.260000	17.256158	0.999159	
0.100000	0.455125	1.024828	74.839071	84.320000	70.460000	17.382111	0.969079	
0.100000	0.454622	0.656178	74.228395	84.270000	77.870000	17.426391	0.952557	
0.100000	0.453141	1.088718	74.453218	84.344000	66.310000	17.418271	0.995463	
0.100000	0.452918	0.865529	74.435260	84.222000	73.140000	17.066034	0.948039	
0.100000	0.446477	0.623834	73.676593	84.616000	79.120000	17.564359	0.980019	
0.100000	0.449116	0.830002	74.029226	84.494000	73.980000	17.665137	0.983735	
0.100000	0.448590	0.736827	74.172057	84.490000	76.300000	17.901874	0.934638	
0.100000	0.445707	0.688512	73.187546	84.522000	77.930000	17.580203	0.977348	
0.100000	0.449751	0.844372	74.158494	84.452000	73.410000	17.522441	0.975936	
0.100000	0.443085	0.645117	73.673628	84.692000	78.660000	17.548071	0.962907	
0.100000	0.441537	1.051332	74.554783	84.676000	68.220000	17.490243	0.986234	
0.100000	0.442285	0.712887	74.360038	84.954000	77.180000	17.793223	0.972003	
0.100000	0.443532	0.772308	74.517396	84.810000	75.970000	17.451188	0.956652	
0.100000	0.443455	0.646201	74.749891	84.742000	79.720000	17.466404	0.959372	
