LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.751034	1.520235	33.906000	45.540000	13.631010	0.762108	
0.100000	1.314254	1.278795	51.712000	53.680000	13.554586	0.785623	
0.100000	1.072436	1.053141	61.494000	63.010000	13.465984	0.766889	
0.100000	0.939079	1.642666	66.626000	50.130000	13.637701	0.822019	
0.100000	0.839840	0.922150	70.570000	68.590000	13.620311	0.865442	
0.100000	0.765599	1.057974	73.278000	65.470000	13.663979	0.765436	
0.100000	0.735521	0.891387	74.506000	70.370000	13.751305	0.795748	
0.100000	0.694617	0.961956	75.786000	68.110000	13.610999	0.759941	
0.100000	0.665639	1.144341	76.932000	64.060000	13.620565	0.778509	
0.100000	0.646784	1.181848	77.574000	62.080000	13.828342	0.753613	
0.100000	0.624372	0.791039	78.522000	73.420000	13.623875	0.839945	
0.100000	0.608508	0.842169	78.854000	72.560000	13.685782	0.755512	
0.100000	0.593890	0.714103	79.402000	76.510000	13.535727	0.772170	
0.100000	0.586567	1.153297	79.842000	67.060000	13.711848	0.802637	
0.100000	0.579496	0.740915	79.906000	75.160000	13.655686	0.761224	
0.100000	0.571887	0.912780	80.420000	71.660000	14.130174	0.783789	
0.100000	0.558529	0.926493	80.878000	71.950000	13.767129	0.780513	
0.100000	0.554193	0.782110	80.812000	74.170000	13.939732	0.824141	
0.100000	0.545853	0.649301	81.134000	77.760000	13.840994	0.781076	
0.100000	0.533304	0.704882	81.720000	76.630000	13.863802	0.772401	
0.100000	0.530132	0.649197	81.558000	78.190000	13.576910	0.784052	
0.100000	0.530321	0.966378	81.662000	70.500000	13.770846	0.781896	
0.100000	0.519138	0.693525	82.164000	76.200000	13.826830	0.793636	
0.100000	0.527672	0.836132	81.786000	73.770000	13.863093	0.759472	
0.100000	0.510955	0.822269	82.184000	73.730000	13.637860	0.768296	
0.100000	0.516802	1.075771	82.208000	70.110000	13.880749	0.781813	
0.100000	0.509254	0.779593	82.606000	75.200000	13.860983	0.776320	
0.100000	0.504915	1.152674	82.726000	67.500000	13.576583	0.783294	
