LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.748312	1.633782	40.380000	34.208000	40.380000	20.974678	1.402487	
0.100000	1.302820	1.457112	40.380000	52.502000	48.030000	21.429256	1.381407	
0.100000	1.092779	1.226727	44.205000	60.582000	57.250000	21.725727	1.449511	
0.100000	0.963298	1.115938	48.964000	65.430000	62.350000	21.358324	1.389873	
0.100000	0.870007	1.038439	52.585556	69.274000	64.790000	21.753969	1.454288	
0.100000	0.790754	1.048709	55.093686	72.296000	65.060000	21.702486	1.340884	
0.100000	0.745872	1.147802	56.600791	73.982000	63.600000	21.527986	1.485687	
0.100000	0.704370	1.126065	57.240030	75.668000	65.110000	21.490355	1.491394	
0.100000	0.678929	0.887835	58.006279	76.434000	71.260000	20.979293	1.128754	
0.100000	0.656464	0.763994	59.672256	77.384000	74.250000	17.719486	1.073499	
0.100000	0.632931	0.789983	61.341874	78.144000	74.260000	18.057133	1.157267	
0.100000	0.618880	0.984424	62.557706	78.496000	69.540000	17.779973	1.074258	
0.100000	0.604744	0.746312	62.802639	79.110000	74.950000	17.845411	1.069913	
0.100000	0.588385	1.014249	63.740270	79.742000	67.330000	17.924285	1.075371	
0.100000	0.581792	0.746478	63.524287	79.790000	74.670000	17.830132	1.115538	
0.100000	0.575108	0.785520	64.245195	80.090000	74.070000	17.901651	1.089312	
0.100000	0.561389	0.910701	64.760580	80.618000	73.350000	18.135481	1.048350	
0.100000	0.552807	0.679943	65.110679	80.914000	77.060000	18.011865	1.104991	
0.100000	0.552811	1.609954	65.778096	81.038000	58.040000	17.846490	1.133530	
0.100000	0.537853	1.077667	64.522717	81.488000	67.700000	17.925791	1.105696	
0.100000	0.529392	0.657639	64.380962	81.778000	77.480000	17.801315	1.061469	
0.100000	0.528569	1.038421	65.119746	81.750000	68.290000	17.935174	1.144630	
0.100000	0.522973	0.766132	64.976751	82.036000	74.590000	17.668097	1.161821	
0.100000	0.514867	0.759254	65.366106	82.248000	73.950000	17.949597	1.047433	
0.100000	0.519016	0.849375	65.652076	82.060000	72.420000	17.703487	1.020411	
0.100000	0.513323	0.944337	65.787938	82.326000	69.980000	18.077038	1.137367	
0.100000	0.500924	0.962776	65.735141	82.620000	71.620000	17.889647	1.134299	
0.100000	0.504179	0.944679	65.806858	82.762000	73.000000	17.906948	1.163020	
0.100000	0.495048	0.840479	65.964697	82.802000	74.720000	17.782902	1.146262	
0.100000	0.493665	0.868972	66.216632	82.980000	71.390000	17.903962	1.122642	
0.100000	0.493850	0.652913	67.656293	82.766000	77.940000	17.980095	1.120033	
0.100000	0.497676	0.827106	69.652616	82.874000	72.950000	17.876710	1.034401	
0.100000	0.483100	0.612495	70.602614	83.488000	79.650000	17.974258	1.084852	
0.100000	0.490803	1.265943	71.539047	83.054000	64.470000	18.018486	1.105440	
0.100000	0.483395	0.800903	71.122011	83.478000	74.820000	17.835377	1.099034	
0.100000	0.476178	0.788313	71.149531	83.694000	74.400000	17.886152	1.172943	
0.100000	0.476402	0.951985	71.577527	83.666000	71.320000	18.140452	1.061750	
0.100000	0.481972	0.778359	72.449965	83.314000	75.600000	17.853128	1.040160	
0.100000	0.474831	1.463339	73.085433	83.666000	61.310000	18.020050	1.104872	
0.100000	0.472524	0.784995	72.327173	83.818000	74.080000	17.750694	1.109588	
0.100000	0.472278	0.868940	71.757928	83.636000	72.400000	18.115983	1.140212	
0.100000	0.474561	0.787389	72.581430	83.656000	75.000000	17.706028	1.121300	
0.100000	0.473070	0.695188	71.635908	83.684000	76.900000	17.991501	1.087641	
0.100000	0.464360	0.934261	73.036608	84.218000	71.150000	17.685593	1.095842	
0.100000	0.462353	0.658799	72.828155	83.898000	78.200000	18.134023	1.130802	
0.100000	0.461004	0.596774	73.070641	84.148000	80.060000	17.817198	1.055369	
0.100000	0.464082	0.728144	74.057891	84.144000	75.750000	17.906342	1.189996	
0.100000	0.460410	0.699393	71.417498	84.314000	77.320000	17.865429	1.136785	
0.100000	0.458741	1.806594	73.194770	84.366000	53.500000	18.162007	1.096132	
0.100000	0.452763	0.671079	73.337951	84.458000	77.430000	17.794053	1.082885	
0.100000	0.459731	0.653440	72.273434	84.086000	78.650000	17.579840	1.082701	
0.100000	0.449428	0.780334	73.595563	84.482000	75.890000	18.074844	1.022805	
0.100000	0.448604	0.654987	73.651072	84.602000	78.540000	17.813514	1.062151	
0.100000	0.454609	0.669583	73.745307	84.330000	77.250000	18.132200	1.020908	
0.100000	0.452215	0.670625	73.618686	84.484000	78.940000	17.831637	1.107094	
0.100000	0.449334	0.823003	74.199078	84.654000	75.140000	18.022384	1.125938	
0.100000	0.449799	0.734075	74.459277	84.440000	76.480000	17.697093	1.119878	
0.100000	0.449031	0.631776	74.838292	84.492000	80.030000	17.924276	1.152549	
0.100000	0.438729	0.662695	74.691851	84.948000	77.420000	17.730485	1.054184	
0.100000	0.442628	0.637174	75.814739	84.730000	78.650000	17.994028	1.038983	
0.100000	0.443635	0.739238	75.276297	84.708000	75.830000	17.868168	1.040856	
0.100000	0.441808	0.635703	76.280582	84.680000	78.960000	17.997932	1.252030	
0.100000	0.436419	0.847363	74.259003	84.850000	74.020000	17.768863	1.051676	
0.100000	0.436386	0.686240	75.739796	84.990000	78.000000	17.855319	1.153537	
0.100000	0.439831	0.743478	75.824900	84.854000	75.220000	17.985023	1.073449	
0.100000	0.434594	0.554168	75.340624	84.928000	81.620000	17.747142	1.051576	
0.100000	0.432850	0.815085	76.364469	84.994000	72.590000	17.985215	1.091913	
