LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.873191	1.774369	27.346000	34.100000	20.715403	1.305441	
0.100000	1.533282	1.481878	42.868000	47.010000	20.526439	1.301555	
0.100000	1.296651	1.602541	52.980000	46.880000	24.383686	1.272175	
0.100000	1.160352	1.378178	58.254000	52.690000	21.396040	1.601999	
0.100000	1.056187	1.142195	61.954000	59.260000	21.384104	1.300398	
0.100000	0.993566	1.126671	64.300000	60.790000	24.607519	1.299583	
0.100000	0.954764	1.395546	66.174000	53.950000	20.601998	1.303436	
0.100000	0.900059	1.131469	68.458000	60.660000	20.568586	1.234399	
0.100000	0.865451	1.808367	69.318000	48.180000	21.622575	1.290668	
0.100000	0.846730	1.200545	69.912000	59.260000	20.568154	1.297809	
0.100000	0.825490	1.390947	71.120000	56.060000	20.688534	1.300545	
0.100000	0.808573	1.176420	71.682000	62.210000	21.577381	1.331884	
0.100000	0.788685	2.302219	72.548000	49.360000	20.559651	1.746530	
0.100000	0.780106	1.007068	72.738000	65.510000	22.338436	1.302306	
0.100000	0.768579	1.018658	73.234000	65.440000	20.552852	1.294353	
0.100000	0.760468	0.900198	73.344000	69.320000	26.479531	1.314580	
0.100000	0.753004	1.433713	73.644000	56.370000	20.803607	1.101437	
0.100000	0.739889	0.915513	74.126000	68.250000	20.581188	1.296112	
0.100000	0.740220	0.848541	74.262000	70.990000	21.542051	1.239835	
0.100000	0.733621	1.163641	74.356000	60.700000	24.172523	1.119516	
0.100000	0.728455	1.300827	74.694000	58.940000	20.555857	1.290106	
0.100000	0.712991	1.244445	75.326000	63.400000	20.599692	1.297548	
0.100000	0.714750	1.330683	75.016000	60.670000	24.952206	1.297575	
0.100000	0.716890	0.977336	75.036000	67.330000	23.243289	1.092225	
0.100000	0.702529	0.998634	75.746000	66.700000	20.505755	1.291054	
0.100000	0.701649	1.263836	75.754000	63.590000	21.065405	1.308997	
0.100000	0.699945	0.892102	75.668000	70.530000	22.525335	1.296446	
0.100000	0.702898	0.938652	75.598000	68.260000	22.063581	1.291912	
0.100000	0.692890	0.864667	76.034000	71.610000	20.762164	1.321094	
0.100000	0.695019	1.072834	75.930000	67.210000	20.905668	1.295254	
0.100000	0.689887	1.067588	75.860000	67.230000	24.165052	2.178266	
0.100000	0.691730	1.408402	75.960000	56.290000	22.068107	1.297645	
0.100000	0.686112	1.014731	76.184000	65.730000	21.631010	1.293386	
0.100000	0.681498	0.876161	76.434000	70.860000	20.531798	1.297066	
0.100000	0.682991	1.062122	76.192000	66.090000	24.804534	1.308988	
0.100000	0.678005	1.169603	76.732000	62.190000	20.592620	1.310349	
0.100000	0.679156	1.843823	76.418000	51.220000	26.728164	1.318763	
0.100000	0.679079	1.406037	76.358000	59.320000	23.376388	1.253316	
0.100000	0.678694	2.022570	76.436000	48.180000	20.487993	1.294648	
0.100000	0.671302	1.473285	76.898000	57.250000	20.261863	1.294054	
0.100000	0.672224	0.968484	76.764000	68.370000	22.667519	1.310905	
0.100000	0.667263	1.056556	76.768000	64.980000	26.111900	1.295402	
0.100000	0.669241	1.016822	76.564000	66.160000	20.619885	1.300848	
0.100000	0.664104	1.368520	76.870000	58.890000	24.143272	2.121701	
0.100000	0.664242	1.045953	77.058000	65.600000	21.519881	1.302104	
0.100000	0.672228	1.311676	76.696000	60.750000	24.180765	1.260705	
0.100000	0.661749	3.220955	77.030000	38.930000	23.860558	1.301245	
0.100000	0.670574	0.908032	76.804000	70.120000	20.493007	1.299604	
0.100000	0.653890	1.067815	77.196000	63.640000	21.608509	2.221735	
0.100000	0.657746	1.067596	77.168000	65.560000	25.331612	1.298634	
0.100000	0.664870	1.187312	77.074000	62.680000	21.529914	0.976794	
0.100000	0.662403	1.208684	77.040000	60.490000	23.249451	1.305652	
0.100000	0.654320	1.100114	77.328000	64.280000	22.359909	1.118731	
0.100000	0.658646	1.099222	77.062000	65.460000	25.727332	1.485793	
0.100000	0.663768	1.129572	76.970000	63.860000	22.766203	1.068129	
0.100000	0.661693	0.733723	77.156000	75.470000	21.737202	1.295141	
0.100000	0.651726	0.864223	77.246000	72.050000	20.617849	1.308767	
0.100000	0.655403	1.551062	77.100000	55.670000	22.085953	2.080894	
0.100000	0.657819	1.324344	77.196000	60.900000	21.309445	1.154615	
0.100000	0.652562	1.362296	77.328000	58.800000	23.103514	1.295571	
0.100000	0.645118	1.721816	77.660000	49.760000	20.597084	1.302977	
0.100000	0.659055	1.088136	77.104000	66.200000	20.687443	1.310308	
0.100000	0.655211	1.015712	77.194000	67.690000	21.524539	1.301406	
0.100000	0.647162	0.952645	77.354000	68.420000	20.582813	1.299859	
0.100000	0.640421	0.852838	77.804000	71.730000	20.897918	1.109401	
0.100000	0.641866	1.138179	77.782000	63.770000	20.669689	1.235212	
0.100000	0.645788	1.250783	77.466000	62.100000	20.976262	2.219750	
0.100000	0.649411	1.267919	77.606000	61.300000	20.615115	2.188275	
0.100000	0.643124	0.974755	77.766000	68.530000	20.605819	1.296476	
0.100000	0.641299	1.783701	77.830000	55.940000	20.563405	1.304298	
0.100000	0.646664	0.868024	77.626000	71.750000	23.724230	1.099664	
0.100000	0.645798	1.200155	77.498000	62.590000	21.925498	1.112340	
0.100000	0.646421	0.956727	77.664000	68.960000	23.965031	1.390176	
0.100000	0.641790	3.357850	77.692000	41.620000	26.085303	1.230510	
0.100000	0.646006	1.038486	77.424000	67.610000	22.995389	1.302382	
0.100000	0.637787	1.065031	78.032000	66.450000	24.211836	1.292984	
0.100000	0.647308	0.962318	77.362000	68.400000	22.400524	1.305633	
0.100000	0.645053	0.933110	77.722000	68.810000	24.530576	1.297806	
0.100000	0.630812	0.753302	78.312000	73.780000	21.084530	1.308100	
0.100000	0.642822	1.143645	77.828000	64.820000	20.821220	1.129429	
0.100000	0.631552	1.458732	78.020000	61.210000	21.493487	1.179663	
0.100000	0.638485	1.153978	77.994000	64.290000	21.537124	1.307079	
0.100000	0.637314	2.143676	77.720000	51.070000	23.210396	1.057741	
0.100000	0.640014	1.170508	77.836000	63.830000	20.914819	1.302636	
0.100000	0.629950	1.407358	78.012000	60.570000	22.684551	1.315897	
0.100000	0.640123	1.343039	77.884000	60.270000	23.506307	1.305883	
0.100000	0.624569	0.895434	78.426000	71.540000	21.340817	1.302949	
0.100000	0.632804	0.879877	78.102000	71.420000	23.164971	1.307040	
0.100000	0.632614	0.797511	77.842000	73.180000	23.628657	1.305216	
0.100000	0.632008	0.884087	78.006000	70.520000	20.638541	2.217897	
0.100000	0.640900	0.710305	77.724000	75.530000	23.600188	1.296329	
0.100000	0.630314	1.202553	78.144000	63.910000	23.461839	1.302698	
0.100000	0.632081	1.260878	78.140000	62.430000	23.685924	1.148500	
0.100000	0.629701	1.646732	78.118000	57.050000	20.668639	2.206298	
0.100000	0.636081	1.060698	77.906000	67.390000	20.581241	1.307460	
0.100000	0.628946	1.234789	78.288000	62.030000	23.385968	1.307194	
0.100000	0.629684	1.992268	78.242000	54.440000	23.492836	1.303884	
0.100000	0.632738	1.095399	77.982000	63.040000	20.667390	1.302717	
0.100000	0.626197	0.855390	78.324000	72.370000	22.221817	1.132437	
0.100000	0.625389	1.230027	78.336000	62.960000	21.822777	1.303670	
0.100000	0.637278	0.990206	77.910000	68.740000	22.341910	1.301503	
0.100000	0.634860	0.994925	78.026000	67.570000	20.673270	1.540651	
0.100000	0.629619	1.186116	78.172000	63.950000	25.549368	1.243477	
0.100000	0.624476	0.994967	78.464000	67.140000	20.585863	1.989613	
0.100000	0.625232	0.857235	78.382000	71.360000	23.137282	2.208198	
0.100000	0.623601	1.053439	78.438000	66.920000	21.188238	1.304089	
0.100000	0.629897	0.917036	78.212000	70.060000	20.563530	1.879445	
0.100000	0.625686	0.904430	78.226000	69.960000	22.455387	1.146805	
0.100000	0.625649	1.714166	78.266000	52.030000	24.273270	1.018754	
0.100000	0.625813	1.618269	78.264000	53.950000	20.716418	1.304358	
0.100000	0.621495	1.025552	78.486000	66.220000	22.611361	1.298720	
0.100000	0.628870	1.295108	78.284000	61.380000	20.540161	1.223613	
