LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.769184	1.845522	33.048000	33.230000	60.090695	2.816406	
0.100000	1.379602	1.334569	49.352000	52.280000	60.885097	2.935452	
0.100000	1.113541	1.988698	59.748000	44.750000	60.303061	2.889815	
0.100000	0.960747	1.124989	65.816000	59.500000	59.062243	2.628041	
0.100000	0.859946	1.043583	69.342000	63.030000	60.856196	2.610277	
0.100000	0.796103	1.372648	72.084000	59.910000	58.771291	2.967716	
0.100000	0.743583	0.874016	74.112000	69.700000	60.032328	2.891607	
0.100000	0.704761	1.369689	75.470000	60.590000	59.698638	2.922767	
0.100000	0.683913	1.318405	76.182000	59.940000	58.639638	2.933558	
0.100000	0.653865	1.455666	77.482000	60.030000	59.814892	3.053572	
0.100000	0.626585	1.121882	78.316000	64.760000	60.899367	2.848286	
0.100000	0.621424	0.952106	78.594000	69.830000	59.162736	2.833186	
0.100000	0.608717	0.988780	78.812000	67.200000	59.260792	2.710190	
0.100000	0.592471	0.669202	79.430000	77.350000	59.002818	2.880633	
0.100000	0.587035	0.952159	79.632000	68.960000	59.596082	2.629417	
0.100000	0.573112	1.082889	80.316000	67.090000	60.252830	2.837752	
0.100000	0.569153	0.995916	80.508000	69.230000	60.172492	2.717993	
0.100000	0.550715	0.924959	80.956000	71.660000	59.271281	3.071499	
0.100000	0.552801	0.679489	80.864000	76.640000	59.502873	3.138610	
0.100000	0.541733	0.769239	81.212000	75.080000	60.494215	2.969466	
0.100000	0.533215	0.775442	81.602000	75.200000	58.936144	2.911955	
0.100000	0.530402	0.717547	81.602000	76.410000	58.634352	2.895428	
0.100000	0.524725	1.323367	82.080000	63.770000	59.537152	2.981776	
0.100000	0.524293	0.661634	82.132000	77.260000	59.909081	2.637616	
0.100000	0.517370	0.683191	82.188000	77.350000	59.964189	2.670083	
0.100000	0.517364	1.043137	82.138000	69.440000	58.938465	2.957076	
0.100000	0.508936	0.913074	82.454000	70.470000	58.899189	2.682650	
0.100000	0.513707	1.179109	82.468000	65.290000	60.969689	2.949122	
0.100000	0.502503	1.084838	82.888000	68.110000	60.546909	2.763816	
0.100000	0.508039	0.823288	82.466000	73.510000	60.222583	3.031935	
0.100000	0.496460	0.792764	82.812000	74.360000	59.517798	2.751906	
0.100000	0.499787	0.908163	82.918000	70.990000	59.377240	2.790785	
0.100000	0.491974	0.945877	83.080000	70.060000	59.381847	2.836849	
0.100000	0.488560	0.650822	83.314000	77.970000	58.612892	2.837974	
0.100000	0.492141	1.223316	83.132000	66.800000	59.851881	2.682238	
0.100000	0.485748	0.797350	83.296000	74.320000	58.928292	2.885830	
0.100000	0.475895	1.372939	83.642000	61.870000	59.351572	2.891973	
0.100000	0.485611	0.931394	83.270000	72.130000	59.363244	2.855610	
0.100000	0.478689	0.713576	83.724000	76.610000	58.457911	2.844347	
0.100000	0.483120	0.679847	83.550000	77.480000	59.650101	2.775311	
0.100000	0.473097	0.842572	83.722000	73.760000	59.887669	2.747693	
0.100000	0.472685	0.841316	83.550000	74.030000	59.281835	2.716855	
0.100000	0.470171	0.754886	83.946000	76.040000	59.840487	2.836295	
0.100000	0.467980	0.800217	83.664000	74.180000	58.498507	2.995342	
0.100000	0.466419	0.984475	83.912000	69.620000	59.216973	2.804945	
0.100000	0.471283	0.773014	83.746000	75.250000	58.406623	2.632947	
0.100000	0.467161	0.685095	84.060000	77.300000	58.792500	3.167927	
0.100000	0.458381	0.796826	84.170000	74.740000	58.507004	2.857614	
0.100000	0.468682	1.207507	83.820000	62.340000	59.167219	2.670357	
0.100000	0.458051	0.626870	84.344000	78.560000	59.276759	2.834293	
0.100000	0.453086	0.713931	84.384000	76.060000	60.510329	2.834901	
0.100000	0.460701	0.674407	84.070000	77.270000	59.312927	2.730448	
0.100000	0.456071	0.684067	84.194000	77.830000	59.180529	2.755507	
0.100000	0.454656	0.929540	84.288000	71.970000	59.336090	2.969134	
0.100000	0.459906	0.815587	84.142000	73.430000	58.527719	2.966861	
0.100000	0.452015	1.367846	84.556000	61.320000	59.222415	2.791589	
0.100000	0.457702	0.919905	84.142000	73.090000	58.984256	2.882030	
0.100000	0.447244	1.285719	84.622000	63.350000	59.302336	2.586151	
0.100000	0.455265	0.727734	84.364000	76.190000	58.690607	2.695887	
0.100000	0.452546	0.912003	84.366000	71.020000	59.825818	2.607898	
0.100000	0.447375	0.638852	84.598000	79.770000	58.492203	3.043828	
0.100000	0.444996	0.792879	84.634000	74.430000	58.902512	2.824280	
0.100000	0.450379	1.039699	84.388000	69.460000	58.519393	2.906307	
0.100000	0.446637	0.700212	84.666000	76.940000	58.930975	2.827056	
0.100000	0.440129	0.728529	84.932000	76.210000	59.062387	2.794065	
0.100000	0.447838	0.914034	84.590000	72.230000	58.639354	2.929999	
0.100000	0.446073	0.803335	84.606000	74.630000	59.259697	3.305162	
0.100000	0.440777	0.772794	84.734000	75.280000	59.025967	2.789580	
0.100000	0.434818	0.707328	85.132000	76.980000	59.347691	2.851874	
0.100000	0.440207	0.995638	84.954000	69.340000	59.715000	2.713349	
0.100000	0.440104	0.712504	84.756000	76.440000	58.958059	2.853954	
0.100000	0.433615	0.873568	85.172000	74.240000	58.899995	2.916953	
0.100000	0.442106	0.660723	84.858000	78.380000	58.686862	2.872379	
0.100000	0.441027	0.597167	84.742000	79.930000	58.635195	2.791154	
0.100000	0.434265	0.779624	85.050000	75.340000	59.403476	2.838304	
0.100000	0.428291	0.639661	85.232000	79.310000	59.368143	2.949214	
0.100000	0.433749	0.844749	84.972000	73.970000	59.238977	2.932884	
0.100000	0.429413	0.886624	85.126000	73.800000	59.434507	2.803983	
0.100000	0.429771	0.815518	85.152000	74.330000	59.265446	2.923736	
0.100000	0.431864	1.004017	85.242000	68.640000	58.781425	2.760113	
0.100000	0.428957	0.698133	85.186000	76.910000	59.580928	2.999736	
0.100000	0.431814	0.610326	85.052000	80.170000	59.164123	3.079568	
0.100000	0.431610	0.634782	85.094000	78.590000	58.349701	2.604966	
0.100000	0.429049	0.785567	85.218000	75.090000	58.144447	2.682055	
0.100000	0.430020	0.651909	85.102000	78.940000	57.781679	2.597020	
0.100000	0.435705	0.588185	84.910000	79.930000	58.486971	3.493462	
0.100000	0.427235	0.750758	85.254000	75.680000	57.232805	2.633376	
