LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.823265	1.632549	40.030000	30.846000	40.030000	12.021993	0.723362	
0.100000	1.345509	1.675800	40.030000	50.704000	45.870000	12.024040	0.710496	
0.100000	1.089370	1.497565	42.950000	60.684000	49.080000	11.968109	0.699162	
0.100000	0.926797	1.428427	45.051600	66.898000	56.380000	12.290793	0.705195	
0.100000	0.822800	0.876792	48.356296	70.934000	69.310000	12.106928	0.670533	
0.100000	0.745570	1.137449	53.659771	73.852000	61.920000	12.039162	0.721335	
0.100000	0.693926	0.854965	54.708164	75.804000	71.310000	12.285388	0.717106	
0.100000	0.652580	0.899944	57.515561	77.228000	70.450000	12.167906	0.703077	
0.100000	0.619004	0.902405	59.157669	78.476000	70.100000	12.250383	0.716384	
0.100000	0.600954	1.018806	60.239449	78.950000	68.880000	12.327152	0.675692	
0.100000	0.570695	0.927754	60.833025	80.252000	72.200000	12.837138	0.703690	
0.100000	0.558151	0.894867	61.810125	80.614000	72.350000	12.507341	0.688415	
0.100000	0.548596	0.732833	62.576581	80.960000	75.910000	12.280784	0.743392	
0.100000	0.539191	0.894114	63.652620	81.408000	71.020000	12.400577	0.689135	
0.100000	0.519949	0.860055	63.884679	82.014000	73.340000	12.339040	0.691463	
0.100000	0.513484	0.840564	64.362879	82.300000	75.020000	12.266576	0.696184	
0.100000	0.500800	0.978282	64.945095	82.612000	67.880000	12.225202	0.715828	
0.100000	0.497740	0.654649	64.674266	82.970000	78.970000	12.447730	0.700703	
0.100000	0.483548	0.764583	65.581450	83.308000	75.390000	12.702015	0.712288	
0.100000	0.478465	0.752086	65.990722	83.370000	76.210000	12.752462	0.716011	
0.100000	0.477968	0.627425	66.414307	83.472000	79.200000	12.517357	0.714905	
0.100000	0.475163	0.855845	67.037134	83.400000	74.030000	11.960029	0.677559	
0.100000	0.464099	0.686571	67.137880	84.186000	77.620000	12.372602	0.728628	
0.100000	0.463674	0.789874	67.520201	84.030000	75.630000	12.536053	0.710931	
0.100000	0.454295	0.679783	67.700367	84.326000	77.950000	12.413405	0.692882	
0.100000	0.458032	0.638444	68.034237	84.158000	79.350000	12.567467	0.682598	
0.100000	0.449923	0.759211	68.428387	84.628000	75.630000	12.637936	0.685001	
0.100000	0.438383	0.922326	68.519245	84.870000	72.390000	12.524103	0.715484	
0.100000	0.443441	0.596321	68.388618	84.576000	79.810000	12.597963	0.707642	
0.100000	0.438648	0.858481	68.758916	84.862000	75.140000	12.552702	0.754703	
0.100000	0.436227	0.690953	70.014838	84.758000	77.960000	12.634412	0.719993	
0.100000	0.426851	0.804258	70.991472	85.360000	75.860000	12.499501	0.717893	
0.100000	0.425434	0.650709	72.360870	85.254000	79.410000	12.472357	0.706384	
0.100000	0.420877	0.767364	74.684833	85.378000	76.310000	12.391612	0.713876	
0.100000	0.423958	1.574317	73.721373	85.388000	58.700000	12.266221	0.699090	
0.100000	0.420973	0.677784	74.109685	85.458000	78.290000	12.393526	0.727057	
0.100000	0.423021	0.818177	74.255060	85.304000	75.360000	12.520857	0.722858	
0.100000	0.421598	0.850549	74.275750	85.322000	74.060000	12.499515	0.718197	
0.100000	0.418106	0.737956	74.085465	85.652000	76.290000	12.540442	0.729133	
0.100000	0.414916	0.633171	74.707638	85.432000	79.210000	12.637541	0.683766	
0.100000	0.411714	0.525224	75.019797	85.768000	82.140000	12.358932	0.744502	
