LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.696521	1.821331	41.120000	36.542000	41.120000	14.634616	0.927793	
0.100000	1.239164	1.241998	41.120000	55.124000	56.420000	16.748010	0.965575	
0.100000	1.002188	1.459339	48.770000	63.916000	53.840000	16.059423	0.883110	
0.100000	0.859641	0.981083	49.880000	69.822000	65.990000	14.490056	0.953856	
0.100000	0.764750	1.364819	54.503333	73.072000	57.320000	14.456641	0.894044	
0.100000	0.707475	0.793900	54.271395	75.344000	72.600000	13.850271	0.970517	
0.100000	0.664282	0.985832	58.076660	77.074000	67.170000	14.407718	0.928365	
0.100000	0.632281	0.846268	59.130148	78.166000	72.810000	16.094906	0.945922	
0.100000	0.605353	0.808136	60.987449	78.882000	72.320000	14.531313	0.941665	
0.100000	0.587523	0.882799	62.166854	79.770000	72.290000	14.932606	0.983686	
0.100000	0.569002	0.700182	63.016840	80.272000	76.240000	14.336492	0.971615	
0.100000	0.550600	0.795889	64.266802	81.148000	73.540000	15.302859	0.973990	
0.100000	0.540844	0.763724	64.822484	81.488000	74.340000	13.729914	0.930855	
0.100000	0.524269	0.872821	65.374798	81.946000	72.910000	14.389628	0.973030	
0.100000	0.523079	0.802982	65.641585	81.866000	74.460000	16.144037	0.967023	
0.100000	0.510931	0.654524	66.052530	82.394000	78.030000	15.185997	0.970486	
0.100000	0.500695	0.696850	66.789681	82.900000	76.890000	14.509984	1.526175	
0.100000	0.497894	0.620841	67.271561	82.780000	79.460000	18.104567	0.974637	
0.100000	0.481560	0.732895	67.931735	83.376000	76.500000	14.315215	0.927482	
0.100000	0.481078	0.978004	68.200980	83.470000	70.440000	17.017442	0.973262	
0.100000	0.475022	0.851383	67.884593	83.532000	73.800000	15.162499	0.957776	
0.100000	0.470719	0.735421	67.925534	83.870000	76.500000	14.496741	1.183203	
0.100000	0.462822	0.653696	68.193046	83.990000	77.660000	15.513685	0.970985	
0.100000	0.457679	0.645122	68.518335	84.266000	78.970000	16.309857	0.846567	
0.100000	0.452151	0.847375	68.901761	84.448000	73.210000	15.501093	1.022161	
0.100000	0.451276	0.741257	68.808937	84.474000	76.680000	13.832659	0.935047	
0.100000	0.451079	0.676233	68.983024	84.490000	77.950000	13.959977	0.969313	
0.100000	0.435868	0.828339	69.225999	84.884000	75.100000	14.132687	1.559649	
0.100000	0.438436	0.653898	69.251635	84.720000	79.070000	15.281161	0.985320	
0.100000	0.434561	0.691065	69.534462	85.144000	76.670000	14.019977	0.963165	
0.100000	0.436292	0.540222	72.206611	84.880000	82.160000	14.033998	1.315489	
0.100000	0.433703	0.686186	72.475797	85.002000	77.780000	14.896543	1.139278	
0.100000	0.432214	0.586443	74.574426	85.028000	80.560000	14.502126	0.892591	
0.100000	0.428860	0.620039	73.707244	85.324000	79.140000	16.379214	0.941188	
0.100000	0.428588	0.646327	76.266645	85.288000	79.180000	13.981979	0.933593	
0.100000	0.420200	0.925875	75.669634	85.514000	72.900000	14.421893	1.516566	
0.100000	0.417939	0.575504	76.306275	85.556000	81.000000	13.836719	0.922794	
0.100000	0.418306	0.680732	76.538261	85.636000	78.740000	15.384808	1.163254	
0.100000	0.421096	0.569906	76.675972	85.422000	82.040000	15.751385	0.907893	
0.100000	0.414395	0.651325	77.593056	85.768000	79.530000	14.130397	0.928546	
0.100000	0.414301	0.745442	77.327704	85.564000	75.490000	14.063967	0.991903	
0.100000	0.412886	0.801205	77.324792	85.778000	74.330000	15.884157	0.978218	
0.100000	0.413466	0.731587	76.924856	85.782000	77.070000	16.005202	0.982728	
0.100000	0.409031	0.618012	77.158291	85.876000	80.320000	14.402856	1.223158	
0.100000	0.400536	0.625296	77.878357	86.086000	79.170000	17.137927	0.943330	
0.100000	0.407864	0.683952	77.796888	85.956000	78.260000	13.871488	0.947046	
0.100000	0.402926	0.515152	78.198290	86.074000	82.940000	16.967460	0.978736	
0.100000	0.399544	0.688332	78.076304	86.108000	78.030000	14.330941	0.959999	
0.100000	0.406112	0.654111	77.197274	86.018000	79.060000	14.066495	0.928235	
0.100000	0.396669	0.503530	77.803177	86.440000	82.760000	14.871776	0.983350	
0.100000	0.399174	0.707782	78.513288	86.216000	78.450000	16.614446	0.936504	
0.100000	0.392099	1.132780	78.676896	86.510000	69.070000	16.453326	0.998134	
0.100000	0.400907	0.751642	78.246472	86.080000	76.860000	14.399641	1.491029	
0.100000	0.394500	0.597957	77.324348	86.384000	80.160000	16.861875	0.944946	
0.100000	0.397545	0.647945	78.008922	86.258000	79.650000	14.805684	0.897164	
0.100000	0.392380	0.590807	78.298391	86.520000	80.780000	15.015157	0.896758	
0.100000	0.390585	0.573195	78.046494	86.528000	81.010000	14.905684	0.972761	
0.100000	0.389795	0.642841	78.811598	86.422000	79.950000	15.528147	1.093935	
0.100000	0.391468	0.793675	78.538095	86.432000	76.660000	14.825028	0.927298	
