LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.200000	1.932625	1.808559	33.250000	26.422000	33.250000	14.079745	0.882414	
0.200000	1.474360	1.828168	33.250000	44.814000	41.050000	13.677881	0.947040	
0.200000	1.150169	1.511783	37.150000	58.510000	53.160000	13.996911	0.940449	
0.200000	0.978939	1.415072	43.086000	65.204000	51.470000	13.868056	0.847050	
0.200000	0.847297	1.509845	44.903333	70.178000	55.630000	13.856565	1.001517	
0.200000	0.764778	0.947595	47.077147	73.262000	68.230000	13.448787	0.885298	
0.200000	0.707962	1.177103	51.470313	75.414000	64.900000	13.635298	1.027001	
0.200000	0.673843	1.823046	53.355334	76.824000	54.480000	13.826506	1.050509	
0.200000	0.649008	0.975835	52.535501	77.542000	68.710000	13.886072	0.895746	
0.200000	0.621053	0.784790	54.663189	78.510000	74.820000	14.159146	1.007965	
0.200000	0.613713	2.651458	57.169108	78.850000	45.140000	14.363914	0.999282	
0.200000	0.594253	0.873624	54.411677	79.672000	70.600000	13.295128	0.944949	
0.200000	0.583933	0.854726	56.099377	79.876000	71.590000	13.314610	1.021936	
0.200000	0.575174	0.781273	57.499375	80.072000	74.520000	14.013017	0.926703	
0.200000	0.567247	0.885275	58.948324	80.510000	71.520000	13.445797	1.159997	
0.200000	0.563327	0.982001	59.736998	80.590000	67.370000	13.502033	1.035084	
0.200000	0.547846	0.709852	59.918692	81.034000	75.960000	14.109874	1.005608	
0.200000	0.555108	0.774542	60.989264	80.842000	73.600000	13.734190	0.906679	
0.200000	0.544720	0.862832	61.632582	81.028000	72.140000	13.734860	0.868364	
0.200000	0.537021	1.371676	62.034844	81.462000	60.550000	14.076652	0.970992	
0.200000	0.539200	0.787691	61.328032	81.488000	74.280000	13.783980	0.955637	
0.200000	0.530174	0.651227	61.949411	81.670000	78.110000	13.657837	1.058335	
0.200000	0.523787	0.936702	62.797814	81.992000	70.540000	13.392855	0.973901	
0.200000	0.522878	0.764998	62.916916	82.044000	74.440000	13.623141	1.046786	
0.200000	0.523880	1.031298	63.327890	81.960000	67.520000	13.799960	0.959874	
0.200000	0.519821	0.778000	63.174945	82.060000	74.400000	14.105976	0.890329	
0.200000	0.512162	0.740084	63.542838	82.336000	74.640000	13.674484	0.941674	
0.200000	0.508971	0.856870	63.883790	82.516000	71.920000	14.240344	0.941079	
0.200000	0.509605	1.139677	64.004839	82.410000	66.240000	13.251713	1.010372	
0.200000	0.519951	1.176058	63.749927	82.392000	67.030000	13.652985	0.994118	
0.200000	0.510555	0.851062	65.089124	82.562000	74.100000	13.690757	1.031254	
0.200000	0.503620	0.626920	67.421112	82.710000	79.320000	13.571113	0.982494	
0.200000	0.500058	0.706817	67.944473	82.526000	76.480000	13.512494	0.945816	
0.200000	0.501425	0.751575	69.096528	82.918000	76.390000	14.559820	0.968268	
0.200000	0.503021	0.831826	71.388550	82.576000	73.040000	13.729780	1.026595	
0.200000	0.496820	0.848556	71.013705	82.910000	74.480000	13.648418	1.047258	
0.200000	0.496880	0.930233	69.731006	82.926000	71.070000	14.527391	0.972357	
0.200000	0.490918	0.692257	71.874504	83.072000	77.320000	14.046698	1.149538	
0.200000	0.494288	0.656082	73.109097	83.082000	78.090000	13.437208	0.910682	
0.200000	0.498245	0.803217	69.139859	82.908000	74.240000	14.036908	1.032950	
0.200000	0.490407	0.709157	73.149437	83.246000	75.840000	13.539250	0.918605	
0.200000	0.489434	0.829968	73.466138	83.122000	73.240000	13.671652	1.012388	
0.200000	0.484742	0.696696	73.875114	83.296000	76.150000	13.655720	0.997712	
0.200000	0.492992	0.790183	73.588196	82.992000	73.480000	13.361253	1.098693	
0.200000	0.490091	0.842565	72.981285	83.080000	73.100000	13.645225	1.215423	
0.200000	0.491128	0.755060	74.230728	83.082000	75.200000	13.572677	0.917418	
0.200000	0.487818	0.928540	73.952096	83.234000	72.170000	13.425478	1.082377	
0.200000	0.489821	0.646589	73.626062	83.082000	78.010000	13.241408	1.052767	
0.200000	0.490510	0.837127	72.233429	83.068000	72.930000	14.396906	1.041571	
0.200000	0.479920	0.742724	74.263199	83.546000	76.140000	13.989203	0.931006	
0.200000	0.483429	1.391366	74.937954	83.358000	62.470000	13.974035	1.095767	
0.200000	0.481188	0.845203	73.039239	83.408000	73.390000	13.473077	0.957867	
0.200000	0.484786	1.304070	73.625658	83.396000	64.440000	13.275686	0.958901	
0.200000	0.477715	1.465150	72.032669	83.648000	60.140000	13.427368	1.023374	
0.200000	0.490913	0.729676	72.259984	83.186000	75.700000	13.252214	0.994671	
0.200000	0.484273	0.991319	72.516615	83.376000	68.360000	13.779443	0.886945	
0.200000	0.477776	1.673497	71.855239	83.478000	57.520000	14.348369	0.993847	
0.200000	0.480639	0.814526	70.109275	83.390000	74.850000	14.142617	1.053345	
0.200000	0.474036	0.950313	70.529332	83.604000	71.550000	13.417477	1.035052	
0.200000	0.473201	0.764482	71.617232	83.696000	74.430000	13.922503	0.905230	
0.200000	0.476032	1.015767	72.553312	83.692000	72.460000	13.695409	1.038273	
0.200000	0.477170	1.073622	72.136737	83.622000	68.790000	13.690321	1.228249	
0.200000	0.479584	1.038479	71.907808	83.460000	68.310000	14.076370	1.041297	
0.200000	0.472110	0.773832	71.191410	83.894000	73.540000	13.802585	1.043860	
0.200000	0.484362	0.731830	71.551101	83.236000	75.790000	13.425443	1.045966	
0.200000	0.467280	0.955631	71.331623	83.894000	71.010000	14.425153	0.969391	
0.200000	0.475880	0.767333	72.214383	83.612000	75.540000	13.962417	0.905147	
0.200000	0.470759	0.794368	72.540251	83.712000	75.110000	13.989304	1.016725	
0.200000	0.464984	0.607596	72.149480	83.832000	79.300000	13.693119	1.031414	
0.200000	0.475862	0.696777	72.842102	83.526000	77.190000	13.688370	0.913538	
0.200000	0.470787	0.579629	72.746751	83.784000	79.910000	13.783268	1.138264	
0.200000	0.469874	0.975443	73.629571	83.916000	71.430000	13.586603	1.010709	
0.200000	0.470899	0.629828	73.101684	83.834000	78.470000	14.611108	0.891790	
0.200000	0.471119	0.821431	73.393093	83.710000	72.120000	14.409823	0.838208	
0.200000	0.470332	0.876699	73.614537	83.642000	72.470000	13.635619	0.928129	
0.200000	0.473692	1.021395	73.102675	83.714000	67.000000	14.078635	1.003165	
0.200000	0.468223	0.819690	73.553193	83.872000	73.750000	13.534079	0.977202	
0.200000	0.465839	0.857428	72.831518	83.938000	71.990000	13.725384	1.027080	
0.200000	0.465063	0.514473	73.241269	83.808000	82.720000	13.664603	1.018948	
0.200000	0.466620	1.219172	71.876643	83.958000	65.870000	14.208147	1.013750	
0.200000	0.469762	1.607218	73.067730	83.680000	60.130000	13.908779	1.048944	
0.200000	0.469036	0.633903	70.939212	83.924000	78.200000	13.926634	1.031467	
0.200000	0.462945	0.596471	70.786035	84.030000	79.580000	13.830283	1.021757	
0.200000	0.470361	0.684196	73.602766	83.622000	77.230000	13.427934	1.013923	
0.200000	0.468577	0.864527	72.775699	83.708000	74.890000	13.726258	0.909752	
0.200000	0.482681	1.016014	71.345058	83.452000	69.400000	13.842310	1.083748	
0.200000	0.467172	0.740546	73.724822	83.682000	76.150000	13.976593	1.102683	
0.200000	0.468140	0.739160	73.404232	84.046000	75.670000	13.734498	1.056145	
0.200000	0.465679	1.535511	73.966748	84.048000	58.550000	13.860408	1.045699	
0.200000	0.474246	0.849773	72.687333	83.622000	72.180000	14.004352	1.000755	
0.200000	2.263687	7.194218	72.124061	13.078000	12.160000	23.881473	1.521763	
0.200000	1.928650	1.850628	68.186022	24.420000	27.270000	23.696066	1.612796	
0.200000	1.721774	1.839146	66.302336	32.638000	31.590000	23.761565	1.646198	
0.200000	1.498163	1.580885	64.388094	43.568000	42.410000	23.550392	1.628058	
0.200000	1.334292	1.268724	62.279148	50.762000	53.680000	24.285454	1.440433	
0.200000	1.217532	1.303070	62.379228	55.656000	54.960000	23.997595	1.668161	
0.200000	1.135574	1.133620	61.838407	58.934000	59.990000	23.875473	1.570812	
