LearningRate	TrainLoss	ValidLoss	TrainAcc.	ValidAcc.	AvgAcc.	TrainEpochTime(s)	TestEpochTime(s)	
0.100000	1.694652	1.491507	47.020000	36.680000	47.020000	18.529383	1.274116	
0.100000	1.197344	1.469437	47.020000	56.726000	50.800000	21.058552	1.331840	
0.100000	0.944263	1.096648	48.910000	66.216000	62.150000	20.180984	1.425494	
0.100000	0.793488	0.937521	53.979200	72.052000	68.410000	20.486922	1.204408	
0.100000	0.690818	1.136966	58.072222	75.932000	65.330000	20.769787	1.190773	
0.100000	0.626309	1.712298	59.215860	78.216000	58.610000	21.441392	1.386683	
0.100000	0.593226	1.146859	58.253340	79.636000	64.580000	21.963307	1.230592	
0.100000	0.554322	0.755170	59.092832	80.806000	75.890000	21.374039	1.128843	
0.100000	0.533797	0.697463	61.904073	81.486000	76.080000	20.615912	1.345764	
0.100000	0.508773	0.654807	63.801490	82.424000	78.630000	20.378352	1.314672	
0.100000	0.499591	0.876293	65.561681	82.758000	72.050000	20.562293	1.187608	
0.100000	0.481562	1.103133	65.832580	83.388000	66.000000	20.752961	1.221609	
0.100000	0.463286	0.600339	65.206528	84.064000	80.410000	22.343524	1.331553	
0.100000	0.461046	0.697004	66.693757	84.210000	77.300000	20.186908	1.239352	
0.100000	0.454609	0.567717	67.450195	84.208000	80.640000	20.096296	1.210847	
0.100000	0.439808	0.853979	68.448284	85.004000	74.220000	19.820966	1.241571	
0.100000	0.441118	0.781005	68.537028	84.758000	76.440000	21.761937	1.202126	
0.100000	0.423249	0.515569	68.860488	85.398000	83.020000	21.279363	1.261897	
0.100000	0.417262	0.649253	69.793947	85.576000	78.870000	23.531863	1.255396	
0.100000	0.418333	0.580649	70.171577	85.442000	80.130000	20.224413	1.208268	
0.100000	0.409547	0.703827	70.610100	86.008000	77.580000	20.725307	1.316387	
0.100000	0.397878	0.953582	70.764170	86.360000	72.090000	19.625647	1.170850	
0.100000	0.401036	0.622370	70.446451	86.166000	78.910000	20.036131	1.640723	
0.100000	0.391355	0.835862	70.733397	86.654000	74.010000	20.673315	2.016548	
0.100000	0.396970	0.565591	70.606939	86.316000	81.130000	20.319148	1.347221	
0.100000	0.387382	0.736016	71.032657	86.664000	77.360000	21.819263	1.266240	
0.100000	0.384892	0.662043	71.134451	86.820000	77.950000	19.549144	1.282305	
0.100000	0.382296	0.970254	71.268349	86.806000	71.970000	20.828908	1.248818	
0.100000	0.374214	0.570505	70.990659	87.202000	80.780000	22.910872	1.298563	
0.100000	0.374020	0.540590	71.320825	87.244000	82.220000	20.533242	1.280015	
0.100000	0.370857	0.724953	72.570440	87.246000	78.170000	21.446312	1.289279	
0.100000	0.364692	0.687032	74.572476	87.456000	77.970000	20.746650	1.367443	
0.100000	0.361145	0.556136	75.696626	87.624000	81.480000	22.001904	1.196508	
0.100000	0.366935	0.882242	75.624498	87.224000	74.960000	20.617937	1.237533	
0.100000	0.357295	0.779264	74.610173	87.650000	76.330000	21.393160	1.242996	
0.100000	0.362026	0.600445	75.584162	87.394000	80.530000	21.288072	1.218202	
0.100000	0.355267	0.565409	77.538240	87.822000	81.540000	21.319274	2.087284	
0.100000	0.353632	0.738651	77.823884	87.932000	76.790000	20.922264	1.321682	
0.100000	0.361344	0.673599	78.125814	87.676000	78.290000	20.576566	1.305565	
